row,u,x,A0prime,local_rank,max_scaled_projection_residual,l2_scaled_projection_residual,smallest_retained_singular
0,0.71,1.4084507042253522,1.408450704225352,3,0.8653190851893602,0.8808764784591446,0.0395755768686937
1,0.7100035714285714,1.4084436194988958,1.4084436194988956,3,0.8653206327626197,0.8808777058124474,0.03956562333305679
2,0.7100071428571428,1.4084365348437138,1.4084365348437136,3,0.8653229894525385,0.8808792528641136,0.03953775396362665
3,0.7100107142857143,1.408429450259805,1.4084294502598047,3,0.8653247722884077,0.8808805437136884,0.039522353062138034
4,0.7100142857142857,1.4084223657471682,1.408422365747168,3,0.865326475677751,0.8808817828641825,0.039508422067626246
5,0.7100178571428571,1.4084152813058022,1.4084152813058022,3,0.8653285798527397,0.8808831809189575,0.03948581146983771
6,0.7100214285714286,1.408408196935706,1.4084081969357058,3,0.8653307833253263,0.880884611058745,0.03946095333019268
7,0.710025,1.408401112636879,1.4084011126368787,3,0.865332903597849,0.8808859934042366,0.0394377539233238
8,0.7100285714285713,1.4083940284093197,1.4083940284093197,3,0.8653350231527992,0.88088736082443,0.039414438602522785
9,0.7100321428571428,1.408386944253027,1.4083869442530268,3,0.8653372139200217,0.8808887418365657,0.03938938915390264
10,0.7100357142857142,1.4083798601679998,1.4083798601679998,3,0.8653391698449702,0.8808900050274436,0.03936944824780608
11,0.7100392857142857,1.408372776154237,1.408372776154237,3,0.8653407586979749,0.8808910897526165,0.03935744165478275
12,0.7100428571428571,1.4083656922117378,1.408365692211738,3,0.8653426978108669,0.8808923050646378,0.03933759494707141
13,0.7100464285714285,1.4083586083405009,1.408358608340501,3,0.8653448656586097,0.8808936028377439,0.0393126665710378
14,0.71005,1.4083515245405254,1.4083515245405254,3,0.8653469472016854,0.880894847773868,0.03928947258614219
15,0.7100535714285714,1.40834444081181,1.40834444081181,3,0.8653490140136446,0.880896068295855,0.03926646234074455
16,0.7100571428571428,1.4083373571543538,1.408337357154354,3,0.8653511463042681,0.8808972966217828,0.0392418198350894
17,0.7100607142857143,1.4083302735681558,1.4083302735681558,3,0.86535317356963,0.880898459358188,0.03921939327319483
18,0.7100642857142857,1.4083231900532145,1.4083231900532147,3,0.8653547888902472,0.8808994218671642,0.03920613617652537
19,0.7100678571428571,1.408316106609529,1.4083161066095295,3,0.8653565293242694,0.8809004153123449,0.03918983304060539
20,0.7100714285714286,1.408309023237099,1.4083090232370992,3,0.8653586094782438,0.8809015355673961,0.039165918372755903
21,0.710075,1.4083019399359222,1.4083019399359225,3,0.865360669620171,0.8809026284053783,0.03914228632516191
22,0.7100785714285714,1.4082948567059983,1.4082948567059983,3,0.8653626938539569,0.8809036837265065,0.03911929757679373
23,0.7100821428571428,1.4082877735473265,1.4082877735473265,3,0.8653647312410828,0.880904719377991,0.03909583919437504
24,0.7100857142857142,1.4082806904599043,1.4082806904599046,3,0.865366786781899,0.8809057348371919,0.03907177015436437
25,0.7100892857142856,1.408273607443732,1.408273607443732,3,0.8653685203017702,0.8809065816567893,0.039054973068113855
26,0.7100928571428571,1.4082665244988082,1.4082665244988084,3,0.8653700579032384,0.8809073107900159,0.039042356286751796
27,0.7100964285714285,1.4082594416251315,1.4082594416251315,3,0.8653719951471885,0.8809081829694351,0.03902058134636268
28,0.7101,1.4082523588227012,1.4082523588227012,3,0.8653740460467337,0.8809090782892728,0.03899608837217762
29,0.7101035714285714,1.4082452760915158,1.4082452760915158,3,0.8653760098701102,0.8809099088975177,0.03897338326298094
30,0.7101071428571428,1.4082381934315749,1.4082381934315749,3,0.8653779693272541,0.8809107081220424,0.0389506013747976
31,0.7101107142857143,1.4082311108428769,1.4082311108428769,3,0.8653799988872498,0.8809115059825693,0.03892598841051269
32,0.7101142857142857,1.4082240283254206,1.4082240283254204,3,0.8653818199200007,0.8809121820003862,0.038906077346190296
33,0.7101178571428571,1.408216945879205,1.408216945879205,3,0.8653832667797047,0.8809126593529413,0.038894613557292144
34,0.7101214285714286,1.4082098635042295,1.40820986350423,3,0.8653850244359637,0.8809132286070127,0.03887575469139096
