u,x,f3XX_selected,f4XX_recovered,f4XXX_selected,f2phi,f2phiX,f2phiF,f2phiY,f3phi,f3phiX,f4phi,f4phiX,f4phiXX,c3_selected,e3_selected,Ephi_reconstructed,c2_check,c2_reference,c2_residual
0.61,1.639344262295082,-105.6582062386123,-0.0,0.0,72.27847349366958,-1213.5748830783132,-158.34437562360694,-76.96785683033616,3.620922726277503,-2406.5375288980485,-11.29234687952855,4.805982568003307,-3.222564261415855e-09,244.9990239334984,-2774.893567272712,0.0,54.77125224555108,54.77125224555108,0.0
0.610026256564141,1.6392737021391723,-105.70265782547756,-0.0,0.0,72.33987801511492,-1214.1664844074123,-158.11439516608493,-76.25770201731365,3.5268872157514903,-2400.126218649208,-11.29990370389774,4.812137470470512,1.9018730926206117e-09,244.7108728061906,-2760.779313319458,1.4210854715202004e-14,54.700928107585895,54.700928107585895,0.0
0.610052513128282,1.6392031480570586,-105.74660380850037,5.731401018008943e-14,0.0,72.40152160022194,-1214.9532663212622,-157.88345929683572,-75.54982530841852,3.420992487768233,-2394.021912811001,-11.312689265615322,4.820888309623452,-8.933510273015931e-10,244.42169588087674,-2749.061934723536,2.842170943040401e-14,54.63056141060818,54.63056141060819,-7.105427357601002e-15
0.6100787696924231,1.6391326000479565,-105.79008610928771,-5.72857981995565e-14,0.0,72.4634794171103,-1215.9438156399337,-157.65166135536697,-74.8441726705418,3.302616612833936,-2388.236201410173,-11.33097269420206,4.832439415240117,-1.8180477464357532e-09,244.13137309645114,-2737.4810257070403,1.4210854715202004e-14,54.560135202435816,54.560135202435816,0.0
0.6101050262565642,1.6390620581110824,-105.83314664800055,-5.725759977416556e-14,0.0,72.52571799739323,-1217.117600285516,-157.41909304024242,-74.14068629679839,3.173054333895216,-2382.737754832382,-11.354181379450045,4.846328329771804,1.1871935288011908e-09,243.8399780711101,-2724.9333660053526,1.4210854715202004e-14,54.489632378739614,54.48963237873962,-7.105427357601002e-15
0.6101312828207052,1.638991522245652,-105.87581095745209,-0.0,0.0,72.58816129617027,-1218.2989370214561,-157.1858127309242,-73.43934679404586,3.0430727589452795,-2377.26899566148,-11.37762448086913,4.860028917566557,5.576154941320297e-10,243.5476625369982,-2712.5084917816303,1.4210854715202004e-14,54.41904301140967,54.41904301140968,-7.105427357601002e-15
0.6101575393848462,1.6389209924508816,-105.91806436284558,-0.0,0.0,72.65090069260627,-1219.3063788954955,-156.95175128341887,-72.74016218653493,2.9236276964177716,-2371.564461858173,-11.396553541649828,4.871418557430961,6.882103652679544e-11,243.25425087831977,-2700.326703131025,1.4210854715202004e-14,54.34837587451397,54.34837587451396,7.105427357601002e-15
0.6101837959489872,1.6388504687259875,-105.95987822506542,-0.0,0.0,72.71392962513247,-1220.1593834614418,-156.7168043860034,-72.04316381260557,2.813554739872703,-2365.653094928161,-11.411491430570383,4.881092009423532,-8.325204656241691e-10,242.9597108663196,-2688.343452047464,-1.4210854715202004e-14,54.27764655647263,54.27764655647262,1.4210854715202004e-14
0.6102100525131283,1.638779951070186,-106.00123428535844,-5.714494152831119e-14,0.0,72.77723041012493,-1220.8867517566111,-156.4809027746809,-71.34838217886703,2.711130535465677,-2359.5777191155926,-11.423190032691544,4.889476502424346,-2.17572636706398e-10,242.6640759155687,-2676.826982310189,-1.4210854715202004e-14,54.206866217924315,54.20686621792432,-7.105427357601002e-15
0.6102363090772693,1.638709439482694,-106.04211140306056,-0.0,0.0,72.84078581922313,-1221.4654717018059,-156.2439480553899,-70.65581926285815,2.6176945723049188,-2353.3060831607036,-11.431071027764322,4.896230701851241,1.7027180046047518e-09,242.3672884642446,-2665.8141314322665,-1.4210854715202004e-14,54.136047312273604,54.1360473122736,7.105427357601002e-15
0.6102625656414103,1.638638933962728,-106.08248832372848,2.8544346809404513e-14,0.0,72.90472415648789,-1221.9098909636623,-156.00586119632567,-69.96550538050073,2.5324128251977522,-2346.859041384989,-11.435498959561505,4.901547454785268,-1.3784250768247973e-09,242.06934259310322,-2654.6217169726488,-2.842170943040401e-14,54.06520239754815,54.06520239754815,0.0
0.6102888222055514,1.638568434509505,-106.12234581024491,-5.706058995167316e-14,0.0,72.96883331100837,-1222.21347156356,-155.76657110197237,-69.27747217787746,2.455555363958421,-2340.229668405275,-11.436357188212785,4.905368112914476,3.3877655467225605e-10,241.77015648308634,-2643.9027996362647,1.4210854715202004e-14,53.99434317334191,53.99434317334189,2.1316282072803006e-14
0.6103150787696924,1.6384979411222422,-106.16166074952622,2.851624990320904e-14,0.0,73.03325374792047,-1222.3462593453526,-155.525977328178,-68.59172874974918,2.38896051753279,-2333.3744470055135,-11.432854844255372,4.907368546741698,2.2123519430648256e-11,241.4697036459916,-2633.815824130099,0.0,53.92348332933523,53.92348332933521,1.4210854715202004e-14
0.6103413353338334,1.6384274538001562,-106.20041307545482,-5.700442317626365e-14,0.0,73.09807814569054,-1222.4223083339634,-155.28399389749492,-67.90828785616279,2.325798476649243,-2326.459062953086,-11.427954090758254,4.908765100222,-4.2454123695035564e-10,241.16806333699415,-2623.706658524635,0.0,53.852634993275394,53.85263499327539,7.105427357601002e-15
0.6103675918979745,1.6383569725424645,-106.23861693604474,-0.0,0.0,73.16311645468436,-1222.635311907756,-155.04064347452857,-67.22713713222815,2.254152281703694,-2319.7664799494846,-11.426815604882425,4.911706367157826,-5.757803651042591e-11,240.86510571443975,-2612.884905796158,-1.4210854715202004e-14,53.781793886140186,53.781793886140186,0.0
0.6103938484621155,1.6382864973483848,-106.27630586200911,-8.542246565835585e-14,0.0,73.22848441191245,-1222.980530397699,-154.7960149978204,-66.54825565061412,2.1744100823106707,-2313.2876586924963,-11.429266312440264,4.9161591251842855,-1.0738798415049775e-09,240.56090376362306,-2601.6521416576215,2.842170943040401e-14,53.71094633231063,53.71094633231064,-1.4210854715202004e-14
0.6104201050262565,1.6382160282171343,-106.31349554877801,-5.692027432819355e-14,0.0,73.29413699323266,-1223.3114253219183,-154.55012134270686,-65.87160965170256,2.095477327525714,-2306.8098273349938,-11.43144955697333,4.920542307551358,8.924815829134127e-10,240.25549746417835,-2590.6979172850215,0.0,53.64008729134347,53.64008729134345,2.1316282072803006e-14
0.6104463615903976,1.6381455651479309,-106.35018249623053,-2.8446125856883376e-14,0.0,73.3601017245444,-1223.6071264516656,-154.3029239669519,-65.19719111517158,2.01855967809342,-2300.3029547556857,-11.432845413066863,4.924643160586109,9.672590407762103e-10,239.94879303419384,-2579.520835950735,-2.842170943040401e-14,53.56922089995855,53.56922089995853,2.1316282072803006e-14
0.6104726181545386,1.6380751081399922,-106.38637014269773,2.843212129599856e-14,0.0,73.42635079538694,-1223.895366696991,-154.05442448214725,-64.5250145918859,1.9420130456485312,-2293.8072632413855,-11.434162624563635,4.928745624523661,4.26989248881447e-10,239.64084625302817,-2568.220854201646,0.0,53.49834799937325,53.49834799937324,1.4210854715202004e-14
0.6104988747186797,1.6380046571925362,-106.42206011820895,-0.0,0.0,73.49289111075751,-1224.169139796915,-153.8045977320941,-63.855065073616814,1.8662674760156996,-2287.312520167048,-11.43521739596862,4.932791213446637,-9.462621015711343e-10,239.33165081408933,-2556.935327773418,0.0,53.427470304959115,53.42747030495912,-7.105427357601002e-15
0.6105251312828207,1.637934212304781,-106.45725545036667,-2.8404132406326047e-14,0.0,73.55971762917673,-1224.4228757653025,-153.55343347244337,-63.18734145541024,1.7916031515048967,-2280.811058216379,-11.435886917940232,4.9367092219185,-9.56522789850321e-11,239.02114199257204,-2545.6903567883073,-2.842170943040401e-14,53.35658883507441,53.35658883507441,0.0
0.6105513878469617,1.6378637734759451,-106.49195513685484,-0.0,0.0,73.62684951660697,-1224.6423499896684,-153.3009055587804,-62.521840510726484,1.7189421939121692,-2274.282150612206,-11.435771311168073,4.940303990190417,1.3285469317180197e-09,238.70939156784232,-2534.4524717801796,-1.4210854715202004e-14,53.2857065521705,53.28570655217051,-7.105427357601002e-15
0.6105776444111027,1.6377933407052463,-106.52616512295702,5.6752340956162765e-14,0.0,73.6942671860052,-1224.9399047630125,-153.04700496599895,-61.8585475788644,1.6415065605444394,-2267.887091035167,-11.437817044732922,4.945028612489885,-4.5059941419552717e-11,238.3963579876541,-2522.77863681749,-2.842170943040401e-14,53.21482305444694,53.21482305444694,0.0
0.6106039009752438,1.6377229139919036,-106.55991400158895,-0.0,0.0,73.7620011608976,-1225.3712278819353,-152.79180325117912,-61.197444726354995,1.5559265005413976,-2261.7050258754994,-11.44348121290634,4.951544634414064,-1.1482237331087491e-09,238.08200885380475,-2510.755539517266,-2.842170943040401e-14,53.143927130314395,53.14392713031438,1.4210854715202004e-14
0.6106301575393849,1.637652493335135,-106.59321921050208,-0.0,0.0,73.82998497567466,-1225.7951225614427,-152.53532271955015,-60.538501455185475,1.4707139790016714,-2255.5335304266628,-11.449061603267136,4.957968620731833,1.1911454144335708e-09,237.7664270664621,-2498.8418469354874,-1.4210854715202004e-14,53.07301273807821,53.07301273807824,-2.842170943040401e-14
0.6106564141035259,1.6375820787341602,-106.62607093715636,5.6668556195438864e-14,0.0,73.89826741842164,-1226.09021474031,-152.27751385433908,-59.881725605460105,1.393114805165682,-2249.1992153380334,-11.45141040890286,4.962748318591364,-1.7514409039927088e-10,237.4495542189701,-2486.919920672619,-1.4210854715202004e-14,53.00208679604002,53.00208679604001,7.105427357601002e-15
0.6106826706676669,1.637511670188197,-106.65844891914605,-0.0,0.0,73.96688036204988,-1226.2594100249287,-152.01830290881514,-59.22714487018133,1.322959708333912,-2242.70676138548,-11.450602639476894,4.96592068630459,-4.907014222768783e-10,237.13137755638192,-2475.1978530166625,0.0,52.931161272911126,52.931161272911126,0.0
