r_over_rs,u,photon_sphere_factor_rfprime_minus_2f,control_rank,sigma_max_normalized,sigma_min_normalized,sigma_ratio_normalized,dc2_dG2XX
1.4084507042253522,0.71,-0.015501998770276137,5,2.3167987159676042,0.20267672882332743,0.08748137135369574,0.27160430737576846
1.4085316624209565,0.7099591913192917,-0.015325095486498186,5,2.316229417251273,0.20126508806740884,0.08689341676104569,0.27163733778591137
1.4086126206165608,0.7099183873294364,-0.015148484236268467,5,2.3156488636443116,0.1998213657824796,0.08629173831994788,0.2716699784398793
1.408693578812165,0.7098775880296249,-0.014972165202747467,5,2.3150579978464365,0.19834821145033513,0.08567742649853563,0.27170222984379283
1.4087745370077691,0.7098367934190487,-0.01479613869866081,5,2.3144578401778926,0.19684853424630339,0.08505168287324401,0.27173409245004104
1.4088554952033738,0.7097960034968995,-0.01462040498298034,5,2.3138495378127892,0.19532563627098076,0.08441587626117474,0.2717655667564934
1.408936453398978,0.7097552182623691,-0.014444964325041831,5,2.313233880448085,0.1937817903710871,0.083770945951021,0.27179665325015057
1.4090174115945824,0.7097144377146496,-0.014269817021869247,5,2.312611886889638,0.19221994841917497,0.08311811830981393,0.27182735238747746
1.4090983697901869,0.7096736618529329,-0.014094963324796206,5,2.311984533551521,0.19064294140744642,0.0824585712580841,0.2718576646839047
1.409179327985791,0.7096328906764117,-0.013920403510452317,5,2.3113524825937404,0.18905268622344354,0.08179310064006053,0.2718875906182482
1.4092602861813952,0.7095921241842782,-0.013746137867859165,5,2.310716718352506,0.18745203235276003,0.08112289614038432,0.27191713066045364
1.4093412443769997,0.7095513623757254,-0.01357216663923655,5,2.3100779970381033,0.18584315905442914,0.080448867654127,0.27194628532791343
1.4094222025726038,0.7095106052499459,-0.013398490106674155,5,2.309436998999276,0.18422801714069317,0.07977183063254063,0.2719750551095844
1.4095031607682085,0.7094698528061331,-0.013225108537943897,5,2.3087945023186798,0.18260882928307834,0.07909271661019968,0.27200344049760605
1.4095841189638123,0.7094291050434801,-0.013052022196256008,5,2.3081511128257244,0.1809873080971092,0.07841224393473,0.2720314419870593
1.4096650771594168,0.7093883619611806,-0.012879231350797049,5,2.3075075522096635,0.17936548769149538,0.07773126788674448,0.27205906008081343
1.409746035355021,0.7093476235584282,-0.012706736264954777,5,2.3068643183896507,0.17774474410820826,0.07705036776167498,0.27208629527770956
1.4098269935506254,0.7093068898344165,-0.012534537185784345,5,2.3062221601966586,0.1761271622682299,0.07637042315698284,0.27211314810339593
1.4099079517462296,0.7092661607883397,-0.012362634391807181,5,2.305581309568006,0.17451332879335682,0.07569168264382538,0.2721396190467521
1.409988909941834,0.7092254364193921,-0.01219102814169093,5,2.3049426102358987,0.17290557521978345,0.07501513246010384,0.27216570861147915
1.4100698681374382,0.7091847167267679,-0.01201971868603513,5,2.3043062400363543,0.17130431094543305,0.07434094825118837,0.27219141731905494
1.410150826333043,0.7091440017096616,-0.011848706293692723,5,2.303672891508354,0.16971141031347778,0.07366992550854624,0.2722167456803821
1.410231784528647,0.7091032913672684,-0.011677991202331373,5,2.3030427590785094,0.16812731194286282,0.07300225377063069,0.2722416942199869
1.4103127427242512,0.7090625856987829,-0.011507573684970462,5,2.30241635432827,0.16655335370685403,0.07233850358722195,0.272266263436519
1.4103937009198555,0.7090218847034004,-0.011337453992344426,5,2.301794002168524,0.1649903323152806,0.07167901739245254,0.27229045386273576
1.4104746591154598,0.7089811883803162,-0.01116763236518703,5,2.3011760238098287,0.16343902798889393,0.07102413126932557,0.2723142660212165
1.410555617311064,0.7089404967287256,-0.010998109069419226,5,2.3005626967141595,0.16190009126025476,0.07037412694359207,0.27233770042530236
1.4106365755066683,0.7088998097478246,-0.010828884353975887,5,2.2999543633257202,0.16037435393391566,0.06972936354355105,0.2723607576022766
1.4107175337022726,0.7088591274368089,-0.01065995846428791,5,2.2993512121905226,0.158862206428546,0.06909001355960874,0.2723834380793245
1.410798491897877,0.7088184497948745,-0.010491331649778335,5,2.298753563558377,0.15736441246112484,0.06845640827089405,0.2724057423913956
1.4108794500934814,0.7087777768212178,-0.010323004150735948,5,2.2981615225987966,0.15588112253291211,0.06782861909403101,0.2724276710670475
1.4109604082890856,0.7087371085150351,-0.010154976220628331,5,2.297575404457035,0.15441308485940844,0.06720697155787123,0.2724492246409128
1.41104136648469,0.7086964448755232,-0.009987248105107205,5,2.296995234819772,0.1529602247384044,0.06659144190623714,0.2724704036388873
1.4111223246802942,0.7086557859018787,-0.00981982004512183,5,2.296421363200553,0.1515233906092166,0.06598239897839848,0.27249120860347675
1.4112032828758985,0.7086151315932988,-0.009652692281225117,5,2.2958537279455613,0.1501022631315448,0.06537971531220475,0.2725116400745079
