parameter,coefficient,column_norm_scaled
f3|0|0,0.5228566661069713,0.12222126863851833
f3|0|1,-11177903530.068819,1.873241442401864e-05
f3|0|2,41177192369.463104,8.120248928868743e-06
f3|1|0,0.00023801830636861163,3.912824924536111
f3|1|1,-98124.25353102318,0.06697102546151149
f3|1|2,23249457.31174266,0.0030232435123599853
f3X|0|0,0.9049673446771762,5.332578793677538
f3X|0|1,-251229171130.40198,7.0774852631421194e-06
f3X|0|2,44689235583.69526,1.6833456610808208e-05
f3X|1|0,1.7953511399440993,16.92827457251115
f3X|1|1,1538567.1790007167,0.017355855485046666
f3X|1|2,34077577291.964127,2.4922202000309007e-05
f3XX|0|0,-132717953971.56181,5.637849624616446e-07
f3XX|0|1,0.0,6.628794777194206e-16
f3XX|0|2,-71739394236731.23,1.4758768650826455e-09
f3XX|1|0,0.8829804410125457,5.222293025679635
f3XX|1|1,-400751941.01416075,0.00018522697419853595
f3XX|1|2,-45281866576878.64,1.4758768650830645e-09
f4|0|0,-6.419209984697204e-05,4.550167940961784
f4|0|1,-150805203226.8571,7.096276124369767e-07
f4|0|2,-19363939294.998882,6.31733697371458e-06
f4|1|0,5.247285434802878e-05,50.02785587380583
f4|1|1,-633.751269007032,0.13168770232154706
f4|1|2,9398429.62550118,0.0067531199315302584
f4X|0|0,1.1940942348990526,3.074229101262868
f4X|0|1,-22955741770.640537,1.8567190261027047e-05
f4X|0|2,22160782285.64467,9.860370989221247e-06
f4X|1|0,1.989010046234955e-05,7.869651279260106
f4X|1|1,-686436.2491860052,0.022648783557526628
f4X|1|2,-27451291.29211296,0.0010905640881057625
f4XX|0|0,4.7128810373503764,1.945024129277237
f4XX|0|1,621155112875.5603,2.6123732147007544e-06
f4XX|0|2,-7198023631.931266,1.0312065247687933e-05
f4XX|1|0,5.094580722026315,3.2368343521042657
f4XX|1|1,3920245.7646939824,0.00400396697272825
f4XX|1|2,116457014931.56673,5.8593598792358e-06
f4XXX|0|0,698521390723.5972,1.0331138055579848e-07
f4XXX|0|1,-16344470921828.123,1.475876865083029e-09
f4XXX|0|2,0.0,3.325632651321052e-16
f4XXX|1|0,-15.121530987168512,0.9217268521622978
f4XXX|1|1,2270434601.432706,3.26906725615927e-05
f4XXX|1|2,0.0,7.075188678125601e-16
tf4|0|0,0.10903468305821827,6.1484582025305885
tf4|0|1,18873040591.891968,1.0562309070147354e-05
tf4|0|2,-25098457726.546925,2.7618087559693554e-05
tf4|1|0,0.0005943054958858274,14.982678863939913
tf4|1|1,204165.18377117536,0.06761964956030297
tf4|1|2,-21801324.014386233,0.00215525790186471
f2XX|0|0,-5.269903087500136e-07,120.34362504322453
f2XX|0|1,-32519.98888813267,0.13196347060062635
f2XX|0|2,45498286566.76105,1.0084768646249713e-07
f2XX|1|0,6.667150490908809,2.8045000233739423
f2XX|1|1,745845044.6053634,9.952045388664745e-05
f2XX|1|2,-91649103619.0399,1.5359541079865507e-09
f2XF|0|0,37732990425776.32,2.951772036474158e-09
f2XF|0|1,-32228788444434.773,1.4759074725672533e-09
f2XF|0|2,7851982761672.945,5.903508096159138e-09
f2XF|1|0,-573.6043578102007,1.607514362475303
f2XF|1|1,-10233096.671900766,0.0072538211493645656
f2XF|1|2,-32788400850128.152,4.749526599179308e-13
f2FF|0|0,0.0,6.559664060361645e-16
f2FF|0|1,0.0,5.957676214071981e-16
f2FF|0|2,0.0,1.822169592046357e-16
f2FF|1|0,277.14318293159073,0.08898404940723523
f2FF|1|1,0.0,6.633400398629159e-16
f2FF|1|2,0.0,6.921449264817494e-16
f2XY|0|0,23019696913.33637,3.221839196483246e-06
f2XY|0|1,4415819751752.223,1.6234646012325556e-08
f2XY|0|2,14822148583124.383,4.42763300214361e-09
f2XY|1|0,2.2735622944677334,29.814755549272835
f2XY|1|1,7232316.009465698,0.010263535515776296
f2XY|1|2,8079663423776.687,1.0331138696731096e-08
f2FY|0|0,15178826256879.412,4.427632376256794e-09
f2FY|0|1,59239211155685.99,1.475880086198605e-09
f2FY|0|2,21902327580619.938,1.475876896990715e-09
f2FY|1|0,107.43112731090862,8.519570498471605
f2FY|1|1,-1940233.425954788,0.03825779226332446
f2FY|1|2,-74110802605606.5,6.514300298484221e-12
f2YY|0|0,8752740259.723707,8.487767851090753e-06
f2YY|0|1,1887736409039.2268,3.6896922222174324e-08
f2YY|0|2,293439958166.17535,9.211856626729655e-13
f2YY|1|0,-1.6642794665298295,79.97991537046869
f2YY|1|1,1445180.112778104,0.051363249704721274
f2YY|1|2,3559946537379.331,1.7710522594104775e-08
