u,x,phi,f,h,A0prime,phiprime,a1,a2,a3,a4,a5,a6,a7,a8,a9,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,c6,d1,d2,d3,d4,e1,e2,e3,e4,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,selected_member,construction,T_H,S_SVT
0.715,1.3986013986013988,0.860763471272998,0.2888136109156587,0.411271779490215,0.0,-1.2403743022844986,0.1290227873942641,-2.071376835316839,-0.160992944503826,0.1723230168152354,46.11705751656172,1.1520555546223328e-11,0.2888745789533959,-0.2095001703086134,-0.3826710912124562,0.2983291130612311,-0.8934674960252812,10.22923828992602,1.1148570451267097,-0.5966582261224623,-1.0862253172002068,-0.29522596646150584,4.400112352310077e-06,0.1412683500069103,-0.1660151455124475,0.07820534647336812,0.2983291130612311,0.1161992180916798,-1.540852769940069,0.0880958342420181,7.396331908967726,-0.03765238508418393,0.03843545552524314,-0.0786347236624381,1.1671147268319149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3992065.140847757,-0.1723230168152451,0.0,0.0,36527.41372229825,v5=c3=e3=0; a5 holonomic; v12=+v6/(2h),inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,1.0,0.0
0.7149964285714285,1.398608384657266,0.8607548058419446,0.288816300899524,0.4112549109783621,0.0,-1.2404049001544686,0.1290186367888495,-2.0710546599485675,-0.1609909264543687,0.1723202853034983,46.11664012792777,1.1480131032212654e-11,0.2888432743974262,-0.2095054424686781,-0.3826392958010962,0.2983216056727088,-0.8934304322620956,10.227873289093903,1.114832686928044,-0.5966432113454178,-1.0862247858338403,-0.29521370146405723,4.681913486487131e-06,0.1412588012947354,-0.1660201749325259,0.07821188856161833,0.2983216056727088,0.1161865991532922,-1.5406320663520907,0.0880935577630148,7.395868144817679,-0.03765533524467884,0.030392504124370504,-0.0763242950802377,1.1670970159186476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3903825.2498270245,-0.1723202853035079,0.0,0.0,35359.79411203266,v5=c3=e3=0; a5 holonomic; v12=+v6/(2h),inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,1.0,0.0
0.7149928571428571,1.398615370782925,0.8607461401105728,0.2888189910142358,0.4112380438693414,0.0,-1.240435494936616,0.1290144871015641,-2.070732486072598,-0.1609889085969877,0.1723175540121022,46.115869334697386,1.1439775670536064e-11,0.2888119607976167,-0.2095107146226831,-0.3826074929857272,0.298314098670811,-0.8933933751620291,10.226508300576736,1.1148083300112717,-0.596628197341622,-1.086224256127562,-0.29520139265436374,4.939449723986493e-06,0.1412492324654295,-0.1660252143746072,0.07821845157029955,0.298314098670811,0.1161739655703514,-1.540411370190134,0.0880912814291155,7.395404351681148,-0.037658269370033,0.028630878032649822,-0.0740058786744916,1.1670793061046862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3817405.5135352532,-0.1723175540121118,0.0,0.0,34216.170852513525,v5=c3=e3=0; a5 holonomic; v12=+v6/(2h),inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,1.0,0.0
0.7149892857142857,1.3986223569783764,0.8607374740788983,0.2888216812597848,0.4112211781633281,0.0,-1.240466086699292,0.1290103383328187,-2.0704103142163173,-0.1609868909320342,0.1723148229412502,46.11509753138979,1.1399489786778859e-11,0.2887806382178314,-0.2095159867703672,-0.38257568277494,0.2983065920558705,-0.8933563247268922,10.22514332652137,1.1147839743786878,-0.596613184111741,-1.0862237282512728,-0.29518904097664717,5.1744883961560015e-06,0.1412396435213604,-0.1660302638397098,0.07822503521399429,0.2983065920558705,0.1161613173064421,-1.5401906817733186,0.0880890052404124,7.394940530175581,-0.03766118814717548,0.025671367008356535,-0.0716795618625002,1.1670615979470629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3732786.369123835,-0.17231482302150014,0.0,0.0,33097.803666968495,v5=c3=e3=0; a5 holonomic; v12=+v6/(2h),inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,1.0,0.0
0.7149857142857142,1.3986293432436214,0.8607288077469367,0.2888243716361612,0.4112043138604971,0.0,-1.2404966754512068,0.1290061904830242,-2.070088144907112,-0.1609848734598597,0.1723120920911454,46.11423029206024,1.1359273706526344e-11,0.2887493067219344,-0.2095212589114695,-0.3825438651773251,0.29829908582822,-0.8933192809584949,10.223778369074664,1.1147596200325895,-0.59659817165644,-1.0862232023748744,-0.2951766473752358,5.38748388053422e-06,0.1412300344648957,-0.1660353233288518,0.07823163920722222,0.29829908582822,0.1161486543251495,-1.5399700014207651,0.0880867291969978,7.394476680918419,-0.03766409226304329,0.023510770147930533,-0.0693454320615642,1.1670438903358784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3649948.2513994696,-0.17231209217139387,0.0,0.0,32004.199054517834,v5=c3=e3=0; a5 holonomic; v12=+v6/(2h),inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,1.0,0.0
0.7149821428571428,1.398636329578661,0.8607201411147033,0.2888270621433555,0.4111874509610239,0.0,-1.2405272612803333,0.1290020435525916,-2.069765978672369,-0.1609828561808154,0.1723093614619904,46.11329292471795,1.1319127755363815e-11,0.2887179663737897,-0.209526531045729,-0.3825120402014733,0.2982915799881923,-0.8932822438586477,10.222413430383488,1.114735266975273,-0.5965831599763846,-1.0862226786682674,-0.295164212794568,5.579620290351901e-06,0.1412204052984031,-0.1660403928430515,0.07823826326443845,0.2982915799881923,0.1161359765900583,-1.539749329451595,0.088084453298964,7.394012804527105,-0.03766698240458264,0.020345862550315164,-0.067003576688984,1.16702618382818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3568871.593665325,-0.1723093615422377,0.0,0.0,30935.602461425275,v5=c3=e3=0; a5 holonomic; v12=+v6/(2h),inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,1.0,0.0
0.7149785714285714,1.398643315983496,0.860711474182214,0.2888297527813582,0.4111705894650835,0.0,-1.2405578436358329,0.1289978975419316,-2.069443816039475,-0.1609808390952528,0.1723066310539885,46.11227864645875,1.1279052258876584e-11,0.2886866172372614,-0.2095318031728845,-0.3824802078559752,0.29828407453612,-0.893245213429161,10.221048512594695,1.1147109152090338,-0.5965681490722401,-1.0862221573013535,-0.2951517381791747,5.74577262352153e-06,0.1412107560242504,-0.1660454723833272,0.0782449071000408,0.29828407453612,0.1161232840647534,-1.5395286661849272,0.0880821775464033,7.393548901619085,-0.03766985925874035,0.018915751795117324,-0.0646540831620601,1.1670084773141656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3489536.823631787,-0.17230663097376137,0.0,0.0,29886.608841226887,v5=c3=e3=0; a5 holonomic; v12=+v6/(2h),inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,1.0,0.0
0.7149749999999999,1.398650302458128,0.8607028069494845,0.2888324435501597,0.411153729372851,0.0,-1.2405884244199268,0.1289937524514552,-2.069121657535816,-0.1609788222035231,0.1723039008673424,46.11118927657076,1.1239047542649939e-11,0.2886552593762135,-0.2095370752926753,-0.3824483681494215,0.2982765694723359,-0.893208189671845,10.219683617855155,1.1146865647361686,-0.5965531389446719,-1.086221638444034,-0.29513922447375196,5.9168902743390064e-06,0.1412010866448051,-0.1660505619506971,0.07825157042833998,0.2982765694723359,0.1161105767128199,-1.539308011939883,0.0880799019394079,7.393084972811803,-0.037672723512502254,0.020672818671265473,-0.0622970388980931,1.1669907730176463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3411924.3808267703,-0.1723039008673517,0.0,0.0,28882.71500334667,v5=c3=e3=0; a5 holonomic; v12=+v6/(2h),inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,1.0,0.0
0.7149714285714286,1.3986572890025577,0.8606941394164438,0.2888351344497828,0.4111368706837998,0.0,-1.240619034020956,0.1289896082815733,-2.0687995036887883,-0.1609768055059778,0.1723011709022553,46.1100243388188,1.1199113932270435e-11,0.288623892854511,-0.2095423474048401,-0.3824165210904039,0.2982690647971731,-0.8931711725885114,10.218318748311765,1.114662215558974,-0.5965381295943464,-1.08622112226621,-0.295126672623809,6.0860829466984225e-06,0.1411913971624353,-0.1660556615461793,0.07825825296329124,0.2982690647971731,0.1160978544978428,-1.5390873670355896,0.0880776264780702,7.392621018722715,-0.03767557585324109,0.016192128802109955,-0.059932531314457,1.1669730703843628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3336014.8550834893,-0.17230117098249859,0.0,0.0,27914.260355036964,v5=c3=e3=0; a5 holonomic; v12=+v6/(2h),inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,1.0,0.0
0.7149678571428572,1.398664275616786,0.8606854715828598,0.2888378254803175,0.411120013395999,0.0,-1.2406496551734043,0.1289854650326966,-2.068477355025759,-0.1609747890029681,0.1722984411589299,46.10878395878049,1.1159251753320887e-11,0.2885925177360161,-0.2095476195091183,-0.3823846666875111,0.2982615605109638,-0.893134162180968,10.216953906111296,1.114637867679745,-0.5965231210219276,-1.0862206089377824,-0.29511408357382307,6.189608851651706e-06,0.1411816875795081,-0.1660607711707923,0.0782649544192577,0.2982615605109638,0.1160851173834065,-1.5388667317911533,0.0880753511624824,7.392157039969238,-0.03767841696772674,0.008942218433080991,-0.0575606478283055,1.166955367748999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3261788.569160884,-0.1722984410787064,0.0,0.0,26931.73199502849,v5=c3=e3=0; a5 holonomic; v12=+v6/(2h),inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,1.0,0.0
0.7149642857142857,1.3986712623008142,0.8606768034488363,0.2888405166417376,0.4111031575101306,0.0,-1.240680251513368,0.1289813227052361,-2.068155212074125,-0.1609727726948455,0.1722957116375692,46.107468101974526,1.1119461331387834e-11,0.2885611340845936,-0.2095528916052485,-0.3823528049493347,0.2982540566140409,-0.8930971584510263,10.21558909340066,1.1146135211007788,-0.5965081132280818,-1.0862200986286523,-0.29510145826785267,6.256901830494575e-06,0.1411719578983915,-0.1660658908255542,0.07827167451075659,0.2982540566140409,0.1160723653330961,-1.5386461065257016,0.0880730759927368,7.39169303716883,-0.03768124754245355,0.006962839105155728,-0.0551814758570123,1.1669376673351988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3189225.754300374,-0.1722957116375784,0.0,0.0,25960.629151302168,v5=c3=e3=0; a5 holonomic; v12=+v6/(2h),inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,1.0,0.0
