control,basis,coefficient
f4XX,7,0.574874997832332
f4XX,8,0.18787445330536043
f4XX,9,0.045026887834233593
f4XX,10,0.1492319504288748
f4XX,11,0.5049063253134047
f4XX,12,1.080666136931575
f4XX,13,1.7821029250236664
f4XX,14,2.4595613790607054
f4XX,15,3.052605325857749
f4XX,16,-17.92739552534241
f4XX,17,18779.92831358891
f4XXX,0,7301738.658365411
f4XXX,1,4633221.902695464
f4XXX,2,-511440.81118728034
f4XXX,3,-2556943.6793113323
f4XXX,4,2012156.6900406445
f4XXX,5,9305124.365095608
f4XXX,6,10134759.78012153
f4XXX,7,7024594.384229242
f4XXX,8,1992396.5275362548
f4XXX,9,-3066384.404124351
f4XXX,10,-5427156.563060227
f4XXX,11,-2031962.0566173915
f4XXX,12,6479020.515746178
f4XXX,13,28431353.24327749
f4XXX,14,67074961.03881338
f4XXX,15,187861404.95994365
f4XXX,16,-20044189.48649705
f4XXX,17,-9612.415105104963
Qmisalign,0,120945.92435887437
Qmisalign,1,116724.02348208851
Qmisalign,2,106892.0814646841
Qmisalign,3,90222.2763041427
Qmisalign,4,73839.92071587521
Qmisalign,5,59973.884848077956
Qmisalign,6,50860.43097507817
Qmisalign,7,48740.843348127346
Qmisalign,8,55864.28879750189
Qmisalign,9,74475.5834401112
Qmisalign,10,106818.95810089061
Qmisalign,11,155146.3517127972
Qmisalign,12,221718.5886283189
Qmisalign,13,308796.88352993224
Qmisalign,14,418645.3411675304
Qmisalign,15,553588.8910422467
Qmisalign,16,661947.8333722568
Qmisalign,17,2174384.3540239125
