u,x,phi,f,h,phiprime,A0prime,X,f2phi,f2X,f2F,f2Y,f3,f3X,f3XX,f4,f4X,f4XX,f4XXX,tf4,f2XX,f2XF,f2XY,f2FF,f2FY,f2YY
0.715,1.3986013986013988,0.860763471272998,0.2888136109156587,0.411271779490215,-1.2403743022844986,0.0,-0.316376658440718,1.3288043103964026e-31,-0.0,2751697.8243674585,2174384.3540239125,-0.0,-0.0,-5640.145724975472,-0.0,0.0,18779.92831358891,-9612.415105104963,0.0,-2.792967971869365e-05,-8289964.653257354,-426434.38486573636,-0.12921918150434855,0.32728304920474155,-0.20723374759080523
0.7149964285714285,1.398608384657266,0.8607548058419446,0.288816300899524,0.4112549109783621,-1.2404049001544686,0.0,-0.3163792905710367,-6.643890845892371e-32,-0.0,2690832.1143207406,2126270.7409388474,-0.0,-0.0,-129587.66266776058,-0.0,0.0,18182.16574687826,-611122.418421382,0.0,-2.9727944417626987e-05,-8117250.786090892,-418226.85817281215,-1580601.430190507,812220.5522413815,723363.6043038102
0.7149928571428571,1.398615370782925,0.8607461401105728,0.2888189910142358,0.4112380438693414,-1.240435494936616,0.0,-0.3163819213100508,1.3287520326241726e-31,-0.0,2631222.91435431,2079150.8119831388,-0.0,-0.0,-237827.72494888538,-0.0,0.0,17597.219067987502,-1128680.0832652838,0.0,-3.1380039134669776e-05,-7948022.624347078,-410143.0613110412,-3103473.7318919385,1603596.1462884145,1427619.2538351126
0.7149892857142857,1.3986223569783764,0.8607374740788983,0.2888216812597848,0.4112211781633281,-1.240466086699292,0.0,-0.3163845506929507,-4.650540652327479e-31,-0.0,2572856.680705286,2033013.83954287,-0.0,-0.0,-330628.8830296799,-0.0,0.0,17024.949436824292,-1563732.5381534328,0.0,-3.288967587882093e-05,-7782242.886663053,-402181.9169632861,-4569396.322335598,2374352.4120876645,2112978.196251274
0.7149857142857142,1.3986293432436214,0.8607288077469367,0.2888243716361612,0.4112043138604971,-1.2404966754512068,0.0,-0.3163871787245023,1.7273097052546336e-30,-0.0,2515719.8688591886,1987849.0960041243,-0.0,-0.0,-408259.6873714741,-0.0,0.0,16465.218013296282,-1917726.911602451,0.0,-3.426056665907936e-05,-7619874.291675957,-394342.34781240963,-5979148.48953361,3124714.652302651,2779651.8864434115
0.7149821428571428,1.398636329578661,0.8607201411147033,0.2888270621433555,0.4111874509610239,-1.2405272612803333,0.0,-0.3163898054499022,-6.444067204297061e-30,-0.0,2459798.934129663,1943645.8537529837,-0.0,-0.0,-470988.6884355977,-0.0,0.0,15917.885957311119,-2192110.332128959,0.0,-3.5496423484443944e-05,-7460879.558022924,-386623.27654127416,-7333509.521498093,3854908.1695968877,3427851.779302635
0.7149785714285714,1.398643315983496,0.860711474182214,0.2888297527813582,0.4111705894650835,-1.2405578436358327,0.0,-0.3163924305884983,2.4048520338781755e-29,-0.0,2405080.328839965,1900393.3851755336,-0.0,-0.0,-519084.43668338086,-0.0,0.0,15382.814428776466,-2388329.9282495794,0.0,-3.660095836391363e-05,-7305221.404341097,-379023.6258327427,-8633258.706241176,4565158.266633895,4057789.329720064
0.7149749999999999,1.398650302458128,0.8607028069494845,0.2888324435501597,0.411153729372851,-1.2405884244199268,0.0,-0.3163950551108961,-8.974837676897384e-29,-0.0,2351550.5143225556,1858080.9626578551,-0.0,-0.0,-552815.4825761532,-0.0,0.0,14859.86458759997,-2507832.8284809324,0.0,-3.757788330648729e-05,-7152862.5492676115,-371542.31836967764,-9879175.331774972,5255690.2460771855,4669675.992586809
0.7149714285714286,1.3986572890025577,0.8606941394164438,0.2888351344497828,0.4111368706837998,-1.240619034020956,0.0,-0.316397694516847,3.3493886843195627e-28,-0.0,2299196.056362865,1816697.858587305,-0.0,-0.0,-572450.3765748513,-0.0,0.0,14348.89759370499,-2552066.161339422,0.0,-3.8430910321139226e-05,-7003765.711444193,-364178.2768351689,-11072038.686075347,5926729.410569721,5263723.222775796
0.7149678571428572,1.398664275616786,0.8606854715828598,0.2888378254803175,0.411120013395999,-1.2406496551734043,0.0,-0.316400339997879,-1.2499842548034534e-27,-0.0,2248003.337533941,1776233.3453473933,-0.0,-0.0,-578257.6691420182,-0.0,0.0,13849.77460696741,-2522477.055344381,0.0,-3.916375141692127e-05,-6857893.6094987085,-356930.4239116211,-12212628.05722856,6578501.062816732,5840142.475215067
0.7149642857142857,1.3986712623008142,0.8606768034488363,0.2888405166417376,0.4111031575101306,-1.2406802515133681,0.0,-0.3164029730070199,4.6649130034156004e-27,-0.0,2197958.6782119847,1736676.6953255045,-0.0,-0.0,-570505.9107381561,-0.0,0.0,13362.356787310959,-2420512.639009893,0.0,-3.978011860280392e-05,-6715208.962072986,-349797.68228212785,-13301722.733208837,7211230.505460572,6399145.204776994
