r_over_rs,u,phi,f,h,H_equals_F_equals_G,G4,G4_phi,K_target,K_verified,Q,G3X,X,XG3X,a1_Horndeski,a4_Horndeski,c4_Horndeski,mu,P1
1.4084507042253522,0.71,0.8483535178768147,0.29270485310300576,0.3891074914487804,1.0,0.5,-4.298172200803512e-10,0.0097422814724652,0.009742271608714104,1.7450215222652072,-0.4005701010945615,-0.3175525423758178,0.12720205400231635,-0.0851583397718576,0.16874066724251324,-0.11032509016764645,3.461657453412433,0.504871135804357
1.4085316624209565,0.7099591913192917,0.8482500769847284,0.29273761760687206,0.38893915120921363,0.9999999999632734,0.4999999999816367,5.325368838666221e-07,0.0097422814724652,0.009742271742255948,1.74537229951301,-0.4010376840307453,-0.31754210186637816,0.1273463491147473,-0.08525071076871067,0.1687136038607001,-0.11047986084932424,3.4627513474789864,0.5048711358527647
1.4086126206165608,0.7099183873294364,0.8481466154460245,0.29277039415377076,0.38877104268877666,0.9999999997063516,0.4999999998531758,2.1276391726764824e-06,0.0097422814724652,0.009742271618422782,1.7457227904876385,-0.40150874750542553,-0.31753135324697496,0.12749161593589575,-0.08534303075901496,0.16868658166605835,-0.11063460815758511,3.4638448548784257,0.5048711356623872
1.408693578812165,0.7098775880296249,0.8480431333279725,0.29280318272691347,0.38860316600795836,0.9999999990094912,0.4999999995047456,4.78275473629849e-06,0.0097422814724652,0.009742271562466875,1.7460729941448272,-0.4019832851123248,-0.3175202970552979,0.12763785210012987,-0.08543529968392255,0.1686596006750555,-0.11078933170404034,3.4649379718321627,0.504871135285979
1.4087745370077693,0.7098367934190487,0.8479396306978527,0.29283598330949645,0.3884355212864436,0.9999999976534378,0.4999999988267189,8.494645372299303e-06,0.0097422814724652,0.009742271494565302,1.7464229094411357,-0.40246128702765177,-0.3175089337868321,0.1277850541346259,-0.08552751749045295,0.16863266090412285,-0.11094403110738814,3.4660306945637465,0.5048711345740016
1.4088554952033738,0.7097960034968995,0.8478361076229552,0.29286879588470116,0.3882681086431061,0.9999999954194314,0.4999999977097157,1.3260381632989492e-05,0.0097422814724652,0.009742271424623361,1.7467725353339745,-0.4029427443142226,-0.3174972639908572,0.12793321886473322,-0.08561968411858562,0.16860576236965413,-0.11109870597668241,3.4671230192989495,0.5048711334220274
1.408936453398978,0.7097552182623691,0.8477325641705784,0.29290162043569445,0.38810092819600955,0.9999999920891993,0.49999999604459966,1.9076974641355722e-05,0.0097422814724652,0.009742271356309118,1.7471218707816154,-0.40342764796469405,-0.31748528816366434,0.1280823430672602,-0.08571179951563049,0.1685789050880044,-0.11125335592997349,3.468214942265756,0.5048711317227542
1.4090174115945824,0.7097144377146496,0.847629000408031,0.2929344569456282,0.38793398006241225,0.9999999874449599,0.49999999372247994,2.5941454838840034e-05,0.0097422814724652,0.009742271289595372,1.7474709147431842,-0.4039159889839424,-0.317473006835598,0.12823242353170647,-0.08580386362450292,0.1685520890754908,-0.11140798057910094,3.4693064596943732,0.5048711293672776
1.4090983697901867,0.7096736618529329,0.8475254164026309,0.29296730539763916,0.387767264358763,0.9999999812694192,0.4999999906347096,3.385086702034647e-05,0.0097422814724652,0.009742271218331156,1.7478196661786838,-0.404407758442774,-0.3174604205344907,0.12838345706265375,-0.08589587638864617,0.16852531434839071,-0.11156257953608191,3.4703975678172734,0.5048711262438752
1.409179327985791,0.7096328906764117,0.8474218122217024,0.29300016577485033,0.3876007812006986,0.9999999733457718,0.4999999866728859,4.2802256333880426e-05,0.0097422814724652,0.009742271152728854,1.7481681240490097,-0.40490294741358485,-0.31744752979619234,0.12853544046364007,-0.08598783775060743,0.16849858092294118,-0.11171715241126592,3.4714882628692245,0.5048711222492503
1.4092602861813952,0.7095921241842782,0.8473181879325811,0.2930330380603689,0.3874345307030524,0.9999999634577006,0.4999999817288503,5.2792680841053923e-05,0.0097422814724652,0.009742271081891296,1.7485162873159352,-0.40540154709664433,-0.31743433511916597,0.12868837055890453,-0.0860797476581835,0.16847188881533967,-0.11187169882132057,3.472578541087279,0.5048711172697959
1.4093412443769995,0.7095513623757254,0.8472145436026096,0.2930659222372883,0.38726851297984866,0.9999999513893747,0.49999997569468735,6.381921370742686e-05,0.0097422814724652,0.009742271014335557,1.7488641549421409,-0.405903548674764,-0.3174208370440401,0.1288422441794899,-0.08617160605365307,0.1684452380417425,-0.11202621837524829,3.473668398710819,0.5048711112018551
1.4094222025726038,0.7095106052499459,0.8471108792991381,0.29309881828868756,0.38710272814429947,0.9999999369254493,0.49999996846272465,7.587892972996521e-05,0.0097422814724652,0.009742270948467802,1.7492117258912259,-0.4064089433734157,-0.31740703609986887,0.1289970581606353,-0.08626341288104668,0.16841862861826357,-0.11218071068383327,3.474757831981589,0.5048711039369586
1.4095031607682083,0.7094698528061331,0.8470071950895234,0.29313172619763095,0.38693717630881147,0.9999999198510661,0.49999995992553303,8.896891669899986e-05,0.0097422814724652,0.00974227087994306,1.7495589991277039,-0.40691772245755153,-0.3173929328244027,0.1291528093490286,-0.08635516808339577,0.16839206056097514,-0.11233517535606725,3.4758468371436972,0.5048710953655046
1.4095841189638125,0.7094291050434801,0.8469034910411327,0.29316464594716823,0.3867718575849847,0.9999998999518507,0.49999994997592534,0.0001030862737967769,0.0097422814724652,0.009742270811266218,1.749905973617015,-0.4074298773185172,-0.3173785277161979,0.12930949461094213,-0.08644687160924694,0.1683655338859068,-0.11248961200762778,3.4769354104436294,0.5048710853815584
1.4096650771594168,0.7093883619611806,0.8467997672213375,0.29319757752033543,0.3866067720836072,0.9999998770139134,0.4999999385069567,0.00011822810808526027,0.0097422814724652,0.009742270745222159,1.7502526483255492,-0.40794539926739526,-0.31736382133627894,0.12946711080805462,-0.08653852339883253,0.16833904860904408,-0.11264402024289255,3.4780235481303095,0.5048710738795678
1.409746035355021,0.7093476235584282,0.8466960236975181,0.2932305209001537,0.38644191991466337,0.9999998508238476,0.4999999254119238,0.00013439153229225135,0.0097422814724652,0.009742270677724485,1.750599022220633,-0.4084642797622413,-0.317348814186312,0.1296256548200133,-0.08663012340064759,0.16831260474632928,-0.11279839967650743,3.479111246455072,0.504871060750786
1.4098269935506254,0.7093068898344165,0.8465922605370605,0.29326347606963066,0.38627730118732617,0.9999998211687311,0.49999991058436555,0.0001515736690349626,0.0097422814724652,0.009742270608029013,1.7509450942705613,-0.4089865101675649,-0.3173335068402782,0.12978512352184046,-0.08672167155350617,0.1682862023136597,-0.11295274991003741,3.480198501671741,0.50487104588838
1.4099079517462296,0.7092661607883397,0.8464884778073541,0.2932964430117603,0.38611291600995756,0.9999997878361233,0.49999989391806166,0.00016977165680183616,0.0097422814724652,0.009742270540602505,1.7512908634446063,-0.40951208205183603,-0.3173178997999319,0.12994551381938602,-0.08681316780625649,0.16825984132688684,-0.11310707055763639,3.481285310036632,0.5048710291883629
1.409988909941834,0.7092254364193921,0.8463846755758002,0.29332942170952103,0.3859487644901214,0.999999750614065,0.4999998753070325,0.00018898263935832624,0.0097422814724652,0.00974227047569487,1.75163632871299,-0.41004098695329416,-0.3173019935988276,0.1301068226175111,-0.08690461210358343,0.16823352180181814,-0.11326136122756308,3.4823716678085144,0.5048710105448799
1.4100698681374382,0.7091847167267679,0.846280853909801,0.293362412145879,0.3857848467345632,0.9999997092910781,0.49999985464553903,0.0002092037666135603,0.0097422814724652,0.0097422704072333,1.75198148904695,-0.41057321640558153,-0.31728578879027464,0.13026904682340507,-0.08699600438764471,0.1682072437542128,-0.11341562152431511,3.4834575712487386,0.5048709898491557
1.4101508263330427,0.7091440017096616,0.8461770128767669,0.29339541430378546,0.385621162849229,0.9999996636561655,0.4999998318280828,0.00023043219998672535,0.0097422814724652,0.009742270339382686,1.7523263434187002,-0.41110876207643177,-0.31726928588443054,0.13043218336482176,-0.08708734460668087,0.16818100719978477,-0.11356985105984924,3.4845430166211715,0.5048709669977741
1.410231784528647,0.7091032913672684,0.846073152544112,0.29342842816617815,0.38545771293925196,0.9999996134988096,0.4999998067494048,0.0002526651140321387,0.0097422814724652,0.009742270274652798,1.7526708908014716,-0.4116476155699798,-0.3172524854528043,0.13059622917029662,-0.08717863270069255,0.1681548121541994,-0.11372404943491699,3.48562800019227,0.5048709418867312
1.4103127427242512,0.7090625856987829,0.8459692729792554,0.2934614537159817,0.3852944971089589,0.9999995586089716,0.4999997793044858,0.0002758996827158926,0.0097422814724652,0.009742270205628678,1.7530151301695112,-0.41218976860730966,-0.31723538801287954,0.13076118117907892,-0.08726986861726341,0.16812865863307433,-0.1138782162596963,3.486712518231088,0.5048709144073001
1.4103937009198555,0.7090218847034004,0.8458653742496218,0.29349449093610624,0.3851315154618709,0.9999994987770926,0.4999997493885463,0.0003001330973554368,0.0097422814724652,0.009742270138617837,1.7533590604980838,-0.41273521297479765,-0.3172179940838842,0.13092703634765004,-0.08736105230391845,0.168102546651979,-0.11403235114383523,3.4877965670092954,0.5048708844578552
1.4104746591154598,0.7089811883803162,0.8457614564226392,0.29352753980944885,0.3849687681006998,0.9999994337940896,0.4999997168970448,0.0003253625628964363,0.0097422814724652,0.009742270072517156,1.7537026807634941,-0.4132839404146466,-0.3172003042367713,0.13109379163569757,-0.08745218370123285,0.16807647622643293,-0.11418645368745807,3.4888801428011944,0.5048708519333034
1.410555617311064,0.7089404967287256,0.8456575195657401,0.29356060031889325,0.38480625512735145,0.9999993634513574,0.4999996817256787,0.00035158527697199977,0.0097422814724652,0.009742270005111853,1.7540459899430894,-0.4138359427197444,-0.31718231901154287,0.13126144400217654,-0.08754326275420232,0.16805044737190636,-0.11434052349600446,3.489963241883758,0.5048708167282346
1.4106365755066683,0.7088998097478246,0.8455535637463619,0.29359367244730894,0.3846439766429241,0.9999992875407688,0.4999996437703844,0.0003787984580558711,0.0097422814724652,0.009742269937303538,1.7543889870152685,-0.41439121180191146,-0.3171640389278655,0.1314299904313068,-0.08763428941079893,0.1680244601038191,-0.11449456017835494,3.491045860536653,0.5048707787390362
1.4107175337022726,0.7088591274368089,0.8454495890319448,0.29362675617755274,0.38448193274771236,0.9999992058546712,0.4999996029273356,0.0004069993305688927,0.0097422814724652,0.00974226987351079,1.7547316709594876,-0.41494973953892855,-0.31714546453921605,0.1315994279065002,-0.08772526361449487,0.16799851443754069,-0.11464856333706833,3.4921279950422286,0.504870737864091
1.410798491897877,0.7088184497948745,0.8453455954899325,0.2936598514924678,0.38432012354119977,0.9999991181858883,0.49999955909294413,0.0004361851320033699,0.0097422814724652,0.009742269807500703,1.7550740407562826,-0.4155115179003319,-0.3171265963799734,0.13176975342840866,-0.08781618531156518,0.1679726103883883,-0.1148025325779249,3.493209641685596,0.5048706939966945
