center,a9_parameter,delta_a9_peak_scaled
0.657,-0.18452177913773016,-1.8452177913773016
0.667,-0.1045733968219162,-1.045733968219162
0.677,-0.19986496930865996,-1.9986496930865996
0.687,-0.11911773654189553,-1.1911773654189552
0.696,0.01339076404643938,0.1339076404643938
0.703,0.3007341336301788,3.007341336301788
