u,x,cminus,cplus,c55,c56,disc,cV,delta_c4,delta_c5,delta_d3,delta_e4,delta_v13,delta_v5,delta_a9
0.7099849962490622,1.4084804682959815,-2004.4455351954944,-2004.4455351954944,-4008.8910703909887,6946092.315513385,-11713161.647792935,0.038470655771621384,1.365313773827064e-100,-3.0412463505958653e-100,-8.404765029024383e-100,-1.1329164942538672e-99,3.648966199708458e-100,-3.041246350595865e-99,3.651317459707583e-102
0.7099587396849212,1.4085325584467046,-2016.6365853008147,-2016.6365853008147,-4033.2731706016293,6993212.136562193,-11705556.077553852,0.03859200142056149,4.027697352816274e-36,-8.971725115774487e-36,-2.4794190542409416e-35,-3.3421216809947505e-35,1.0764508338537707e-35,-8.971725115774487e-35,1.0771444592940028e-37
0.7099324831207802,1.4085846524504937,-1993.9792571630628,-1993.9792571630628,-3987.9585143261256,6833989.531202804,-11432145.012824979,0.03871355219254652,8.5413138335865e-22,-1.902583861940821e-21,-5.257966131054569e-21,-7.087451624797387e-21,2.2827694320036312e-21,-1.902583861940821e-20,2.284240364908717e-23
0.7099062265566392,1.408636750307776,-1959.0434505081287,-1959.0434505081287,-3918.0869010162573,6607607.410039539,-11079024.67624298,0.03883531384067831,1.718125313162548e-15,-3.8271366177426595e-15,-1.0576645328254945e-14,-1.4256741152041517e-14,4.591897712289358e-15,-3.827136617742659e-14,4.594856562774694e-17
0.7098799699924981,1.4086888520189798,-1944.7372292928317,-1944.7372292928317,-3889.4744585856633,6503857.618273003,-10887418.909101773,0.03895733388549838,6.035310917869006e-12,-1.3443698917817694e-11,-3.71529029547603e-11,-5.008008721422529e-11,1.6130098418552177e-11,-1.3443698917817694e-10,1.6140492062427672e-13
0.709853713428357,1.4087409575845324,-1939.400920434259,-1939.400920434259,-3878.801840868518,6453665.8937662635,-10769559.85434005,0.03907961444952758,1.1310293554804361e-09,-2.519376106585269e-09,-6.962528435566802e-09,-9.38510866053424e-09,3.0228127542122827e-09,-2.5193761065852686e-08,3.024760543894301e-11
0.709827456864216,1.4087930670048616,-1928.100740558013,-1928.100740558013,-3856.201481116026,6369137.9702258445,-10606262.017941944,0.039202155635428414,4.3099303567986474e-08,-9.600401182648929e-08,-2.653159488665652e-07,-3.5763143124351976e-07,1.1518810178683288e-07,-9.60040118264893e-07,1.1526232477528593e-09
0.709801200300075,1.4088451802803952,-1924.0022680892478,-1924.0022680892478,-3848.0045361784955,6326867.46737526,-10500330.959050762,0.039324957922591344,6.277534625496542e-07,-1.3983253986382726e-06,-3.8644013193370116e-06,-5.209002250478745e-06,1.6777470574934521e-06,-1.3983253986382725e-05,1.678828136168626e-08
0.709774943735934,1.4088972974115608,-1902.9358346282422,-1902.9358346282422,-3805.8716692564844,6187425.891646333,-10265044.403736193,0.039448018845707575,4.893474357603262e-06,-1.0900249684055709e-05,-3.01238462100368e-05,-4.060530202077411e-05,1.3078402102384478e-05,-0.00010900249684055708,1.308682934506989e-07
0.709748687171793,1.4089494183987863,-1865.4790010876372,-1865.4790010876372,-3730.9580021752745,5956558.874044004,-9906187.8821803,0.03957135388598511,2.4834114950063106e-05,-5.531817147823202e-05,-0.00015287687333146314,-0.0002060696887885255,6.637217597127449e-05,-0.0005531817147823203,6.641494376737757e-07
0.7097224306076519,1.4090015432425005,-1865.9872808975338,-1865.9872808975338,-3731.9745617950675,5944413.840097105,-9850021.230502935,0.03969501462702976,9.267858463388827e-05,-0.00020644222060847969,-0.000570522133448457,-0.000769032724994206,0.0002476947272112654,-0.002064422206084797,2.478543326096746e-06
0.7096961740435108,1.4090536719431306,-1895.3132898395693,-1895.3132898395693,-3790.6265796791386,6094713.918786115,-10010005.808574496,0.039818987226222284,0.00027543587375704196,-0.0006135354099144169,-0.0016955617410955562,-0.00228552476705698,0.0007361356874833055,-0.0061353540991441686,7.366100263237272e-06
0.7096699174793698,1.409105804501105,-1920.1154909850966,-1920.1154909850966,-3840.230981970193,6216382.246053336,-10118154.989329591,0.03994321285895241,0.0006882884390877587,-0.0015331674986808635,-0.004237049910154433,-0.005711312230162405,0.0018395341041944594,-0.015331674986808635,1.8407194325092474e-05
0.7096436609152288,1.409157940916851,-1939.7218605358285,-1939.7218605358285,-3879.443721071657,6305750.067897834,-10172916.686629033,0.040067638401279956,0.001502700483139491,-0.003347276243743135,-0.009250506888527577,-0.012469178850367484,0.0040161487977166685,-0.03347276243743135,4.01873665671612e-05
0.7096174043510878,1.4092100811907984,-1964.4089313260674,-1964.4089313260674,-3928.817862652135,6420309.136804039,-10245626.749321666,0.040192206576085916,0.002947140059537635,-0.006564775894437725,-0.018142364182415563,-0.024454917604525856,0.007876588275320326,-0.06564775894437726,7.881663659943735e-05
0.7095911477869468,1.4092622253233744,-2000.2151784257192,-2000.2151784257192,-4000.4303568514383,6591458.845662645,-10362392.342632053,0.040316863991936916,0.005300639344551527,-0.011807212650653359,-0.032630322090488446,-0.04398389482807687,0.01416659977793737,-0.11807212650653358,0.00014175728215297007
0.7095648912228056,1.4093143733150078,-1989.90525786372,-1989.90525786372,-3979.81051572744,6504738.0204232205,-10180060.340598172,0.04044152933197874,0.008880997858657081,-0.019782487253154776,-0.05467072965656317,-0.07369316235126695,0.023735540962928577,-0.19782487253154776,0.00023750835275062297
0.7095386346586646,1.4093665251661267,-1925.387490404488,-1925.387490404488,-3850.774980808976,6127445.672447193,-9681314.736964403,0.04056620294040981,0.01403003207869126,-0.031251998387491035,-0.08636778243329335,-0.1164190610361007,0.037496957708458865,-0.31251998387491037,0.0003752111937286558
0.7095123780945236,1.4094186808771596,-1860.780333954449,-1860.780333954449,-3721.560667908898,5758451.508289138,-9183792.22823003,0.04069097771431086,0.02109812961860451,-0.04699623700940325,-0.12987843922442646,-0.17506905372984738,0.05638730329333595,-0.46996237009403247,0.0005642363720366452
0.7094861215303826,1.4094708404485352,-1806.2129872230719,-1806.2129872230719,-3612.4259744461438,5449910.0150959175,-8750018.639530499,0.04081595493678595,0.030429833662451444,-0.0677826755645781,-0.1873236809794287,-0.25250210709409765,0.08132741105056805,-0.677826755645781,0.0008137981545169703
0.7094598649662416,1.4095230038806823,-1747.6318261966408,-1747.6318261966408,-3495.2636523932815,5124504.400724862,-8281149.603157824,0.04094123686389416,0.042351550260774765,-0.09433838590203301,-0.26071283786946897,-0.35142668862967774,0.11318964063010734,-0.9433838590203301,0.0011326257588348135
0.7094336084021005,1.4095751711740292,-1700.989017894548,-1700.989017894548,-3401.978035789096,4865915.926868937,-7890209.1514843125,0.04106692970035603,0.057161905825225845,-0.12732856052332794,-0.3518842307769003,-0.474320754641323,0.15277210723693094,-1.2732856052332793,0.0015287054798016307
0.7094073518379594,1.4096273423290049,-1722.631615867076,-1722.631615867076,-3445.263231734152,4972697.87177061,-8020952.751143185,0.04119313158479612,0.07512485446272087,-0.16734115911932093,-0.4624627405822972,-0.6233745559503752,0.2007802601478828,-1.6734115911932093,0.0020090963558422894
0.7093810952738184,1.4096795173460377,-1783.296303758405,-1783.296303758405,-3566.59260751681,5286603.857027803,-8425832.600117654,0.04131983132544601,0.09646535280471545,-0.21487727422095385,-0.593833182751049,-0.8004547482894097,0.2578153231697666,-2.1487727422095384,0.0025798144990905486
0.7093548387096774,1.409731696225557,-1821.7050550225324,-1821.7050550225324,-3643.410110045065,5479753.923435161,-8644578.463762052,0.04144694589214104,0.12136726168603369,-0.27034645717359906,-0.7471273902320068,-1.007086980753987,0.32436868662221763,-2.703464571735991,0.003245776979081771
0.7093285821455364,1.4097838789679915,-1855.6416849191278,-1855.6416849191278,-3711.2833698382556,5647281.198546162,-8815500.54294665,0.04157443249060495,0.14997306772591365,-0.33406609795681547,-0.9232224995321278,-1.2444535855247363,0.40082116322937106,-3.3406609795681543,0.004010794376874845
0.7093023255813953,1.4098360655737707,-1894.5011067272858,-1894.5011067272858,-3789.0022134545716,5838335.54616446,-8996804.411094196,0.04170224024508255,0.1823850130681831,-0.40626394168879787,-1.122747905308823,-1.5134029522786012,0.48744600748712763,-4.062639416887979,0.004877600998180539
0.7092760690172543,1.4098882560433228,-1934.4942932014937,-1934.4942932014937,-3868.9885864029875,6031988.028896853,-9158879.433870826,0.04183032069844103,0.21866725348338478,-0.48708289581454045,-1.3460985454781997,-1.8144674357903068,0.5844146834521123,-4.870828958145404,0.005847912588416603
0.7092498124531132,1.4099404503770772,-1945.3458916378197,-1945.3458916378197,-3890.6917832756394,6069637.721374955,-9141068.333051246,0.04195861767929281,0.2588487156230182,-0.5765873946604185,-1.5934524902491654,-2.147887064991191,0.6918045010992308,-5.765873946604186,0.006922502745489216
0.7092235558889722,1.4099926485754632,-1924.3628791366423,-1924.3628791366423,-3848.7257582732846,5942095.842644887,-8955693.408183279,0.042087119540885835,0.30292638127722304,-0.6747707151420403,-1.8647911597573907,-2.5136367952373093,0.8096073938975688,-6.747707151420404,0.008101290752111471
0.7091972993248312,1.41004485063891,-1922.4356603133178,-1922.4356603133178,-3844.8713206266357,5915649.581620006,-8879562.854302814,0.04221587569971151,0.3508687825430357,-0.7815627622769311,-2.1599208400483003,-2.911455510681224,0.9377392600703104,-7.815627622769311,0.009383435048594206
