u,x,target_c4,target_c5,target_e4,target_a9,got_c4,got_c5,got_e4,got_a9
0.7099849962490622,1.4084804682959815,1.365313773827064e-100,-3.0412463505958653e-100,-1.1329164942538672e-99,3.651317459707582e-102,1.365313773827064e-100,1.3877787807814457e-17,7.105427357601002e-15,1.0326241861591257e-08
0.7099587396849212,1.4085325584467046,4.027697352816274e-36,-8.971725115774487e-36,-3.3421216809947505e-35,1.0771444592940026e-37,4.027697352816274e-36,2.7755575615628914e-17,-6.217248937900877e-15,-1.7920769868062791e-09
0.7099324831207802,1.4085846524504937,8.5413138335865e-22,-1.902583861940821e-21,-7.087451624797387e-21,2.2842403649087158e-23,8.5413138335865e-22,4.163336342344337e-17,-1.7763568394002505e-15,7.789029421445548e-10
0.7099062265566392,1.408636750307776,1.718125313162548e-15,-3.8271366177426595e-15,-1.4256741152041517e-14,4.5948565627746924e-17,1.718125313162548e-15,-3.816391647148976e-15,-1.0658141036401503e-14,-6.718197664845604e-10
0.7098799699924981,1.4086888520189798,6.035310917869006e-12,-1.3443698917817694e-11,-5.008008721422529e-11,1.6140492062427667e-13,6.035310917869006e-12,-1.3443898772003138e-11,-5.006750569691576e-11,1.3569257384382638e-09
0.709853713428357,1.4087409575845324,1.1310293554804361e-09,-2.519376106585269e-09,-9.38510866053424e-09,3.0247605438943e-11,1.1310293554804361e-09,-2.5193762076547443e-09,-9.385090926627981e-09,2.2770168528474244e-09
0.709827456864216,1.4087930670048616,4.3099303567986474e-08,-9.600401182648929e-08,-3.5763143124351976e-07,1.152623247752859e-09,4.3099303567986474e-08,-9.600401179588047e-08,-3.5763143113598517e-07,-6.0959163272755745e-09
0.709801200300075,1.4088451802803952,6.277534625496542e-07,-1.3983253986382726e-06,-5.209002250478745e-06,1.6788281361686253e-08,6.277534625496542e-07,-1.398325398777045e-06,-5.209002242878569e-06,5.307423112110854e-09
0.709774943735934,1.4088972974115608,4.893474357603262e-06,-1.0900249684055709e-05,-4.060530202077411e-05,1.3086829345069885e-07,4.893474357603262e-06,-1.0900249684114849e-05,-4.060530201055457e-05,1.7823074149880824e-07
0.709748687171793,1.4089494183987863,2.4834114950063106e-05,-5.531817147823202e-05,-0.0002060696887885255,6.641494376737755e-07,2.4834114950063106e-05,-5.531817147827467e-05,-0.00020606968877867615,6.875574248277339e-07
0.7097224306076519,1.4090015432425005,9.267858463388827e-05,-0.00020644222060847969,-0.000769032724994206,2.478543326096745e-06,9.267858463388827e-05,-0.00020644222060815787,-0.0007690327249889606,2.356348496823646e-06
0.7096961740435108,1.4090536719431306,0.00027543587375704196,-0.0006135354099144169,-0.00228552476705698,7.36610026323727e-06,0.00027543587375704196,-0.0006135354099142121,-0.002285524767050795,7.357443991884427e-06
0.7096699174793698,1.409105804501105,0.0006882884390877587,-0.0015331674986808635,-0.005711312230162405,1.8407194325092467e-05,0.0006882884390877587,-0.0015331674986809596,-0.005711312230160637,1.85336484297971e-05
0.7096436609152288,1.409157940916851,0.001502700483139491,-0.003347276243743135,-0.012469178850367484,4.018736656716118e-05,0.001502700483139491,-0.0033472762437432996,-0.012469178850365914,4.0181856424070794e-05
0.7096174043510878,1.4092100811907984,0.002947140059537635,-0.006564775894437725,-0.024454917604525856,7.881663659943732e-05,0.002947140059537635,-0.006564775894437616,-0.02445491760450924,7.872101973221968e-05
0.7095911477869468,1.4092622253233744,0.005300639344551527,-0.011807212650653359,-0.04398389482807687,0.00014175728215297002,0.005300639344551527,-0.011807212650653376,-0.04398389482805154,0.00014177312801078035
0.7095648912228056,1.4093143733150078,0.008880997858657081,-0.019782487253154776,-0.07369316235126695,0.00023750835275062286,0.008880997858657081,-0.019782487253154665,-0.0736931623512449,0.00023753806803655797
0.7095386346586646,1.4093665251661267,0.01403003207869126,-0.031251998387491035,-0.1164190610361007,0.00037521119372865565,0.01403003207869126,-0.03125199838749118,-0.1164190610361917,0.0003752075765442453
0.7095123780945236,1.4094186808771596,0.02109812961860451,-0.04699623700940325,-0.17506905372984738,0.000564236372036645,0.02109812961860451,-0.04699623700940321,-0.17506905372995796,0.000564278607560309
0.7094861215303826,1.4094708404485352,0.030429833662451444,-0.0677826755645781,-0.25250210709409765,0.0008137981545169701,0.030429833662451444,-0.06778267556457804,-0.25250210709387844,0.0008137858004860221
0.7094598649662416,1.4095230038806823,0.042351550260774765,-0.09433838590203301,-0.35142668862967774,0.001132625758834813,0.042351550260774765,-0.09433838590203283,-0.35142668862995574,0.0011325566427236589
0.7094336084021005,1.4095751711740292,0.057161905825225845,-0.12732856052332794,-0.474320754641323,0.0015287054798016303,0.057161905825225845,-0.12732856052332786,-0.4743207546410213,0.001528750924710942
0.7094073518379594,1.4096273423290049,0.07512485446272087,-0.16734115911932093,-0.6233745559503752,0.0020090963558422885,0.07512485446272087,-0.1673411591193211,-0.6233745559504325,0.00200918253175536
0.7093810952738184,1.4096795173460377,0.09646535280471545,-0.21487727422095385,-0.8004547482894097,0.0025798144990905473,0.09646535280471545,-0.21487727422095365,-0.800454748289388,0.0025797604656659368
0.7093548387096774,1.409731696225557,0.12136726168603369,-0.27034645717359906,-1.007086980753987,0.0032457769790817698,0.12136726168603369,-0.2703464571735989,-1.007086980754373,0.0032457092795652454
0.7093285821455364,1.4097838789679915,0.14997306772591365,-0.33406609795681547,-1.2444535855247363,0.004010794376874844,0.14997306772591365,-0.3340660979568153,-1.2444535855253598,0.004010861695588563
0.7093023255813953,1.4098360655737707,0.1823850130681831,-0.40626394168879787,-1.5134029522786012,0.0048776009981805375,0.1823850130681831,-0.406263941688798,-1.5134029522781205,0.0048776565548933615
0.7092760690172543,1.4098882560433228,0.21866725348338478,-0.48708289581454045,-1.8144674357903068,0.005847912588416601,0.21866725348338478,-0.48708289581454023,-1.814467435790645,0.005847849293420915
0.7092498124531132,1.4099404503770772,0.2588487156230182,-0.5765873946604185,-2.147887064991191,0.006922502745489214,0.2588487156230182,-0.576587394660419,-2.14788706499119,0.006922471421092369
0.7092235558889722,1.4099926485754632,0.30292638127722304,-0.6747707151420403,-2.5136367952373093,0.008101290752111467,0.30292638127722304,-0.6747707151420402,-2.513636795237151,0.008101343493324697
0.7091972993248312,1.41004485063891,0.3508687825430357,-0.7815627622769311,-2.911455510681224,0.0093834350485942,0.3508687825430357,-0.7815627622769309,-2.911455510680172,0.009383454268277025
0.7091710427606901,1.4100970565678472,0.40261954269995237,-0.8968379565105754,-3.340875405916038,0.010767427928007015,0.40261954269995237,-0.8968379565105754,-3.3408754059152965,0.010767382633443567
0.7091447861965491,1.4101492663627035,0.45810084143088936,-1.0204229525212825,-3.8012507398491024,0.012251188208075659,0.45810084143088936,-1.0204229525212825,-3.801250739847477,0.01225118231409128
0.7091185296324081,1.4102014800239089,0.517216719346247,-1.1521040000715466,-4.291785256137442,0.01383214960549307,0.517216719346247,-1.1521040000715466,-4.291785256137789,0.013832177329503148
0.709092273068267,1.410253697551893,0.5798561658929089,-1.2916338223477772,-4.811557806184501,0.01550734331720037,0.5798561658929089,-1.2916338223477775,-4.811557806185913,0.015507345285751817
0.709066016504126,1.4103059189470843,0.6458959574513777,-1.4387379378422895,-5.35954589923624,0.01727347392084159,0.6458959574513777,-1.438737937842289,-5.359545899234972,0.017273453244988413
0.7090397599399849,1.410358144209914,0.7152032296487636,-1.5931203901991733,-5.934647047041011,0.019126988167238367,0.7152032296487636,-1.5931203901991733,-5.934647047041672,0.019126990474750583
0.7090135033758439,1.4104103733408104,0.7876377806080501,-1.7544688787187679,-6.535697875859811,0.021064136577177588,0.7876377806080501,-1.7544688787187683,-6.53569787586,0.02106414463384343
0.7089872468117029,1.4104626063402042,0.8630541109012149,-1.922459302368058,-7.161491053685366,0.02308102799675676,0.8630541109012149,-1.9224593023680576,-7.16149105368609,0.02308102673089868
0.7089609902475619,1.4105148432085246,0.9413032121295484,-2.09675974385633,-7.8107901316081545,0.025173677430158213,0.9413032121295484,-2.09675974385633,-7.810790131608691,0.02517367494232342
0.7089347336834209,1.4105670839462017,1.0222341200146465,-2.2770339291566395,-8.482342431127998,0.02733804757463076,1.0222341200146465,-2.2770339291566395,-8.482342431127693,0.02733804786358779
0.7089084771192797,1.4106193285536657,1.1056952501543313,-2.4629442029118302,-9.174890128052455,0.02957008454318593,1.1056952501543313,-2.4629442029118302,-9.174890128052589,0.029570081020250993
0.7088822205551387,1.410671577031346,1.1915355356381174,-2.6541540624812536,-9.887179692256035,0.03186574828833857,1.1915355356381174,-2.6541540624812536,-9.887179692254929,0.031865749380282915
0.7088559639909977,1.410723829379673,1.2796053858750243,-2.8503302937366803,-10.617969843886758,0.03422103824445221,1.2796053858750243,-2.8503302937366803,-10.617969843886685,0.034221044306543935
0.7088297074268567,1.4107760855990772,1.3697574855047334,-3.0511447506427123,-11.366038182608815,0.03663201469336445,1.3697574855047334,-3.051144750642713,-11.366038182607882,0.03663201025257723
0.7088034508627157,1.4108283456899882,1.4618474513914204,-3.2562758187153173,-12.130186639236912,0.03909481633465607,1.4618474513914204,-3.2562758187153173,-12.130186639235403,0.039094808464659736
0.7087771942985747,1.4108806096528366,1.5557343645489552,-3.4654095998890733,-12.90924588957027,0.04160567451115594,1.5557343645489552,-3.4654095998890724,-12.909245889568904,0.0416056801190115
0.7087509377344335,1.4109328774880527,1.6512811925612145,-3.678240853461485,-13.702078859571765,0.04416092450590937,1.6512811925612145,-3.678240853461486,-13.70207885956977,0.044160931787457114
0.7087246811702925,1.4109851491960668,1.748355116709348,-3.894473724771348,-14.50758343981999,0.04675701429068368,1.748355116709348,-3.8944737247713475,-14.507583439819431,0.04675700558451279
0.7086984246061515,1.4110374247773092,1.8468277766754344,-4.113822290277918,-15.324694516022774,0.0493905110701834,1.8468277766754344,-4.113822290277917,-15.32469451602329,0.04939050418438995
0.7086721680420105,1.4110897042322106,1.9465754443655114,-4.3360109447529736,-16.1523854113741,0.05205810593067457,1.9465754443655114,-4.3360109447529736,-16.152385411374464,0.052058115432915
0.7086459114778695,1.4111419875612017,2.047479137161948,-4.560774653551299,-16.98966882630497,0.054756616868741656,2.047479137161948,-4.560774653551299,-16.989668826303724,0.05475662176027818
0.7086196549137284,1.4111942747647128,2.1494246797410566,-4.787859090309863,-17.835597351436522,0.05748299044450264,2.1494246797410566,-4.787859090309863,-17.83559735143739,0.0574829797338659
0.7085933983495873,1.411246565843175,2.252302722515825,-5.017020678029143,-18.689263620614973,0.06023430227483094,2.252302722515825,-5.0170206780291435,-18.689263620614753,0.06023429865472585
0.7085671417854463,1.4112988607970187,2.3560087237895955,-5.248026549320302,-19.54980016282559,0.06300775655608348,2.3560087237895955,-5.248026549320302,-19.549800162826067,0.06300776795351354
0.7085408852213053,1.4113511596266748,2.460442901801434,-5.480654439585924,-20.4163790042725,0.0658006847816295,2.460442901801434,-5.4806544395859245,-20.416379004272788,0.06580068634921504
0.7085146286571643,1.4114034623325744,2.565510162058619,-5.714692525152577,-21.288211065394776,0.06861054379847181,2.565510162058619,-5.714692525152578,-21.288211065394883,0.0686105330771046
0.7084883720930233,1.4114557689151486,2.6711200046272037,-5.949939216759891,-22.164545391577725,0.07143491332787852,2.6711200046272037,-5.94993921675989,-22.164545391575743,0.07143491269097252
0.7084621155288822,1.411508079374828,2.777186415418607,-6.186202917400631,-23.04466825106561,0.0742714930580133,2.777186415418607,-6.1862029174006326,-23.044668251067478,0.07427150414899839
0.7084358589647411,1.4115603937120438,2.883627744943122,-6.42330175224327,-23.927902128876823,0.07711809940138838,2.883627744943122,-6.423301752243268,-23.927902128876738,0.07711809805619313
0.7084096024006001,1.4116127119272273,2.9903665775137878,-6.661063277282654,-24.81360464147761,0.07997266199692725,2.9903665775137878,-6.661063277282655,-24.813604641478754,0.07997265240483081
0.7083833458364591,1.4116650340208097,3.097329593431561,-6.8993241723564775,-25.701167393215684,0.08283322002432335,3.097329593431561,-6.899324172356478,-25.701167393216302,0.08283322131751322
0.7083570892723181,1.411717359993222,3.20444742631588,-7.1379299233480715,-26.590014792471074,0.08569791838856979,3.20444742631588,-7.137929923348071,-26.59001479246858,0.0856979274849956
0.708330832708177,1.411769689844896,3.311654517401702,-7.376734497631999,-27.4796028426352,0.08856500382336234,3.311654517401702,-7.376734497631999,-27.479602842635856,0.08856500070982895
0.708304576144036,1.4118220235762629,3.4188889683331736,-7.615600016170887,-28.36941792061528,0.09143282095429706,3.4188889683331736,-7.615600016170886,-28.3694179206178,0.09143281319487606
0.708278319579895,1.411874361187754,3.5260923937404076,-7.854396425129128,-29.258975553538956,0.09429980835626751,3.5260923937404076,-7.854396425129129,-29.258975553540637,0.09429981151570113
0.7082520630157539,1.4119267026798008,3.633209774651357,-8.093001169346758,-30.147819202388433,0.09716449463319538,3.633209774651357,-8.093001169346758,-30.147819202385733,0.09716450095309118
0.7082258064516129,1.4119790480528354,3.740189313617495,-8.331298869630858,-31.03551905985551,0.10002549454359402,3.740189313617495,-8.331298869630857,-31.03551905985615,0.10002549012006698
0.7081995498874718,1.412031397307289,3.8469822922602415,-8.569181005439187,-31.92167086828363,0.10288150519087128,3.8469822922602415,-8.569181005439187,-31.921670868282824,0.1028814999538741
0.7081732933233308,1.4120837504435937,3.9535429318052424,-8.80654560421928,-32.805894762402666,0.10573130229353751,3.9535429318052424,-8.80654560421928,-32.805894762402545,0.1057313066985571
0.7081470367591898,1.4121361074621803,4.059828257060831,-9.043296938419472,-33.687834140642956,0.10857373654752306,4.059828257060831,-9.04329693841947,-33.68783414064139,0.10857374018830024
0.7081207801950488,1.4121884683634822,4.16579796417904,-9.27934523092559,-34.56715456783639,0.11140773008965385,4.16579796417904,-9.27934523092559,-34.567154567835786,0.11140772524524858
0.7080945236309077,1.4122408331479304,4.271414292466281,-9.51460636951833,-35.44354271152109,0.11423227306942939,4.271414292466281,-9.51460636951833,-35.44354271152058,0.11423227031436142
0.7080682670667666,1.412293201815957,4.37664190042809,-9.749001630762008,-36.316705313379636,0.11704642033403384,4.37664190042809,-9.749001630762008,-36.316705313379195,0.11704642516009889
0.7080420105026256,1.412345574367994,4.481447746170121,-9.982457413596906,-37.18636819682472,0.11984928822984818,4.481447746170121,-9.982457413596908,-37.186368196825626,0.11984928975765069
