u,x,cminus,cplus,c55,c56,disc,cV,alpha7
0.7099849962490622,1.4084804682959815,-2004.4455352336158,-2004.4455352336158,-4008.8910704672317,6946092.315724526,-11713161.648026196,0.038470655771621384,13.543137341919067
0.7099587396849212,1.4085325584467046,-2016.63658528114,-2016.63658528114,-4033.27317056228,6993212.136449149,-11705556.07741909,0.03859200142056149,13.516340616040942
0.7099324831207802,1.4085846524504937,-1993.9792572038702,-1993.9792572038702,-3987.9585144077405,6833989.531445434,-11432145.013144545,0.03871355219254651,13.489651474366067
0.7099062265566392,1.408636750307776,-1959.0434503641434,-1959.0434503641434,-3918.0869007282868,6607607.409185136,-11079024.675081952,0.03883531384067831,13.463067968757228
0.7098799699924981,1.4086888520189798,-1944.7372297670788,-1944.7372297670788,-3889.4744595341576,6503857.621073154,-10887418.912924087,0.03895733388549838,13.436578604725483
0.709853713428357,1.4087409575845324,-1939.4009067871623,-1939.4009067871623,-3878.8018135743246,6453665.813723732,-10769559.745907458,0.03907961444952758,13.410182490747848
0.709827456864216,1.4087930670048616,-1928.1003153285287,-1928.1003153285287,-3856.2006306570574,6369135.488977677,-10606258.652030822,0.03920215563542843,13.38387920511467
0.709801200300075,1.4088451802803952,-1923.9971228995873,-1923.9971228995873,-3847.9942457991747,6326837.594041146,-10500290.660461025,0.039324957922591344,13.357668243629654
0.709774943735934,1.4088972974115608,-1902.9036712397196,-1902.9036712397196,-3805.8073424794393,6187240.073679071,-10264790.766645871,0.039448018845707575,13.33154976686153
0.709748687171793,1.4089494183987863,-1865.3469803018443,-1865.3469803018443,-3730.6939606036885,5955799.301180147,-9905119.77703575,0.03957135388598511,13.305519916229887
0.7097224306076519,1.4090015432425005,-1865.58192890697,-1865.58192890697,-3731.16385781394,5942090.068124713,-9846776.53864185,0.03969501462702975,13.279566894492506
0.7096961740435108,1.4090536719431306,-1894.3056020927547,-1894.3056020927547,-3788.6112041855095,6088962.856751683,-10002276.570526756,0.03981898722622228,13.25369361038828
0.7096699174793698,1.409105804501105,-1917.9782580679166,-1917.9782580679166,-3835.956516135833,6204251.735606568,-10102444.548741313,0.03994321285895241,13.22791278153954
0.7096436609152288,1.409157940916851,-1935.7115016838718,-1935.7115016838718,-3871.4230033677436,6283135.1187634785,-10144624.404048994,0.040067638401279956,13.202235590802982
0.7096174043510878,1.4092100811907984,-1957.575439069987,-1957.575439069987,-3915.150878139974,6382057.249067541,-10199822.597669955,0.040192206576085916,13.176673864848532
