u,x,phi,f,h,phi_r,a1,a2,a3,a4,a5,a6,a7,a8,a9,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,c6,d1,d2,d3,d4,e1,e2,e3,e4,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,F_tensor,G_tensor,H_tensor,K_scalar,mu,crS2
0.5515039840509653,1.8132235286039,0.5099050279177262,0.438632429589029,0.4948471652317063,-0.4468681662351909,-0.0004068330146384686,-0.17167661960418162,-0.33158903824521707,0.18282254374828674,-1.7416844876422193,0.0002500589540951028,-0.3770251595977408,-0.18472627165872746,0.143923170567276,0.20840062363786002,0.0018550065485109961,0.41276867607089923,1.5119221283109192,-0.41680124727572004,0.0018743226988502718,-0.009593290214247577,,-0.0002500589540922841,-0.15499041449982207,0.18851257982727504,0.20840062363786002,-0.0002474819291467444,0.056105037542974134,0.05560669143155478,0.104772325968072,-0.02274146256510585,,0.23725378287036492,1.7460548033121945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0732084717658783,-0.23294635345977568,0.0,0.0,0.0,0.7848268111217971,0.7848268111217971,0.7848268111217971,0.0097422901367172,2.8469133199157346,0.9999999999999999
0.5514608739596241,1.8133652761613988,0.5098416943739146,0.4386692291143686,0.4948801791141713,-0.44674221959245153,-0.0004184255138723117,-0.17318950951523515,-0.33164251258138355,0.18283632799665084,-1.7434032153773824,0.0008142360363948589,-0.3774757603755543,-0.18472787526459974,0.1440147420034544,0.2083988525543266,0.0019077039650903847,0.41386018875790714,1.5120390972074251,-0.4167977051086532,0.0019274402629189439,-0.009580912841691698,,-0.0002571268964319402,-0.15498278290025613,0.1885144689221121,0.2083988525543266,-0.00025449400912261913,0.05610180369261064,0.055602190333122616,0.1048191803137102,-0.022756322503520672,,0.23793022871882386,1.7463128069544185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0731276592004506,-0.2329638956340629,0.0,0.0,0.0,0.7848268827194069,0.7848268827194069,0.7848268827194069,0.0097422882214084,2.8471580257425293,0.9999999999999999
0.5514200278289412,1.8134996001817605,0.5097816941745139,0.4387040960945624,0.4949114404812785,-0.44662294409830616,-0.00042957647620637965,-0.17462329591776488,-0.3316932452998955,0.1828494011861935,-1.7450299479020668,0.0013484514355639877,-0.3779023798440867,-0.18472941442652943,0.14410141420898692,0.20839718937429344,0.0019583882622959815,0.41489539759112626,1.512150209002832,-0.4167943787485869,0.0019785239359101695,-0.009568959388261735,,-0.00026392350470485387,-0.15497558713387038,0.1885163270303175,0.20839718937429344,-0.0002612375237806934,0.05609858616325214,0.05559792893281616,0.10486334252818515,-0.022770416943941666,,0.23857115078965663,1.7465572851494229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.073051122201055,-0.2329805121373873,0.0,0.0,0.0,0.7848270205465434,0.7848270205465434,0.7848270205465434,0.0097422885639272,2.8473904727645016,1.0
0.5513769072015818,1.8136414255637348,0.5097183606307021,0.4387409046392641,0.4949444228214585,-0.4464970869130796,-0.00044152503038076763,-0.1761373131718708,-0.33174687336822756,0.18286321588911056,-1.7467453638048855,0.0019120743560082356,-0.378352430585043,-0.18473106015286375,0.14419282013587117,0.20839544929080867,0.0020126914345667984,0.4159893250561478,1.5122678093623034,-0.41679089858161733,0.002033249938541925,-0.009556099332785756,,-0.00027120396850616353,-0.15496802764890974,0.18851836082934303,0.20839544929080867,-0.0002684617833183442,0.056095030501116305,0.05559343373871878,0.10490968047977975,-0.02278530689365239,,0.23924778041371297,1.7468154021669193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0729703566450268,-0.232998049248725,0.0,0.0,0.0,0.784827239879182,0.784827239879182,0.784827239879182,0.0097422890512897,2.8476364882702376,0.9999999999999999
0.5513337811663453,1.8137832909213405,0.5096550270868903,0.4387777178166754,0.494977388969185,-0.4463712756334408,-0.00045365663224703357,-0.1776519290747887,-0.3318005803797893,0.18287704622445797,-1.7484587399729747,0.0024754223605030377,-0.3788022074107231,-0.18473272749418768,0.14428414327077618,0.2083937251126154,0.0020678198268790607,0.4170844913259697,1.5123857338554192,-0.4167874502252308,0.0020888023099251045,-0.009542989456075368,,-0.00027859358409023434,-0.15496050516214804,0.18852046908922693,0.2083937251126154,-0.00027579504967310256,0.056091312144371575,0.05558894157209188,0.10495572073635455,-0.022800208254586077,,0.2399245189320336,1.747073577443965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0728896152110525,-0.23301558376144924,0.0,0.0,0.0,0.7848275350187702,0.7848275350187702,0.7848275350187702,0.0097422890731382,2.8478831760838084,1.0
0.5512906497249368,1.813925196262524,0.5095916935430782,0.438814535627574,0.4950103389278255,-0.44624551025491155,-0.00046597142358552194,-0.17916714567428138,-0.3318543663344072,0.1828908921879008,-1.7501711318406414,0.003038496451823741,-0.379251711361147,-0.18473441644071098,0.1443753838749304,0.2083920168304566,0.002123773875991183,0.418180895598771,1.512503982393396,-0.4167840336609132,0.0021451813315568322,-0.009529629468100188,,-0.00028609236450364715,-0.1549530196528861,0.18852265180179423,0.2083920168304566,-0.0002832373566352267,0.05608743141941286,0.05558445242989442,0.10500145570996142,-0.02281512063400794,,0.24060136795461773,1.7473318110076073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0728088978869699,-0.23303311567643223,0.0,0.0,0.0,0.784827905926666,0.784827905926666,0.784827905926666,0.0097422884725493,2.848130536049553,1.0
0.5512497833740811,1.814059669791098,0.5095316933436778,0.4388494199337591,0.495041539747754,-0.4461264064212137,-0.0004778071786603171,-0.18060315652340786,-0.33190539426970694,0.18290402382856952,-1.7517913671475114,0.003571676242831043,-0.37967730055977894,-0.18473603641602215,0.14446174488601224,0.20839041311274545,0.0021775449935991184,0.4192207361233682,1.5126163061571574,-0.4167808262254909,0.002199355830531591,-0.009516742999963471,,-0.00029329718259280105,-0.1549459622065416,0.18852478815248672,0.20839041311274545,-0.00029038857774883677,0.0560836036220036,0.055580202345470564,0.10504450540995142,-0.022829260961897354,,0.24124268734201237,1.747576507121335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0727324510719514,-0.23304972246358543,0.0,0.0,0.0,0.7848283271701759,0.7848283271701759,0.7848283271701759,0.0097422884680747,2.848365496951561,0.9999999999999997
0.5512066414097601,1.8142016530178429,0.5094683597998659,0.4388862467699959,0.4950744581899847,-0.446000730360979,-0.0004904791149159839,-0.1821195183433445,-0.3319593339551535,0.18291790021324053,-1.7534995968121212,0.004134204158998515,-0.3801262630325378,-0.18473776740775205,0.14455282205997522,0.20838873575947467,0.0022351081562736958,0.4203195491986386,1.5127351854756166,-0.41677747151894934,0.0022573454551112933,-0.009502898095094225,,-0.0003010085848261244,-0.15493854864131257,0.18852711548707402,0.20838873575947467,-0.00029804332408665514,0.05607940367756692,0.055575719084230334,0.10508964937374037,-0.02284420034326706,,0.24191973508869502,1.7478348542681523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.072651780663794,-0.23306724932232095,0.0,0.0,0.0,0.7848288455160587,0.7848288455160587,0.7848288455160587,0.0097422890494407,2.8486141653996997,1.0
0.5511634940442978,1.8143436762515848,0.5094050262560544,0.438923078242012,0.4951073604531215,-0.44587510015164994,-0.0005033346594014267,-0.18363648199354354,-0.33201335258330533,0.1829317922132451,-1.7552072744002611,0.004696458487293836,-0.38057495351722076,-0.18473951997585555,0.14464381688811484,0.2083870742749835,0.002293498265880199,0.4214195983486732,1.512854388578041,-0.416774148549967,0.002316162562985524,-0.009488802745173091,,-0.0003088291906400509,-0.15493117198914752,0.18852951718605898,0.2083870742749835,-0.0003058072108173389,0.05607504162749111,0.05557123883846622,0.10513446945756216,-0.02285915075897981,,0.24259689475234758,1.7480932597814043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0725711343296558,-0.2330847735859002,0.0,0.0,0.0,0.7848294395164688,0.7848294395164688,0.7848294395164688,0.0097422890442249,2.8488635055429423,0.9999999999999999
0.5511203412794031,1.814485739500272,0.5093416927122424,0.4389599143505861,0.4951402465405806,-0.44574951576262134,-0.000516373954559191,-0.18515404905839408,-0.3320674501541141,0.18294569982425907,-1.7569126258226468,0.005258439390885467,-0.3810233725928445,-0.18474129411056192,0.14473472944105514,0.20838542865003498,0.0023527157614067523,0.42252088293313644,1.5129739153762467,-0.41677085730006996,0.0023758074382405603,-0.009474456823334226,,-0.0003167590133236955,-0.1549238322262173,0.18853199321739544,0.20838542865003498,-0.0003136802719020913,0.05607051757447179,0.05556676160514392,0.10517894803406097,-0.022874112184306076,,0.24327416839191862,1.7483517236882298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0724905120573511,-0.2331022952552062,0.0,0.0,0.0,0.7848301091328403,0.7848301091328403,0.7848301091328403,0.0097422884525808,2.849113517226918,1.0
