sector,L,min_abs_Dh1,min_abs_DeltaV,min_abs_2Lv9,max_abs_dphi2_cancel,max_abs_h1prime_cancel,max_abs_h1_map,max_abs_H1_map,max_abs_dA1_map,max_abs_dA0_map
central_genuine_SVT,6,11.987939931344817,3.0428841014456243,0.11995073318001839,0.0,1.1102230246251565e-16,29.660215015104782,22.09165895226573,2.629180315348696,2550475.76653224
central_genuine_SVT,12,34.43859616976832,3.0428841014456243,0.23990146636003679,0.0,2.220446049250313e-16,13.837091158977028,10.677589490701644,1.3145901576743482,1165977.4988918002
central_genuine_SVT,20,80.64814096524563,3.0428841014456243,0.399835777266728,0.0,4.440892098500626e-16,7.621786811169097,6.154215971957639,0.7887540946046088,624715.4433939061
central_genuine_SVT,30,164.56686272738855,3.0428841014456243,0.5997536659000919,0.0,8.881784197001252e-16,4.608989737740756,3.9277043039794086,0.5258360630697393,364521.2072978837
central_genuine_SVT,42,303.63262196847984,3.0428841014456243,0.8396551322601288,0.0,8.881784197001252e-16,2.9618386696078134,2.6830191795045026,0.3755971879069566,224030.12834049345
central_genuine_SVT,72,834.3945554439949,3.0428841014456243,1.4394087981602208,0.0,1.7763568394002505e-15,1.38128233420723,1.436618006152,0.21909835961239135,92564.01018290812
central_genuine_SVT,110,1882.1882675343902,3.0428841014456243,2.199096774967004,0.0,3.552713678800501e-15,0.8305920290529473,0.9956904516744852,0.14340983538265617,68029.746260314
central_genuine_SVT,210,6644.894100309622,3.0428841014456243,4.198275661300643,0.0,7.105427357601002e-15,0.38637816013538256,0.6528626890549254,0.07511943758139131,52548.34907366434
central_genuine_SVT,420,26106.615676790625,3.0428841014456243,8.396551322601287,0.0,1.4210854715202004e-14,0.17391271305158942,0.3784130639099627,0.037559718790695654,40528.92379964779
central_genuine_SVT,1000,146441.60122796727,3.0428841014456243,19.9917888633364,0.0,2.842170943040401e-14,0.06707543879234194,0.17502685851724067,0.015775081892092174,31753.989887914693
