u,x,phi,f,h,phi_r,a1,a2,a3,a4,a5,a6,a7,a8,a9,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,c6,d1,d2,d3,d4,e1,e2,e3,e4,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,F_tensor,G_tensor,H_tensor,K_scalar,mu,crS2,phiprime,A0prime,region,source_member
0.5515039840509653,1.8132235286039,0.5099050279177262,0.438632429589029,0.4948471652317063,-0.4468681662351909,-0.0004068330146384,-0.1716766196041816,-0.331589038245217,0.1828225437482867,-1.7417114473563386,0.0002500589540951,-0.3770251595977408,-0.1847262716587274,0.143923170567276,0.20840062363786,0.0018550065485109,0.4127686760708992,1.5119221283109192,-0.41680124727572,0.0018743226988502,-0.0095932902142475,0.0,-0.0002500589540922,-0.154990414499822,0.188512579827275,0.20840062363786,-0.0002474819291467,0.0561050375429741,0.0556066914315547,0.104772325968072,-0.0227414625651058,0.0,0.2372537828703649,1.7460548033121943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0732084717658783,-0.2329463534597756,0.0,0.0,0.0,0.7848268111217971,0.7848268111217971,0.7848268111217971,0.0097422901367172,2.8469133199157346,1.0,-0.4468681662351909,0.0,weak_exterior_H,SSZ_P5_REGIONAL_PRODUCTION_MEMBER_2026-09-17.json
0.5514608739596241,1.8133652761613988,0.5098416943739146,0.4386692291143686,0.4948801791141713,-0.4467422195924515,-0.0004184255138723,-0.1731895095152351,-0.3316425125813835,0.1828363279966508,-1.7434009922456042,0.0008142360363948,-0.3774757603755543,-0.1847278752645997,0.1440147420034544,0.2083988525543266,0.0019077039650903,0.4138601887579071,1.5120390972074251,-0.4167977051086532,0.0019274402629189,-0.0095809128416916,0.0,-0.0002571268964319,-0.1549827829002561,0.1885144689221121,0.2083988525543266,-0.0002544940091226,0.0561018036926106,0.0556021903331226,0.1048191803137102,-0.0227563225035206,0.0,0.2379302287188238,1.7463128069544185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0731276592004506,-0.2329638956340629,0.0,0.0,0.0,0.7848268827194069,0.7848268827194069,0.7848268827194069,0.0097422882214084,2.8471580257425293,1.0,-0.4467422195924515,0.0,weak_exterior_H,SSZ_P5_REGIONAL_PRODUCTION_MEMBER_2026-09-17.json
0.5514200278289412,1.8134996001817605,0.5097816941745139,0.4387040960945624,0.4949114404812785,-0.4466229440983061,-0.0004295764762063,-0.1746232959177648,-0.3316932452998955,0.1828494011861935,-1.7450300144268402,0.0013484514355639,-0.3779023798440867,-0.1847294144265294,0.1441014142089869,0.2083971893742934,0.0019583882622959,0.4148953975911262,1.512150209002832,-0.4167943787485869,0.0019785239359101,-0.0095689593882617,0.0,-0.0002639235047048,-0.1549755871338703,0.1885163270303175,0.2083971893742934,-0.0002612375237806,0.0560985861632521,0.0555979289328161,0.1048633425281851,-0.0227704169439416,0.0,0.2385711507896566,1.7465572851494229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.073051122201055,-0.2329805121373873,0.0,0.0,0.0,0.7848270205465434,0.7848270205465434,0.7848270205465434,0.0097422885639272,2.8473904727645016,1.0,-0.4466229440983061,0.0,weak_exterior_H,SSZ_P5_REGIONAL_PRODUCTION_MEMBER_2026-09-17.json
0.5513769072015818,1.8136414255637348,0.5097183606307021,0.4387409046392641,0.4949444228214585,-0.4464970869130796,-0.0004415250303807,-0.1761373131718708,-0.3317468733682275,0.1828632158891105,-1.746745633609439,0.0019120743560082,-0.378352430585043,-0.1847310601528637,0.1441928201358711,0.2083954492908086,0.0020126914345667,0.4159893250561478,1.5122678093623034,-0.4167908985816173,0.0020332499385419,-0.0095560993327857,0.0,-0.0002712039685061,-0.1549680276489097,0.188518360829343,0.2083954492908086,-0.0002684617833183,0.0560950305011163,0.0555934337387187,0.1049096804797797,-0.0227853068936523,0.0,0.2392477804137129,1.746815402166919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0729703566450268,-0.232998049248725,0.0,0.0,0.0,0.784827239879182,0.784827239879182,0.784827239879182,0.0097422890512897,2.8476364882702376,1.0,-0.4464970869130796,0.0,weak_exterior_H,SSZ_P5_REGIONAL_PRODUCTION_MEMBER_2026-09-17.json
0.5513337811663453,1.8137832909213405,0.5096550270868903,0.4387777178166754,0.494977388969185,-0.4463712756334408,-0.000453656632247,-0.1776519290747887,-0.3318005803797893,0.1828770462244579,-1.7484585043084273,0.002475422360503,-0.3788022074107231,-0.1847327274941876,0.1442841432707761,0.2083937251126154,0.002067819826879,0.4170844913259697,1.5123857338554192,-0.4167874502252308,0.0020888023099251,-0.0095429894560753,0.0,-0.0002785935840902,-0.154960505162148,0.1885204690892269,0.2083937251126154,-0.0002757950496731,0.0560913121443715,0.0555889415720918,0.1049557207363545,-0.022800208254586,0.0,0.2399245189320336,1.747073577443965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0728896152110523,-0.2330155837614492,0.0,0.0,0.0,0.7848275350187702,0.7848275350187702,0.7848275350187702,0.0097422890731382,2.8478831760838084,1.0,-0.4463712756334408,0.0,weak_exterior_H,SSZ_P5_REGIONAL_PRODUCTION_MEMBER_2026-09-17.json
0.5512906497249368,1.813925196262524,0.5095916935430782,0.438814535627574,0.4950103389278255,-0.4462455102549115,-0.0004659714235855,-0.1791671456742813,-0.3318543663344072,0.1828908921879008,-1.7501711725092546,0.0030384964518237,-0.379251711361147,-0.1847344164407109,0.1443753838749304,0.2083920168304566,0.0021237738759911,0.418180895598771,1.512503982393396,-0.4167840336609132,0.0021451813315568,-0.0095296294681001,0.0,-0.0002860923645036,-0.1549530196528861,0.1885226518017942,0.2083920168304566,-0.0002832373566352,0.0560874314194128,0.0555844524298944,0.1050014557099614,-0.0228151206340079,0.0,0.2406013679546177,1.7473318110076073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07280889788697,-0.2330331156764322,0.0,0.0,0.0,0.784827905926666,0.784827905926666,0.784827905926666,0.0097422884725493,2.848130536049553,1.0,-0.4462455102549115,0.0,weak_exterior_H,SSZ_P5_REGIONAL_PRODUCTION_MEMBER_2026-09-17.json
0.5512497833740811,1.814059669791098,0.5095316933436778,0.4388494199337591,0.495041539747754,-0.4461264064212137,-0.0004778071786603,-0.1806031565234078,-0.3319053942697069,0.1829040238285695,-1.7517913651662107,0.003571676242831,-0.3796773005597789,-0.1847360364160221,0.1444617448860122,0.2083904131127454,0.0021775449935991,0.4192207361233682,1.5126163061571574,-0.4167808262254909,0.0021993558305315,-0.0095167429999634,0.0,-0.0002932971825928,-0.1549459622065416,0.1885247881524867,0.2083904131127454,-0.0002903885777488,0.0560836036220036,0.0555802023454705,0.1050445054099514,-0.0228292609618973,0.0,0.2412426873420123,1.747576507121335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0727324510719514,-0.2330497224635854,0.0,0.0,0.0,0.7848283271701759,0.7848283271701759,0.7848283271701759,0.0097422884680747,2.848365496951561,0.9999999999999996,-0.4461264064212137,0.0,weak_exterior_H,SSZ_P5_REGIONAL_PRODUCTION_MEMBER_2026-09-17.json
0.5512066414097601,1.8142016530178429,0.5094683597998659,0.4388862467699959,0.4950744581899847,-0.446000730360979,-0.0004904791149159,-0.1821195183433445,-0.3319593339551535,0.1829179002132405,-1.7534995989970554,0.0041342041589985,-0.3801262630325378,-0.184737767407752,0.1445528220599752,0.2083887357594746,0.0022351081562736,0.4203195491986386,1.5127351854756166,-0.4167774715189493,0.0022573454551112,-0.0095028980950942,0.0,-0.0003010085848261,-0.1549385486413125,0.188527115487074,0.2083887357594746,-0.0002980433240866,0.0560794036775669,0.0555757190842303,0.1050896493737403,-0.022844200343267,0.0,0.241919735088695,1.7478348542681523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.072651780663794,-0.2330672493223209,0.0,0.0,0.0,0.7848288455160587,0.7848288455160587,0.7848288455160587,0.0097422890494407,2.8486141653997,1.0,-0.446000730360979,0.0,weak_exterior_H,SSZ_P5_REGIONAL_PRODUCTION_MEMBER_2026-09-17.json
0.5511634940442978,1.8143436762515848,0.5094050262560544,0.438923078242012,0.4951073604531215,-0.4458751001516499,-0.0005033346594014,-0.1836364819935435,-0.3320133525833053,0.1829317922132451,-1.7552072553208087,0.0046964584872938,-0.3805749535172207,-0.1847395199758555,0.1446438168881148,0.2083870742749835,0.0022934982658801,0.4214195983486732,1.512854388578041,-0.416774148549967,0.0023161625629855,-0.009488802745173,0.0,-0.00030882919064,-0.1549311719891475,0.1885295171860589,0.2083870742749835,-0.0003058072108173,0.0560750416274911,0.0555712388384662,0.1051344694575621,-0.0228591507589798,0.0,0.2425968947523475,1.7480932597814045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0725711343296558,-0.2330847735859002,0.0,0.0,0.0,0.7848294395164688,0.7848294395164688,0.7848294395164688,0.0097422890442249,2.8488635055429423,1.0,-0.4458751001516499,0.0,weak_exterior_H,SSZ_P5_REGIONAL_PRODUCTION_MEMBER_2026-09-17.json
0.5511203412794031,1.814485739500272,0.5093416927122424,0.4389599143505861,0.4951402465405806,-0.4457495157626213,-0.0005163739545591,-0.185154049058394,-0.3320674501541141,0.182945699824259,-1.7569126464427778,0.0052584393908854,-0.3810233725928445,-0.1847412941105619,0.1447347294410551,0.2083854286500349,0.0023527157614067,0.4225208829331364,1.5129739153762467,-0.4167708573000699,0.0023758074382405,-0.0094744568233342,0.0,-0.0003167590133236,-0.1549238322262173,0.1885319932173954,0.2083854286500349,-0.000313680271902,0.0560705175744717,0.0555667616051439,0.1051789480340609,-0.022874112184306,0.0,0.2432741683919186,1.7483517236882298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0724905120573511,-0.2331022952552062,0.0,0.0,0.0,0.7848301091328403,0.7848301091328403,0.7848301091328403,0.0097422884525808,2.849113517226918,1.0,-0.4457495157626213,0.0,weak_exterior_H,SSZ_P5_REGIONAL_PRODUCTION_MEMBER_2026-09-17.json
