u,x,A0prime,alpha4,alpha6,alpha7,Codd,odd_tensor_cr2,odd_vector_cr2,odd_tensor_cOmega2,odd_vector_angular_margin_lb,region
0.61,1.639344262295082,1.4448087103799905,1.8516851882676897,-0.3330268656461453,2.001530117217264,0.7607210253614061,1.0050694018534374,9.458870488366266,8.798710869126063,8.006120468869057,central_exact_SVT
0.610026256564141,1.6392737021391723,1.4455963565018524,1.85090411371568,-0.3335398896695647,2.0049085576621715,0.7627238844202288,1.0050817848386664,9.489465021777692,8.812209456126485,8.019634230648686,central_exact_SVT
0.610052513128282,1.6392031480570586,1.4463825070074,1.8501214092650689,-0.3340530818728541,2.008289010812032,0.764730909884072,1.0050941828376576,9.520155319164813,8.825712523854104,8.033156043248129,central_exact_SVT
0.6100787696924231,1.6391326000479565,1.4471671571604123,1.849336835087266,-0.3345665329489324,2.011672011418632,0.7667426981504313,1.0051066015850292,9.55095028528963,8.83922246929144,8.046688045674527,central_exact_SVT
0.6101050262565642,1.6390620581110824,1.4479503022250106,1.8485496524441,-0.3350803354409644,2.01505810539682,0.7687598594086269,1.0051190469195057,9.581861619904426,8.852741738244701,8.06023242158728,central_exact_SVT
0.6101312828207052,1.638991522245652,1.4487319374658525,1.847759823973553,-0.3355945410869468,2.018447600058897,0.7707827471778783,1.0051315214073333,9.612894248488464,8.866271698404107,8.073790400235588,central_exact_SVT
0.6101575393848462,1.6389209924508816,1.4495120581482142,1.8469674567795589,-0.3361091008015559,2.021840208410663,0.7728110731276262,1.0051440216294385,9.644044347570114,8.87981105373251,8.087360833642652,central_exact_SVT
0.6101837959489872,1.6388504687259875,1.4502906595381646,1.8461729026786085,-0.3366239299189239,2.0252354318911587,0.7748443195961263,1.005156542864157,9.675303932270896,8.893357568214375,8.100941727564635,central_exact_SVT
0.6102100525131283,1.638779951070186,1.4510677369026708,1.8453766700164569,-0.3371389679887477,2.0286329131762626,0.7768821208834141,1.0051690824891526,9.706666051715514,8.906909645644093,8.11453165270505,central_exact_SVT
0.6102363090772693,1.638709439482694,1.4518432855097347,1.844578667076224,-0.3376541472794296,2.032032252127356,0.7789240637585738,1.005181637296589,9.73812627955056,8.920465497492076,8.128129008509424,central_exact_SVT
0.6102625656414103,1.638638933962728,1.4526173006285916,1.843779449408024,-0.3381693996154452,2.0354330456570144,0.7809697306732734,1.005194204118197,9.769676701226675,8.934023323545219,8.141732182628058,central_exact_SVT
0.6102888222055514,1.638568434509505,1.453389777529775,1.842979325122152,-0.3386846611732134,2.038834916187368,0.7830187305995242,1.0052067800270823,9.80131099504344,8.94758143860709,8.155339664749473,central_exact_SVT
0.6103150787696924,1.6384979411222422,1.454160711485302,1.842178564265768,-0.3391998578901892,2.0422374252687736,0.7850706053661427,1.0052193616231306,9.83302216616782,8.961137887024703,8.168949701075094,central_exact_SVT
0.6103413353338334,1.6384274538001562,1.4549300977687694,1.8413772475054464,-0.3397149234501031,2.0456401800785264,0.7871249450828514,1.005231945899936,9.864804804766992,8.974690917835739,8.182560720314106,central_exact_SVT
0.6103675918979745,1.6383569725424645,1.45569793165557,1.8405754341722904,-0.3402298793647383,2.049043308068449,0.7891819041162103,1.005244534009882,9.896660673232518,8.988241100373713,8.196173232273797,central_exact_SVT
0.6103938484621155,1.6382864973483848,1.4564642084230144,1.8397728941848528,-0.3407447982328034,2.052447239369039,0.7912419665281625,1.00525712960326,9.928597233356712,9.001790353571472,8.209788957476157,central_exact_SVT
0.6104201050262565,1.6382160282171343,1.45722892335041,1.8389693934048144,-0.3412597056496297,2.055852125605163,0.793305314742198,1.0052697341554404,9.96061821512136,9.015339354588596,8.223408502420652,central_exact_SVT
0.6104463615903976,1.6381455651479309,1.4579920717192882,1.8381647907031475,-0.3417745787944645,2.059257831403876,0.7953718191876662,1.005282346873193,9.99272294786023,9.0288875015283,8.237031325615504,central_exact_SVT
0.6104726181545386,1.6380751081399922,1.4587536488134945,1.83735947558183,-0.3422894121900712,2.0626643241635154,0.797441461956166,1.005294967778109,10.0249092772862,9.042434650680562,8.250657296654062,central_exact_SVT
0.6104988747186797,1.6380046571925362,1.459513649919393,1.8365532208070108,-0.342804195599955,2.0660715430523524,0.7995141943315512,1.0053075966613871,10.05717800790024,9.05598053261156,8.26428617220941,central_exact_SVT
0.6105251312828207,1.637934212304781,1.4602720703259993,1.835746137988589,-0.3433189226162915,2.06947944981821,0.8015899921619124,1.0053202335404297,10.089528408263137,9.069524979036352,8.27791779927284,central_exact_SVT
0.6105513878469617,1.6378637734759451,1.461028905325066,1.8349382803304943,-0.3438335764842861,2.0728879450602293,0.8036687643958986,1.005332877824657,10.121959217418905,9.083067548337317,8.291551780240917,central_exact_SVT
0.6105776444111027,1.6377933407052463,1.461784150211329,1.8341294659512144,-0.3443481580809403,2.0762970335012385,0.8057505336849271,1.005345529958776,10.154471902303603,9.09660826468414,8.305188134004954,central_exact_SVT
0.6106039009752438,1.6377229139919036,1.4625378002825846,1.8333196862776595,-0.3448627278665548,2.079707072113295,0.807835708425513,1.0053581938038842,10.187071847172191,9.110148726242128,8.31882828845318,central_exact_SVT
