L,Kmin,negK,c2min,negc2,h0
6,-0.16188299176323248,331,-441.89990186201214,3478,
12,-0.2540228805192576,331,-441.8998973547596,3478,
20,-3.7723917738632,331,-441.8998961984323,3478,
42,-15.925106672811827,331,-441.8998955983419,3478,
110,-23.629817977221965,331,-441.8998953991884,3478,
420,-27.23573219110507,331,-441.89989536761937,3478,
1000,-27.982826335338725,331,-441.8998953651803,3478,
