L,Kmin,negK,c2min,negc2
6,-37076.03271603282,2251,-1501.8164699012768,1558
12,-18426.964439610445,2251,-2397.915366450679,1558
20,-10931.630864894678,2251,-3701.286952758585,1558
42,-5009.598587197644,2251,-7346.65245275315,1558
110,-1666.833626666622,2251,-18666.601296701283,1558
420,-222.06122170593244,2251,-70315.4974350778,1558
1000,-53.131578667981536,2251,-166956.55381437828,1558
