u,x,E00,E11,JA,JAprime
0.61,1.639344262295082,2.4593487944789807,-17.54595184372603,4.05190330167529e-12,-1.2734261233487694e-07
0.610026256564141,1.6392737021391723,2.461073522947263,-17.53938957267368,-3.9374029614485e-12,-2.066083143293206e-08
0.610052513128282,1.6392031480570586,2.4627939191335027,-17.532823773640985,3.3738341452815424e-12,-6.9061624448828e-08
0.6100787696924231,1.6391326000479565,2.4645099660010326,-17.526253134718146,8.286841835798442e-13,9.63517636556489e-08
0.6101050262565642,1.6390620581110824,2.4662216466936657,-17.519676314720407,-1.9970118524975467e-12,-4.156917432792768e-08
0.6101312828207052,1.638991522245652,2.4679289443619115,-17.513092561576755,2.2140994105164178e-12,3.3389554237775807e-08
0.6101575393848462,1.6389209924508816,2.4696318420973697,-17.50650256868034,-4.538422422713958e-12,1.4398108291051551e-08
0.6101837959489872,1.6388504687259875,2.471330323092272,-17.49990754043185,2.168184436311523e-12,-9.39366535889396e-08
0.6102100525131283,1.638779951070186,2.473024370460408,-17.4933083371422,2.0136404988670245e-12,8.854463774419687e-08
0.6102363090772693,1.638709439482694,2.474713967375782,-17.486705922635522,-4.0800283950332076e-12,1.7671530299191857e-10
0.6102625656414103,1.638638933962728,2.4763990970774405,-17.480101267815865,1.191876716111662e-12,-4.928539608653489e-08
0.6102888222055514,1.638568434509505,2.478079742695015,-17.473495274947062,-2.1827245048092557e-13,3.142599996531449e-08
0.6103150787696924,1.6384979411222422,2.4797558874301138,-17.46688900857428,-3.9244147887274677e-13,-1.4263187401598631e-08
0.6103413353338334,1.6384274538001562,2.4814275145445785,-17.460283399984448,1.0751070697043146e-15,2.5603411484977128e-08
0.6103675918979745,1.6383569725424645,2.4830946073017053,-17.45367813401152,-1.2851632979613102e-12,-5.7881686084539984e-08
0.6103938484621155,1.6382864973483848,2.4847571489372364,-17.447072152955315,4.108817267491842e-12,3.305091688834993e-08
0.6104201050262565,1.6382160282171343,2.4864151226708975,-17.44046507839396,-4.27919382677669e-12,5.628538427013358e-08
0.6104463615903976,1.6381455651479309,2.488068511831558,-17.433857226660233,2.656553156788918e-13,-1.0011247204392086e-07
0.6104726181545386,1.6380751081399922,2.4897172997485035,-17.427248666181914,2.530770720896811e-12,6.158979004724346e-08
0.6104988747186797,1.6380046571925362,2.4913614697208746,-17.42063953243929,-3.1561279485888657e-12,-8.602317220239775e-09
0.6105251312828207,1.637934212304781,2.493001005067214,-17.41402990782254,2.5730069029023324e-12,-2.5200381306938713e-08
0.6105513878469617,1.6378637734759451,2.4946358891548974,-17.407420020983043,-1.856291496997336e-12,5.811717050005823e-08
0.6105776444111027,1.6377933407052463,2.4962661053926922,-17.400809849169313,-5.006313846692706e-13,-8.506266885275872e-08
0.6106039009752438,1.6377229139919036,2.4978916371771653,-17.3941985151069,3.714473593666072e-12,5.232525906039451e-08
0.6106301575393849,1.637652493335135,2.499512467907836,-17.387585553711958,-4.27192669168902e-12,3.158226936006349e-08
0.6106564141035259,1.6375820787341602,2.50112858103177,-17.38097151144106,9.391453516702415e-13,-5.637573909460158e-08
0.6106826706676669,1.637511670188197,2.5027399600400204,-17.374357323090237,1.465938707417852e-13,2.159354131517584e-09
0.6107089272318079,1.6374412676964654,2.5043465883827656,-17.3677437412522,7.72950608602933e-13,5.7251641571120736e-08
0.6107351837959489,1.637370871258184,2.5059484495851176,-17.361131570950903,-3.820843064470065e-12,-6.400356062159666e-08
0.6107614403600901,1.6373004808725715,2.507545527199145,-17.354521653332977,5.107580780750031e-12,1.524010590766508e-08
0.6107876969242311,1.6372300965388489,2.509137804722944,-17.34791468289536,-5.02633098630801e-12,5.5213713114521096e-08
0.6108139534883721,1.6371597182562343,2.5107252658036354,-17.34131169153139,1.36513904865147e-12,-8.097792072932753e-08
0.6108402100525131,1.6370893460239484,2.5123078940636754,-17.33471391657003,4.3255388221255387e-13,4.535317942789807e-08
0.6108664666166541,1.6370189798412105,2.51388567309924,-17.32812107072677,-9.401213040898353e-14,-4.9813991641238893e-08
0.6108927231807952,1.6369486197072405,2.5154585865534345,-17.321531886933155,3.600901560149978e-12,2.6695621160159688e-08
0.6109189797449363,1.6368782656212586,2.5170266181267005,-17.314944951331498,-2.336641742795916e-12,3.529191134922029e-08
0.6109452363090773,1.636807917582485,2.518589751571171,-17.308358950620427,5.560582242211399e-13,-3.615728416399093e-08
0.6109714928732183,1.6367375755901403,2.520147970621462,-17.30177252737362,5.434242433050743e-13,-1.2854682125799073e-08
0.6109977494373593,1.636667239643445,2.5217012590417873,-17.295184346526316,2.2996705128687072e-12,9.147247066768906e-09
0.6110240060015003,1.6365969097416193,2.5232496006441623,-17.288592966296495,-7.127864400418768e-13,3.268392437318527e-08
0.6110502625656414,1.636526585883884,2.5247929792672408,-17.281997253470006,-7.669259578563006e-13,-7.318977744878199e-09
0.6110765191297824,1.6364562680694603,2.526331378773694,-17.275397164548828,9.344780739787346e-14,-4.1169871232325156e-08
0.6111027756939235,1.636385956297569,2.527864783052016,-17.26879404594181,2.0977258083066404e-12,5.1443716603526535e-08
0.6111290322580645,1.636315650567432,2.5293931760572135,-17.262188893387922,-3.81501154615114e-12,1.524803044855826e-09
0.6111552888222055,1.63624535087827,2.5309165417642387,-17.255582695898884,1.6797457661820929e-12,-3.8914038871597974e-08
0.6111815453863466,1.6361750572293037,2.532434864150878,-17.248976502152573,-9.086447683069425e-13,3.0212800848671397e-08
0.6112078019504876,1.636104769619756,2.5339481272625393,-17.242371319144496,-9.833804991939149e-14,-7.8182197866881e-09
0.6112340585146286,1.636034488048848,2.5354563151566163,-17.235768151589987,-3.9476218029765856e-13,-1.8569863617013408e-08
0.6112603150787697,1.6359642125158014,2.5369594119374925,-17.229168244148703,1.4770721914363614e-12,1.2916726652601427e-08
0.6112865716429107,1.6358939430198385,2.5384574017794597,-17.22257177370004,-1.3099441303798766e-12,8.140055615319737e-09
0.6113128282070518,1.6358236795601806,2.5399502688607587,-17.21597782439601,1.1445796395111351e-12,-3.5162579638296464e-08
0.6113390847711928,1.635753422136051,2.5414379973701493,-17.209385485309966,6.884162428679774e-13,5.362604031749167e-08
0.6113653413353338,1.6356831707466717,2.542920571558203,-17.202795062025523,-2.0511777624663627e-12,-5.0475163063946854e-08
0.6113915978994748,1.635612925391265,2.544397975742716,-17.196206704426448,3.56640017801505e-12,3.020296079245354e-08
0.6114178544636159,1.6355426860690536,2.5458701942655058,-17.189620539769123,-4.476580375475999e-12,3.492232632488984e-08
0.611444111027757,1.63547245277926,2.5473372115088275,-17.183036703370334,1.8071648100110169e-12,-1.0363955733307652e-07
0.611470367591898,1.635402225521108,2.5487990118797463,-17.176455348832466,2.0099361758101108e-12,1.1684658750496738e-07
0.611496624156039,1.63533200429382,2.5502555798302766,-17.169876744823135,-4.8904382542664325e-12,-9.275267231543213e-08
0.61152288072018,1.6352617890966192,2.551706899875011,-17.16330013501696,7.72120089605056e-12,1.907584187839838e-08
0.611549137284321,1.6351915799287289,2.5531529565576467,-17.156724784057527,-6.769661234475561e-12,9.780847969887263e-08
0.6115753938484622,1.6351213767893722,2.554593734466434,-17.150150854686615,1.2984672565294556e-12,-1.4472305515021558e-07
0.6116016504126032,1.6350511796777734,2.5560292182476347,-17.14357938115248,2.539880038104956e-12,9.591153739435515e-08
0.6116279069767442,1.634980988593156,2.557459392575583,-17.137011193630208,-4.451817000391153e-12,-5.976393630855851e-09
0.6116541635408852,1.6349108035347435,2.558884242190908,-17.130447131381608,2.18656418072821e-12,-4.7256506366876696e-08
0.6116804201050262,1.6348406245017602,2.5603037518713005,-17.1238880936543,-7.644428951302113e-13,3.228922911654005e-08
0.6117066766691672,1.6347704514934298,2.5617179064200797,-17.117334888772554,-1.6495186832731165e-13,1.973445094136201e-08
0.6117329332333084,1.6347002845089766,2.5631266907379566,-17.1107883764663,-2.2129484272475055e-12,-4.777768913353044e-08
0.6117591897974494,1.6346301235476255,2.564530089730754,-17.104250005575143,3.872420894430573e-12,-3.154747966670658e-09
0.6117854463615904,1.6345599686086008,2.565928088338886,-17.0977198928441,-1.5875482496402803e-12,3.5426687165088653e-08
0.6118117029257314,1.6344898196911268,2.5673206716293464,-17.09119695436524,1.4354155375612946e-12,-4.0235213878376304e-08
0.6118379594898724,1.6344196767944286,2.568707824674596,-17.084679695656984,-6.255973476150805e-16,7.120570301306603e-08
0.6118642160540135,1.6343495399177308,2.5700895325960156,-17.078166763954787,-1.8918408349930428e-12,-1.1956033827392408e-07
0.6118904726181545,1.6342794090602586,2.571465780556272,-17.07165676205841,7.520262233056635e-12,9.809128313940939e-08
0.6119167291822956,1.6342092842212377,2.572836553787451,-17.06514832454247,-8.594475927843315e-12,1.1373910890674299e-08
0.6119429857464366,1.6341391653998922,2.5742018376070868,-17.05863998892369,7.562189572379736e-12,-1.527360834088198e-07
0.6119692423105776,1.6340690525954484,2.575561617332506,-17.05213045023693,1.052828174895543e-12,1.987279972601992e-07
