L,Kmin,negK,c2min,negc2,h0
6,-0.16188299175916476,331,-1923.694521312192,3478,
12,-0.2540228805590953,331,-1923.6945028917503,3478,
20,-3.7723917747718647,331,-1923.6944978249724,3478,
42,-15.925106672979418,331,-1923.6944951540347,3478,
110,-23.6298179772443,331,-1923.6944943832063,3478,
420,-27.235732191103626,331,-1923.6944942337932,3478,
1000,-27.982826335337023,331,-1923.6944942248626,3478,
