u,x,phi,f,h,phiprime,A0prime,X,a1,a2,a3,a4,a5,a6,a7,a8,a9,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,c6,d1,d2,d3,d4,e1,e2,e3,e4,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,alpha1,alpha2,alpha4,alpha5,alpha6,alpha7,f3phi_holonomic,f3phiX_holonomic,f4phi_holonomic,f4phiX_holonomic
0.6730682670667667,1.48573339277753,0.7489081502582358,0.3269384480179908,0.3283805461496281,-1.207791495494544,1.4857333927775302,-0.239514251447636,0.0,-2.700925331611429,-0.24340673876868735,0.16382935185541359,39.73657250885786,-0.2779745253651509,-59.98651988935817,-0.249450452799911,1.2137391263756017,0.2505507578698703,0.0,16.522531063478937,1.4890065102119352,-0.5011015157397406,0.0,45.33441989780549,29.901708753621868,-10.677296913888052,-7.898950618635871,49.42372378448613,0.2505507578698703,-7.258683143673424,-2.61923509861331,0.8845231350500984,18.737631591099724,28.605891076846532,-58.07568924816548,-61.18830622129707,51.15866062407961,76.00813041896804,-80.18444450721564,-7.105427357601002e-15,55.08532377205886,2.8109444861033435,28.2319543715126,-6.3698590983549455,8.131507484949184,-0.706271149373345,-1.4054722430516717,-4.280010675209919,-49.45298437563234,0.2505507578698703,0.7027361215258359,8.131507484949184,-0.706271149373345,-0.4422615675250492,3.9640345781940884,28.89998672344572,-120.6525793002966,-3.210927908833449,2.5956640072858344
0.6730945236309077,1.485675436201218,0.7489781556876807,0.3269122761549188,0.3283667756978624,-1.2079974770867516,1.4856754362012183,-0.2395859065304342,0.0,-2.7008571368433976,-0.24338239823495145,0.16381935940010256,39.60228675310094,-0.2785214340793378,-60.01191855024585,-0.24944569841444073,1.2134369312337705,0.2505555333175543,0.0,16.523436614925387,1.4889768050167451,-0.5011110666351086,0.0,45.33034549845705,29.91792704865972,-10.676147901620352,-7.899250363544555,49.43771121534721,0.2505555333175543,-7.257756783702538,-2.6197692101546375,0.8846983990239312,18.732250494921054,28.599128043134485,-57.82165789355096,-61.055583894337346,51.186257781929626,76.0461658576763,-80.22226934957366,-7.105427357601002e-15,54.88562565907772,2.8109123905120286,28.24498015800836,-6.3716081918486,8.136394548276895,-0.7064542905477245,-1.4054561952560143,-4.280141290997132,-49.55193153956977,0.2505555333175543,0.7027280976280071,8.136394548276895,-0.7064542905477245,-0.4423491995119656,3.9652247610801075,28.931053285904692,-120.95819181049642,-3.2232133323965133,2.602561024224092
0.6731207801950487,1.4856174841463552,0.749048167589441,0.3268861050150903,0.3283530635036356,-1.2082033444797702,1.4856174841463554,-0.2396575659085343,0.0,-2.7007898544772706,-0.2433580813696437,0.16380938159830472,39.4677819194561,-0.2790709529674502,-60.03742207891727,-0.2494409216871689,1.213134441090083,0.25056033138934225,0.0,16.524347857199956,1.4889472365820466,-0.5011206627786845,0.0,45.32623831250265,29.93416865253794,-10.674984933018365,-7.8995461038022246,49.45173668207392,0.25056033138934225,-7.256822919345862,-2.6203064712907365,0.8848744602376192,18.726856659839154,28.592351992737644,-57.5049110112404,-60.93553336474749,51.21395418492918,76.0843457694012,-80.26023860461487,3.552713678800501e-15,54.68561997506675,2.810880243249937,28.258058586214798,-6.3733624564779925,8.141296780580033,-0.7066379566036798,-1.4054401216249686,-4.280271079637444,-49.63354320646789,0.25056033138934225,0.7027200608124843,8.141296780580033,-0.7066379566036798,-0.4424372301188096,3.9664179660135837,28.95688396687339,-121.21896653648116,-3.2333557308424625,2.6079457305525837
0.6731470367591897,1.4855595366124117,0.7491181859556695,0.3268599346018064,0.3283394096260594,-1.2084090974299628,1.485559536612412,-0.2397292295526682,0.0,-2.700723484294892,-0.243333788191886,0.16379941846475637,39.33304861167904,-0.2796227207141624,-60.06301433560431,-0.24943612259537312,1.2128316558642227,0.25056515211064834,0.0,16.525264790161724,1.4889178050428529,-0.5011303042212967,0.0,45.322103667470955,29.95045110386884,-10.673809925071355,-7.899838406186149,49.46579413808283,0.25056515211064834,-7.255882750804238,-2.620846566681739,0.8850512143277446,18.72145280545828,28.585565868329027,-57.11065329854567,-60.827335392925676,51.24173522908022,76.12264844212831,-80.29833055998529,7.105427357601002e-15,54.48529321325524,2.810848044083764,28.27118158634942,-6.37512110287922,8.14620922832694,-0.706822060600299,-1.405424022041882,-4.28040003983225,-49.698902906773256,0.25056515211064834,0.702712011020941,8.14620922832694,-0.706822060600299,-0.4425256071638723,3.967613744845951,28.977790264772786,-121.43683162596888,-3.2414354230266995,2.61185096520912
0.6731732933233308,1.485501593598859,0.749188210778507,0.3268337649183715,0.3283258141242513,-1.2086147357189347,1.485501593598859,-0.2398008974435807,0.0,-2.700658026056116,-0.2433095187207935,0.16378947001419117,39.1980763757885,-0.2801763756513802,-60.08867913982186,-0.249431301116346,1.2125285754951187,0.25056999550688785,0.0,16.526187413535002,1.4888885105341632,-0.5011399910137757,0.0,45.317946884062636,29.966725036599083,-10.672624795038677,-7.900127837572815,49.479877515761636,0.25056999550688785,-7.254937477872357,-2.6213889689418455,0.8852285567291369,18.716041652051942,28.57877260504928,-56.78912243995895,-60.73231932844779,51.269586268870135,76.16105210556076,-80.33652344510963,1.0658141036401503e-14,54.284628672227385,2.8108157928212942,28.28434106824406,-6.376883340229784,8.151131186741258,-0.7070065154531835,-1.4054078964106471,-4.280528170346014,-49.746491254290426,0.2505699955068878,0.7027039482053236,8.151131186741258,-0.7070065154531835,-0.44261427836456846,3.9688116485263243,28.993327826563224,-121.6086156348009,-3.247326894438064,2.614187121388792
0.6731995498874719,1.4854436551051675,0.7492582420500822,0.3268075959680925,0.3283122770573322,-1.2088202590709094,1.4854436551051675,-0.2398725695392434,0.0,-2.7005934796905446,-0.24328527297547278,0.16377953626133904,39.06285431761005,-0.2807315325355302,-60.114399228559805,-0.2494264572273956,1.2122251999462006,0.25057486160347614,0.0,16.527115728082553,1.4888593531909562,-0.5011497232069523,0.0,45.31377372586786,29.98302963239965,-10.671431609622589,-7.900415011623375,49.49398037520859,0.25057486160347614,-7.253988394163173,-2.621933195610068,0.885406375961051,18.710626097963917,28.57197538871297,-57.03759153128247,-60.65023271368911,51.29749167295826,76.19953352840601,-80.374794028504,1.4210854715202004e-14,54.08361275547615,2.8107834893289154,28.297528400436043,-6.37864832534962,8.156058104518294,-0.7071912283275913,-1.4053917446644577,-4.280655470032997,-49.776501546209495,0.2505748616034761,0.7026958723322289,8.156058104518294,-0.7071912283275913,-0.4427031879805255,3.97001119818233,29.003556623827826,-121.73476173484136,-3.251032043298469,2.6149569447949643
0.6732258064516129,1.4853857211308097,0.7493282797625117,0.32678142775428,0.3282987984844281,-1.2090256673211155,1.4853857211308097,-0.2399442458416773,0.0,-2.7005298449299437,-0.24326105097502362,0.1637696172209272,38.927375243682114,-0.28128797256832083,-60.14016479520213,-0.24942159090584537,1.2119215291843286,0.25057975042582914,0.0,16.528049733356205,1.4888303331481942,-0.5011595008516583,0.0,45.30958733765935,29.99942285746855,-10.670231510122242,-7.900700264357407,49.50809900934257,0.25057975042582914,-7.253036213786207,-2.6224791103940754,0.8855846088048083,18.705207785236663,28.56517594649538,-56.80445530378528,-60.56528547656118,51.32544256406506,76.23807951538173,-80.41312911473932,0.0,53.88223588327584,2.8107511335029973,28.310738679645823,-6.380415579153372,8.160991152519195,-0.7073761464606797,-1.4053755667514987,-4.2807819377936545,-49.809866039352904,0.25057975042582914,0.7026877833757493,8.160991152519195,-0.7073761464606797,-0.44279230440240414,3.9712121217370377,29.014795783658894,-121.8701462475852,-3.2551489767768382,2.616027908858663
0.6732520630157539,1.485327791675256,0.7493983239079031,0.326755260280246,0.3282853784646699,-1.2092309602065685,1.485327791675256,-0.2400159263139269,0.0,-2.700467121714206,-0.2432368527385373,0.16375971290767935,38.791647764570435,-0.2818459912606821,-60.16598914571695,-0.24941670212903375,1.2116175631797703,0.2505846619993641,0.0,16.528989430181532,1.4888014505408236,-0.5011693239987282,0.0,45.305383359493476,30.01579249655316,-10.669022920135518,-7.900983127022949,49.522238400461525,0.2505846619993641,-7.252079953338284,-2.623026912970838,0.885763341248042,18.699784491440536,28.5583718857561,-56.50325641434316,-60.46951134717127,51.353451014543474,76.2767079903353,-80.4515466275153,-7.105427357601002e-15,53.68050703027184,2.8107187252393153,28.32397855888577,-6.382185749618688,8.165928894619508,-0.7075613410644667,-1.4053593626196577,-4.280907572528098,-49.85814769324776,0.25058466199936413,0.7026796813098288,8.165928894619508,-0.7075613410644667,-0.442881670624021,3.97241478747851,29.03051959592932,-122.04362137416932,-3.261119959430287,2.618417797747806
0.6732783195798949,1.4852698667379776,0.74946837447835,0.3267290935493061,0.3282720170571925,-1.2094361374932638,1.4852698667379776,-0.240087610930533,0.0,-2.7004053098708583,-0.24321267828509752,0.16374982333631605,38.6556747841625,-0.28240575711365423,-60.191879887592556,-0.2494117908743149,1.2113133018992521,0.25058959634949807,0.0,16.529934818696198,1.4887727055037705,-0.5011791926989961,0.0,45.30115939762821,30.032172470598063,-10.667804964665661,-7.901263340694641,49.53640143143113,0.25058959634949807,-7.251119067683851,-2.623576885991944,0.8859426223415289,18.69435494873941,28.55156190209385,-56.57782849537456,-60.372430016027494,51.38152393424599,76.31542920661175,-80.4900568199807,3.552713678800501e-15,53.47843379895431,2.810686264400865,28.337251841938947,-6.383959206785506,8.170875700638025,-0.7077468527700217,-1.4053431322004326,-4.281032373087072,-49.90824695373995,0.2505895963494981,0.7026715661002163,8.170875700638025,-0.7077468527700217,-0.44297131117076444,3.973619405821488,29.046778169397438,-122.22150611587996,-3.2673137106878185,2.620940379210452
0.6733045761440359,1.485211946318446,0.7495384314659362,0.3267029275647785,0.3282587143211343,-1.209641198976989,1.485211946318446,-0.2401592996778622,0.0,-2.700344409174797,-0.24318852763377966,0.16373994852155419,38.51945482130888,-0.2829672539625343,-60.21783632658035,-0.24940685711905883,1.2110087452963483,0.25059455350164855,0.0,16.530885898715223,1.4887440981719418,-0.5011891070032971,0.0,45.29691562667432,30.04862888039205,-10.66657771255088,-7.901540922451197,49.55058781579483,0.25059455350164855,-7.250153599905914,-2.6241290223070552,0.8861224475205364,18.68891927708676,28.54474609218994,-56.21010768676596,-60.27565413729577,51.40966070819725,76.35424223999259,-80.52865876770264,-1.0658141036401503e-14,53.27601309903541,2.810653750838478,28.350558181732374,-6.385735915978568,8.175829255750605,-0.7079326776924734,-1.405326875419239,-4.281156338303369,-49.95735088177176,0.25059455350164855,0.7026634377096195,8.175829255750605,-0.7079326776924734,-0.4430612237602682,3.9748259572326914,29.062722551339977,-122.39763796810406,-3.273393956633041,2.623352941171136
