u,x,f2_old,f2_new,f2X_old,f2X_new,E00_old,E11_old,E00_new,E11_new
0.61,1.639344262295082,-1.0616272823486286,1.2987267182587243,145.67690272357402,53.30772717580054,2.4593487944789807,-17.54595184372603,-4.440892098500626e-16,6.661338147750939e-15
0.610026256564141,1.6392737021391723,-1.0623208462971845,1.300036643190234,145.61678317630333,53.28966378785789,2.461073522947263,-17.53938957267368,8.326672684688674e-16,2.4980018054066022e-15
0.610052513128282,1.6392031480570586,-1.0630126305173555,1.3013447357088637,145.55662085597604,53.27158123407874,2.4627939191335027,-17.532823773640985,-2.7755575615628914e-16,1.942890293094024e-15
0.6100787696924231,1.6391326000479565,-1.063702628479132,1.3026509842880425,145.4964059973066,53.25347585496097,2.4645099660010326,-17.526253134718146,-1.1102230246251565e-16,-2.55351295663786e-15
0.6101050262565642,1.6390620581110824,-1.064390833689014,1.3039553775277886,145.43612874235777,53.23534403068807,2.4662216466936657,-17.519676314720407,0.0,-4.496403249731884e-15
0.6101312828207052,1.638991522245652,-1.0650772396744708,1.3052579040034653,145.37578341072856,53.21718359779436,2.4679289443619115,-17.513092561576755,-5.551115123125783e-17,-5.773159728050814e-15
0.6101575393848462,1.6389209924508816,-1.0657618399252535,1.306558552261449,145.31537499624957,53.19899639521189,2.4696318420973697,-17.50650256868034,-2.7755575615628914e-16,5.412337245047638e-15
0.6101837959489872,1.6388504687259875,-1.066444627988459,1.3078573108772933,145.25491230423015,53.180785725134186,2.471330323092272,-17.49990754043185,-8.881784197001252e-16,1.3877787807814457e-16
0.6102100525131283,1.638779951070186,-1.067125597366433,1.3091541683858288,145.19440156189503,53.16255389615479,2.473024370460408,-17.4933083371422,-5.551115123125783e-17,5.218048215738236e-15
0.6102363090772693,1.638709439482694,-1.0678047415970524,1.3104491133340646,145.1338497456,53.14430349546245,2.474713967375782,-17.486705922635522,-5.551115123125783e-17,-3.0253577421035516e-15
0.6102625656414103,1.638638933962728,-1.0684820542525368,1.311742134287064,145.07326389030777,53.12603714278241,2.4763990970774405,-17.480101267815865,5.551115123125783e-17,-6.5780714209040525e-15
0.6102888222055514,1.638568434509505,-1.069157528843088,1.3130332197566423,145.01265051988008,53.10775726084904,2.478079742695015,-17.473495274947062,-5.551115123125783e-17,9.381384558082573e-15
0.6103150787696924,1.6384979411222422,-1.0698311589135137,1.314322358279044,144.9520173607443,53.08946673196799,2.4797558874301138,-17.46688900857428,-2.220446049250313e-16,-4.246603069191224e-15
0.6103413353338334,1.6384274538001562,-1.0705029380511617,1.3156095383957787,144.89137114317785,53.071168064130745,2.4814275145445785,-17.460283399984448,2.7755575615628914e-16,-3.885780586188048e-16
0.6103675918979745,1.6383569725424645,-1.0711728598476111,1.3168947486354345,144.83070940520057,53.05286031414251,2.4830946073017053,-17.45367813401152,5.551115123125783e-17,1.4155343563970746e-15
0.6103938484621155,1.6382864973483848,-1.0718409178684858,1.318177977515958,144.77002434131643,53.03454060851392,2.4847571489372364,-17.447072152955315,-5.551115123125783e-17,-5.578870698741412e-15
0.6104201050262565,1.6382160282171343,-1.072507105663769,1.319459213545411,144.70931302295452,53.016207817247036,2.4864151226708975,-17.44046507839396,-2.220446049250313e-16,3.0531133177191805e-16
