u,x,f4_old,f4_new,f3_new,f2F_new,f2_new,f2X_new,E00,E11,JA,A2_res
0.61,1.639344262295082,-0.8432335872625503,19.71814781145434,-72.50034344370223,-86.3419923566928,-99.10031831175029,342.36362374895384,2.6867397195928788e-14,-1.2656542480726785e-14,-3.6655287915156446e-14,1.2789769243681803e-13
0.610026256564141,1.6392737021391723,-0.8437932372119133,19.70596870921302,-72.44780405486264,-86.2975840900046,-99.1536955621473,342.3787344098811,-8.715250743307479e-15,-2.7755575615628914e-16,-6.358052498408995e-15,-4.263256414560601e-13
0.610052513128282,1.6392031480570586,-0.8443534781740727,19.701081079667862,-72.42077352555164,-86.2841487222879,-99.24248639186794,342.4955977607077,-1.6708856520608606e-14,-2.0816681711721685e-14,4.265503402153427e-14,-7.105427357601002e-14
0.6100787696924231,1.6391326000479565,-0.8449145722406042,19.70004475373806,-72.40721512796038,-86.28707677327081,-99.34995576380983,342.66595959011784,-2.453592884421596e-14,-2.808864252301646e-14,1.3324828175516598e-14,-9.947598300641403e-14
0.6101050262565642,1.6390620581110824,-0.8454767855561973,19.703274275008972,-72.40857149845144,-86.30813348140917,-99.47819962480091,342.8957711207525,2.5979218776228663e-14,4.5352610555937645e-14,-2.6036268638416436e-14,2.5579538487363607e-13
0.6101312828207052,1.638991522245652,-0.8460402702211636,19.706570107575743,-72.41016255284941,-86.32947845281701,-99.60666732283232,343.12591355817233,-3.4916514124461173e-14,3.7969627442180354e-14,5.1319084740964494e-15,1.4210854715202004e-14
0.6101575393848462,1.6389209924508816,-0.8466048970262254,19.706085216973626,-72.39854889667424,-86.33476394254988,-99.71644882358657,343.3020849832968,5.700995231450179e-14,5.856426454897701e-15,8.796854732415032e-15,-8.526512829121202e-14
0.6101837959489872,1.6388504687259875,-0.8471704376491161,19.702250752915653,-72.3752424185523,-86.32581844413596,-99.80960248116654,343.4302663722831,1.6209256159527285e-14,-3.605449272470196e-14,-1.3342039878923819e-14,-7.105427357601002e-14
0.6102100525131283,1.638779951070186,-0.847736731433533,19.695704993763115,-72.3424775506417,-86.30535140784372,-99.88921673850233,343.5193830352033,1.3711254354120683e-14,2.2537527399890678e-14,3.180608423558485e-14,0.0
0.6102363090772693,1.638709439482694,-0.8483035983887177,19.68595402617996,-72.2985341733731,-86.27126096511282,-99.95281045905769,343.562371985264,2.481348460037225e-14,2.683964162031316e-14,-8.102289002203348e-15,-1.2789769243681803e-13
0.6102625656414103,1.638638933962728,-0.8488708580363473,19.673299307346927,-72.2444697765737,-86.22482531230432,-100.00181861650526,343.5634088475646,2.275957200481571e-15,2.4064084058750268e-14,-3.865506089237624e-14,-2.7000623958883807e-13
