u,x,v6,f3,f2F,f2,f2X,E00,E11,JA,A2res
0.61,1.639344262295082,3.21651562810936,-0.5945608539519592,0.9999999999990056,1.2987267182564382,53.30772717580055,-6.661338147750939e-16,4.884981308350689e-15,-2.998495136572786e-16,2.459031630763775e-06
0.610026256564141,1.6392737021391723,3.214755532152756,-0.5888194569187039,1.0052649431839216,1.3060950375694618,53.23139234928354,-5.551115123125783e-17,7.216449660063518e-16,3.789567714283507e-16,-3.64133047270343e-07
0.610052513128282,1.6392031480570586,3.213000191050581,-0.5830907717075713,1.0105234133463097,1.3134668026566703,53.1550296701767,-2.7755575615628914e-16,5.495603971894525e-15,1.8957792898459678e-16,1.2299639351454061e-07
0.6100787696924231,1.6391326000479565,3.2112496018204912,-0.5773738294113107,1.015776549728181,1.3208432633093308,53.0786233909144,1.1102230246251565e-16,-7.771561172376096e-16,-1.5806439116864292e-16,-5.167166250430455e-08
0.6101050262565642,1.6390620581110824,3.209503761507697,-0.5716676472769459,1.0210255091468252,1.3282256950502533,53.002157574888344,-2.220446049250313e-16,-9.43689570931383e-16,2.793930426880079e-16,4.6882959736649354e-08
0.6101312828207052,1.638991522245652,3.2077626670471706,-0.5659716545628887,1.0262709594414177,1.3356148137400459,52.92562313466199,-5.551115123125783e-17,-7.549516567451064e-15,-2.68990063904336e-16,4.436767397919539e-09
0.6101575393848462,1.6389209924508816,3.2060263154147672,-0.5602862887338496,1.031512364049046,1.3430099450649338,52.84902834207827,-7.216449660063518e-16,5.412337245047638e-15,1.583117228389028e-17,9.139991874462794e-09
0.6101837959489872,1.6388504687259875,3.2042947036524216,-0.554612339391413,1.036748762740317,1.3504099213761556,52.772387657840824,-8.881784197001252e-16,5.467848396278896e-15,1.7423320775800792e-16,-1.3474295457172047e-08
0.6102100525131283,1.638779951070186,3.2025678288791295,-0.5489503512891168,1.041979485482311,1.3578139065778654,52.695711351880846,-7.216449660063518e-16,3.4416913763379853e-15,2.6412626005302153e-17,-1.0032749742094893e-08
0.6102363090772693,1.638709439482694,3.2008456882853387,-0.5433009387662922,1.0472037789470914,1.3652209645432385,52.6190109206222,3.885780586188048e-16,5.856426454897701e-15,-6.606563113342586e-16,1.845677388701006e-08
0.6102625656414103,1.638638933962728,3.1991282791255435,-0.5376647174688823,1.0524208874803127,1.3726301526843725,52.5422979422285,-1.6653345369377348e-16,-1.0130785099704553e-14,-7.561797137633108e-16,-2.7202951002891496e-08
0.6102888222055514,1.638568434509505,3.1974155987273534,-0.5320422568522495,1.0576301102043109,1.3800405882913955,52.46558321074558,-4.996003610813204e-16,5.828670879282072e-15,-2.1162735163944693e-16,3.21337978448355e-09
0.6103150787696924,1.6384979411222422,3.195707644498217,-0.526434224905432,1.0628306274194914,1.387451246881771,52.38887932600774,-2.220446049250313e-16,-6.022959908591474e-15,-1.3762818595985076e-16,4.752472193558788e-09
0.6103413353338334,1.6384274538001562,3.1940044139107844,-0.5208412096971136,1.0680217146429418,1.3948612108741776,52.31219747586559,-3.885780586188048e-16,-3.941291737419306e-15,3.91910951517829e-16,-5.209076903156529e-08
0.6103675918979745,1.6383569725424645,3.19230590446109,-0.515262928942561,1.0732036918869958,1.4022707772751013,52.2355337567643,-3.885780586188048e-16,-3.608224830031759e-16,1.165733863632192e-16,1.8740340834710878e-08
0.6103938484621155,1.6382864973483848,3.1906121136306,-0.5096985976538109,1.0783774830118504,1.409680949439384,52.158875579318305,-5.551115123125783e-17,-9.131584377541913e-15,6.361776960164497e-16,1.4425022953901134e-08
0.6104201050262565,1.6382160282171343,3.1889230388473964,-0.5041478975385332,1.0835434519428224,1.4170920805956577,52.082218331006686,6.661338147750939e-16,7.41073868937292e-15,-5.569373727926268e-16,-9.411536439074553e-09
0.6104463615903976,1.6381455651479309,3.1872386775470174,-0.4986109881159526,1.088701388767061,1.4245038542713628,52.00556580093111,-5.551115123125783e-17,-6.106226635438361e-15,6.368213084853276e-17,1.6966719584843304e-08
0.6104726181545386,1.6380751081399922,3.1855590271998073,-0.4930878575960928,1.0938512893653798,1.4319161938512142,51.928918762575094,-5.551115123125783e-17,-1.0269562977782698e-15,5.521897815017966e-16,-1.7698280174727188e-08
0.6104988747186797,1.6380046571925362,3.183884085283701,-0.48757854084472885,1.0989930935976098,1.4393289568712453,51.85227879706969,-5.551115123125783e-16,1.0547118733938987e-15,2.4436046931662735e-16,3.6743873721434284e-08
0.6105251312828207,1.637934212304781,3.1822138492927547,-0.48208303489649246,1.1041267866675013,1.4467420536529512,51.77564683543132,4.440892098500626e-16,8.604228440844963e-16,1.1161174873212257e-16,-6.642508054710561e-08
0.6105513878469617,1.6378637734759451,3.180548316746759,-0.47660143804190536,1.1092522324044618,1.4541552517681249,51.69902560304081,4.996003610813204e-16,-1.3600232051658168e-15,-1.8611251047694375e-16,2.7890969533928e-08
0.6105776444111027,1.6377933407052463,3.178887485164326,-0.4711336754888247,1.1143695021615578,1.4615685620009304,51.622414732567876,5.551115123125783e-17,-3.608224830031759e-16,-1.0640298927094729e-16,-1.6811924297144287e-08
0.6106039009752438,1.6377229139919036,3.177231352061089,-0.46567909053593637,1.1194793657945459,1.4689828173764579,51.545803782320405,-2.220446049250313e-16,-2.0816681711721685e-15,-7.451909714839156e-17,5.567791561134072e-08
0.6106301575393849,1.637652493335135,3.1755799149153825,-0.46023731119576716,1.1245822527713765,1.4763984533832852,51.469187173012685,-1.1102230246251565e-16,7.771561172376096e-16,-6.710041613772762e-16,-2.2838513302758656e-09
0.6106564141035259,1.6375820787341602,3.17393317120302,-0.45480865234274265,1.1296777685746686,1.4838149357329553,51.39257135678926,-6.106226635438361e-16,4.413136522884997e-15,3.729642730047934e-17,-7.857668293809184e-09
0.6106826706676669,1.637511670188197,3.172291118466668,-0.449393696188963,1.13476519738442,1.4912313489139548,51.31596747872804,-2.220446049250313e-16,-8.049116928532385e-16,-1.066137241758438e-16,2.2513578556981884e-08
0.6107089272318079,1.6374412676964654,3.17065375430701,-0.44399289522118646,1.1398439785785381,1.4986469573089127,51.23938444963822,-1.6653345369377348e-16,-3.1363800445660672e-15,1.7599907598822035e-16,-4.672037690056641e-08
