u,x,phi,f,h,phiprime,A0prime,X,f2X,f2F,f2Y,f2XX,f2XF,f2XY,f2FF,f2FY,f2YY,f3,f3X,f3XX,tf3,f4,f4X,f4XX,f4XXX,tf4,f3phi,f3phiX,f4phi,f4phiX
0.61,1.639344262295082,0.6060115820460082,0.3877061178917036,0.4269907184968781,-0.6977153826293326,1.4448087103799905,-0.1039309830769378,342.36362374895384,-86.3419923566928,0.0,-530.9693393238848,258.3300410568509,12.732984882421588,16.572596924846206,17.791887312844633,25.57470786203868,-72.50034344370223,44.728354923533175,-105.6582062386123,0.0,19.71814781145434,0.0928684506770828,-0.0,0.0,0.0,2003.403112234987,-2406.5375288980485,-505.25886653554784,4.805982568003307
0.610026256564141,1.6392737021391723,0.6060608186038416,0.3876823466597964,0.4269487862618095,-0.697875587772359,1.4455963565018524,-0.1039685054157798,342.3787344098811,-86.2975840900046,0.0,-530.7597906430785,258.07534272521787,12.68762787952874,16.557942550391314,17.745624662023257,25.50945156189444,-72.44780405486264,44.61398977737573,-105.70265782547756,0.0,19.70596870921302,0.0931052215861692,-0.0,0.0,0.0,682.5282740442308,-2400.126218649208,-127.63398264768283,4.812137470470512
0.610052513128282,1.6392031480570586,0.6061100622284209,0.3876585742027041,0.4269068440946761,-0.6980358463922831,1.4463825070074,-0.104006042852432,342.4955977607077,-86.2841487222879,0.0,-530.5498390953369,257.90999758962823,12.64250977514743,16.543409632948784,17.69954433469398,25.444448366214388,-72.42077352555164,44.49991905809918,-105.74660380850035,0.0,19.701081079667862,0.0933423934961342,5.731401018008943e-14,0.0,0.0,477.00224182148935,-2394.021912811001,-68.94366810598939,4.820888309623452
0.6100787696924231,1.6391326000479565,0.6061593129221199,0.3876348005199541,0.4268648919991371,-0.6981961584888928,1.4471671571604123,-0.1040435953874388,342.66595959011784,-86.28707677327081,0.0,-530.3394883180032,257.7918826300629,12.597628362366889,16.529000832642616,17.65364304762276,25.37969577218056,-72.40721512796038,44.38612752330216,-105.79008610928771,0.0,19.70004475373806,0.0935800977100961,-5.72857981995565e-14,0.0,0.0,130.20718250442778,-2388.236201410173,30.19974530326687,4.832439415240117
0.6101050262565642,1.6390620581110824,0.6062085706873115,0.3876110256110742,0.4268229299788629,-0.6983565240745954,1.4479503022250106,-0.1040811630251061,342.8957711207525,-86.30813348140917,0.0,-530.1287415537438,257.72601011417123,12.552981444780883,16.514718900775225,17.607917517538176,25.31519127957084,-72.40857149845144,44.27259986541533,-105.83314664800056,0.0,19.703274275008972,0.0938184680974332,-5.725759977416556e-14,0.0,0.0,-59.65613633147737,-2382.737754832382,84.47727271993638,4.846328329771804
0.6101312828207052,1.638991522245652,0.6062578355263702,0.387587249475593,0.4267809580375306,-0.6985169431669441,1.4487319374658525,-0.1041187457712744,343.12591355817233,-86.32947845281701,0.0,-529.9176015194258,257.6610588376428,12.508567239310242,16.50056529735794,17.562365580986487,25.25093308867828,-72.41016255284941,44.15932693004406,-105.87581095745207,0.0,19.706570107575743,0.0940575675695325,-0.0,0.0,0.0,116.3708496098966,-2377.26899566148,34.05186551676059,4.860028917566557
0.6101575393848462,1.6389209924508816,0.6063071074416696,0.3875634721130385,0.4267389761788276,-0.6986774157698884,1.4495120581482142,-0.1041563436277311,343.3020849832968,-86.33476394254988,0.0,-529.7060690873501,257.5500822076531,12.464385026783868,16.486538331151117,17.516987933939973,25.18692124761084,-72.39854889667424,44.04631519536611,-105.91806436284558,0.0,19.706085216973626,0.0942973216798315,-0.0,0.0,0.0,403.5293761289028,-2371.564461858173,-48.21062201343274,4.871418557430961
0.6101837959489872,1.6388504687259875,0.6063563864355839,0.3875396935229396,0.4266969844064505,-0.6988379419081574,1.4502906595381646,-0.1041939566024597,343.4302663722831,-86.32581844413596,0.0,-529.4941445599828,257.3983877981147,12.420434478848216,16.472635198593174,17.471786294870853,25.12315648801494,-72.3752424185523,43.93357670125896,-105.95987822506542,0.0,19.702250752915653,0.0945376221591866,-0.0,0.0,0.0,601.1022346331193,-2365.653094928161,-104.86109254161161,4.881092009423532
0.6102100525131283,1.638779951070186,0.6064056725104877,0.3875159137048251,0.4266549827241038,-0.6989985215814454,1.4510677369026708,-0.1042315846959808,343.5193830352033,-86.30535140784372,0.0,-529.281829201376,257.21380174346325,12.376715023861417,16.45885384132519,17.426761692092416,25.0596391163586,-72.3424775506417,43.82111968694899,-106.00123428535844,0.0,19.695704993763115,0.094778405717576,-5.714494152831119e-14,0.0,0.0,809.0558871733056,-2359.577719115593,-164.51117462697607,4.889476502424346
0.6102363090772693,1.638709439482694,0.6064549656687547,0.3874921326582246,0.4266129711355043,-0.6991591548024501,1.4518432855097347,-0.1042692279126935,343.562371985264,-86.27126096511282,0.0,-529.0691240211984,256.9903381367343,12.333226158556892,16.445191964946158,17.38191533935802,24.99636955191786,-72.2985341733731,43.70895343897734,-106.04211140306056,0.0,19.68595402617996,0.0950195962536947,-0.0,0.0,0.0,1032.0191410858963,-2353.306083160704,-228.4868814446931,4.896230701851241
0.6102625656414103,1.638638933962728,0.6065042659127599,0.3874683503826678,0.4265709496443745,-0.6993198415956856,1.4526173006285916,-0.1043068862605228,343.5634088475646,-86.22482531230432,0.0,-528.8560299740342,256.73171109673024,12.289967384406523,16.43164725734872,17.33724845440838,24.933348217526685,-72.2444697765737,43.59708727698921,-106.08248832372848,0.0,19.673299307346927,0.0952611181689063,2.8544346809404513e-14,0.0,0.0,1225.8147521080828,-2346.859041384989,-284.1357384835149,4.901547454785268
0.6102888222055514,1.638568434509505,0.6065535732448782,0.3874445668776841,0.4265289182544473,-0.6994805819615427,1.453389777529775,-0.1043445597401998,343.5209471802733,-86.16560201511312,0.0,-528.6425480397018,256.4366979696604,12.246938150924326,16.41821753158482,17.29276211171955,24.87057543849173,-72.17992810516778,43.48552976644904,-106.12234581024492,0.0,19.657637407862442,0.095502901401227,-5.706058995167316e-14,0.0,0.0,1477.7179493558433,-2340.229668405275,-356.46243316783335,4.905368112914476
0.6103150787696924,1.6384979411222422,0.6066028876674842,0.387420782142804,0.4264868769694666,-0.6996413759049922,1.454160711485302,-0.1043822483538225,343.4252597040713,-86.09069540408356,0.0,-528.4286793638274,256.09705157393995,12.204138024184925,16.404900283615248,17.2484576803669,24.808051742874245,-72.10253941153998,43.37429106049077,-106.16166074952622,0.0,19.63828781990902,0.0957448642744601,2.851624990320904e-14,0.0,0.0,1697.7889232071616,-2333.374447005513,-419.69904580169197,4.907368546741698
0.6103413353338334,1.6384274538001562,0.6066522091829523,0.3873969961775586,0.4264448257931837,-0.6998022234477527,1.4549300977687694,-0.1044199521084867,343.3109319959288,-86.01050105432986,0.0,-528.2144246305023,255.74259204415986,12.161566471006752,16.391693231478133,17.204336272870883,24.745777474949755,-72.02084399379574,43.263379982799655,-106.20041307545482,0.0,19.61769678731046,0.0959869343829325,-5.700442317626365e-14,0.0,0.0,1614.0069393500687,-2326.459062953086,-395.8622554866708,4.908765100222
0.6103675918979745,1.6383569725424645,0.6067015377936582,0.3873732089814779,0.4264027647293591,-0.6999631246096245,1.45569793165557,-0.1044576710107184,343.23870249562304,-85.94322663280386,0.0,-527.9997861033997,255.42544478487142,12.119222053029176,16.37859687165299,17.16039654404975,24.68375137409336,-71.94978396925241,43.15279186009337,-106.23861693604474,0.0,19.600147361601465,0.0962291399794565,-0.0,0.0,0.0,1338.9507952948084,-2319.7664799494846,-317.1753837650183,4.911706367157826
0.6103938484621155,1.6382864973483848,0.6067508735019774,0.3873494205540932,0.4263606937817626,-0.7001240793986234,1.4564642084230144,-0.1044954050635287,343.2065307544077,-85.8882393904134,0.0,-527.7847662960726,255.14375143015943,12.07710282070468,16.365613337288785,17.116635752288783,24.62197126310864,-71.88883305550618,43.04251433038037,-106.27630586200912,0.0,19.58548998363567,0.0964715694188656,-8.542246565835585e-14,0.0,0.0,1251.4367391536148,-2313.2876586924963,-292.23307098967734,4.9161591251842855
0.6104201050262565,1.6382160282171343,0.6068002163102855,0.3873256308949361,0.4263186129541741,-0.7002850878089854,1.45722892335041,-0.1045331542658156,343.1690922791439,-85.83195440733236,0.0,-527.5693675970429,254.85862230271348,12.035207317289103,16.35274326279582,17.073052459153043,24.560435824944967,-71.8268435196185,42.93254215546467,-106.313495548778,0.0,19.57052891915736,0.0967142581455232,-5.692027432819355e-14,0.0,0.0,1322.7207588523409,-2306.8098273349938,-312.82322679366723,4.920542307551358
0.6104463615903976,1.6381455651479309,0.6068495662209569,0.3873018400035382,0.4262765222503831,-0.7004461498715259,1.4579920717192882,-0.104570918627398,343.1201432650271,-85.77250644795176,0.0,-527.3535913867623,254.5647306032082,11.993534600660029,16.339985765342618,17.029646599276703,24.499144644493345,-71.76228676200994,42.82287760971362,-106.35018249623052,0.0,19.554825594899633,0.096957186494562,-2.8446125856883376e-14,0.0,0.0,1349.2139584174752,-2300.3029547556857,-320.57510029796197,4.924643160586109
0.6104726181545386,1.6380751081399922,0.6068989232363685,0.3872780478794313,0.4262344216741871,-0.7006072655950176,1.4587536488134945,-0.1046086981515164,343.0683103609512,-85.71247979682782,0.0,-527.1374394777939,254.26947039348528,11.952083552320586,16.32734050633622,16.98641761653168,24.43809698577048,-71.69728291705454,42.71352026873114,-106.38637014269771,0.0,19.53898789382412,0.0972003545796904,2.843212129599856e-14,0.0,0.0,1356.5805632059426,-2293.807263241385,-322.84332525327414,4.928745624523661
