u,x,phi,f,h,phiprime,A0prime,X,a1,a2,a3,a4,a5,a6,a7,a8,a9,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,c6,d1,d2,d3,d4,e1,e2,e3,e4,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,alpha1,alpha2,alpha4,alpha5,alpha6,alpha7,Codd,K_ZK_exact,even_scalar_cr2_ZK_exact,all_local_even_gates_ZK_exact,selected_member,construction,region,certification
0.57,1.7543859649122808,0.5378890941575232,0.4228145905989974,0.4786469618596017,-0.5072471482400152,0.0467275136361374,-0.0615778525223272,0.0,0.0065451063699485,-0.3946188120031748,0.2249327228418096,-1.4612310142638087,-0.0002741735986335,-0.4932804711126792,-0.2349672522394361,0.2048426103924815,0.2659945137219007,0.0,-0.0309596996672995,1.8666281664694784,-0.5319890274438014,0.0,-0.0130025023400889,0.0,-0.0039102758247989,-0.2056570972852264,0.2463613038692012,0.2659945137219007,-0.0037358535325929,0.2662147430320383,0.0735441556937716,-0.0682430831525878,-0.0385544431594994,0.0,1.9052630934352537,2.2332798605461672,0.104355615136982,-0.2165767225935592,0.0,0.0,0.063966031250249,0.0012190696073302,-0.0829602970299029,1.8192436549026985,-0.3058297449119931,-0.0319830156251245,-0.0668196357099324,14.9863366024215,0.2659945137219007,0.0159915078125622,1.8192436549026985,-0.3058297449119931,-0.0367720778468858,0.1817000357517612,0.0816047626016778,-0.0079003189278642,-5.597435186722383,False,v5=c3=e3=0; v12 Appendix-minus; corrected holonomic a5,outer same-action archived 37/41 + exact lower-order completion,outer_same_action_H_SVT,PASS NUMERICAL / 37 action-derived + LO selected
0.5700181900864029,1.7543299799755878,0.5379174942124291,0.4227989748898633,0.4786288784643614,-0.507313434414489,0.0469659270702456,-0.0615916203131897,0.0,0.006617614831108,-0.3945914780527395,0.2249243201431411,-1.2992547139999318,-0.0002769497068771,-0.4933662776320223,-0.23496735180793,0.2048731938696804,0.2659944010055046,0.0,-0.0313038357428938,1.8665678087584217,-0.5319888020110093,0.0,-0.0131943769549487,0.0,-0.0038978598213409,-0.2056823270843211,0.2463815452785652,0.2659944010055046,-0.0037237498384632,0.2683533924518075,0.073550796221408,-0.068990647992881,-0.0388853548837353,0.0,1.8993886873513195,2.233202046084745,0.1048844044295393,-0.2176613648006037,0.0,0.0,0.06428491883416,0.0012314983223109,-0.0833804100271527,1.8194678374339728,-0.3058176948669624,-0.03214245941708,-0.06715528640939145,14.767316216432851,0.2659944010055046,0.01607122970854,1.8194678374339728,-0.3058176948669624,-0.036775398110704,0.181730028605761,0.0816040789873665,-0.0079891405987981,-5.55111153023947,False,v5=c3=e3=0; v12 Appendix-minus; corrected holonomic a5,outer same-action archived 37/41 + exact lower-order completion,outer_same_action_H_SVT,PASS NUMERICAL / 37 action-derived + LO selected
0.5700363801728058,1.7542739986118978,0.537945896166031,0.422783358993327,0.4786107905146519,-0.5073797355769957,0.047205082425439,-0.061605392044284,0.0,0.0066924949432884,-0.3945641438819208,0.2249159163244322,-1.339202677877247,-0.0002797480831522,-0.4934536612628736,-0.2349674524498072,0.2049043731081438,0.265994287074083,0.0,-0.0316592164801551,1.8665074463734912,-0.5319885741481661,0.0,-0.0133878912681512,0.0,-0.0038852522334474,-0.2057078256847542,0.246402127658694,0.265994287074083,-0.0037114629753995,0.2705317871088983,0.07355747450444,-0.0697615871264612,-0.0392187800722399,0.0,1.893661499596569,2.233124978242929,0.1054148486642641,-0.2187492929551668,0.0,0.0,0.0646047563724827,0.0012440291550154,-0.0838017792347203,1.8196920014234,-0.3058056692363011,-0.0323023781862413,-0.06749195552299705,14.55032040447854,0.265994287074083,0.0161511890931206,1.8196920014234,-0.3058056692363011,-0.03677873725222,0.1817601205977152,0.0816034218808445,-0.008077571593537,-5.506128360570163,False,v5=c3=e3=0; v12 Appendix-minus; corrected holonomic a5,outer same-action archived 37/41 + exact lower-order completion,outer_same_action_H_SVT,PASS NUMERICAL / 37 action-derived + LO selected
0.5700545702592087,1.7542180208208689,0.5379743000188675,0.4227677428972878,0.4785926979540075,-0.5074460517243004,0.0474449947367381,-0.0616191677078708,0.0,0.0067650718093431,-0.3945368094618172,0.2249075113691954,-1.2560934756864788,-0.0002825689776693,-0.4935407017970794,-0.2349675541756896,0.2049352624248632,0.2659941719156151,0.0,-0.0320037274508275,1.8664470792307848,-0.5319883438312303,0.0,-0.0135830684130905,0.0,-0.0038724503418463,-0.2057333836354584,0.2464226817196961,0.2659941719156151,-0.0036989903526472,0.2727194745048976,0.0735641910652094,-0.0705103689067501,-0.0395547544026453,0.0,1.887996399987928,2.2330486701495698,0.1059469824021263,-0.2198405777567266,0.0,0.0,0.0649255645551428,0.0012566635056105,-0.084224492024783,1.819916133311432,-0.3057936687854771,-0.0324627822775714,-0.06782966479921317,14.335523543617263,0.2659941719156151,0.0162313911387857,1.819916133311432,-0.3057936687854771,-0.0367820955326047,0.181790313042529,0.0816027917639311,-0.0081656059715985,-5.462440373721976,False,v5=c3=e3=0; v12 Appendix-minus; corrected holonomic a5,outer same-action archived 37/41 + exact lower-order completion,outer_same_action_H_SVT,PASS NUMERICAL / 37 action-derived + LO selected
0.5700727603456116,1.7541620466021588,0.5380027057714772,0.4227521266354108,0.4785746009433276,-0.5075123828557986,0.047685650983354,-0.0616329473248343,0.0,0.0068349359849195,-0.3945094748744759,0.2248991053241902,-1.2576314915225466,-0.0002854124672473,-0.4936272300862051,-0.2349676569555585,0.2049657839405113,0.2659940555640863,0.0,-0.0323354304060738,1.8663867075692235,-0.5319881111281726,0.0,-0.0137799053157353,0.0,-0.0038594544690639,-0.2057589824087162,0.24644317518449,0.2659940555640863,-0.0036863323019262,0.274902650236517,0.0735709458629734,-0.0712330105867536,-0.0398932719966571,0.0,1.8823548206455856,2.232973118937468,0.1064807768048635,-0.220935158452463,0.0,0.0,0.0652473252794971,0.0012694012897882,-0.0846485308538495,1.82014025097233,-0.3057816932052755,-0.0326236626397485,-0.06816839542976878,14.122996343812146,0.2659940555640863,0.0163118313198742,1.82014025097233,-0.3057816932052755,-0.0367854729314867,0.1818206058628596,0.0816021885339325,-0.008253244251422,-5.419999424456824,False,v5=c3=e3=0; v12 Appendix-minus; corrected holonomic a5,outer same-action archived 37/41 + exact lower-order completion,outer_same_action_H_SVT,PASS NUMERICAL / 37 action-derived + LO selected
0.5700909504320145,1.7541060759554254,0.538031113424399,0.4227365102019293,0.4785564994559554,-0.5075787289869781,0.0479270501515366,-0.0616467308958287,0.0,0.0069064260886529,-0.3944821401062336,0.2248906981816178,-1.2830455093156492,-0.0002882786577624,-0.4937150323570271,-0.2349677607944764,0.2049967603899536,0.2659939380137687,0.0,-0.0326748502766127,1.8663263313490503,-0.5319878760275375,0.0,-0.0139784099724007,0.0,-0.0038462636472459,-0.2057848173012592,0.2464639499849288,0.2659939380137687,-0.003673487914418,0.2771087041099238,0.0735777390949586,-0.0719717699910729,-0.0402343445001891,0.0,1.876808678967832,2.232898318617829,0.1070162296996784,-0.2220330290505048,0.0,0.0,0.0655700364575609,0.0012822430519612,-0.0850738372151205,1.8203643342126368,-0.3057697413193967,-0.0327850182287804,-0.0685081453622549,13.912532140845354,0.2659939380137687,0.0163925091143902,1.8203643342126368,-0.3057697413193967,-0.0367888695474793,0.1818509995699732,0.0816016119740631,-0.0083404842541153,-5.378761824446225,False,v5=c3=e3=0; v12 Appendix-minus; corrected holonomic a5,outer same-action archived 37/41 + exact lower-order completion,outer_same_action_H_SVT,PASS NUMERICAL / 37 action-derived + LO selected
0.5701091405184174,1.7540501088803275,0.538059522978172,0.4227208935830406,0.4785383934251871,-0.5076450901203318,0.0481692017458112,-0.0616605184131888,0.0,0.0069777229637139,-0.3944548051231734,0.2248822899221322,-1.2633319809860655,-0.0002911677215274,-0.4938033605193799,-0.234967865705105,0.2050278466818517,0.265993819250332,0.0,-0.0330133810258104,1.866265950470156,-0.531987638500664,0.0,-0.0141786008582567,0.0,-0.0038328756931667,-0.205810806540688,0.2464848611872121,0.265993819250332,-0.0036604551145782,0.2793313145823383,0.0735845711791478,-0.0727089322279202,-0.0405780001647439,0.0,1.871344012676738,2.232824288912494,0.1075533636355733,-0.2231342357493043,0.0,0.0,0.0658937116611283,0.0012951899178506,-0.0855004525670797,1.8205883877367977,-0.3057578150089124,-0.0329468558305641,-0.06884892891193889,13.704161984291668,0.265993819250332,0.016473427915282,1.8205883877367977,-0.3057578150089124,-0.0367922855895739,0.1818814952213438,0.0816010628071371,-0.0084273211650949,-5.338687974443279,False,v5=c3=e3=0; v12 Appendix-minus; corrected holonomic a5,outer same-action archived 37/41 + exact lower-order completion,outer_same_action_H_SVT,PASS NUMERICAL / 37 action-derived + LO selected
0.5701273306048203,1.7539941453765229,0.5380879344333349,0.422705276784396,0.4785202828778049,-0.5077114662462802,0.0484121034367184,-0.0616743098783564,0.0,0.0070482159131395,-0.3944274699389881,0.2248738805535282,-1.2658930111684459,-0.0002940798134054,-0.4938919769048835,-0.234967971682563,0.2050589307405441,0.2659936992793053,0.0,-0.0333481330858074,1.86620556497178,-0.5319873985586105,0.0,-0.01438048364502,0.0,-0.0038192899190563,-0.205836926550667,0.2465058669829591,0.2659936992793053,-0.0036472332629856,0.2815579892257996,0.0735914422824402,-0.0734385533806449,-0.0409242469718823,0.0,1.8659151901842124,2.2327509943881583,0.1080921720887553,-0.2242387621770495,0.0,0.0,0.0662183453658914,0.001308242353965,-0.0859283781413898,1.8208124168060449,-0.3057459091388104,-0.0331091726829457,-0.06919074042970184,13.497812558218648,0.2659936992793053,0.0165545863414728,1.8208124168060449,-0.3057459091388104,-0.0367957211412201,0.181912093253649,0.0816005397402838,-0.0085137532634713,-5.299737844799021,False,v5=c3=e3=0; v12 Appendix-minus; corrected holonomic a5,outer same-action archived 37/41 + exact lower-order completion,outer_same_action_H_SVT,PASS NUMERICAL / 37 action-derived + LO selected
0.5701455206912233,1.753938185443669,0.538116347790427,0.4226896598019616,0.4785021677958243,-0.507777857380373,0.0486557556011982,-0.0616881052931101,0.0,0.0071188757673796,-0.3944001345444005,0.2248654700705057,-1.2405391385098508,-0.0002970151021601,-0.4939812739164578,-0.2349680787302674,0.2050901944862772,0.2659935780968236,0.0,-0.0336836996235724,1.8661451748272464,-0.5319871561936472,0.0,-0.0145840661732882,0.0,-0.003805505386445,-0.205863218913503,0.2465270396924761,0.2659935780968236,-0.003633821479115,0.2838022546382762,0.0735983526231436,-0.0741700902679942,-0.0412730963353022,0.0,1.8605688012203707,2.232678390542803,0.1086326541063271,-0.2253466027283259,0.0,0.0,0.0665439350090181,0.0013214009671267,-0.0863576003822873,1.8210364669889776,-0.3057340172477515,-0.033271967504509,-0.06953357736658389,13.29346883551489,0.2659935780968236,0.0166359837522545,1.8210364669889776,-0.3057340172477515,-0.0367991763115718,0.1819427942309027,0.0816000411490507,-0.0085997783435085,-5.261873664590691,False,v5=c3=e3=0; v12 Appendix-minus; corrected holonomic a5,outer same-action archived 37/41 + exact lower-order completion,outer_same_action_H_SVT,PASS NUMERICAL / 37 action-derived + LO selected
0.5701637107776262,1.753882229081425,0.5381447630499877,0.4226740426402632,0.4784840481992526,-0.5078442635339474,0.0489001590218551,-0.061701904663103,0.0,0.0071868965538793,-0.3943727989497852,0.2248570584789682,-1.204998981082542,-0.0002999737374598,-0.4940701112325471,-0.2349681868446868,0.2051211095442155,0.265993455706888,0.0,-0.0340068034885031,1.866084780065072,-0.531986911413776,0.0,-0.0147893586024691,0.0,-0.0037915208730411,-0.2058895615828656,0.2465481644249636,0.265993455706888,-0.0036202186111913,0.2860391027911138,0.073605302442053,-0.074876224977701,-0.0416245632921567,0.0,1.8552275250227712,2.23260648139686,0.1091748119735308,-0.2264577610757777,0.0,0.0,0.0668704814710805,0.0013346664166716,-0.0867881570768785,1.82126051888104,-0.3057221394240231,-0.0334352407355402,-0.06987744076604407,13.09120969808996,0.265993455706888,0.0167176203677701,1.82126051888104,-0.3057221394240231,-0.0368026512210265,0.1819735987728961,0.0815995671822598,-0.0086853936458477,-5.225059815969433,False,v5=c3=e3=0; v12 Appendix-minus; corrected holonomic a5,outer same-action archived 37/41 + exact lower-order completion,outer_same_action_H_SVT,PASS NUMERICAL / 37 action-derived + LO selected
