u,x,phi,f,h,A0prime,phiprime,a1,a2,a3,a4,a5,a6,a7,a8,a9,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,c6,d1,d2,d3,d4,e1,e2,e3,e4,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,selected_member,construction,T_H,S_SVT,region,certification
0.7143428571428571,1.3998880089592831,0.8591640070152691,0.2893107652879972,0.408191763378317,0.0021928454319332,-1.2459149932177689,0.1280737147903399,-2.049562076279031,-0.1607502036310515,0.1718242352240168,5261.415083926703,0.0136537518060419,-1.898585366521901,-0.2104699934247661,-0.359711803057248,0.2969544446010939,-0.8853712359964447,10.24264771398568,1.1112632017401574,-0.5939088892021879,-1.0845037344567077,-0.4669956929753704,0.0,0.169098752387825,-0.1983175356071411,1.1380784800410757,0.2969544446010939,0.1351508837146426,-0.2971509990334693,0.095284259832187,7.679762687479927,-0.1540807136971643,0.0,4.616912179030908,3.340119335708547,0.0073243654274202,-0.0752758500187003,0.0,0.0,0.0485406576500338,4.015300317331983e-06,-0.0502242879481092,1.45271172134036,-0.1765232596957419,-0.0242703288250169,-0.05945815423650004,1.8399010852296664,v5=c3=e3=0; v12 Appendix-minus; corrected holonomic a5,inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,0.99843355652888,0.0015664434711198,inner_same_action_SVT_H,CANDIDATE / NEEDS DIRECT FULL APPENDIX-A ACTION-JET REGEN
0.7143464285714285,1.3998810101141403,0.8591727268778,0.2893080514528071,0.4082083722953566,0.0021016791107672,-1.2458854111518316,0.1280860431835495,-2.048349648468685,-0.1607469820191032,0.1718269250048099,5164.0190830537795,0.0130905142918522,-1.8093405045778383,-0.2104647244781206,-0.3604450320202963,0.2969618788005055,-0.885464767667535,10.233155605216806,1.1112513546739118,-0.5939237576010111,-1.084574126842141,-0.4598872735315492,0.0,0.1678895016960305,-0.1970188081754679,1.0947746003116623,0.2969618788005055,0.1342887436402245,-0.3470209961784172,0.0949732260025207,7.665026264954134,-0.1493436193203857,0.0,4.441385821702445,3.25118072692663,0.0068329386191106,-0.0719839594471701,0.0,0.0,0.046540399046307,3.590161090234816e-06,-0.0481537150761359,1.4527830712245362,-0.1763321794931961,-0.0232701995231535,-0.05700568901197473,1.7638155897660874,v5=c3=e3=0; v12 Appendix-minus; corrected holonomic a5,inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,0.9984986730332204,0.0015013269667797,inner_same_action_SVT_H,CANDIDATE / NEEDS DIRECT FULL APPENDIX-A ACTION-JET REGEN
0.7143499999999999,1.3998740113389796,0.8591814464462431,0.2893053377473267,0.4082249826493323,0.0020133818488327,-1.2458558485183209,0.1280981101846683,-2.047184698394057,-0.1607439242646206,0.1718296150187879,5066.697681447062,0.0125447711553532,-1.722825964479206,-0.2104594555052726,-0.3611565422883248,0.2969693134090942,-0.8855564936613091,10.223999423302326,1.111240639651288,-0.5939386268181884,-1.0846422982919393,-0.4529966623381419,0.0,0.1667175478156259,-0.195760464841895,1.0527963482676224,0.2969693134090942,0.133453265695667,-0.3953392787161662,0.0946719008428184,7.650761068785528,-0.1447512997314591,0.0,4.27123750573071,3.164962606163748,0.0063722782634843,-0.0688096815729073,0.0,0.0,0.0446021590540863,3.2074573478526265e-06,-0.0461473901169205,1.4528514567465285,-0.1761471143508163,-0.0223010795270431,-0.05462938446910269,1.690122894910453,v5=c3=e3=0; v12 Appendix-minus; corrected holonomic a5,inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,0.9985617406762864,0.0014382593237136,inner_same_action_SVT_H,CANDIDATE / NEEDS DIRECT FULL APPENDIX-A ACTION-JET REGEN
0.7143535714285714,1.3998670126338,0.8591901657204813,0.2893026241715882,0.4082415944394481,0.0019278976392385,-1.2458262573385777,0.1281099208974743,-2.0460663332163245,-0.160741027176185,0.1718323052657426,4969.486070745321,0.0120161914862728,-1.638991947172425,-0.2104541865064896,-0.3618467430085844,0.2969767484265238,-0.8856464492111039,10.215172855858096,1.1112310346414698,-0.5939534968530477,-1.0847082924014702,-0.4463198958975109,0.0,0.1655822154381908,-0.1945417301084155,1.0121195178885127,0.2969767484265238,0.1326439722832607,-0.4421342183038033,0.0943801016948263,7.636958223525506,-0.1403011182249405,0.0,4.106367770826596,3.0814154436207195,0.0059406535592694,-0.0657496489709647,0.0,0.0,0.0427247694758995,2.863242993112337e-06,-0.0442041006271328,1.4529169356988003,-0.1759679506626959,-0.0213623847379497,-0.052327800569371676,1.6187763980851433,v5=c3=e3=0; v12 Appendix-minus; corrected holonomic a5,inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,0.9986227994360612,0.0013772005639387,inner_same_action_SVT_H,CANDIDATE / NEEDS DIRECT FULL APPENDIX-A ACTION-JET REGEN
0.7143571428571428,1.3998600139986002,0.859198884700382,0.2892999107256283,0.4082582076647967,0.0018451706125667,-1.245796648981314,0.128121480413875,-2.0449936608882826,-0.1607382875700697,0.1718349957454656,4872.419384800194,0.011504444742621,-1.5577886317306873,-0.2104489174820391,-0.3625160429339714,0.2969841838524574,-0.8857346694695206,10.206669595966847,1.1112225176659871,-0.5939683677049149,-1.08477215266023,-0.4398530084838848,0.0,0.1644828286999523,-0.1933618298563338,0.9727198937776846,0.2969841838524574,0.1318603851897806,-0.4874339388968063,0.0940976460645647,7.623608862236051,-0.13599043674742,0.0,3.9466781480239375,3.000489683931709,0.0055364153881003,-0.0628005774766858,0.0,0.0,0.0409070632177102,2.5539077432712005e-06,-0.0423226354040801,1.4529795657390916,-0.175794574942723,-0.0204535316088551,-0.05009949885844944,1.549730117451104,v5=c3=e3=0; v12 Appendix-minus; corrected holonomic a5,inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,0.9986818891931228,0.0013181108068771,inner_same_action_SVT_H,CANDIDATE / NEEDS DIRECT FULL APPENDIX-A ACTION-JET REGEN
0.7143607142857142,1.3998530154333797,0.8592076033858129,0.289297197409484,0.4082748223244709,0.0017651450556066,-1.2457670198303423,0.1281327938121885,-2.043965790453704,-0.1607357022713096,0.171837686457749,4775.533209168082,0.0110092008602779,-1.479166191862359,-0.2104436484321886,-0.3631648502860408,0.2969916196865586,-0.8858211894965362,10.19848334430124,1.111215066806115,-0.5939832393731173,-1.0848339224373047,-0.4335920334734651,0.0,0.1634187114072378,-0.1922199916063153,0.9345732591866368,0.2969916196865586,0.1311020257470613,-0.5312668445932923,0.093824351683853,7.610704129461283,-0.1318166167857932,0.0,3.7920694287863697,2.922135762611915,0.0051579934931856,-0.0599592639123191,0.0,0.0,0.0391478746803767,2.276151677836913e-06,-0.0405017848915048,1.4530394043762902,-0.1756268738623987,-0.0195739373401883,-0.04794304294530371,1.4829380108760049,v5=c3=e3=0; v12 Appendix-minus; corrected holonomic a5,inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,0.9987390497172588,0.001260950282741,inner_same_action_SVT_H,CANDIDATE / NEEDS DIRECT FULL APPENDIX-A ACTION-JET REGEN
0.7143642857142857,1.3998460169381368,0.8592163217766412,0.289294484223192,0.4082914384175632,0.0016877654301826,-1.2457373726935328,0.1281438661554161,-2.042981832379051,-0.1607332681147772,0.1718403774023845,4678.863108816468,0.0105301303747219,-1.403074815888247,-0.2104383793572056,-0.3637935726035998,0.2969990559284908,-0.8859060442475564,10.190607811471049,1.1112086602103113,-0.5939981118569817,-1.0848936449667577,-0.4275330049466224,0.0,0.1623891873140747,-0.191115444790849,0.8976554056960567,0.2969990559284908,0.1303684150328735,-0.5736615779851267,0.0935600365780437,7.598235184514054,-0.1277770204284485,0.0,3.642441790081694,2.846304125999572,0.0048038937076481,-0.0572225839209921,0.0,0.0,0.0374460401923339,2.0269614325100774e-06,-0.0387403416266634,1.4530965089498846,-0.1754647342927193,-0.0187230200961669,-0.045856999031703316,1.4183540121904494,v5=c3=e3=0; v12 Appendix-minus; corrected holonomic a5,inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,0.9987943206540144,0.0012056793459856,inner_same_action_SVT_H,CANDIDATE / NEEDS DIRECT FULL APPENDIX-A ACTION-JET REGEN
0.7143678571428571,1.399839018512871,0.8592250398727349,0.289291771166789,0.4083080559431664,0.0016129763920637,-1.2457076999997343,0.1281547024895059,-2.0420408988870364,-0.1607309819462617,0.171843068579164,4582.445066907002,0.0100669045433855,-1.3294647268456052,-0.2104331102573575,-0.3644026165904764,0.2970064925779175,-0.8859892685614084,10.183036720383411,1.1112032761016866,-0.594012985155835,-1.0849513633329486,-0.4216719593004159,0.0,0.1613935804015897,-0.1900474210280391,0.861942142958024,0.2970064925779175,0.1296590740731818,-0.6146469798575513,0.0933045191341354,7.586193204780415,-0.1238690114333469,0.0,3.4976949155863126,2.7729452513260813,0.0044726952268741,-0.0545874898479871,0.0,0.0,0.0358003984446389,1.8035879524609844e-06,-0.0370371006898143,1.4531509366093645,-0.1753080433462795,-0.0179001992223194,-0.043839936444484535,1.3559320664750671,v5=c3=e3=0; v12 Appendix-minus; corrected holonomic a5,inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,0.9988477415111794,0.0011522584888206,inner_same_action_SVT_H,CANDIDATE / NEEDS DIRECT FULL APPENDIX-A ACTION-JET REGEN
0.7143714285714285,1.3998320201575811,0.8592337576740325,0.2892890582402898,0.4083246749009013,0.0015407228099423,-1.2456780601085915,0.1281653078416113,-2.0411421040685167,-0.160728840623554,0.1718457599878792,4486.314886130582,0.0096191953845906,-1.258286177871854,-0.2104278411329115,-0.3649923880619393,0.2970139296345021,-0.8860708971482923,10.175763807071633,1.1111988927855037,-0.5940278592690044,-1.0850071204558065,-0.4160049349443635,0.0,0.1604312147891181,-0.1890151543169509,0.8274092966262981,0.2970139296345021,0.1289735237587768,-0.6542513536112525,0.0930576181265755,7.574569386870197,-0.1200899550801375,0.0,3.357730349158468,2.7020096418587616,0.0041630478878958,-0.0520510082344136,0.0,0.0,0.0342097906441138,1.603525709940801e-06,-0.0353908598718379,1.4532027443121267,-0.1751566883915003,-0.0171048953220569,-0.04189042782243857,1.295628010453794,v5=c3=e3=0; v12 Appendix-minus; corrected holonomic a5,inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,0.9988993516452288,0.001100648354771,inner_same_action_SVT_H,CANDIDATE / NEEDS DIRECT FULL APPENDIX-A ACTION-JET REGEN
0.714375,1.399825021872266,0.8592424751809409,0.2892863454435622,0.408341295293861,0.0014709497844666,-1.2456484578329794,0.1281756872183426,-2.0402845630953648,-0.160726841017535,0.1718484516283231,4390.5087821683355,0.0091866753782603,-1.1894893476398445,-0.2104225719841342,-0.3655632922912493,0.2970213670979097,-0.88615096457769,10.168782815311332,1.1111954886567064,-0.5940427341958197,-1.0850609590760545,-0.4105279642453783,0.0,0.1595014131566817,-0.1880178809120269,0.7940326585267776,0.2970213670979097,0.1283112836076097,-0.6925004067309415,0.0928191525713927,7.563354939030798,-0.1164372131041602,0.0,3.2224583617620537,2.633447721261919,0.0038736693579942,-0.04961023561946,0.0,0.0,0.0326730595230345,1.424493276809139e-06,-0.0338004186980629,1.453251988913779,-0.1750105569537794,-0.0163365297615172,-0.040007047902810663,1.2374069149116629,v5=c3=e3=0; v12 Appendix-minus; corrected holonomic a5,inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,0.9989491902477216,0.0010508097522783,inner_same_action_SVT_H,CANDIDATE / NEEDS DIRECT FULL APPENDIX-A ACTION-JET REGEN
