u,x,phi,A0prime,f3,f4,N4,tilde_f3_reserve,JAres,alpha4,alpha6,alpha7,Codd,odd_angular_margin_lb
0.5515470887294105,1.8130818209986077,0.5099683614615382,0.0,0.924839998776856,-0.4462162995727648,-0.003955487068444459,0.0,6.418476861114186e-17,1.848092577534005,-0.035428959913206715,0.16324955294503943,0.05823862855985657,0.6529982117801577
0.5515901879932578,1.8129401533375773,0.51003169500535,0.0,0.8778839452192595,-0.46463538440553953,-0.0044697128589618745,0.0,-1.8810907692623502e-17,1.8321720793500726,-0.035431827733936015,0.16328736842913766,0.06005689667158794,0.6531494737165506
0.5516310138786281,1.8128059787081217,0.5100916952047506,0.0,0.8354335561685857,-0.4812805173895854,-0.00493639523657994,0.0,4.7704895589362195e-17,1.8177891945455105,-0.035434543239045664,0.16332319944561943,0.06170092733732513,0.6532927977824777
0.551674102593381,1.812664388810478,0.5101550287485624,0.0,0.7930435849295022,-0.4978932673484653,-0.005405071755673256,0.0,-5.5402731014009277e-17,1.8034419739982994,-0.03543740815071549,0.16336102722000875,0.06334271706015483,0.653444108880035
0.5517171858885281,1.8125228388336725,0.5102183622923743,0.0,0.7534162717629448,-0.5134123132456202,-0.005846791929554207,0.0,2.174909558005922e-16,1.7900515176001213,-0.035440271567604625,0.16339886130789424,0.06487743920121111,0.653595445231577
0.5517602637623723,1.8123813287697568,0.5102816958361861,0.0,0.7168348111789271,-0.5277250386903035,-0.006259138266625106,0.0,-2.5153490401663703e-16,1.7777188563502024,-0.035443133489076434,0.1634367017108131,0.06629393500661977,0.6537468068432524
0.5518010693773471,1.8122473034138933,0.5103416960355868,0.0,0.6852446815956846,-0.5400697246891937,-0.006620497410619903,0.0,3.903127820947816e-18,1.7671028339584434,-0.035445843403096554,0.1634725563401959,0.06751670888309562,0.6538902253607836
0.55184413668905,1.812105871052272,0.5104050295793986,0.0,0.6545476873300623,-0.5520511886666866,-0.006975449451431187,0.0,-1.7997756063259374e-16,1.7568182143056998,-0.03544870241061473,0.16351040904522232,0.06870453016688295,0.6540416361808893
0.5518871985744533,1.8119644785801157,0.5104683631232104,0.0,0.625802823990434,-0.563259703512873,-0.007309648109406321,0.0,-3.3176586478056436e-16,1.7472106830954912,-0.03545155992084218,0.1635482680698123,0.06981663223662948,0.6541930722792492
0.5519302550318635,1.8118231259894768,0.5105316966670223,0.0,0.5989779273294772,-0.573707853362869,-0.007624069179679141,0.0,-6.505213034913027e-19,1.7382698738390587,-0.03545441593314436,0.1635861334155025,0.07085421028791282,0.65434453366201
