u,x,phi,f,h,phiprime,A0prime,X,a1,a2,a3,a4,a5,a6,a7,a8,a9,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,c6,d1,d2,d3,d4,e1,e2,e3,e4,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,alpha1,alpha2,alpha4,alpha5,alpha6,alpha7,f3phi_holonomic,f3phiX_holonomic,f4phi_holonomic,f4phiX_holonomic,v6phi_selected
0.7099849962490622,1.4084804682959815,0.848315490505384,0.2927168974869094,0.3890455746686341,-1.2776736986610973,1.4084804682959815,-0.3175487397944234,0.0,-6.234065698577984,-0.23765391320310555,0.16873071267408188,-2622.698406349568,-6.219152899175509,-641.1448149217405,-0.21685211664185702,0.6623201686879995,0.28821484875437997,0.0,23.517275995974646,1.6237799405736986,-0.5764296975087599,0.0,-313.24596557648823,2617.81760625575,19.07410576221759,2.599867013395535,218.91818577375614,0.28821484875437997,14.168683407070317,-39.386610854843546,3.0869711972048774,-23.187215273276376,-231.73503979268452,-1241.094360279294,527.8687654513177,642.059766876808,904.3286411246553,-910.8355167825795,-3.964717620136298,-3732.327415338415,2.821528615017991,318.4323069861807,-21.17085582656418,15.087423648272392,-2.1944234997375935,-1.4107643075089955,-3.6262186215859176,-974.0744393103433,0.28821484875437997,0.7053821537544978,15.087423648272392,-2.1944234997375935,-1.5434855986024387,13.107041926808042,242.871864925338,-1415.1278230342928,-89.90011864982249,31.434375746449042,-51.58154554324404
0.7099587396849212,1.4085325584467046,0.8482489320102832,0.2927379803038977,0.3889372893563906,-1.277837955033739,1.4085325584467048,-0.317541984589398,0.0,-6.233367489452371,-0.23763818252512137,0.16871330456655043,-2610.379037841498,-6.200818459338548,-638.6055264287781,-0.21689011208688097,0.6629434894979463,0.2881643584331037,0.0,23.513528358689054,1.6235555241477309,-0.5763287168662073,0.0,-312.9803450912407,2605.645517391609,18.988313387052795,2.56636104334442,217.7438576064714,0.2881643584331037,14.100165897171339,-39.251695212462366,3.0799319427606098,-23.041705370609805,-231.5720215294777,-1289.3505316564824,526.3526085248885,639.4510480694242,900.687620738653,-907.1956467238269,-3.964006471757358,-3714.7385198913007,2.8223323625208847,317.16195970007254,-21.127205036293947,15.113492113741502,-2.1900038820270344,-1.4111661812604424,-3.6282614701090385,-970.7868324789039,0.2881643584331037,0.7055830906302212,15.113492113741502,-2.1900038820270344,-1.5399659713803049,13.0803529993165,242.07999064985523,-1411.0554406299157,-89.62245526351067,31.354188628062,-51.38697438326195
0.7099324831207802,1.4085846524504937,0.8481823600437772,0.292759069666533,0.388829091974931,-1.2780018795219297,1.4085846524504937,-0.3175351013080434,0.0,-6.232667691989785,-0.23762247291231633,0.16869591223994104,-2598.1357437192387,-6.182557655759641,-636.081519575294,-0.21692809993087836,0.663566335688629,0.288113895894146,0.0,23.509770176083816,1.6233312476568535,-0.576227791788292,0.0,-312.71574435632147,2593.54915959588,18.902865723534973,2.532994083113153,216.57679579774367,0.288113895894146,14.031947355235276,-39.11783094398464,3.0729216555439587,-22.896816656778665,-231.40957918461862,-1260.0949656699331,524.1556326615072,636.8581162222133,897.0685682991425,-903.577740600901,-3.9632953045762918,-3697.2587290289853,2.8231337539181762,315.89925437547737,-21.083730348853063,15.139298058274566,-2.1856022661059233,-1.4115668769590881,-3.6303016057504673,-966.3380952086648,0.288113895894146,0.7057834384795441,15.139298058274566,-2.1856022661059233,-1.5364608277719793,13.053771608114834,240.99127363616725,-1405.1351047559162,-89.21837762792832,31.22553484334135,-51.19391966756442
0.7099062265566392,1.408636750307776,0.8481157746213464,0.2927801655716225,0.3887209825767979,-1.2781654720782858,1.408636750307776,-0.3175280900904711,0.0,-6.231966315023024,-0.23760678439225633,0.16867853571216365,-2585.967611789117,-6.164369206011154,-633.5725416451305,-0.21696608013543311,0.6641887100629098,0.28806346116861525,0.0,23.506001504849635,1.6231071112918736,-0.5761269223372305,0.0,-312.4522703316071,2581.5288939723887,18.817756266572676,2.499763625177806,215.41684137949434,0.28806346116861525,13.964022631914942,-38.98479908850828,3.065939847903548,-22.752539034733736,-231.2478017406681,-1233.9394287852474,522.2972765242513,634.2807131653364,893.471122576118,-899.9814371974905,-3.962584119937077,-3679.8867075863686,2.823932798394449,314.6440646498658,-21.04042854141417,15.164902310767852,-2.1812183184934293,-1.4119663991972244,-3.632339036183282,-962.4622590673022,0.2880634611686152,0.7059831995986122,15.164902310767852,-2.1812183184934293,-1.532969923951774,13.027295805140733,240.04894594933663,-1400.12761999877,-88.87600644825794,31.12025550091055,-51.00207018947354
0.7098799699924981,1.4086888520189798,0.8480491757584799,0.2928012680159687,0.3886129612144156,-1.2783287325483692,1.4086888520189798,-0.3175209510235603,0.0,-6.231263367407425,-0.23759111699248706,0.16866117500111083,-2573.869514808777,-6.146245668199383,-631.0773871936998,-0.21700405266211995,0.6648106151693867,0.2880130542875799,0.0,23.50222240249252,1.622883115243404,-0.5760261085751598,0.0,-312.18978038647066,2569.579428978443,18.732946930668188,2.466655274875638,214.26344714844947,0.2880130542875799,13.896362906803715,-38.852609836647304,3.058983728741452,-22.608816052713195,-231.0866089931641,-1207.3630133805846,520.5464080980439,631.7176205893136,889.8935697481215,-896.4050227048173,-3.9618729190429747,-3662.615177272962,2.8247295046267444,313.3957877968883,-20.997280516514635,15.190291860751804,-2.1768500559018333,-1.4123647523133722,-3.634373768439766,-958.7616056226407,0.2880130542875799,0.7061823761566861,15.190291860751804,-2.1768500559018333,-1.529491864370726,13.000914095835533,239.15135190968647,-1395.4036898478716,-88.55222728935887,31.02184026159803,-50.81143937768174
0.709853713428357,1.4087409575845324,0.8479825634706782,0.2928223769963696,0.3885050279400895,-1.2784916608291013,1.4087409575845324,-0.3175136842196828,0.0,-6.230558857455247,-0.2375754707405339,0.16864383012465797,-2561.8407885792317,-6.128186443440001,-628.5959177279733,-0.2170420174725051,0.6654320533696338,0.28796267528206837,0.0,23.498432922496647,1.6226592597018592,-0.5759253505641367,0.0,-311.9281709856225,2557.7002611174103,18.648434580561734,2.433667782306764,213.1165776438135,0.28796267528206837,13.828965579793175,-38.721247234705054,3.052053068193278,-22.465642799365067,-230.92592246265244,-1179.4499969461767,518.7810749710194,629.1686958021812,886.3357110065762,-892.8482983263502,-3.961161703158922,-3645.443198731732,2.8255238807402367,312.15435456619286,-20.954284805606374,15.2154512544773,-2.1724973269505683,-1.4127619403701184,-3.6364058088534628,-955.0433531264817,0.28796267528206837,0.7063809701850592,15.2154512544773,-2.1724973269505683,-1.526026534096639,12.974625588624024,238.249210266955,-1390.6446645968977,-88.22613336640815,30.922310500976828,-50.622004379950965
0.709827456864216,1.4087930670048616,0.84791593777345,0.2928434925096192,0.3883971828060049,-1.278654256823212,1.4087930670048618,-0.3175062897940591,0.0,-6.229852793213089,-0.23755984566390162,0.16862650110066293,-2549.880951570102,-6.110191236373329,-626.1280423738655,-0.21707997452814667,0.6660530269132781,0.28791232418306845,0.0,23.494633116455415,1.6224355448574521,-0.5758246483661369,0.0,-311.6675524290406,2545.890844863079,18.56421804134304,2.400800684996354,211.97615232123542,0.28791232418306845,13.761829533801906,-38.59071333997714,3.0451477499176973,-22.32301665289995,-230.7658293104951,-1152.7898152982407,517.0342716060676,626.6338441398988,882.7974151748946,-889.3111328971293,-3.9604504735626733,-3628.37007629682,2.826315934547202,310.919719517051,-20.911440721231227,15.24038762756624,-2.1681600614139795,-1.413157967273601,-3.6384351633658465,-951.3613127350925,0.2879123241830684,0.7065789836368005,15.24038762756624,-2.1681600614139795,-1.5225738749588487,12.948429861747714,237.35626732116611,-1385.938031714673,-87.9035646607601,30.82386180052525,-50.433767954099004
0.709801200300075,1.4088451802803952,0.8478492986823121,0.292864614552507,0.3882894258642252,-1.2788165204409654,1.4088451802803952,-0.3174987678656124,0.0,-6.229145182924691,-0.23754424179007363,0.1686091879469655,-2537.9895037882316,-6.092259698342886,-623.6736625447846,-0.21711792379059502,0.666673538125198,0.28786200102152654,0.0,23.490823037270392,1.6222119709001914,-0.5757240020430531,0.0,-311.4078687808225,2534.150659738786,18.480295524783184,2.3680532478805496,210.8421401004072,0.28786200102152654,13.69495318325652,-38.46099905126176,3.038267637928573,-22.180934591445283,-230.60628717753468,-1126.8255216286107,515.2840082778833,624.1129631941103,879.278540146538,-885.7933843225934,-3.9597392315369575,-3611.395085886534,2.827105674094549,309.691833352358,-20.86874743869207,15.265098709019771,-2.163838174804688,-1.4135528370472745,-3.640461838230839,-947.6792421370484,0.2878620010215266,0.7067764185236373,15.265098709019771,-2.163838174804688,-1.5191338189642865,12.922326410972008,236.46328274964927,-1381.2252103544952,-87.580589443367,30.725078680770878,-50.246717010953965
0.709774943735934,1.4088972974115608,0.8477826462127904,0.2928857431218189,0.3881817571666935,-1.278978451551982,1.4088972974115608,-0.3174911185330459,0.0,-6.228436034752532,-0.237528659146513,0.1685918906813881,-2526.166208848856,-6.07439191006379,-621.23274608208,-0.21715586522139313,0.667293589297691,0.28781170582834803,0.0,23.487002737511993,1.6219885380198829,-0.5756234116566961,0.0,-311.1490828530244,2522.479414753527,18.396667763565663,2.3354257275444956,209.7145364346212,0.28781170582834803,13.628336846351319,-38.332096804633224,3.0314127558536934,-22.039396826599763,-230.44726629588482,-1100.0536208812036,513.5392612255672,621.606017516481,875.7790381337334,-882.2950048266414,-3.9590279783149356,-3594.517884016199,2.827893107290178,308.4706799890783,-20.82620523871217,15.28959916159642,-2.1595316975184504,-1.413946553645089,-3.642485839533954,-944.0094143848257,0.28781170582834803,0.7069732768225445,15.28959916159642,-2.1595316975184504,-1.5157063779268467,12.896315396811623,235.57338140172757,-1376.5281293385785,-87.25854360447948,30.626431459034325,-50.06084069328982
0.709748687171793,1.4089494183987863,0.847715980380422,0.2929068782143356,0.3880741767652355,-1.279140050047434,1.4089494183987863,-0.3174833419057353,0.0,-6.227725356717445,-0.23751309776066223,0.16857460932173576,-2514.409210848741,-6.056585358928208,-618.8048632617798,-0.2171937987820748,0.6679131826796851,0.2877614386343989,0.0,23.48317226864563,1.6217652464061376,-0.5755228772687978,0.0,-310.8912387142633,2510.8754363308926,18.313321645191934,2.3029130813336502,208.593115747801,0.2877614386343989,13.561970430724443,-38.20399860954705,3.0245821628054315,-21.898384066711436,-230.28881190097775,-1072.0087008364162,512.0111894734636,619.1125711269202,872.2982970126515,-878.8153822970143,-3.9583167151554335,-3577.7358344992813,2.8286782419260788,307.25604456155673,-20.783807717731626,15.313865049776792,-2.1552399651523557,-1.4143391209630394,-3.6445071732217844,-940.6959365341907,0.2877614386343989,0.7071695604815197,15.313865049776792,-2.1552399651523557,-1.5122910814027157,12.870392960630834,234.77412154996034,-1372.4064657979518,-86.97480104990589,30.54102461923581,-49.87612724960852
