u,M11_1,M13_1,M33_1,M12_0,M23_0,M22_0,M1,M2,C1,C2,Disc,cV,cminus,cplus
0.61,1456.4246683512529,44286.60682380031,322211.3968200415,898.2260937541546,-4568.340658834815,-333.4576509125633,-3036.30171966278,45.24933429812045,3034.4825087426148,129860.53154944757,8688641.969667083,1.0000000000000007,43.41613163225907,2991.0663771103555
0.610026256564141,1462.934350698806,46618.94337125207,356647.4034601684,1020.68909696368,-3687.7354180100992,-335.967718825956,-3040.68001517913,45.257466767330236,3039.090997684625,130760.37283378831,8713032.600872576,1.0,43.65317546023607,2995.437822224389
0.610052513128282,1469.8312558727935,49078.81451474395,392963.35648119194,1167.7834592493,-2624.1457608585497,-338.8319311440461,-3046.44096839725,45.2926137871774,3045.10005972534,131856.13946020295,8745209.81589846,1.0000000000000002,43.934983958356725,3001.165075766983
0.6100787696924231,1477.2183832429598,51733.380924062614,432181.67728518986,1310.6817713358098,-1598.7622207502172,-342.0945442738596,-3053.635684425141,45.35942493843772,3052.561583440306,133168.08166067765,8785459.894052878,1.0000000000000002,44.26696806221571,3008.2946153780904
0.6101050262565642,1485.0449252489823,53335.15201767972,455210.4372803421,1407.1070428322687,-933.7794683797911,-345.68123804077584,-3062.1992451651145,45.4508400312298,3061.4077794452087,134666.1469066858,8833553.004420899,0.9999999999999999,44.639203679219236,3016.768575765989
0.6101312828207052,1492.9057167003307,52400.97948997507,439382.55296241597,1339.4894067504254,-1527.147519645143,-349.3660465553281,-3070.8639453052356,45.548270895178455,3070.360136317638,136207.8415627336,8882280.000437532,1.0,45.022358347745694,3025.337777969892
0.6101575393848462,1500.4622770082447,50551.15556095398,409583.87837385805,1211.6464024082966,-2576.3487100664206,-352.70626124398206,-3078.251469968085,45.61465190791261,3078.020383603433,137560.16403089167,8923968.825754657,0.9999999999999998,45.35956115254612,3032.660822450887
0.6101837959489872,1507.6848793286867,49324.88869080282,389405.6194087035,1138.873099589759,-3200.138551992035,-355.83440836173975,-3084.628185959488,45.6629379186846,3084.6592483387267,138784.95161695752,8959982.871893808,1.0,45.668099985136905,3038.99114835359
0.6102100525131283,1514.6870843167076,47989.421574020846,367583.2142054327,1046.8543279081005,-3968.380352580967,-358.7418406620211,-3090.157971901948,45.69133907028911,3090.4414775310897,139885.56685211306,8991286.258636093,1.0000000000000004,45.94705972658335,3044.494417804506
0.6102363090772693,1521.4140088143974,46524.63372455399,343823.61497500807,952.2516710941385,-4753.034255835149,-361.4092763516245,-3094.6350475705963,45.69955349412018,3095.159321100393,140844.47076231582,9016633.339945382,0.9999999999999998,46.19418873213408,3048.9651323682588
0.6102625656414103,1527.8320199964662,45240.25943046065,322889.71853895416,872.6218163535125,-5418.629076162348,-363.8411111589368,-3098.185999839078,45.68742873580987,3098.940287766712,141668.71210735472,9036756.058714213,1.0000000000000002,46.41025995372593,3052.530027812986
0.6102888222055514,1533.9695293039003,43510.57302379111,295125.9511339007,759.6912932411692,-6338.248027480027,-366.0530649652498,-3100.8110673117117,45.65789620996304,3101.7838898050313,142364.01106408678,9051607.254797684,1.0,46.597487790005744,3055.1864020150256
0.6103150787696924,1539.7755825542308,42004.594520369574,270884.03120990854,668.53888103608,-7084.278101839411,-367.9408064307379,-3102.2260566642244,45.60155809583288,3103.40225963171,142876.95676010952,9059597.758046765,1.0000000000000004,46.742844841918895,3056.6594147897913
0.6103413353338334,1545.4728250491908,42758.7040960964,281619.528143286,704.9849376796998,-6842.914767216565,-369.76913833585695,-3103.2101598536333,45.54026585002603,3104.586603973245,143345.5666918591,9065075.71480269,1.0000000000000002,46.88009336226855,3057.7065106109767
0.6103675918979745,1551.4591769671413,44979.50397883557,314996.33830846753,836.3247410854563,-5870.430479558956,-371.8269227788457,-3105.2489673653154,45.49652606259169,3106.8366276024067,143950.0992056084,9076633.433789462,1.0000000000000004,47.04573092292844,3059.7908966794785
0.6103938484621155,1557.7547304131053,45817.17052397695,326872.3174717501,881.5877938646704,-5570.466084663303,-374.20135877065366,-3108.2847264170373,45.47728201905028,3110.0984657666713,144721.21742332293,9093827.59707091,1.0000000000000004,47.250539666058785,3062.8479261006123
