u,C1,C2,disc,cV,cminus,cplus,M1,M2,M22_0
0.7099849962490622,-2968.9711716064476,5980345.279123683,-15106591.298664572,0.03847065577162139,-1484.4855858032238,-1484.4855858032238,121.04904164074198,-4.380428463920292,-19148.08103944838
0.7099587396849212,-3002.7875710268836,6013958.29621648,-15039099.98815239,0.0385920014205615,-1501.3937855134418,-1501.3937855134418,120.31263339904986,-4.377106968624796,-18983.46726706571
0.7099324831207802,-3032.6485460704394,6026773.937883253,-14910138.547549862,0.03871355219254651,-1516.3242730352197,-1516.3242730352197,119.88855954050673,-4.362635339107267,-18780.140664536808
0.7099062265566392,-3067.224060554389,6054526.399168086,-14810242.159028592,0.03883531384067831,-1533.6120302771944,-1533.6120302771944,119.45876979186441,-4.353023473417678,-18598.28736005021
0.7098799699924981,-3104.5837464126334,6089048.573724076,-14717754.056406802,0.03895733388549838,-1552.2918732063167,-1552.2918732063167,119.08210737932211,-4.344668299202258,-18423.96486560154
0.709853713428357,-3143.7204935373466,6126117.992438717,-14621493.42826817,0.03907961444952758,-1571.8602467686733,-1571.8602467686733,118.69053333707507,-4.336152225208274,-18250.534167558126
0.709827456864216,-3185.0503636889166,6167091.557612697,-14523820.411215886,0.03920215563542842,-1592.5251818444583,-1592.5251818444583,118.30081406528862,-4.327878074999053,-18079.79628340166
0.709801200300075,-3228.4652671697054,6211262.056132908,-14422060.243210474,0.039324957922591344,-1614.2326335848527,-1614.2326335848527,117.89348440012745,-4.319604747640178,-17910.50053658842
0.709774943735934,-3274.179752196032,6259168.365054039,-14316420.410525687,0.03944801884570757,-1637.089876098016,-1637.089876098016,117.52680711152371,-4.311222509147862,-17743.02224006733
0.709748687171793,-3324.3962669634743,6318923.910883606,-14224085.103733743,0.03957135388598511,-1662.1981334817372,-1662.1981334817372,117.18790398948776,-4.305787094799678,-17588.783399382628
0.7097224306076519,-3378.6487763185105,6388248.6237703655,-14137726.941362893,0.039695014627029755,-1689.3243881592552,-1689.3243881592552,116.84452964286943,-4.3024284519336495,-17443.73451208164
0.7096961740435108,-3433.3770725824497,6453314.3090639375,-14025179.113720918,0.039818987226222284,-1716.6885362912249,-1716.6885362912249,116.51284668318604,-4.295861513681854,-17288.102723402066
0.7096699174793698,-3487.979699776379,6511641.719642293,-13880564.49251705,0.03994321285895241,-1743.9898498881896,-1743.9898498881896,116.07828786800404,-4.285732493782425,-17119.33589470094
0.7096436609152288,-3542.800114073056,6564287.906469444,-13705718.977601714,0.040067638401279956,-1771.400057036528,-1771.400057036528,115.61963518594365,-4.272090596611159,-16939.011242442157
0.7096174043510878,-3598.032887669257,6611898.25112444,-13501752.343748188,0.04019220657608593,-1799.0164438346285,-1799.0164438346285,115.09221839756324,-4.25545790705406,-16748.775019180586
0.7095911477869468,-3652.5096033767686,6649944.663812943,-13258952.25249225,0.04031686399193692,-1826.2548016883843,-1826.2548016883843,114.47829055012411,-4.234337657675267,-16543.205860752303
0.7095648912228056,-3707.3107563220697,6682245.751592324,-12984829.96242798,0.04044152933197875,-1853.6553781610348,-1853.6553781610348,113.87260933336675,-4.209673267546453,-16327.387317856723
0.7095386346586646,-3768.5717909580903,6730553.189984249,-12720079.416331928,0.04056620294040981,-1884.2858954790452,-1884.2858954790452,113.27243564952444,-4.189026557211251,-16128.679929608363
0.7095123780945236,-3839.488514269542,6805292.650692799,-12479498.55156346,0.04069097771431084,-1919.744257134771,-1919.744257134771,112.79457102543482,-4.175145248879107,-15957.957695666526
0.7094861215303826,-3920.2195933158955,6905907.880703559,-12255509.862996392,0.04081595493678595,-1960.1097966579478,-1960.1097966579478,112.4165978116302,-4.167538618933937,-15812.543807570275
0.7094598649662416,-4011.525930152813,7034039.154785351,-12043816.330853011,0.040941236863894157,-2005.7629650764065,-2005.7629650764065,112.1533149374539,-4.166228712031889,-15692.093975680391
0.7094336084021005,-4114.860312898618,7193683.76595128,-11842659.669137008,0.041066929700356025,-2057.430156449309,-2057.430156449309,112.00043577284124,-4.1719779993431185,-15598.619025218402
0.7094073518379594,-4227.3265582030635,7373600.418444646,-11624111.844089624,0.04119313158479613,-2113.6632791015318,-2113.6632791015318,111.84301095858255,-4.181143284976996,-15517.420510344733
0.7093810952738184,-4342.320756563128,7549913.038531814,-11343902.601248275,0.041319831325446026,-2171.160378281564,-2171.160378281564,111.69335259034109,-4.1858918149019635,-15421.438942822737
