u,x,R,K11,K13,K33,K12,K23,K22,M11,M13,M33,eq46_11,eq46_13,eq46_33,kinetic_residual,kinetic_scaled,projected_residual,projected_scaled,literal_residual,literal_scaled,predicted_residual,prediction_scaled,rank1_scaled,null_quadratic_B1,null_quadratic_B2,alpha7_scaled,m5_minus_shortcut_B1,m5_minus_shortcut_B2,projected_eq47_m5_minus_B1,projected_eq47_m5_minus_B2,m5_plus_shortcut_B1,m5_plus_shortcut_B2,projected_eq47_m5_plus_B1,projected_eq47_m5_plus_B2,leading_eps_power,action_root0,action_root1,action_root2,action_B1,action_B2,vector_factor_remainder,literal_shortcut_B1,literal_shortcut_B2
0.61,1.639344262295082,-0.14426544646750297,2.397309738660651,18.275257757966756,139.31660174488667,11.455983203638718,285.4814264402869,53.22152310793216,-0.3458489597687716,-2.6364882197617714,-20.09857175106137,1.6050691975008853e-16,0.0,3.5352896940180706e-16,-3.183231456205249e-12,8.790450815234148e-16,7.958078640513122e-13,1.5233118931937507e-15,4143.657521104136,1.1442654464675033,4143.657521104135,2.1949079940626475e-16,3.40394993854684e-16,-2229.340129345712,-88530.30730301334,8.209190365734824e-11,-2798.18334274852,-16684.15663758916,1139.0505221606572,-70790.28021624169,-2719.654003501481,-132551.32556379162,1993.967415756478,-365132.2204400972,3,-2268.3683182820077,1.0000000000000002,39.02818893629386,-2229.340129345714,-88530.30730301343,4.547473508864641e-13,-2798.373228922093,-16673.675603768705
0.610026256564141,1.6392737021391723,-0.14426902009119094,2.397885262042128,18.301211780209126,139.679057178417,11.4835305618709,286.44358609397887,53.32817221518434,-0.3459405570459264,-2.6402978900121314,-20.15136070639163,0.0,3.363932619345631e-16,1.057808571013364e-15,4.547473508864641e-12,1.2499047609849605e-15,3.410605131648481e-13,6.497781506703116e-16,4163.143639663122,1.144269020091191,4163.143639663122,0.0,1.5274359459971176e-15,-5384.121667112987,-79365.11570679159,1.4275870241639875e-11,-5840.969182462965,-33410.78573864753,1012.0709826574881,-43564.66257313257,-5762.144103009549,-264927.528095774,1871.0981274678832,-300366.3198981995,3,-5398.822117319042,0.9999999999999992,14.700450206017074,-5384.121667113023,-79365.1157067922,-7.366907084360719e-11,-5840.945542114731,-33411.85302639552
0.610052513128282,1.6392031480570586,-0.1442725922704574,2.3984582678644317,18.32717956633008,140.04225771064887,11.511076896536771,287.40782385705444,53.434871277446575,-0.34603179175731247,-2.6441097050405977,-20.204259547322746,6.416884523742285e-16,1.679541544753129e-16,8.791991783908918e-16,4.092726157978177e-12,1.1196574999623828e-15,0.0,0.0,4182.702630402726,1.1442725922704573,4182.702630402727,2.1744187482086398e-16,1.1846415494702406e-15,-5722.041052005011,-139095.84607987158,1.3913811196726952e-12,-6397.92556092563,-37555.575172367506,1240.4642225980535,-99892.7272452273,-6318.775243689714,-293459.81192819925,2103.8210081175384,-432959.514956293,3,-5746.247431514033,0.9999999999999991,24.20637950900469,-5722.041052005028,-139095.84607987214,-1.0913936421275139e-10,-6397.932288772128,-37555.1446079682
0.6100787696924231,1.6391326000479565,-0.1442761630049104,2.3990289673455125,18.353168961739,140.40631252187262,11.538628171337782,288.3743925819035,53.54164846664117,-0.34612269434624304,-2.6479247967805164,-20.25728403232408,1.6037998125522325e-16,6.708486742372878e-16,3.507591316912491e-16,-1.3642420526593924e-12,3.714762736713897e-16,-2.2737367544323206e-13,4.291264127703327e-16,4202.340154859968,1.1442761630049103,4202.340154859968,0.0,1.3500444014154239e-15,-6416.54066577973,-196262.72664584342,2.4111381601202162e-12,-7244.384205350475,-43520.7746482905,1397.711761974256,-151552.82148069047,-7164.8727855961015,-334896.1086367849,2265.7034817391063,-538454.9263082565,3,-6446.983233958256,0.9999999999999999,30.44256817856536,-6416.540665779691,-196262.72664584202,-3.728928277269006e-11,-7244.380854422375,-43521.0324421403
0.6101050262565642,1.6390620581110824,-0.14427973229415775,2.399597572568185,18.37918794954323,140.77133330448737,11.566190465599773,289.3435514607053,53.64853248586165,-0.34621329538384854,-2.6517443171441073,-20.310450283863105,1.603380111954173e-16,0.0,6.996819133297452e-16,-5.9117155615240335e-12,1.6022162230592926e-15,3.410605131648481e-13,6.406689966812946e-16,4222.062043051465,1.144279732294158,4222.062043051464,2.1541481212237175e-16,8.41390408961261e-16,-6807.359593259534,-246930.86207498593,3.083107903274722e-12,-7752.260182571822,-47761.83028852132,1519.1544808534138,-198474.55787368634,-7672.35795544887,-361789.39176420914,2392.0416881540923,-627924.3234796769,3,-6843.4424367054635,1.0,36.08284344594581,-6807.359593259519,-246930.86207498529,8.640199666842818e-11,-7752.262852979788,-47761.5984487913
0.6101312828207052,1.638991522245652,-0.14428330013780802,2.40016420389059,18.40524106553078,141.1373847385912,11.593767173959595,290.315450288079,53.75553950415461,-0.34630361220996886,-2.655568920766686,-20.36376764290343,4.808885839539028e-16,3.344588094681045e-16,5.233874803180517e-16,-3.637978807091713e-12,9.813777066975247e-16,6.821210263296962e-13,1.2753265265629198e-15,4241.8717755663965,1.144283300137808,4241.8717755663965,0.0,1.6780201463147982e-16,-6451.905580284059,-208661.52029991953,9.243982930643315e-14,-7308.291389647055,-45570.08870411323,1424.1041133547121,-161913.03432947127,-7227.992674745351,-343789.95414981176,2301.9182062139803,-563451.877171802,3,-6484.086139857025,0.9999999999999993,32.180559572967155,-6451.905580284058,-208661.52029991953,-1.3278622645884752e-10,-7308.287425494078,-45570.402147737994
0.6101575393848462,1.6389209924508816,-0.14428686653546913,2.400728761241,18.43132432746021,141.50441397153907,11.621355031752904,291.2899643308524,53.86265467910943,-0.34639363036105797,-2.659398033308139,-20.41722849289124,4.5191779741728665e-14,2.1708520709362218e-14,5.220170328265854e-16,-9.094947017729282e-13,2.4419985283637737e-16,-1.716671249596402e-11,3.1945195934749565e-14,4261.766869776421,1.1442868665354646,4261.7668697764375,3.8413421315961116e-15,1.6732741748691607e-16,-5924.622574297358,-148235.74896751513,1.9418477733097968e-12,-6619.77416733199,-41383.26643064828,1252.3480331506257,-105088.06468979032,-6539.107305523959,-313230.28919886105,2134.900452271451,-453359.6451465498,3,-5949.5380798338265,0.9999999999999979,24.91550553646603,-5924.622574297362,-148235.74896751516,-3.2014213502407074e-10,-6619.776901792669,-41383.08821619102
0.6101837959489872,1.6388504687259875,-0.1442904314867495,2.401291069068943,18.457430746823164,141.87232616738342,11.648948414028212,292.2668703826056,53.9698522005752,-0.3464833244810692,-2.6632306465965465,-20.4708191587206,4.807993720749079e-13,2.3845008350934353e-13,6.942005888976918e-16,8.185452315956354e-12,2.187551999563006e-15,1.8496848497306928e-10,3.425909684199289e-13,4281.742680590637,1.1442904314867988,4281.742680590452,4.311969173132009e-14,2.3359617719136037e-15,-5498.400175392303,-117983.12704435349,4.0102122816701803e-13,-6100.071901726468,-38336.87425879416,1151.2721172646611,-77546.13156570555,-6019.058436339366,-290574.62429951807,2038.3756895470588,-395458.3958910503,3,-5519.774802305575,1.000000000000019,21.374626913234543,-5498.400175392339,-117983.12704435473,2.141860022675246e-09,-6100.07115308269,-38336.91700394877
0.6102100525131283,1.638779951070186,-0.14429399499125733,2.401851006456586,18.48355538012599,142.24105432509896,11.676543286847398,293.2460099452326,54.07711369504555,-0.3465726770962676,-2.6670660474371903,-20.52452998033698,2.523505877543645e-12,1.2509784813185885e-12,6.923839293185449e-16,5.002220859751105e-12,1.3306096702337616e-15,-9.787299859453924e-10,1.804273826146108e-12,4301.795950743614,1.144293994990997,4301.795950744594,2.2770159371224907e-13,1.4974477378404482e-15,-5200.659871455339,-87350.67973014423,1.7158654428457115e-13,-5686.8410256964235,-35755.913794122236,1026.8508782281792,-49180.73728636092,-5605.499768250327,-272129.6208715897,1918.375653728649,-328813.08810537204,3,-5217.402050586524,1.0000000000000215,16.742179131148976,-5200.659871455377,-87350.67973014369,1.7680577002465725e-09,-5686.841047058768,-35755.912785779496
0.6102363090772693,1.638709439482694,-0.1442975570486007,2.4024084389298004,18.509692686113723,142.61052274982572,11.704135143906274,294.2272038247619,54.18441858202078,-0.3466616687670153,-2.6709034363399815,-20.57835004222376,1.0088549917490014e-11,5.024325312800644e-12,8.632163588214927e-16,-1.8189894035458565e-12,4.816062558785784e-16,3.9481165003962815e-09,7.244241688892947e-12,4321.922951311269,1.144297557049646,4321.922951307321,9.135092283860418e-13,8.295675940120649e-16,-4628.604866874182,-60454.26839662125,2.052208442933059e-12,-4995.900213474032,-31378.565332712653,898.4153167534556,-26407.158098294378,-4914.252501476486,-240464.28006896385,1794.2018460610186,-266227.04263299186,3,-4641.629230818382,0.9999999999989685,13.024363944289007,-4628.604866874093,-60454.26839662409,-5.758738552685827e-08,-4995.899587573395,-31378.588540350043
