u,x,leading_power,root0,root1,root2
0.7079894973743436,1.412450331125828,1,-428.05562528587365,0.048412752850779846,3782.7566919156598
0.7079632408102026,1.4125027153324892,3,-680.752012274869,0.048553901907938526,100202.00520628756
0.7079369842460614,1.41255510342489,3,-677.4103098818382,0.04869532144126488,58459.52805647148
0.7079107276819204,1.4126074954034622,3,-692.3902312547837,0.04883701254805388,41423.51638696831
0.7078844711177794,1.4126598912686386,1,-446.82865268813174,0.04897896986960762,3714.8785911864657
0.7078582145536384,1.4127122910208516,3,-557.7560276765197,0.04912123243635003,27028.165996532698
0.7078319579894974,1.4127646946605337,3,-628.2248595795403,0.04926384609821129,22831.02396249472
0.7078057014253563,1.412817102188118,1,-461.7148148437895,0.0494067666027536,3675.1928724802756
0.7077794448612152,1.4128695136040363,3,-862.2588982179645,0.04954992751490637,17167.432674020565
0.7077531882970742,1.412921928908722,1,-472.2960319608796,0.049693264730537305,3641.7005324230868
0.7077269317329332,1.4129743481026076,3,-1160.383523486214,0.049836712677689236,13626.53879080931
0.7077006751687922,1.4130267711861262,3,-1363.4683792816272,0.04998019943820107,12297.519911351203
0.7076744186046511,1.413079198159711,3,-1230.7579332983462,0.050123645513254524,11469.54516076584
0.7076481620405101,1.4131316290237943,1,-495.2187257382295,0.05026710717601898,3560.7652353390176
0.707621905476369,1.4131840637788098,3,-731.0917445522526,0.050410704245415876,10627.028627993517
0.707595648912228,1.4132365024251905,3,-563.3893680802657,0.05055455408366106,10387.17162077655
0.707569392348087,1.413288944963369,1,-512.4882707728483,0.050698775890070505,3537.6838956832776
0.7075431357839459,1.4133413913937796,3,-355.9772440466588,0.0508434983762052,10112.794994372493
0.7075168792198049,1.4133938417168548,1,-523.7534086782186,0.05098878879165633,3542.4806267006898
0.7074906226556639,1.4134462959330285,1,-529.5890477406125,0.051134567866471095,3542.1602579713917
0.7074643660915229,1.4134987540427335,3,-598.7957895769529,0.051280767236905576,8447.290454166103
0.7074381095273818,1.4135512160464043,3,-668.5981221707669,0.05142733230103286,8024.993123578356
0.7074118529632408,1.413603681944474,3,-788.8647913324814,0.05157420533948678,7608.429602877746
0.7073855963990997,1.413656151737376,3,-872.5628049525471,0.05172132602571556,7271.467171374436
