u,x,L,mode,root_re,root_im,psi_coordinate_weight,scalar_coordinate_weight,vector_coordinate_weight,positive
0.7079894973743436,1.412450331125828,6,0,-3393.2342546207233,0.0,0.9678718561525446,0.03210560754078449,2.253630667088648e-05,False
0.7079894973743436,1.412450331125828,6,1,129.20492285269023,0.0,0.5602438538174817,0.4386431533961697,0.0011129927863486474,True
0.7079894973743436,1.412450331125828,6,2,963795.546252701,0.0,0.9933556244354681,0.006644352274535245,2.3289996670851796e-08,True
0.7079632408102026,1.4125027153324892,6,0,-3581.593384902397,0.0,0.9714285517333114,0.02855285674115686,1.8591525531754777e-05,False
0.7079632408102026,1.4125027153324892,6,1,142.90475743069314,0.0,0.539842063572387,0.459008240615656,0.0011496958119570294,True
0.7079632408102026,1.4125027153324892,6,2,235859.93105959205,0.0,0.9934558791579282,0.006544103182811203,1.7659260602248594e-08,True
0.7079369842460614,1.41255510342489,6,0,-3732.458599432857,0.0,0.974551832479679,0.025433400492506537,1.4767027814496735e-05,False
0.7079369842460614,1.41255510342489,6,1,143.4810099669058,0.0,0.5462497033701382,0.4525949886734915,0.0011553079563701425,True
0.7079369842460614,1.41255510342489,6,2,121783.14235658155,0.0,0.9935692256198934,0.0064307624759916806,1.190411500674765e-08,True
0.7079107276819204,1.4126074954034622,6,0,-3978.104796822063,0.0,0.9773209928634915,0.02266725820197782,1.1748934530755319e-05,False
0.7079107276819204,1.4126074954034622,6,1,140.06419499660797,0.0,0.5583460723069441,0.44051586414767224,0.001138063545383664,True
0.7079107276819204,1.4126074954034622,6,2,76584.15724180493,0.0,0.9936969393811879,0.006303054187706014,6.43110616428864e-09,True
0.7078844711177794,1.4126598912686386,6,0,-3804.236089044508,0.0,0.9793685100723691,0.02062115845183853,1.033147579233083e-05,False
0.7078844711177794,1.4126598912686386,6,1,146.83214561953974,0.0,0.5160021679912619,0.4828196759589934,0.0011781560497447737,True
0.7078844711177794,1.4126598912686386,6,2,51832.55039700976,0.0,0.9938254561835916,0.006174541482291739,2.334116548929266e-09,True
0.7078582145536384,1.4127122910208516,6,0,-3645.027213947213,0.0,0.9815213213608807,0.018470204101802064,8.474537317280135e-06,False
0.7078582145536384,1.4127122910208516,6,1,161.52169160252126,0.0,0.49797941907712945,0.5008368404821704,0.001183740440700165,True
0.7078582145536384,1.4127122910208516,6,2,35814.885623503294,0.0,0.9939773516486908,0.006022648296754205,5.4554957586604974e-11,True
0.7078319579894974,1.4127646946605337,6,0,-4489.669339770307,0.0,0.984257294249004,0.015737166519888605,5.539231107480608e-06,False
0.7078319579894974,1.4127646946605337,6,1,148.38715087907264,0.0,0.5119865164186905,0.48681642393286784,0.0011970596484415278,True
0.7078319579894974,1.4127646946605337,6,2,25152.928800824557,0.0,0.9942213620434103,0.005778634520713804,3.4358758784788308e-09,True
0.7078057014253563,1.412817102188118,6,0,-5871.805978784751,0.0,0.986482310017057,0.013514308704196225,3.3812787467987333e-06,False
0.7078057014253563,1.412817102188118,6,1,149.27989016405795,0.0,0.6020065444201937,0.3969195567283358,0.0010738988514706032,True
0.7078057014253563,1.412817102188118,6,2,17769.441155133474,0.0,0.9945623825826886,0.005437593862528024,2.355478327105384e-08,True
0.7077794448612152,1.4128695136040363,6,0,-7401.265529266767,0.0,0.9881027066533545,0.01189511589378112,2.1774528643801637e-06,False
0.7077794448612152,1.4128695136040363,6,1,144.8692334314134,0.0,0.6634522356219993,0.3355798836005551,0.0009678807774457398,True
0.7077794448612152,1.4128695136040363,6,2,12528.65142921215,0.0,0.9949799665716994,0.005019957017052268,7.641124837928094e-08,True
0.7077531882970742,1.412921928908722,6,0,-9136.211426494661,0.0,0.9892615027449202,0.01073700893513591,1.4883199438312237e-06,False
0.7077531882970742,1.412921928908722,6,1,138.3292181294907,0.0,0.6871466873374231,0.31192441649737657,0.000928896165200248,True
0.7077531882970742,1.412921928908722,6,2,8828.47335408104,0.0,0.9954655251018303,0.004534292293197949,1.826049717830585e-07,True
0.7077269317329332,1.4129743481026076,6,0,-11247.695791930451,0.0,0.9900238912478748,0.009975037968995846,1.0707831292142126e-06,False
0.7077269317329332,1.4129743481026076,6,1,147.6990311329929,0.0,0.7838535396296876,0.21545020179681532,0.0006962585734969332,True
0.7077269317329332,1.4129743481026076,6,2,6366.224904885439,0.0,0.9959744856630922,0.004025150287464966,3.640494428231274e-07,True
0.7077006751687922,1.4130267711861262,6,0,-13427.469796796824,0.0,0.9905668411026426,0.009432326654539372,8.322428180942814e-07,False
0.7077006751687922,1.4130267711861262,6,1,128.33366036671592,0.0,0.7889333375269094,0.21037599591852243,0.0006906665545682793,True
0.7077006751687922,1.4130267711861262,6,2,4514.456298547504,0.0,0.9964914372675485,0.003507946091752156,6.166406992270102e-07,True
0.7076744186046511,1.413079198159711,6,0,-14364.270799198046,0.0,0.9911326785036059,0.008866683934871873,6.375615222823192e-07,False
0.7076744186046511,1.413079198159711,6,1,145.90912424005316,0.0,0.8421991050401351,0.15728518802488456,0.0005157069349804374,True
0.7076744186046511,1.413079198159711,6,2,2815.8207974439915,0.0,0.9970531277311443,0.0029457391994113205,1.1330694442770602e-06,True
0.7076481620405101,1.4131316290237943,6,0,-14675.167567275263,0.0,0.9917290434088663,0.008270484588328872,4.720028048415705e-07,False
0.7076481620405101,1.4131316290237943,6,1,144.43221380046785,0.0,0.8655644878714035,0.13403159423816655,0.0004039178904298939,True
0.7076481620405101,1.4131316290237943,6,2,1539.8628565216898,0.0,0.9977259493319905,0.002271769971156761,2.2806968527638103e-06,True
0.707621905476369,1.4131840637788098,6,0,-15625.0515397225,0.0,0.9922342844541738,0.007765374180098595,3.413657276238846e-07,False
0.707621905476369,1.4131840637788098,6,1,157.99135060098328,0.0,0.8414342038608724,0.15814389800363396,0.00042189813549364926,True
0.707621905476369,1.4131840637788098,6,2,759.8554393788063,0.0,0.9985366809886207,0.0014588193579449045,4.499653434312124e-06,True
0.707595648912228,1.4132365024251905,6,0,-16765.536232644703,0.0,0.9926432980442111,0.007356453733559751,2.482222290615306e-07,False
0.707595648912228,1.4132365024251905,6,1,175.31141358874476,0.0,0.06292605090634257,0.9346344948251976,0.002439454268459919,True
0.707595648912228,1.4132365024251905,6,2,398.46895975284303,0.0,0.9996829763609048,0.00031048758760347924,6.536051491777724e-06,True
0.707569392348087,1.413288944963369,6,0,-17869.803369106845,0.0,0.9930039170324103,0.006995904570219263,1.7839737046884e-07,False
0.707569392348087,1.413288944963369,6,1,161.94246266150407,0.0,0.8968761239217379,0.10272824444148279,0.00039563163677931246,True
0.707569392348087,1.413288944963369,6,2,428.1126349058748,0.0,0.9989185512241886,0.0010764000053912514,5.0487704202263735e-06,True
0.7075431357839459,1.4133413913937796,6,0,-19472.320979944798,0.0,0.9931852110966616,0.006814644366510916,1.4453682750171662e-07,False
0.7075431357839459,1.4133413913937796,6,1,168.22547642322468,0.0,0.9188088265145564,0.08078480187912955,0.0004063716063141067,True
