u,x,L,mode,root_re,root_im,psi_coordinate_weight,scalar_coordinate_weight,vector_coordinate_weight,positive
0.6500150037509377,1.5384260274446897,1000,0,-171.0683284943316,0.0,0.9928221882241136,3.621652173915189e-06,0.007174190123712543,False
0.6500150037509377,1.5384260274446897,1000,1,1.3795841706599172,0.0,0.990678055499789,7.943624338330223e-06,0.009314000875872735,True
0.6500150037509377,1.5384260274446897,1000,2,4206.781190075171,0.0,0.992289669353158,1.869916380761565e-07,0.0077101436552039024,True
0.6500150037509377,1.5384260274446897,10000,0,-165.5889692811485,0.0,0.992389454013573,3.822357475351829e-08,0.0076105077628521355,False
0.6500150037509377,1.5384260274446897,10000,1,1.0389917194907652,0.0,0.9893216650189223,8.855523723141094e-08,0.010678246425840473,True
0.6500150037509377,1.5384260274446897,10000,2,4217.459144085448,0.0,0.9923336985310754,1.8640724296107747e-09,0.007666299604852065,True
0.6500150037509377,1.5384260274446897,100000,0,-165.03690918685942,0.0,0.9923436664595502,3.8434188611577293e-10,0.007656333156107897,False
0.6500150037509377,1.5384260274446897,100000,1,1.0039098495667815,0.0,0.9891708931672294,8.955591419954406e-10,0.01082910593721146,True
0.6500150037509377,1.5384260274446897,100000,2,4218.542314101139,0.0,0.9923380646362215,1.8634923937912085e-11,0.007661935345143583,True
0.6500150037509377,1.5384260274446897,1000000,0,-164.9821145773896,0.0,0.9923390613260277,3.845527930040955e-12,0.00766093867012688,False
0.6500150037509377,1.5384260274446897,1000000,1,1.0003910867902341,0.0,0.9891555947383022,8.965747798670322e-12,0.010844405252732149,True
0.6500150037509377,1.5384260274446897,1000000,2,4218.645346960972,0.0,0.9923385008791562,1.863433069567313e-13,0.0076614991206574974,True
