u,x,R,K11,K13,K33,K12,K23,K22,M11,M13,M33,eq46_11,eq46_13,eq46_33,kinetic_residual,kinetic_scaled,projected_residual,projected_scaled,literal_residual,literal_scaled,predicted_residual,prediction_scaled,rank1_scaled,null_quadratic_B1,null_quadratic_B2,alpha7_scaled
0.6712565641410353,1.4897433461669565,-0.14812807990316176,2.0099445982443873,25.891347914618386,333.5225744139168,9.141293605711446,515.4056792580441,52.70494177844402,-0.2977292312042619,-3.835235671018964,-49.40405855229291,9.557042937046253e-09,4.7772320417474365e-09,5.752909834385442e-16,-7.275957614183426e-12,7.066973098443949e-16,9.443165254197083e-06,6.1918934080794e-09,11820.805223585807,1.1481280808203551,11820.80521414264,7.988598826029831e-10,0.0,19044262.117728345,262654676291.36255,1.453431989670156e-12
0.6712828207051763,1.4896850763282,-0.14812785580171647,2.0098587484486323,25.896965823105432,333.6815780515685,9.143303266999807,515.6307696504775,52.70906364270459,-0.2977160668752352,-3.8360620191918247,-49.42753667731196,1.0808521180424154e-11,1.1700334362837557e-11,4.3126328977238965e-16,-1.0913936421275139e-11,1.0593668059242323e-15,2.3143911676015705e-08,1.5165787557895608e-11,11828.381210044823,1.148127855803963,11828.38121002168,1.956565464905762e-12,1.1866167083168094e-15,-21396928.670607943,-300881997015.13824,3.988285814944539e-13
0.6713090772693173,1.4896268110476,-0.14812763053169495,2.0097732519104126,25.902606640036407,333.8411585041658,9.14532703639494,515.8568702756259,52.71323536517041,-0.29770295256872953,-3.836891727765784,-49.45109978317807,9.597690744054197e-09,4.800072087296749e-09,1.4368593193589751e-16,-5.4569682106375694e-12,5.29342723594627e-16,-9.500718988419976e-06,6.2216549354236e-09,11835.991499025396,1.148127629610096,11835.991508526116,8.02697424298656e-10,2.2027570406659647e-15,17004212.29544182,236122095502.9646,1.353633243669513e-12
0.6713353338334583,1.489568550324621,-0.1481274040944424,2.0096880783590874,25.90826691589868,334.00123223774966,9.147363460507297,516.0838455055256,52.71744943334755,-0.297689875116874,-3.837724341975545,-49.47473549572285,9.976845457303524e-09,4.986691896972794e-09,1.43617288428258e-16,-3.637978807091713e-12,3.5266743708528536e-16,9.876580179479788e-06,6.463628331953901e-09,11843.63150150963,1.1481274050518828,11843.631491633052,8.339146381842812e-10,5.081064592351416e-16,-8724700.728840543,-121931026768.02892,1.3222238145764e-12
0.6713615903975994,1.4895102941587286,-0.14812717649130544,2.009603197304256,25.91394317779503,334.16171507032027,9.149411076278389,516.3115587307263,52.72169829704883,-0.29767684817035767,-3.8385592303337823,-49.498431344858666,2.3037681239061434e-09,1.1330091770750599e-09,2.8709707215152114e-16,-7.275957614183426e-12,7.048785480401523e-16,-2.245501946163131e-06,1.4685976345112971e-09,11851.296501343042,1.1481271762737661,11851.296503588545,1.8947314331647587e-10,3.385892596808946e-16,-2016635.3174722192,-28272286212.145683,2.440163721245131e-13
0.6713878469617404,1.4894520425493878,-0.14812694772363316,2.00951857663407,25.91963175618854,334.32251793448177,9.151468339526858,516.5398654769183,52.72597398493541,-0.29766385313674865,-3.8393959382345875,-49.52217413691439,4.7019384116142196e-11,1.818657930978114e-11,1.4347971351089238e-16,5.4569682106375694e-12,5.283162128765973e-16,3.6067149267182685e-08,2.3573293199248413e-11,11858.981615214398,1.148126947727125,11858.981615178329,3.0414703431731986e-12,1.0153219671101352e-15,8624145.030714767,119384772888.56151,2.371112778527542e-12
0.6714141035258815,1.489393795496064,-0.1481267177927757,2.0094341962248565,25.925330350327577,334.4835849993692,9.153534282434881,516.768675228303,52.73027150003245,-0.29765089153909974,-3.8402340962272605,-49.54595560151744,1.9091246900701537e-09,9.738481604209309e-10,4.302325349064444e-16,0.0,0.0,1.9326153051224537e-06,1.2623287384558098e-09,11866.683741110883,1.14812671797976,11866.683739178268,1.6286052934337602e-10,3.382918881508598e-16,-10613916.44388621,-147670983286.64267,2.9362694458836585e-12
0.6714403600900225,1.4893355529982235,-0.148126486700085,2.0093500798446797,25.93104166594474,334.64498228847197,9.155610044943918,516.9980950459899,52.7345966769688,-0.29763797028855726,-3.841074082883467,-49.56978551820352,8.099200456513902e-09,4.05262849795703e-09,0.0,3.637978807091713e-12,3.517531431608176e-16,-8.047823257584241e-06,5.253195092480121e-09,11874.406540086307,1.1481264859219478,11874.406548134131,6.777453599118898e-10,6.762857737768531e-16,8835541.793470427,122399021940.1262,1.0972659582820468e-12
0.6714666166541635,1.4892773150553311,-0.14812625444691496,2.009266243477036,25.936767539458994,334.806754744358,9.157696398602539,517.2281977834996,52.73895347407532,-0.29762508214038697,-3.841916232553785,-49.59367054380865,2.326717385767755e-09,1.1643662645219285e-09,4.2981860062108597e-16,1.8189894035458565e-12,1.7576188173663594e-16,2.3137663447414525e-06,1.5093222772598694e-09,11882.152549480188,1.1481262546704851,11882.152547166423,1.9472611764675345e-10,3.379936046248839e-16,-6929535.284321582,-96274035213.63512,4.609336509478816e-12
0.6714928732183045,1.489219081666853,-0.14812602103462136,2.009182685409871,25.942507768603495,334.96889765738683,9.159793259149298,517.458975776869,52.74334142668265,-0.2976122374055298,-3.842760447010133,-49.61760998034202,2.2986627276337084e-09,1.148355813061281e-09,1.432037407770366e-16,-1.8189894035458565e-12,1.7564700226399165e-16,-2.2834717583464226e-06,1.4885891897325333e-09,11889.921483870918,1.1481260208141226,11889.92148615439,1.92051056718849e-10,1.689220236476288e-16,6027877.122372259,83279737106.08435,1.140005227207153e-12
0.6715191297824455,1.4891608528322544,-0.14812578646456132,2.0090994064638856,25.948262445106575,335.1314134850057,9.161900665412956,517.6904329823028,52.747760708959454,-0.29759942735807926,-3.8436067969763608,-49.64160419144656,7.761665180198915e-09,3.878156412714103e-09,1.431345234170594e-16,-5.4569682106375694e-12,5.26595796054797e-16,7.716750587860588e-06,5.02724158899709e-09,11897.71352060322,1.1481257872092254,11897.71351288647,6.485909805277143e-10,5.065413197535745e-16,-8489998.885742992,-117654607722.75789,2.3132862753099993e-12
