axis,step,u,L,derivative
0,1e-05,0.7063353338334584,1000,-2429.8344175349484
0,5e-06,0.7063353338334584,1000,-2429.8338314565626
1,1e-05,0.7063353338334584,1000,1074.147858548713
1,5e-06,0.7063353338334584,1000,1074.143345840639
2,1e-05,0.7063353338334584,1000,269.02924520300076
2,5e-06,0.7063353338334584,1000,269.01767323579406
3,1e-05,0.7063353338334584,1000,-193.94225691939934
3,5e-06,0.7063353338334584,1000,-193.93991335618918
