u,x,bestK_grid,lambda_grid
0.61,1.639344262295082,0.6436776954988771,150.0
0.610026256564141,1.6392737021391723,0.6711193339925586,150.0
0.610052513128282,1.6392031480570586,0.6640014164803343,150.0
0.6100787696924231,1.6391326000479565,0.6636784691914115,150.0
0.6101050262565642,1.6390620581110824,0.6587310718593016,150.0
0.6101312828207052,1.638991522245652,0.6578534325108942,150.0
0.6101575393848462,1.6389209924508816,0.6605730426211419,150.0
0.6101837959489872,1.6388504687259875,0.6323194722292439,150.0
0.6102100525131283,1.638779951070186,0.6820375595387339,150.0
0.6102363090772693,1.638709439482694,0.6196023059287799,150.0
0.6102625656414103,1.638638933962728,0.6663020443687073,150.0
0.6102888222055514,1.638568434509505,0.6430734170644125,150.0
0.6103150787696924,1.6384979411222422,0.6427809021358547,150.0
0.6103413353338334,1.6384274538001562,0.6644178080619314,150.0
0.6103675918979745,1.6383569725424645,0.6251865163865554,150.0
0.6103938484621155,1.6382864973483848,0.66357099982451,150.0
0.6104201050262565,1.6382160282171343,0.64678460886017,150.0
0.6104463615903976,1.6381455651479309,0.6355697991924427,150.0
0.6104726181545386,1.6380751081399922,0.6557429522166033,150.0
0.6104988747186797,1.6380046571925362,0.6446904659974223,150.0
0.6105251312828207,1.637934212304781,0.6300518927764626,150.0
0.6105513878469617,1.6378637734759451,0.6880849352926683,150.0
0.6105776444111027,1.6377933407052463,0.5675821751194706,150.0
0.6106039009752438,1.6377229139919036,0.7283764169971153,150.0
0.6106301575393849,1.637652493335135,0.5759907873443938,150.0
0.6106564141035259,1.6375820787341602,0.6745368093621481,150.0
0.6106826706676669,1.637511670188197,0.6337510748759871,150.0
0.6107089272318079,1.6374412676964654,0.6437813057037458,150.0
0.6107351837959489,1.637370871258184,0.6371590575834233,150.0
0.6107614403600901,1.6373004808725715,0.6734941763414815,150.0
0.6107876969242311,1.6372300965388489,0.578092451373378,150.0
0.6108139534883721,1.6371597182562343,0.7358040472828775,150.0
0.6108402100525131,1.6370893460239484,0.5669085225355243,150.0
0.6108664666166541,1.6370189798412105,0.6970072832698543,150.0
0.6108927231807952,1.6369486197072405,0.6374133232557312,150.0
0.6109189797449363,1.6368782656212586,0.6434297612182467,150.0
0.6109452363090773,1.636807917582485,0.6828115802491462,150.0
0.6109714928732183,1.6367375755901403,0.6072746429048327,150.0
0.6109977494373593,1.636667239643445,0.6834915339667711,150.0
0.6110240060015003,1.6365969097416193,0.6450958835359331,150.0
0.6110502625656414,1.636526585883884,0.6294686255615377,150.0
0.6110765191297824,1.6364562680694603,0.6616284487048966,150.0
0.6111027756939235,1.636385956297569,0.642814459230528,150.0
0.6111290322580645,1.636315650567432,0.6139694372507895,150.0
0.6111552888222055,1.63624535087827,0.7250336155743798,150.0
0.6111815453863466,1.6361750572293037,0.4870095956782366,150.0
0.6112078019504876,1.636104769619756,0.813539552711994,150.0
0.6112340585146286,1.636034488048848,0.4940088076259687,150.0
0.6112603150787697,1.6359642125158014,0.7218326831303183,150.0
0.6112865716429107,1.6358939430198385,0.6215642652924936,150.0
0.6113128282070518,1.6358236795601806,0.6441058762349225,150.0
0.6113390847711928,1.635753422136051,0.6633953053391703,150.0
0.6113653413353338,1.6356831707466717,0.6399327002926185,150.0
0.6113915978994748,1.635612925391265,0.6234566255091781,150.0
0.6114178544636159,1.6355426860690536,0.7123364626408394,150.0
0.611444111027757,1.63547245277926,0.578563491833248,150.0
0.611470367591898,1.635402225521108,0.6966950490751944,150.0
0.611496624156039,1.63533200429382,0.6415522834125198,150.0
0.61152288072018,1.6352617890966192,0.6233734204546151,150.0
0.611549137284321,1.6351915799287289,0.7409053769605042,150.0
0.6115753938484622,1.6351213767893722,0.4914519413243035,150.0
0.6116016504126032,1.6350511796777734,0.825744021666744,150.0
0.6116279069767442,1.634980988593156,0.5152514575502799,150.0
0.6116541635408852,1.6349108035347435,0.7227585693388984,150.0
0.6116804201050262,1.6348406245017602,0.6439179164195145,150.0
0.6117066766691672,1.6347704514934298,0.6553898330620496,150.0
0.6117329332333084,1.6347002845089766,0.6797895752412834,150.0
0.6117591897974494,1.6346301235476255,0.6704973679911485,150.0
0.6117854463615904,1.6345599686086008,0.6214588233377266,150.0
0.6118117029257314,1.6344898196911268,0.7683693365022857,150.0
0.6118379594898724,1.6344196767944286,0.5732714690467898,150.0
0.6118642160540135,1.6343495399177308,0.7387185126662025,150.0
0.6118904726181545,1.6342794090602586,0.6627781473430263,150.0
0.6119167291822956,1.6342092842212377,0.6410894826674394,150.0
0.6119429857464366,1.6341391653998922,0.7886177527260116,150.0
0.6119692423105776,1.6340690525954484,0.46707789455348236,150.0
0.6119954988747187,1.6339989458071316,0.8947090368752747,150.0
0.6120217554388597,1.6339288450341678,0.4887318123527709,150.0
0.6120480120030007,1.6338587502757826,0.7641210810308544,150.0
0.6120742685671418,1.633788661531202,0.6543514411673306,150.0
0.6121005251312828,1.633718578799652,0.6661901882320246,150.0
0.6121267816954239,1.6336485020803588,0.71378931076446,150.0
0.6121530382595649,1.633578431372549,0.64980268561048,150.0
0.6121792948237059,1.633508366675449,0.6750692922546393,150.0
0.6122055513878469,1.6334383079882857,0.7526193870653581,150.0
0.612231807951988,1.6333682553102848,0.6022317951907412,150.0
0.612258064516129,1.6332982086406749,0.7486074688019065,150.0
0.6122843210802701,1.633228167978681,0.6800957578895943,150.0
0.6123105776444111,1.633158133323532,0.6472396082853967,150.0
0.6123368342085521,1.6330881046744543,0.8408678931221778,150.0
0.6123630907726931,1.633018082030676,0.4089534474757769,150.0
0.6123893473368341,1.632948065391424,1.0069916268633796,150.0
0.6124156039009753,1.6328780547559256,0.40958318082988454,150.0
0.6124418604651163,1.63280805012341,0.8531912197172354,150.0
0.6124681170292573,1.632738051493104,0.6588813191118168,150.0
0.6124943735933983,1.6326680588642364,0.6865370983052381,150.0
0.6125206301575393,1.632598072236035,0.796775829229487,150.0
0.6125468867216805,1.6325280916077278,0.5719941957304568,150.0
0.6125731432858215,1.632458116978544,0.8431597337912256,150.0
0.6125993998499625,1.6323881483477125,0.6562839902388131,150.0
0.6126256564141035,1.6323181857144606,0.7224683393792826,150.0
0.6126519129782445,1.6322482290780187,0.7532861494603335,150.0
0.6126781695423856,1.6321782784376146,0.7111933922483671,150.0
0.6127044261065266,1.6321083337924789,0.7470692075202212,150.0
0.6127306826706677,1.6320383951418391,0.7766920226311617,150.0
0.6127569392348087,1.631968462484926,0.6202507226252935,150.0
0.6127831957989497,1.6318985358209688,0.931313392728754,150.0
0.6128094523630908,1.6318286151491963,0.5578749619656752,150.0
0.6128357089272318,1.63175870046884,0.8590555556890924,150.0
0.6128619654913728,1.6316887917791283,0.7250107269597068,150.0
0.6128882220555139,1.6316188890792922,0.691679115922163,150.0
0.6129144786196549,1.631548992368561,0.9359193587222107,150.0
0.6129407351837959,1.6314791016461665,0.3871038021296025,150.0
0.612966991747937,1.6314092169113372,1.1254339225006527,150.0
0.612993248312078,1.6313393381633052,0.4020671152454679,150.0
0.613019504876219,1.631269465401301,0.9328966241052755,150.0
0.61304576144036,1.6311995986245549,0.7113003078219001,150.0
0.6130720180045011,1.6311297378322984,0.7347945272564129,150.0
0.6130982745686422,1.631059883023762,0.88498594097014,150.0
0.6131245311327832,1.6309900341981782,0.5803177640899193,150.0
0.6131507876969242,1.6309201913547773,0.9575381206518174,150.0
0.6131770442610652,1.630850354492791,0.6751515653048216,150.0
0.6132033008252062,1.6307805236114512,0.8021621456735849,150.0
0.6132295573893474,1.630710698709989,0.8126492158140157,150.0
0.6132558139534884,1.6306408797876375,0.756366822213416,150.0
0.6132820705176294,1.630571066843628,0.8433810796532698,150.0
0.6133083270817704,1.6305012598771926,0.7672221769507989,150.0
0.6133345836459114,1.630431458887564,0.7625236224914319,150.0
0.6133608402100525,1.630361663873974,0.9304985102156147,150.0
0.6133870967741936,1.630291874835656,0.6554098659034564,150.0
0.6134133533383346,1.6302220917718424,0.9122539599046469,150.0
0.6134396099024756,1.6301523146817658,0.7775464715276892,150.0
0.6134658664666166,1.630082543564659,0.7979015105794598,150.0
0.6134921230307577,1.6300127784197558,0.9486123618745949,150.0
0.6135183795948987,1.629943019246289,0.5422935350807132,150.0
0.6135446361590398,1.6298732660434918,1.1693152425427764,150.0
0.6135708927231808,1.6298035188105982,0.5010085880928589,150.0
0.6135971492873218,1.6297337775468412,1.0222846973273567,150.0
0.6136234058514628,1.629664042251455,0.8036739849121929,150.0
0.6136496624156039,1.629594312923673,0.7846486043197841,150.0
0.6136759189797449,1.62952458956273,1.089740478016988,150.0
0.613702175543886,1.6294548721678597,0.40092563946617615,150.0
0.613728432108027,1.629385160738296,1.3244000528926507,150.0
0.613754688672168,1.629315455273274,0.4235069721620698,150.0
0.6137809452363091,1.6292457557720277,1.0880657946868024,150.0
0.6138072018004501,1.6291760622337923,0.8156359332722266,150.0
0.6138334583645911,1.629106374657802,0.8246853565133756,150.0
0.6138597149287321,1.6290366930432925,1.061117273972258,150.0
