A0,A1,A2,A3,vend,vend_err,minK,uK,minA7,maxA6,minOdd,minCrT,max_df4,f4min,f4max,f2Y_needed_maxabs
-20.0,0,0,0,-9.216321696319683,-29.89530089633861,-210.76256118230228,0.6618042010502625,2.0015301172172646,-0.33302686564613804,0.6617762364078865,1.001521514152696,20.0,-21.09762722459835,-0.8432335872625503,272.11046176647085
-19.75,0,0,0,-9.069650259924753,-29.748629459943682,-208.01993742110446,0.6618042010502625,2.0015301172172646,-0.33302686564613804,0.6617533331196634,1.0015395743859234,19.75,-20.847628327979663,-0.8432335872625503,268.778063347472
-19.5,0,0,0,-8.922978823535438,-29.601958023554367,-205.27731365993765,0.6618042010502625,2.0015301172172646,-0.33302686564613804,0.6617304298304028,1.0015580685160863,19.5,-20.59762943136098,-0.8432335872625503,265.44566492848594
-19.25,0,0,0,-8.776307387145398,-29.455286587164327,-202.53468989876671,0.6618042010502625,2.0015301172172646,-0.33302686564613804,0.6617072658169277,1.0015770123698577,19.25,-20.34763053474229,-0.8432335872625503,262.1132665094983
-19.0,0,0,0,-8.62963595075948,-29.308615150778408,-199.79206613761838,0.6618042010502625,2.0015301172172646,-0.33302686564613804,0.6616837258676231,1.001596422385662,19.0,-20.0976316381236,-0.8432335872625503,258.78086809051996
-18.75,0,0,0,-8.482964514365884,-29.16194371438481,-197.04944237642783,0.6618042010502625,2.0015301172172646,-0.33302686564613804,0.6616601859204698,1.0016163154764606,18.75,-19.847632741504913,-0.8432335872625503,255.44846967152404
-18.5,0,0,0,-8.336293077975954,-29.01527227799488,-194.30681861525758,0.6618042010502625,2.0015301172172646,-0.33302686564613804,0.661636164437227,1.0016367106005077,18.5,-19.597633844886225,-0.8432335872625503,252.11607125253659
-18.25,0,0,0,-8.189621641586417,-28.868600841605346,-191.5641948540895,0.6618042010502625,2.0015301172172646,-0.33302686564613804,0.6616119737825741,1.001657627005062,18.25,-19.3476359840805,-0.8432335872625503,248.7836728335501
-18.0,0,0,0,-8.042950205192708,-28.72192940521164,-188.82157109289844,0.6618042010502625,2.0015301172172646,-0.33302686564613804,0.6615876881541622,1.0016790846941317,18.0,-19.09763846668503,-0.8432335872625503,245.451274414554
-17.75,0,0,0,-7.896278768808607,-28.575257968827536,-186.07894733176005,0.6618042010502625,2.0015301172172646,-0.33302686564613804,0.6615628325249441,1.0017011044513453,17.75,-18.84764094928956,-0.8432335872625503,242.1188759955798
-17.5,0,0,0,-7.749607332416842,-28.428586532435773,-183.33632357057965,0.6618042010502625,2.0015301172172646,-0.33302686564613804,0.661537976897917,1.0017237094236549,17.5,-18.597643431894085,-0.8432335872625503,238.78647757658817
-17.25,0,0,0,-7.6029358960267075,-28.281915096045637,-180.5936998094084,0.6618042010502625,2.0015301172172646,-0.33302686564613804,0.6615127024823583,1.0017469232549834,17.25,-18.347645914498614,-0.8432335872625503,235.45407915760035
-17.0,0,0,0,-7.456264459635976,-28.135243659654904,-177.85107604823344,0.6618042010502625,2.0015301172172646,-0.33302686564613804,0.6614871673941356,1.001770770120068,17.0,-18.097648397103143,-0.8432335872625503,232.12168073861096
-16.75,0,0,0,-7.309593023252235,-27.988572223271163,-175.1084592571685,0.6617779444861215,2.0015301172172646,-0.33302686564613804,0.6614615225902767,1.0017952766657583,16.75,-17.84765087970767,-0.8432335872625503,228.78928231963758
-16.5,0,0,0,-7.162921586848397,-27.841900786867328,-172.36585378128888,0.6617779444861215,2.0015301172172646,-0.33302686564613804,0.6614352933337297,1.0018204710466538,16.5,-17.597653362312197,-0.8432335872625503,225.4568839006185
-16.25,0,0,0,-7.016250150458021,-27.69522935047695,-169.6232483054828,0.6617779444861215,2.0015301172172646,-0.33302686564613804,0.6614090640744499,1.0018463823906163,16.25,-17.347655844916726,-0.8432335872625503,222.12448548163007
-16.0,0,0,0,-6.869578714078631,-27.54855791409756,-166.88064282973625,0.6617779444861215,2.0015301172172646,-0.33302686564613804,0.6613822912472715,1.00187304090339,16.0,-17.097658327521255,-0.8432335872625503,218.79208706266647
-15.75,0,0,0,-6.722907277686548,-27.401886477705478,-164.1380373539208,0.6617779444861215,2.0015301172172646,-0.33302686564613804,0.6613553528824176,1.0019004804976366,15.75,-16.84766081012578,-0.8432335872625503,215.45968864367416
-15.5,0,0,0,-6.576235841294823,-27.255215041313754,-161.39543187810727,0.6617779444861215,2.0015301172172646,-0.33302686564613804,0.6613280967482043,1.0019287360116909,15.5,-16.59766329273031,-0.8432335872625503,212.12729899594765
-15.25,0,0,0,-6.4295644048997245,-27.108543604918655,-158.65282640227525,0.6617779444861215,2.0015301172172646,-0.33302686564613804,0.6613004341175017,1.001957843077471,15.25,-16.34766577533484,-0.8432335872625503,208.79491585888485
-15.0,0,0,0,-6.282892968511415,-26.961872168530345,-155.91022092648032,0.6617779444861215,2.0015301172172646,-0.33302686564613804,0.6612726384057298,1.0019878418873476,15.0,-16.097668257939368,-0.8432335872625503,205.4625327218374
-14.75,0,0,0,-6.136221532123562,-26.815200732142493,-153.16761545068778,0.6617779444861215,2.0015301172172646,-0.33302686564613804,0.661244236118802,1.002018774308522,14.75,-15.847670740543895,-0.8432335872625503,202.13014958479093
-14.5,0,0,0,-5.989550095727512,-26.668529295746442,-150.42500997485067,0.6617779444861215,2.0015301172172646,-0.33302686564613804,0.6612158233581511,1.0020506834511638,14.5,-15.597673223148425,-0.8432335872625503,198.797766447726
-14.25,0,0,0,-5.842878659332827,-26.521857859351755,-147.68240449902103,0.6617779444861215,2.0015301172172646,-0.33302686564613804,0.6611866658012263,1.002083616872853,14.25,-15.347675705752952,-0.8432335872625503,195.4653833106641
-14.0,0,0,0,-5.696207222948394,-26.375186422967325,-144.93979902324705,0.6617779444861215,2.0015301172172646,-0.33302686564613804,0.6611575082424663,1.002117625363553,14.0,-15.097678188357479,-0.8432335872625503,192.13300017362533
-13.75,0,0,0,-5.549535786562931,-26.22851498658186,-142.19719354746766,0.6617779444861215,2.0015301172172646,-0.33302686564613804,0.6611276226328664,1.0021527611640004,13.75,-14.847680670962008,-0.8432335872625503,188.80061703658438
-13.5,0,0,0,-5.4028643501724005,-26.08184355019133,-139.4545880716606,0.6617779444861215,2.0015301172172646,-0.33302686564613804,0.6610976939563722,1.002189081757517,13.5,-14.597683153566535,-0.8432335872625503,185.46823389953192
-13.25,0,0,0,-5.256192913775979,-25.93517211379491,-136.71199434032425,0.6617516879219805,2.0015301172172646,-0.33302686564613804,0.6610670045465674,1.002226648958693,13.25,-14.347685636171065,-0.8432335872625503,182.13585076246613
-13.0,0,0,0,-5.109521477382936,-25.788500677401863,-133.9694118837701,0.6617516879219805,2.0015301172172646,-0.33302686564613804,0.6610362266622046,1.0022655263994074,13.0,-14.097689846226723,-0.8432335872625503,178.80346762540793
-12.75,0,0,0,-4.962850040997546,-25.641829241016474,-131.22682942725768,0.6617516879219805,2.0015301172172646,-0.33302686564613804,0.6610047072724446,1.0023057847838102,12.75,-13.847694259737361,-0.8432335872625503,175.47108448836707
-12.5,0,0,0,-4.816178604609442,-25.49515780462837,-128.4842469707306,0.6617516879219805,2.0015301172172646,-0.33302686564613804,0.6609729650840692,1.0023474998354578,12.5,-13.597698673248,-0.8432335872625503,172.1387013513201
