c,minK,uK,minA4,uA4,minA7,minOdd,uOdd,minCrT,minCrV,maxv,v_start,v_end
-500.0,-4191.355748679071,0.6955438859714929,597.1884024781739,0.7099849962490622,2.0015301172172646,13463.42512461691,0.6186121530382596,1.005069401853415,278.1177245639014,696.7657807795644,-500.0,-696.7657807795644
-497.5,-4170.510347102072,0.6955701425356339,594.2965961292905,0.7099849962490622,2.0015301172172646,13329.17070738416,0.6186121530382596,1.005069401853415,276.71656917155985,693.2917136732189,-497.5,-693.2917136732189
-495.0,-4149.6650158286075,0.6955701425356339,591.404789780407,0.7099849962490622,2.0015301172172646,13195.58903477278,0.6186121530382596,1.005069401853415,275.3154147383791,689.8176465668735,-495.0,-689.8176465668735
-492.5,-4128.819684555143,0.6955701425356339,588.5129834315236,0.7099849962490622,2.0015301172172646,13062.680106782773,0.6186121530382596,1.005069401853415,273.91426127884984,686.343579460528,-492.5,-686.343579460528
-490.0,-4107.974353281678,0.6955701425356339,585.6211770826403,0.7099849962490622,2.0015301172172646,12930.443923414143,0.6186121530382596,1.005069401853415,272.5131088077559,682.8695123541826,-490.0,-682.8695123541826
-487.5,-4087.129022008214,0.6955701425356339,582.7293707337568,0.7099849962490622,2.0015301172172646,12798.88048466688,0.6186121530382596,1.005069401853415,271.11195734018224,679.3954452478371,-487.5,-679.3954452478371
-485.0,-4066.2836907347505,0.6955701425356339,579.8375643848733,0.7099849962490622,2.0015301172172646,12667.989790540994,0.6186121530382596,1.005069401853415,269.7108068915222,675.9213781414917,-485.0,-675.9213781414917
-482.5,-4045.438359461286,0.6955701425356339,576.94575803599,0.7099849962490622,2.0015301172172646,12537.771841036481,0.6186121530382596,1.005069401853415,268.30965747748564,672.4473110351462,-482.5,-672.4473110351462
-480.0,-4024.593080951687,0.6955963990997749,574.0539516871065,0.7099849962490622,2.0015301172172646,12408.226636153338,0.6186121530382596,1.005069401853415,266.90850911410695,668.9732439288008,-480.0,-668.9732439288008
-477.5,-4003.747827655252,0.6955963990997749,571.1621453382231,0.7099849962490622,2.0015301172172646,12279.35417589157,0.6186121530382596,1.005069401853415,265.5073618177537,665.4991768224553,-477.5,-665.4991768224553
-475.0,-3982.9025743588163,0.6955963990997749,568.2703389893396,0.7099849962490622,2.0015301172172646,12151.154460251177,0.6186121530382596,1.005069401853415,264.10621560513505,662.0251097161099,-475.0,-662.0251097161099
-472.5,-3962.057321062381,0.6955963990997749,565.3785326404562,0.7099849962490622,2.0015301172172646,12023.62748923215,0.6186121530382596,1.005069401853415,262.7050704933111,658.5510426097644,-472.5,-658.5510426097644
-470.0,-3941.2120677659454,0.6955963990997749,562.4867262915728,0.7099849962490622,2.0015301172172646,11896.773262834502,0.6186121530382596,1.005069401853415,261.30392649970173,655.076975503419,-470.0,-655.076975503419
