u,x,M11_1,M13_1,M33_1,M12_0,M23_0,M22_0,Mcal1,Mcal2,cond55,cond56,disc,cV,cminus,cplus
0.7099849962490622,1.4084804682959815,356.5397043945109,-415619.30668099213,325070142.5953275,-3372.708285623658,2167529.297310885,-30034.16289839252,1077.458195286437,-9.10174732998363,-1207.2318722477257,580292.0199861769,-863759.2865739584,0.021692519786465643,-603.6159361238629,-603.6159361238629
0.7099587396849212,1.4085325584467046,355.8513084999694,-427978.2431000134,332157505.8022336,-2218.050606099977,1744777.4408340256,-30232.566289648516,1112.560353053431,-8.1306986960014,-1241.3329794324445,580443.5007603321,-780866.4372146986,0.021732521972565817,-620.6664897162223,-620.6664897162223
0.7099324831207802,1.4085846524504937,354.8958003741186,-414260.1073645613,320593706.54439133,-2306.7331058215523,1768247.6359236767,-30387.018982108708,1086.9293212843138,-8.288276232819788,-1213.4011831988644,570985.4544100047,-811599.3862516147,0.021772506722239286,-606.7005915994322,-606.7005915994322
0.7099062265566392,1.408636750307776,353.9982953729148,-388847.2513932584,300756399.3826761,-2705.264974521092,1904309.66684246,-30575.002160830023,1033.194233770512,-8.744892593355793,-1157.2639529960593,559154.1360336695,-897356.6872306126,0.021812476142519997,-578.6319764980296,-578.6319764980296
0.7098799699924981,1.4086888520189798,353.2860551761288,-380431.16838753386,293172842.4780681,-2778.5151313832503,1923452.8568271562,-30779.036336681187,1019.201344587081,-8.903947014156524,-1141.2741924932782,553274.30568997,-910590.4403086959,0.021852447956778615,-570.6370962466391,-570.6370962466391
0.709853713428357,1.4087409575845324,352.5441867168952,-379613.2016296649,291064308.35328186,-2864.7682470296877,1947237.245233481,-30989.857553017424,1023.238325188166,-9.07828758139816,-1143.3658344134274,550060.5450287738,-892956.7488111823,0.021892422794228913,-571.6829172067137,-571.6829172067137
0.709827456864216,1.4087930670048616,351.8077814453069,-373755.5174513707,285401575.8285027,-2853.7270881816617,1936536.630037888,-31207.08612451813,1015.078635131724,-9.162962706020998,-1133.4306559159459,545604.6833717572,-897753.6817169774,0.021932400527617975,-566.7153279579729,-566.7153279579729
0.709801200300075,1.4088451802803952,351.06940562376275,-373850.73326692276,283970801.2070719,-1962.3027178271632,1616297.5705070202,-31399.766859490835,1021.2408459088998,-8.40063528419785,-1138.7832838469444,542973.4351625724,-875066.3730810594,0.021972381168757393,-569.3916419234722,-569.3916419234722
0.709774943735934,1.4088972974115608,350.5402950500051,-360042.1994370118,272844324.1701575,1862.9492909457435,270208.50947365677,-31433.17743983829,993.4663052133967,-4.770933503195991,-1113.3893119514826,534982.6196250785,-900294.7185325183,0.022012363637162934,-556.6946559757413,-556.6946559757413
0.709748687171793,1.4089494183987863,350.8629448959605,-332118.2562278446,251975296.11580876,12790.184481149612,-3544888.6959633105,-30946.815477168187,930.6396474526126,5.889916816463726,-1060.9312117670772,519111.9724542835,-950872.8537155751,0.02205235350463688,-530.4656058835386,-530.4656058835386
0.7097224306076519,1.4090015432425005,352.8005064279763,-334255.07739321515,252113001.05827603,36580.634264537,-11806368.49678102,-29224.49311402583,941.843571369766,29.474429707217624,-1097.880175607512,504544.9823405972,-812839.0493704074,0.022092369639673436,-548.940087803756,-548.940087803756
0.7096961740435108,1.4090536719431306,357.4970631190638,-359985.2739817244,268565576.6802938,78060.71350944175,-26142288.864912488,-25334.944982062232,1012.7455996654109,71.15126246958536,-1220.4624442273926,493540.90595043486,-484635.04603223805,0.022132406641888605,-610.2312221136963,-610.2312221136963
0.7096699174793698,1.409105804501105,366.58006749561156,-382534.3740076148,282670972.26583016,139831.1132529377,-47390765.36068762,-18756.07956581391,1077.4583507059137,133.94995937075493,-1406.5389777729038,572469.9477019632,-311527.8948134079,0.022172442596417655,-703.2694888864519,-703.2694888864519
0.7096436609152288,1.409157940916851,381.95737640129084,-401127.6839688538,293969695.8242098,221960.02260466802,-75510576.29990238,-10458.210226105339,1134.3570742278503,218.1959588539309,-1162.6654679275882,-392349.076967192,2921187.2981800456,0.022212457848555717,-1435.906794268114,273.2413263405258
0.7096174043510878,1.4092100811907984,405.5132221332525,-423610.4757779824,307808941.96970624,321975.7940298899,-109593617.3337752,-4383.218472748438,1203.5934399568227,321.15248006270673,-1509.3585485652723,-24146.29240850973,2374748.397761104,0.0222524313693034,-1525.1902082999777,15.831659734705454
0.7095911477869468,1.4092622253233744,438.57710144513953,-454914.62408240756,327514603.3986789,435435.93099585816,-148074670.32647836,-8937.558323334375,1298.3448854400312,437.2322456732989,-1720.852916961587,-29631.24656475655,3079859.7480742284,0.022292343713983087,-1737.90291800467,17.050001043082943
0.7095648912228056,1.4093143733150078,482.26720160393296,-450195.2209745319,322753124.861938,556423.5558257892,-188910867.15789318,-38020.741229438485,1303.562364487632,558.2268793838828,-1824.9105497395879,-179691.1728953615,4049063.206132291,0.022332165365833902,-1918.569483860539,93.65893412095113
0.7095386346586646,1.4093665251661267,537.5914435898181,-401765.397803775,288602194.72217524,679185.0185867196,-230143045.57320374,-111129.7655276271,1197.5334423514146,674.8842107797769,-1801.245540295579,-884251.6137716433,6781491.951521286,0.022371896789853237,-2202.6876640299347,401.4421237343555
0.7095123780945236,1.4094186808771596,604.7785286401701,-350759.0103086544,253025341.71009257,798871.4211176658,-270144226.1113594,-252551.5641345545,1085.804172710547,777.7932183685457,-1748.7124032872148,-3141713.4958451963,15624849.052791331,0.02241157214213885,-2850.7701924860708,1102.057789198856
0.7094861215303826,1.4094708404485352,683.3413079553735,-305108.14578191156,221325977.45380053,911151.2321812256,-307482228.91000557,-489784.18630603724,989.0331912824756,857.2657406638172,-1679.5555828233073,-8778823.07038296,37936199.23732478,0.022451228368930386,-3919.396243319486,2239.8406604961788
0.7094598649662416,1.4095230038806823,772.5657907188717,-254201.13710303837,186406596.3473695,1012519.1884183359,-341020207.1917583,-851357.2342441472,879.2114118878933,904.0505471438706,-1557.4944396443336,-20643359.16236393,84999225.57897875,0.022490902487910473,-5388.498448982444,3831.0040093381103
0.7094336084021005,1.4095751711740292,871.4086712768333,-209950.155757741,156184132.61651996,1100709.273872447,-370048109.0648913,-1364495.307212041,787.6299763951563,910.2087092520223,-1406.8336777677182,-42708311.23595448,172812425.94071937,0.022530632663682968,-7276.323843032012,5869.490165264294
0.7094073518379594,1.4096273423290049,978.3478653959711,-215280.58721620447,158846035.98396552,1174678.7160365356,-394265771.10184664,-2053167.4228023319,829.5812834036216,869.4911023181942,-1337.5593980456001,-80050840.34057958,321992426.50561845,0.022570453861133953,-9640.85340728025,8303.29400923465
0.7093810952738184,1.4096795173460377,1091.6037014435665,-249864.87462960393,180705168.40442678,1233584.431093361,-413437107.03788006,-2936500.358079138,952.4454884977041,776.5922109973679,-1292.6787310579118,-138582958.86365238,556002853.756339,0.02261036139275478,-12436.195744598412,11143.517013540499
0.7093548387096774,1.409731696225557,1209.8350040683388,-268419.6184063836,191894514.21221292,1277014.3012907633,-427475548.0586202,-4027126.182420269,1034.118794995012,627.7549576595513,-1147.3130982358562,-224663689.0163781,899971083.410896,0.02265032475797313,-15573.415575606454,14426.102477370598
0.7093285821455364,1.4097838789679915,1331.7900034833137,-283794.6567907279,200912570.3583436,1305585.415296722,-436634785.3830609,-5330686.837821997,1108.7049957726035,421.56016121931333,-935.1117210397871,-344767139.0689377,1379942990.2065768,0.022690328113956576,-19041.347814551365,18106.23609351158
0.7093023255813953,1.4098360655737707,1456.0697014937182,-303088.3704019782,212410832.53505394,1320212.2074699637,-441257831.84135413,-6845991.956539777,1195.366195494762,158.1681356893995,-676.2948850035659,-504989541.5027627,2020415540.7825327,0.022730352843097965,-22812.66379315176,22136.368908148193
0.7092760690172543,1.4098882560433228,1581.5756981847617,-323697.3983685676,224635154.41612116,1322000.1612132974,-441745326.25147104,-8565307.689691601,1286.7538149594122,-160.79336435144162,-365.9750151992138,-710591564.0154933,2842500193.773723,0.022770381331238706,-26840.538941357187,26474.563926157974
0.7092498124531132,1.4099404503770772,1707.2326058219408,-323857.92500349454,223650296.80438057,1311979.3939805413,-438470142.4861407,-10475021.923800865,1321.9914701524722,-532.5985814840533,53.23565169662436,-965587013.1226968,3862350886.5253987,0.022810393343721067,-31047.289582640722,31100.525234337347
0.7092235558889722,1.4099926485754632,1832.2887355014598,-300952.39381203067,207907970.04507795,1291435.222620642,-431891157.0747447,-12556223.299030613,1292.3446537727207,-953.1263244559894,585.2394847479464,-1272471669.3640792,5090229182.710825,0.022850384659436195,-35380.30129975133,35965.54078449927
0.7091972993248312,1.41004485063891,1955.9260312030854,-291157.66309804056,200640873.83120522,1262032.0320430463,-422574430.7259906,-14786474.464241153,1298.8041664294028,-1417.057260773822,1123.1293125700254,-1632267630.7904036,6530331942.614368,0.02289037280135919,-39843.66997554941,40966.799288119444
0.7091710427606901,1.4100970565678472,2077.268806938478,-291354.0698746964,199775970.60284325,1225033.8691899015,-410941442.7996043,-17140934.053605683,1333.0252538488903,-1918.9271303167409,1669.292967624652,-2044321870.4220338,8180074020.699896,0.022930361983440062,-44387.23433924692,46056.527306871576
0.7091447861965491,1.4101492663627035,2195.673488578284,-287039.1130861849,196061119.6650052,1181510.0336048133,-397352734.9271594,-19592820.66149826,1353.785625146767,-2452.9563406526436,2258.740663202485,-2506290551.7354317,10030264116.32533,0.022970351390823315,-48946.23280087568,51204.97346407816
0.7091185296324081,1.4102014800239089,2310.5301349548786,-286956.8429339786,195033037.5748922,1132630.416225145,-382195317.36405325,-22114502.935871933,1385.9371875899078,-3012.9372236631316,2860.050026101742,-3014407425.716488,12065809589.017756,0.02301034101628111,-53492.21453755776,56352.264563659504
0.709092273068267,1.410253697551893,2421.4893574685434,-280083.93648403464,189766777.31159726,1079376.7626575788,-365789859.60889894,-24678451.441832636,1397.6310887360276,-3592.7410147253354,3498.650050556037,-3563577691.467719,14266551318.047132,0.023050330532783887,-57972.009768175674,61470.659818731714
0.709066016504126,1.4103059189470843,2528.297707790547,-256288.87491971673,173993306.62265128,1022565.5530881198,-348411093.1168139,-27257466.794791173,1358.7857897153078,-4186.321802540733,4198.326971315062,-4147542278.519137,16607795063.43462,0.023090321833907804,-62336.45372919232,66534.78070050738
0.7090397599399849,1.410358144209914,2630.7294248581816,-252563.94512754187,170784800.39002898,963411.0669748319,-330446229.2660316,-29825826.48721871,1377.1817244812144,-4787.348454132107,4844.787959482844,-4759494637.785649,19061450521.514946,0.023130334544208743,-66609.21204517108,71454.00000465392
0.7090135033758439,1.4104103733408104,2728.251193296373,-273998.93049827375,183181843.583734,902643.5684485907,-312105899.50848144,-32360404.612795435,1469.0196414107384,-5390.446037861742,5416.36748192019,-5392286149.560393,21598481634.940777,0.023170368752996516,-70773.925705729,76190.2931876492
0.7089872468117029,1.4104626063402042,2820.6349364056673,-294107.0258411394,194646555.46941003,840639.291086474,-293500293.50928783,-34839400.191233456,1556.6393257047232,-5990.749206371754,5985.778167571252,-6038155310.211324,24188450781.11667,0.023210402715198048,-74770.29433407071,80756.07250164197
0.7089609902475619,1.4105148432085246,2907.8606171473175,-310594.48363790486,203795488.2143822,777943.475174175,-274797710.98169327,-37243019.7423701,1633.1010556493782,-6583.467951386704,6555.11651801018,-6689323018.02787,26800261624.67617,0.023250416604530866,-78576.36899051082,85131.485508521
0.7089347336834209,1.4105670839462017,2989.8711390632243,-329177.6913017719,214148020.89059776,715073.7933232376,-256154109.74873352,-39553623.42217066,1715.4353343670398,-7164.1678655108035,7102.891797554697,-7338142462.7052555,29403020922.708794,0.023290389277252292,-82185.09958024925,89287.99137780396
0.7089084771192797,1.4106193285536657,3066.637124933772,-356242.4221530369,229559111.8904872,652500.5617092588,-237703734.93365064,-41756215.33039777,1823.1188485396403,-7728.916802151045,7605.710369066076,-7977404394.046504,31967464406.404137,0.023330301253316796,-85594.3824774945,93200.09284656057
0.7088822205551387,1.410671577031346,3138.1891533485696,-359561.5352209336,230487210.9849589,590227.4513943897,-219442870.0866975,-43837698.148352064,1858.186769129058,-8274.614238361703,8158.458827042444,-8600003445.78202,34466574233.56063,0.023370123716758076,-88746.64821976678,96905.10704680924
0.7088559639909977,1.410723829379673,3205.038509794568,-322812.81915871316,207221546.91348124,528460.6643071497,-201458738.74948156,-45786119.14782034,1769.026594726134,-8798.04884212502,8809.538792223899,-9199028230.610178,36873720896.17241,0.023409850072790502,-91607.88718646107,100417.42597868497
0.7088297074268567,1.4107760855990772,3267.5140355980548,-279025.1169547808,179913821.49823266,467785.09825921553,-183940824.2079668,-47592084.65005769,1655.6983785143289,-9296.087757908275,9455.79433820261,-9768630589.012571,39163934402.61667,0.02344951207302387,-94221.50202389111,103677.29636209371
0.7088034508627157,1.4108283456899882,3325.6522448786923,-240917.3312936552,156231016.71756557,408478.3732405729,-166964031.76250708,-49249008.38153963,1557.449715017346,-9766.549215037778,10055.878755134974,-10303890427.324152,41316682406.83458,0.023489147306277162,-96604.58790434481,106660.46665947977
0.7087771942985747,1.4108806096528366,3379.636862337505,-199295.5686194975,130642842.0717384,350652.5125116979,-150553508.5485819,-50752031.38019438,1445.7895604170674,-10207.781705708952,10636.719495201718,-10800451022.531034,43314943891.743744,0.023528792983140562,-98742.85287716119,109379.5723723629
0.7087509377344335,1.4109328774880527,3429.6244770561957,-159354.20776111542,106261906.06052205,294460.3819539137,-134750433.85871398,-52097967.26424287,1336.9433660029558,-10618.40878406907,11180.809837745635,-11254769423.660065,45144088203.26809,0.023568486988636974,-100645.28612145987,111826.09595920552
0.7087246811702925,1.4109851491960668,3475.5300384781835,-158830.59156501121,105351101.33865829,240300.41456797594,-119649611.18805014,-53285660.79998618,1350.76001822016,-10997.206059781576,11567.196289238902,-11664453339.982838,46791613389.92513,0.023608266598826012,-102373.24790537076,113940.44419460966
0.7086984246061515,1.4110374247773092,3517.133748907695,-188406.881949712,122184277.62747979,188153.10814811592,-105197640.85308531,-54316338.129384324,1459.875498977711,-11343.957424034,11823.186111057395,-12027976711.139301,48251694574.37391,0.023648133029764005,-103919.74875359915,115742.93486465656
0.7086721680420105,1.4110897042322106,3554.4580792830698,-206137.09166468208,131930592.26588957,137541.39618777964,-91240867.24738471,-55190915.46596313,1531.1276237669235,-11658.82968477349,12082.215380005884,-12343597657.680683,49520370559.211586,0.02368805500065223,-105224.7569756837,117306.97235568959
0.7086459114778695,1.4111419875612017,3587.79793835513,-218816.30478499224,138641724.52980483,88578.67189009697,-77814039.07425319,-55910685.60224561,1585.8554764473042,-11941.334160511124,12322.542526799822,-12610185432.763262,50592586785.37784,0.023728016064611994,-106302.70828714088,118625.25081394071
0.7086196549137284,1.4111942747647128,3617.3267069038693,-235857.57823526344,147841985.79148552,41406.65171345114,-64948301.322877415,-56478406.49857533,1654.4864274327952,-12191.281785644993,12513.657888277026,-12827430244.423283,51466312611.437965,0.023767997552087323,-107174.1110716239,119687.76895990093
0.7085933983495873,1.411246565843175,3643.1596547873737,-256052.36821297338,158774031.71605352,-4024.039634890898,-52618105.23371714,-56897618.95803019,1733.2744448014403,-12408.90306842537,12659.645306363098,-12995472325.834522,52142155922.62101,0.023807982159152006,-107843.4622284196,120503.10753478268
0.7085671417854463,1.4112988607970187,3665.5112062954076,-246762.8588266102,152645287.0813614,-48075.09675623099,-40717547.60408842,-57172059.27998651,1714.9649748698755,-12594.853220268818,12868.5054047258,-13114493430.762758,52623572154.40249,0.023847947976599053,-108264.88870070351,121133.3941054293
0.7085408852213053,1.4113511596266748,3684.9543358422575,-213892.28042739016,132994330.00290605,-90636.14627136014,-29305700.479851246,-57304885.17184519,1617.2884395955891,-12749.060214317167,13122.486994485593,-13184827523.872023,52911509760.40853,0.023887899784913704,-108451.26643146944,121573.75342595504
0.7085146286571643,1.4114034623325744,3701.5560357839263,-216339.25170564617,133700088.26962703,-131168.54768013794,-18522056.681932427,-57301530.62151532,1635.5439360259795,-12871.55643191323,13226.436091288824,-13208370875.310862,53008422112.920395,0.023927869857066072,-108504.571753457,121731.00784474584
0.7084883720930233,1.4114557689151486,3715.0674500579726,-238532.34276486113,145676541.0385151,-169941.2501389417,-8249721.0640917495,-57168551.55831857,1719.6366348447475,-12963.669068859273,13231.912208234202,-13187180506.559532,52923805526.924545,0.023967851083619773,-108409.91655821542,121641.82876644962
0.7084621155288822,1.411508079374828,3725.656307749393,-255092.96201144948,154337583.57076386,-207236.02208497172,1598644.9119394347,-56911456.882957995,1784.8827292190365,-13026.44455320902,13224.734891514081,-13122889636.555422,52666452159.172516,0.02400782087328568,-108133.49539815175,121358.23028966584
0.7084358589647411,1.4115603937120438,3733.471710722844,-269703.9167947013,161841862.3445325,-243078.45066729287,11035004.07956151,-56535878.68970619,1843.6020486322975,-13060.654334025703,13193.439155237591,-13017501672.426178,52244073526.44767,0.02404775915243149,-107688.09298123312,120881.53213647072
0.7084096024006001,1.4116127119272273,3738.619339692956,-290069.9808169671,172513972.23693287,-277476.6080441524,20066658.717629336,-56047542.8347306,1921.9917854692235,-13067.09374100652,13112.702754466824,-12873206842.259855,51664770342.56642,0.024087644990005045,-107093.077066739,120205.77982120583
0.7083833458364591,1.4116650340208097,3741.1824756901183,-310523.300038672,183157532.37868762,-310527.4947139657,28733584.56075053,-55452524.255156346,2000.9666101641965,-13046.800501997115,13002.734410808938,-12692365687.880247,50938533853.67902,0.024127456683499828,-106346.46601889699,119349.20042970593
0.7083570892723181,1.411717359993222,3741.5155888243826,-295318.85893582465,173811351.43270966,-342591.67598981946,37125962.76228765,-54756082.86485983,1956.7094593245047,-13000.944831486726,12988.573581950888,-12476849347.340513,50076100433.05581,0.024167167467161604,-105394.162605126,118382.73618707688
0.708330832708177,1.411769689844896,3740.1082634496915,-255831.61328266436,151012677.73394966,-373580.3108376134,45190855.06860998,-53962866.258632936,1826.6437834346918,-12930.019200964616,13033.315547743941,-12228672727.382524,49084558223.69716,0.02420679234495775,-104258.51794670313,117291.83349444706
0.708304576144036,1.4118220235762629,3737.1286626594265,-220592.59676733057,130759590.4482082,-403269.1952291907,52865876.71273209,-53078652.974877976,1709.4670521296534,-12834.720534679242,13039.023278700643,-11950568285.041162,47972289268.22715,0.024246369028099613,-102993.37489486896,116032.39817356961
