key,step,dcm,dcp,dc55,dc56,ddisc,dK6,dK12,dK20,dK42,dK110,dK420,dK1000
H_f2XX_i,0.01,0.0,4.263256414560601e-12,-2.2737367544323206e-11,4.0745362639427185e-08,2.3283064365386963e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_f2XF_i,0.01,-2.4613336790935136e-05,6.938381744703292e-05,0.000824547532829456,-0.17277455772273242,1.3412379527835583,0.00042455612704207085,9.418933848612775e-05,2.3464550964399922e-05,2.7438110072544467e-06,1.5760831494207117e-07,2.860323837592521e-09,2.1235757293250335e-10
H_f2XY_i,0.01,3.299189756944543e-05,-9.272793022319092e-05,-0.0011081240245403023,0.23158827098086476,-1.0768521925456298,-0.00018785623555391678,-4.9684240261771775e-05,-1.2712797329943182e-05,-1.5078368187555497e-06,-8.634932377484775e-08,-1.5617111336768685e-09,-1.1591295414822844e-10
H_f2FF_i,0.01,7.14740170725463,0.006416931663011383,11.056836322597974,5446.186728315661,55.25382129244463,0.0069201897609059634,0.0009222013758643666,0.00018404361624074295,1.674438296864905e-05,7.789383351567249e-07,1.2430552520593176e-08,8.982147437331976e-10
H_f2FY_i,0.01,-17.79950223567539,-0.015054704927308649,-26.316767894388704,-13562.925848888699,55.73388405264268,0.0015459604689206478,0.0007757361170833855,0.00029047675870364376,4.7491812923643856e-05,3.3148925095289586e-06,6.601547949323048e-08,4.9904916840240784e-09
H_f2YY_i,0.01,11.018545632919086,0.008628130468935069,15.360405804256061,8396.058101358358,-35.9014912436578,-0.011585986245068666,-0.0019022158660642833,-0.0004919822992434765,-6.299411987713559e-05,-3.901351362012485e-06,-7.378041558580527e-08,-5.521489179458026e-09
H_f2XX_j,0.01,0.0,4.263256414560601e-12,-2.2737367544323206e-11,4.0745362639427185e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_f2XF_j,0.01,-2.4613336790935136e-05,6.938381744703292e-05,0.000824547532829456,-0.17277455772273242,0.0,-0.0036635815444318112,-0.0007676818727210891,-0.00018766040596046845,-2.158621524399318e-05,-1.225637898002286e-06,-2.2006714408164387e-08,-1.6314336220880012e-09
H_f2XY_j,0.01,3.299189756944543e-05,-9.272793022319092e-05,-0.0011081240245403023,0.23158827098086476,0.0,0.0031332814558056657,0.0007601618499835858,0.00018889419386537232,2.2070360442718435e-05,1.2671834214602576e-06,2.296042914121983e-08,1.703763519145766e-09
H_f2FF_j,0.01,7.14740170725463,0.006416931663011383,11.056836322597974,5446.186728315661,0.0,-0.18105722679693367,-0.024942141877930212,-0.005798624082900051,-0.0006694702258757318,-3.865668679977184e-05,-7.038319197331021e-07,-5.226203191455855e-08
H_f2FY_j,0.01,-17.79950223567539,-0.015054704927308649,-26.316767894388704,-13562.925848888699,0.0,0.008044911772927231,0.005052263087072838,0.002587050502810787,0.0006463308470665036,6.800412889917503e-05,1.3590674439955703e-06,1.0152219878030671e-07
H_f2YY_j,0.01,11.018545632919086,0.008628130468935069,15.360405804256061,8396.058101358358,0.0,-0.24106251929137565,-0.02527465986374509,-0.005564906531293643,-0.0006280673046264257,-3.6186627197816045e-05,-6.615369899167215e-07,-4.9188918753097336e-08
