u,x,cminus,cplus,c55,c56,disc,cV,delta_a9
0.7099849962490622,1.4084804682959815,-2004.4455351869483,-2004.4455351869483,-4008.8910703738966,6946092.315461977,-11713161.647724343,0.038470655771621384,3.117036132368762e-101
0.7099587396849212,1.4085325584467046,-2016.636585305093,-2016.636585305093,-4033.273170610186,6993212.136587825,-11705556.077587357,0.03859200142056149,9.195306177702518e-37
0.7099324831207802,1.4085846524504937,-1993.9792571544938,-1993.9792571544938,-3987.9585143089876,6833989.531151807,-11432145.012757681,0.03871355219254652,1.9499974546189935e-22
0.7099062265566392,1.408636750307776,-1959.0434505381438,-1959.0434505381438,-3918.0869010762876,6607607.410217218,-11079024.676483285,0.03883531384067831,3.922511281823045e-16
0.7098799699924981,1.4086888520189798,-1944.7372291179104,-1944.7372291179104,-3889.4744582358207,6503857.617242472,-10887418.907701058,0.03895733388549838,1.3778724394133454e-12
0.709853713428357,1.4087409575845324,-1939.4009092200617,-1939.4009092200617,-3878.8018184401235,6453665.828006684,-10769559.765292326,0.03907961444952758,2.582160551944172e-10
0.709827456864216,1.4087930670048616,-1928.100450311381,-1928.100450311381,-3856.200900622762,6369136.277514682,-10606259.724094925,0.039202155635428414,9.839649249620771e-09
0.709801200300075,1.4088451802803952,-1923.9987381348424,-1923.9987381348424,-3847.9974762696847,6326846.983108393,-10500303.355055708,0.039324957922591344,1.4331725516120954e-07
0.709774943735934,1.4088972974115608,-1902.9137550233884,-1902.9137550233884,-3805.8275100467768,6187298.399473412,-10264870.5616648,0.039448018845707575,1.1171890797463971e-06
0.709748687171793,1.4089494183987863,-1865.3883492343612,-1865.3883492343612,-3730.7766984687223,5956037.596614102,-9905455.612619229,0.03957135388598511,5.6696735284347064e-06
0.7097224306076519,1.4090015432425005,-1865.7088686651734,-1865.7088686651734,-3731.417737330347,5942818.660617029,-9847796.312004592,0.03969501462702976,2.1158689126153727e-05
0.7096961740435108,1.4090536719431306,-1894.6210528809793,-1894.6210528809793,-3789.2421057619586,6090765.471680222,-10004706.150641566,0.039818987226222284,6.288251002146611e-05
0.7096699174793698,1.409105804501105,-1918.6470813722935,-1918.6470813722935,-3837.294162744587,6208052.887897895,-10107385.060157897,0.03994321285895241,0.00015713750020367013
