u,x,slot,radial_order,inner_value,neighbor_value,abs_error,relative_error,scaled_error,finite
0.71,1.4084507042253522,c5,0,-16.98290742225451,-16.982888000828055,1.942142645461331e-05,1.1435879724147246e-06,1.1435879724147246e-06,True
0.71,1.4084507042253522,c6,0,327.8087731324144,327.808729056101,4.407631337244311e-05,1.3445741209929744e-07,1.3445741209929744e-07,True
0.71,1.4084507042253522,d1,0,0.2882437128285605,0.28824371282825534,3.051447983182243e-13,1.0586347064577229e-12,3.051447983182243e-13,True
0.71,1.4084507042253522,d2,0,3.6206668200071803,3.6206109425990665,5.5877408113857996e-05,1.5433143466595787e-05,1.5433143466595787e-05,True
0.71,1.4084507042253522,d3,0,371.0288029575943,371.2474720642729,0.21866910667864659,0.0005890117054878938,0.0005890117054878938,True
0.71,1.4084507042253522,d4,0,3.277685084813051,3.277676240086372,8.844726679058112e-06,2.6984747824956132e-06,2.6984747824956132e-06,True
0.71,1.4084507042253522,e1,0,165.1719547462615,165.1714862525636,0.00046849369789470074,2.8364078360252044e-06,2.8364078360252044e-06,True
0.71,1.4084507042253522,e2,0,-29.455502263322373,-29.45556396637293,6.170305055874792e-05,2.0947842190083126e-06,2.0947842190083126e-06,True
0.71,1.4084507042253522,e3,0,323.08735876595836,323.08735876572854,2.298179424542468e-10,7.113182742036292e-13,7.113182742036292e-13,True
0.71,1.4084507042253522,e4,0,1354.272627163152,1354.7721168866453,0.4994897234932978,0.00036868910812923853,0.00036868910812923853,True
0.71,1.4084507042253522,v1,0,643.5534218779843,643.5534218779834,9.094947017729282e-13,1.4132388560982073e-15,1.4132388560982073e-15,True
0.71,1.4084507042253522,v2,0,906.4132702506819,906.4132696866909,5.639909659294062e-07,6.222227595193463e-10,6.222227595193463e-10,True
0.71,1.4084507042253522,v3,0,-935.5385930676093,-935.5385071630295,8.590457980517385e-05,9.182367069600897e-08,9.182367069600897e-08,True
0.71,1.4084507042253522,v4,0,0.0,0.0,0.0,0.0,0.0,True
0.71,1.4084507042253522,v5,0,-3873.2463227621743,-3873.246322762168,6.366462912410498e-12,1.6437020478135551e-15,1.6437020478135551e-15,True
0.71,1.4084507042253522,v6,0,20.67897920001894,20.6789186147336,6.05852853396982e-05,2.929809167899697e-06,2.929809167899697e-06,True
0.71,1.4084507042253522,v7,0,319.15960220094394,319.1596018037553,3.971886144427117e-07,1.2444827359038215e-09,1.2444827359038215e-09,True
0.71,1.4084507042253522,v8,0,-21.921009691778618,-21.920949010738948,6.068103967038496e-05,2.768175759209041e-06,2.768175759209041e-06,True
0.71,1.4084507042253522,v9,0,0.010005361867296907,0.01002198696459579,1.6625097298883507e-05,0.0016588623950135057,1.6625097298883507e-05,True
0.71,1.4084507042253522,v10,0,-2.2374177338788734,-2.2374115429306123,6.190948261153295e-06,2.7670136415959717e-06,2.7670136415959717e-06,True
0.71,1.4084507042253522,v11,0,-10.339489600009468,-10.339459307366859,3.029264260945297e-05,2.929809162058356e-06,2.929809162058356e-06,True
0.71,1.4084507042253522,v12,0,-26.572322114609822,-26.57224419979872,7.791481110075438e-05,2.932187831592507e-06,2.932187831592507e-06,True
0.71,1.4084507042253522,v13,0,642.8061946651698,642.9557704934772,0.14957582830743377,0.00023263781922764658,0.00023263781922764658,True
0.71,1.4084507042253522,a1,1,-1.6713318389963405e-61,0.0,1.6713318389963405e-61,1.6713318389963404e+239,1.6713318389963405e-61,True
0.71,1.4084507042253522,a2,1,696.6066736370559,692.9988796083185,3.6077940287374304,0.005206060406297551,0.005206060406297551,True
0.71,1.4084507042253522,a3,1,0.302446604380748,0.30244617454541406,4.2983533393714524e-07,1.4211961337689294e-06,4.2983533393714524e-07,True
0.71,1.4084507042253522,a4,1,-0.33454289994733727,-0.3345426577185158,2.422288214454227e-07,7.240595955605578e-07,2.422288214454227e-07,True
0.71,1.4084507042253522,a5,1,253643.96915217128,152993.8963438609,100650.07280831039,0.6578698576451355,0.6578698576451355,True
0.71,1.4084507042253522,a6,1,-216.79374948756595,-215.31354015333727,1.4802093342286753,0.006874669067140563,0.006874669067140563,True
0.71,1.4084507042253522,a7,1,49626.26942213625,49602.234066486264,24.035355649983103,0.0004845619577893687,0.0004845619577893687,True
0.71,1.4084507042253522,a8,1,-0.7296306937860212,-0.729630443606442,2.501795791642891e-07,3.428853351125167e-07,2.501795791642891e-07,True
0.71,1.4084507042253522,a9,1,-290.2690357259417,-288.63221610968515,1.6368196162565596,0.0056709525995342815,0.0056709525995342815,True
0.71,1.4084507042253522,b1,1,-0.9699352977768291,-0.9699349654159755,3.3236085361654233e-07,3.426630294475495e-07,3.3236085361654233e-07,True
0.71,1.4084507042253522,b2,1,1.1419584874585865e-60,0.0,1.1419584874585865e-60,1.1419584874585865e+240,1.1419584874585865e-60,True
