u,x,phi_prime,X_prime,F_prime,chain_phi_gradient,chain_phi_gradient_normalized,chain_X_gradient,chain_X_gradient_normalized,chain_F_gradient,chain_F_gradient_normalized,current_f2phiphi_control,implied_f2phiphi_control,current_f2Xphi_control,implied_f2Xphi_control,current_f2phiF_control,implied_f2phiF_control,current_response_v5,holonomic_response_v5,response_v5_scaled_change,current_response_c3,holonomic_response_c3,response_c3_scaled_change,current_response_e3,holonomic_response_e3,response_e3_scaled_change,current_response_v1,holonomic_response_v1,response_v1_scaled_change,current_response_v4,holonomic_response_v4,response_v4_scaled_change,current_response_c2,holonomic_response_c2,response_c2_scaled_change
0.71,1.4084507042253522,-1.277579716040595,0.12160518835298717,-7.0013986164703965,8972.988847098994,1.0,-788.5006723353664,0.9999995650824247,1536.104521111183,1.0,-375.56619455011815,-0.03686459452142309,617.1832832831127,0.00013421195770104,-1202.3483973182292,0.006729195358223761,-3873.246322762169,0.021677436618639283,1.0000055967100494,337.2044016680054,-0.015192472359352394,1.0000450541934927,323.0873587659583,-3.5330034166473907,1.010935133550696,-0.003703074533518702,-0.003703074533518702,0.0,0.0,0.0,0.0,0.0003829691539181113,0.0003829691539181113,0.0
0.7100035714285714,1.4084436194988958,-1.2775573115330467,0.12625953991664574,-7.002189435297623,8982.134030803138,1.0,-788.9955542288591,0.9999992862444776,1537.0429374454216,1.0,-375.57892685161175,-0.05831760724264585,617.5815587147677,0.0002204012026607278,-1203.1001076342236,0.010644086962670392,-3875.701796141943,0.034289172362084806,1.0000088472163664,337.41151421706394,-0.02402676830688324,1.0000712090942203,323.0873587659583,-5.4067244627153475,1.0167345589854289,-0.005856975219444394,-0.005856975219444394,0.0,0.0,0.0,0.0,0.0006057064068585305,0.0006057064068585305,0.0
0.7100071428571428,1.4084365348437138,-1.2775348802789726,0.12317948437703308,-7.002983265381772,8986.507867159873,1.0,-789.4904466497383,0.9999989738220662,1537.9827143177781,1.0,-375.591660020115,-0.08602083574869214,617.9798797795581,0.0003170788207596433,-1203.851795487058,0.015698120577953077,-3878.1572448189722,0.050570826307402394,1.0000130399112555,337.6186246825126,-0.03543967120407045,1.0001049695384472,323.0873587659583,-6.625517439978406,1.0205068915889646,-0.008637301904173,-0.008637301904173,0.0,0.0,0.0,0.0,0.0008931593490331126,0.0008931593490331126,0.0
0.7100107142857143,1.408429450259805,-1.2775124424087667,0.12546168368135113,-7.0037762442661915,8994.195163390088,1.0000000000000002,-789.9853043011051,0.9999985446365618,1538.9238568829105,1.0,-375.6043940551395,-0.1198902992021393,618.3782270411998,0.000449982858732285,-1204.6034608760851,0.021876456245637846,-3880.61266879364,0.0704746881545485,1.0000181607117664,337.8257330643838,-0.04938348335830319,1.0001461803484015,323.0873587659583,-9.140888041737476,1.0282923110227877,-0.012035743846013247,-0.012035743846013247,0.0,0.0,0.0,0.0,0.0012444361926071679,0.0012444361926071679,0.0
0.7100142857142857,1.4084223657471682,-1.2774900480589402,0.12836598389105802,-7.004570909442009,9002.272300627448,1.0,-790.4801023618668,0.9999980145865511,1539.866442513833,1.0,-375.61712895727743,-0.1600024826196453,618.7765519421621,0.0006142642537825407,-1205.3551037971945,0.029192427700459305,-3883.0680680663327,0.09404380790016649,1.0000242189439514,338.0328393627101,-0.06589113339749714,1.0001949252431264,323.0873587659583,-10.16471809014498,1.0314612064333604,-0.01605948518306377,-0.01605948518306377,0.0,0.0,0.0,0.0,0.001660277958677625,0.001660277958677625,0.0
0.7100178571428571,1.4084152813058022,-1.2774676689064208,0.12751670529297598,-7.005366062136545,9008.02926193123,1.0,-790.9748869671914,0.9999974563149081,1540.8104801851268,1.0,-375.6298647279231,-0.20654949470375758,619.1748818522985,0.0007874939597043502,-1206.106724243721,0.037679789722178114,-3885.5234426375105,0.12138702432902648,1.0000312408420953,338.2399435775303,-0.08505148151049943,1.000251453097499,323.08735876595836,-10.560078753604007,1.032684902293728,-0.02072694524383678,-0.02072694524383678,0.0,0.0,0.0,0.0,0.002142611455411725,0.002142611455411725,0.0
0.7100214285714286,1.408408196935706,-1.2774452612733718,0.12569070759766987,-7.006160498857753,9013.180567214113,1.0,-791.4696786725823,0.9999968534820772,1541.755898272231,1.0,-375.6426013666217,-0.2594517723112453,619.5732591111715,0.0009747507157119986,-1206.8583222148811,0.047323773731592744,-3887.9787925074825,0.1524568586577598,1.0000392123688924,338.44704570887046,-0.10682827902098156,1.0003156425218522,323.0873587659583,-11.765710012631162,1.0364164975614356,-0.026029849940755412,-0.026029849940755412,0.0,0.0,0.0,0.0,0.0026905519966788916,0.0026905519966788916,0.0
0.710025,1.408401112636879,-1.2774228359138233,0.12457120651706077,-7.006954523162449,9018.768962637816,1.0,-791.9644580301439,0.9999961738118026,1542.70268961546,1.0,-375.6553388728849,-0.31862386766068684,619.9716733354993,0.0011860664186923483,-1207.6098977100023,0.05810871941523111,-3890.434117676554,0.18720295765727277,1.0000481187836614,338.6541457567566,-0.13118054843949972,1.0003873584601966,323.0873587659583,-13.208423461584136,1.0408818949526037,-0.03195943494142739,-0.03195943494142739,0.0,0.0,0.0,0.0,0.0033031632479634254,0.0033031632479634254,0.0
0.7100285714285713,1.4083940284093197,-1.2774003896045352,0.12339327543463696,-7.007748080400461,9024.320687046033,1.0,-792.459234714334,0.9999954367661553,1543.6508301898773,1.0,-375.6680772462239,-0.38398342181433487,620.3701276905979,0.001415450210998077,-1208.3614507284444,0.07001895959094234,-3892.889418145114,0.22557494423277985,1.0000579453768148,338.861243721221,-0.1580760488960507,1.0004664919692796,323.08735876595836,-13.616153287158264,1.0421438750781387,-0.038506935892201,-0.038506935892201,0.0,0.0,0.0,0.0,0.003979508872419046,0.003979508872419046,0.0
0.7100321428571428,1.408386944253027,-1.2773779245697925,0.1214618169568098,-7.008541186233401,9029.404194202849,1.0,-792.9540211322857,0.9999946771670716,1544.6003025425073,1.0,-375.6808164861509,-0.4554488703578298,620.7686200553884,0.0016521282228629999,-1209.1129812695913,0.0830388218883978,-3895.344693913622,0.2675224228360898,1.00006867747115,339.0683396023028,-0.18748513934546945,1.0005529420398418,323.0873587659583,-14.627230996227015,1.0452733002371128,-0.0456635884612524,-0.0456635884612524,0.0,0.0,0.0,0.0,0.004718652535615319,0.004718652535615319,0.0
0.7100357142857142,1.4083798601679998,-1.277355435038106,0.12171721999857255,-7.00933370307223,9035.844887044985,1.0,-793.4487690301186,0.9999937643360276,1545.551079544935,1.0,-375.6935565921772,-0.5329287635454553,621.1671560796435,0.0019367008662673163,-1209.86448933281,0.09715262695366617,-3897.7999449824615,0.3129949736798447,1.000080300420262,339.2754334000343,-0.2193501015358252,1.0006465251531407,323.0873587659583,-19.851351583825227,1.0614426750079238,-0.05342062829618044,-0.05342062829618044,0.0,0.0,0.0,0.0,0.00551965790077702,0.00551965790077702,0.0
0.7100392857142857,1.408372776154237,-1.2773329799561668,0.12537191738954334,-7.010127338204484,9044.401067373276,1.0,-793.9433939590514,0.9999925780552995,1546.5032243655571,1.0,-375.7062975641845,-0.6163835724220856,621.5656784420822,0.002306621606407408,-1210.6159749162532,0.11235405762731143,-3900.255171351942,0.36197233752314356,1.0000928073476274,339.48252511444156,-0.2536361780050036,1.0007471258731786,323.0873587659583,-21.797167388273436,1.0674652436775254,-0.06177442893169882,-0.06177442893169882,0.0,0.0,0.0,0.0,0.006382126280911393,0.006382126280911393,0.0
0.7100428571428571,1.4083656922117378,-1.277310559408647,0.1256431820996795,-7.0109220976238475,9050.858195507783,1.0,-794.4380423278761,0.9999914876655682,1547.4567903958484,1.0,-375.7190394039317,-0.7060669376166875,621.9641869911496,0.002647194848994559,-1211.3674380120488,0.12868483553074447,-3902.710373022448,0.41458902288203064,1.0001062310505406,339.689614745557,-0.2905006961419927,1.0008551945173818,323.0873587659583,-18.497944922115742,1.0572536944582702,-0.07074778271123705,-0.07074778271123705,0.0,0.0,0.0,0.0,0.007308428480016005,0.007308428480016005,0.0
0.7100464285714285,1.4083586083405009,-1.2772881146025392,0.12371970926093923,-7.011716272955482,9055.949942652273,1.0,-794.9327489133152,0.999990488531689,1548.4117009100523,1.0,-375.7317821113084,-0.8019575624299897,622.3627389545261,0.002959805810765454,-1212.118878618341,0.1461406892880322,-3905.1655499943636,0.4708313642557751,1.0001205663007697,339.89670229341306,-0.32993323641926225,1.0009706867827581,323.08735876595836,-18.795488350115154,1.0581746324644363,-0.0803382063772915,-0.0803382063772915,0.0,0.0,0.0,0.0,0.00829829805064719,0.00829829805064719,0.0
0.71005,1.4083515245405254,-1.277265651022011,0.1225342222596737,-7.012509995588061,9061.500230526683,1.0000000000000002,-795.4274350525632,0.9999893912147492,1549.3679449128251,1.0,-375.744525685826,-0.9039709542103,622.761329031495,0.0033033881235852713,-1212.870296734472,0.1647079046098521,-3907.6207022679987,0.5306552725493487,1.0001358000975482,340.10378775803576,-0.3718705274570986,1.0010934030753038,323.0873587659583,-20.879498597394537,1.0646249320219288,-0.09053801521031346,-0.09053801521031346,0.0,0.0,0.0,0.0,0.00935092479741684,0.00935092479741684,0.0
0.7100535714285714,1.40834444081181,-1.2772431664698052,0.12141926922950574,-7.013303251725688,9067.0939937969,1.0,-795.9221204621585,0.9999882419461005,1550.3255020947615,1.0,-375.75727012699633,-1.0120369282119175,623.1599594027582,0.00366359573370305,-1213.6216923598363,0.18437276066343392,-3910.0758298438122,0.5940166360654685,1.000151919467017,340.310871139464,-0.41628930503133094,1.0012232618477261,323.0873587659583,-20.62462787863777,1.063836071944796,-0.10133952446869898,-0.10133952446869898,0.0,0.0,0.0,0.0,0.010465498522606254,0.010465498522606254,0.0
0.7100571428571428,1.4083373571543538,-1.2772206642942503,0.11959589433419637,-7.01409609538905,9072.245657407186,1.0,-796.4168367240856,0.9999871253133701,1551.2843588715323,1.0,-375.770015434331,-1.1260873824914186,623.5586268397627,0.004014086798017675,-1214.3730654937842,0.2051215329036356,-3912.5309327221134,0.6608713296243303,1.0001689114644685,340.51795243772375,-0.4631728458154164,1.0013602009600364,323.0873587659583,-19.968736002386052,1.0618059959964303,-0.1127350494334678,-0.1127350494334678,0.0,0.0,0.0,0.0,0.011641209030926802,0.011641209030926802,0.0
