u,x,S_SVT,T_H,v1_target,v4_target,c2_target
0.71,1.4084507042253522,1.0,0.0,643.5534218779836,0.0,-42.73128215035175
0.7100035714285714,1.4084436194988958,1.0,0.0,643.908386079519,0.0,-42.77018995689779
0.7100071428571428,1.4084365348437138,1.0,2.6839749522833237e-304,644.2629733396763,0.0,-42.80905173307749
0.7100107142857143,1.408429450259805,1.0,5.81391784185982e-203,644.6171836697796,0.0,-42.84786748027437
0.7100142857142857,1.4084223657471682,1.0,2.7068875392477417e-152,644.9710170811525,0.0,-42.88663719987187
0.7100178571428571,1.4084152813058022,1.0,6.813906349139147e-122,645.3244735851297,0.0,-42.925360893254656
0.7100214285714286,1.408408196935706,1.0,1.261201982049982e-101,645.6775531930232,0.0,-42.96403856180486
0.710025,1.408401112636879,1.0,3.780771980903847e-87,646.0302559161448,0.0,-43.00267020690465
0.7100285714285713,1.4083940284093197,1.0,2.7243072992043798e-76,646.3825817658169,0.0,-43.041255829937285
0.7100321428571428,1.408386944253027,1.0,7.589008368830579e-68,646.7345307533727,0.0,-43.079795432287256
0.7100357142857142,1.4083798601679998,1.0,4.3270452427365604e-61,647.0861028901338,0.0,-43.118289015337766
0.7100392857142857,1.408372776154237,1.0,1.4584470544636752e-55,647.4372981874108,0.0,-43.15673658047077
0.7100428571428571,1.4083656922117378,1.0,5.893314713808991e-51,647.7881166565245,0.0,-43.19513812906941
0.7100464285714285,1.4083586083405009,1.0,4.657898707562051e-47,648.1385583087958,0.0,-43.233493662516764
0.71005,1.4083515245405254,1.0,1.021487612915032e-43,648.488623155534,0.0,-43.27180318219468
0.7100535714285714,1.40834444081181,1.0,8.032419613776531e-41,648.8383112080703,0.0,-43.31006668948737
0.7100571428571428,1.4083373571543538,1.0,2.745036103763497e-38,649.1876224777134,0.0,-43.34828418577659
0.7100607142857143,1.4083302735681558,1.0,4.722858779721721e-36,649.5365569757824,0.0,-43.38645567244526
0.7100642857142857,1.4083231900532145,1.0,4.586604482155684e-34,649.8851147136077,0.0,-43.42458115087746
0.7100678571428571,1.408316106609529,1.0,2.7518422481259385e-32,650.2332957024965,0.0,-43.46266062245481
0.7100714285714286,1.408309023237099,1.0,1.0964147554910531e-30,650.5810999537458,0.0,-43.50069408855776
0.710075,1.4083019399359222,1.0,3.0756905852052905e-29,650.9285274787063,0.0,-43.538681550572605
0.7100785714285714,1.4082948567059983,1.0,6.372450786356833e-28,651.2755782886734,0.0,-43.57662300987968
0.7100821428571428,1.4082877735473265,1.0,1.0144536359963336e-26,651.6222523949431,0.0,-43.6145184678593
0.7100857142857142,1.4082806904599043,1.0,1.282403244016617e-25,651.9685498088974,0.0,-43.65236792590119
0.7100892857142856,1.408273607443732,1.0,1.3234262928074546e-24,652.3144705417877,0.0,-43.690171385380836
0.7100928571428571,1.4082665244988082,1.0,1.1413664051632403e-23,652.6600146049522,0.0,-43.727928847683145
0.7100964285714285,1.4082594416251315,1.0,8.391927687557663e-23,653.0051820097067,0.0,-43.76564031419062
0.7101,1.4082523588227012,1.0,5.35098260820611e-22,653.3499727673559,0.0,-43.80330578628455
0.7101035714285714,1.4082452760915158,1.0,3.002896513533945e-21,653.694386889226,0.0,-43.84092526534852
0.7101071428571428,1.4082381934315749,1.0,1.5022034598187826e-20,654.0384243866105,0.0,-43.87849875276255
0.7101107142857143,1.4082311108428769,1.0,6.77375647092801e-20,654.3820852708344,0.0,-43.91602624991016
0.7101142857142857,1.4082240283254206,1.0,2.780160277338989e-19,654.7253695532229,0.0,-43.95350775817483
0.7101178571428571,1.408216945879205,1.0,1.0475244388725516e-18,655.0682772450791,0.0,-43.99094327893762
0.7101214285714286,1.4082098635042295,1.0,3.6508180873686274e-18,655.4108083577057,0.0,-44.02833281357957
0.710125,1.408202781200493,1.0,1.1848161401447537e-17,655.7529629024054,0.0,-44.06567636348168
0.7101285714285714,1.4081956989679938,1.0,3.601860991229017e-17,656.0947408905124,0.0,-44.10297393002841
0.7101321428571428,1.4081886168067312,1.0,1.0311448104937159e-16,656.4361423333285,0.0,-44.1402255146007
0.7101357142857142,1.4081815347167042,0.9999999999999996,2.7931119585707753e-16,656.7771672421655,0.0,-44.17743111858055
0.7101392857142856,1.4081744526979114,0.9999999999999992,7.189207843449167e-16,657.117815628336,0.0,-44.214590743349994
0.7101428571428571,1.408167370750352,0.9999999999999982,1.7650661344185805e-15,657.4580875031504,0.0,-44.25170439029096
0.7101464285714285,1.408160288874025,0.999999999999996,4.1479082605817055e-15,657.7979828778986,0.0,-44.288772060783
0.71015,1.408153207068929,0.9999999999999908,9.359303699330872e-15,658.1375017639114,0.0,-44.32579375621026
0.7101535714285714,1.4081461253350631,0.9999999999999796,2.0334610928541006e-14,658.4766441724973,0.0,-44.36276947795443
0.7101571428571428,1.4081390436724266,0.9999999999999574,4.265066877310754e-14,658.8154101149314,0.0,-44.399699227393604
0.7101607142857143,1.408131962081018,0.9999999999999134,8.656327209959526e-14,659.1537996025374,0.0,-44.43658300591136
0.7101642857142857,1.408124880560836,0.9999999999998296,1.7036908950634277e-13,659.4918126466237,0.0,-44.473420814889785
0.7101678571428571,1.40811779911188,0.999999999999674,3.257987868196446e-13,659.8294492584462,0.0,-44.51021265570565
0.7101714285714286,1.4081107177341488,0.9999999999993936,6.064441793652824e-13,660.1667094493001,0.0,-44.546958529740536
0.710175,1.4081036364276411,0.9999999999988994,1.1006071417209214e-12,660.5035932304245,0.0,-44.58365843837092
0.7101785714285714,1.408096555192356,0.9999999999980496,1.950446172805812e-12,660.8401006130334,0.0,-44.62031238297204
0.7101821428571429,1.4080894740282923,0.99999999999662,3.379901293076956e-12,661.1762316082971,0.0,-44.65692036491654
0.7101857142857142,1.4080823929354496,0.9999999999942654,5.734610663565915e-12,661.5119862272521,0.0,-44.69348238556588
0.7101892857142856,1.4080753119138258,0.999999999990462,9.537901308691723e-12,661.8473644809008,0.0,-44.7299984462827
0.7101928571428571,1.4080682309634205,0.999999999984432,1.5567946061122225e-11,662.1823663800128,0.0,-44.766468548411325
0.7101964285714285,1.4080611500842324,0.9999999999750376,2.4962329155260335e-11,662.5169919351404,0.0,-44.80289269328216
0.7101999999999999,1.4080540692762604,0.9999999999606424,3.9357548356482435e-11,662.8512411565029,0.0,-44.8392708822032
0.7102035714285714,1.4080469885395033,0.9999999999389276,6.107239113467575e-11,663.1851140538766,0.0,-44.875603116452886
0.7102071428571428,1.4080399078739605,0.9999999999066544,9.334563947782317e-11,663.5186106363828,0.0,-44.91188939726363
0.7102107142857143,1.4080328272796303,0.9999999998593598,1.4064016028475034e-10,663.8517309123897,0.0,-44.94812972581946
0.7102142857142857,1.4080257467565125,0.9999999997909728,2.0902709857010158e-10,664.1844748891197,0.0,-44.984324103223926
0.7102178571428571,1.4080186663046048,0.9999999996933344,3.066655772290194e-10,664.5168425724963,0.0,-45.02047253049638
0.7102214285714286,1.408011585923907,0.999999999555605,4.443949845605619e-10,664.8488339665582,0.0,-45.056575008524746
0.710225,1.408004505614418,0.9999999993635414,6.364585613313502e-10,665.1804490731216,0.0,-45.092631538048465
0.7102285714285714,1.4079974253761365,0.9999999990986216,9.013785436822708e-10,665.5116878911202,0.0,-45.12864211961068
0.7102321428571429,1.4079903452090614,0.9999999987369954,1.2630045372529918e-09,665.8425504159425,0.0,-45.164606753514946
0.7102357142857143,1.4079832651131918,0.999999998248242,1.7517580531260582e-09,666.1730366385539,0.0,-45.2005254397639
0.7102392857142856,1.4079761850885266,0.9999999975939028,2.4060971912867277e-09,666.5031465445427,0.0,-45.23639817799552
0.7102428571428571,1.407969105135065,0.9999999967257736,3.274226279371185e-09,666.8328801129483,0.0,-45.272224967402614
0.7102464285714285,1.407962025252805,0.9999999955839242,4.416075833753526e-09,667.162237314978,0.0,-45.30800580664747
0.7102499999999999,1.407954945441746,0.9999999940944216,5.905578484121804e-09,667.4912181123789,0.0,-45.34374069374717
0.7102535714285714,1.4079478657018871,0.9999999921667336,7.833266470335427e-09,667.8198224557437,0.0,-45.37942962596061
0.7102571428571428,1.4079407860332276,0.999999989690784,1.0309215971146762e-08,668.1480502825121,0.0,-45.41507259965162
0.7102607142857142,1.4079337064357655,0.9999999865336372,1.3466362849871645e-08,668.4759015147663,0.0,-45.45066961014019
0.7102642857142857,1.4079266269095003,0.9999999825357866,1.746421340222752e-08,668.8033760566229,0.0,-45.48622065152056
0.7102678571428571,1.4079195474544313,0.9999999775070276,2.249297237137525e-08,669.130473791486,0.0,-45.52172571647546
0.7102714285714286,1.4079124680705566,0.9999999712218912,2.8778108865600104e-08,669.4571945789955,0.0,-45.55718479606951
0.710275,1.4079053887578754,0.9999999634146212,3.658537889120676e-08,669.7835382515209,0.0,-45.592597879505355
0.7102785714285714,1.4078983095163868,0.999999953773679,4.622632101799066e-08,670.1095046104608,0.0,-45.627964953871995
0.7102821428571429,1.4078912303460898,0.9999999419357608,5.806423925214594e-08,670.4350934221752,0.0,-45.663286003866254
0.7102857142857143,1.407884151246983,0.9999999274793154,7.252068453024917e-08,670.7603044135525,0.0,-45.69856101148831
0.7102892857142857,1.4078770722190657,0.9999999099175566,9.008244339940305e-08,671.0851372672339,0.0,-45.733789955713874
0.7102928571428571,1.4078699932623366,0.9999998886909606,1.1130903944549066e-07,671.409591616471,0.0,-45.76897281214056
0.7102964285714285,1.4078629143767944,0.99999986315925,1.368407499150442e-07,671.7336670396747,0.0,-45.80410955261474
0.7102999999999999,1.4078558355624389,0.9999998325928632,1.6740713675719904e-07,672.0573630544719,0.0,-45.83920014481896
0.7103035714285714,1.4078487568192677,0.999999796163912,2.038360880831409e-07,672.3806791116465,0.0,-45.87424455186086
0.7103071428571428,1.4078416781472805,0.9999997529366372,2.470633627530921e-07,672.7036145884011,0.0,-45.909242731802
0.7103107142857142,1.4078345995464765,0.9999997018573724,2.981426275711176e-07,673.0261687815338,0.0,-45.944194637190925
0.7103142857142857,1.4078275210168538,0.9999996417440268,3.582559733751466e-07,673.3483409002336,0.0,-45.979100214567836
0.7103178571428571,1.407820442558412,0.9999995712751067,4.287248932066742e-07,673.6701300583622,0.0,-46.01395940392627
0.7103214285714285,1.40781336417115,0.9999994889782972,5.110217027546454e-07,673.9915352666429,0.0,-46.0487721381766
0.710325,1.4078062858550664,0.9999993932186196,6.067813804174579e-07,674.3125554244717,0.0,-46.08353834258005
0.7103285714285714,1.4077992076101602,0.9999992821861984,7.178138016390739e-07,674.6331893113314,0.0,-46.11825793415054
0.7103321428571429,1.4077921294364306,0.9999991538836605,8.461163396700995e-07,674.953435578089,0.0,-46.152930821053594
0.7103357142857143,1.4077850513338763,0.9999990061131974,9.938868025997456e-07,675.2732927379902,0.0,-46.18755690198168
0.7103392857142857,1.4077779733024962,0.9999988364633255,1.163536674414036e-06,675.5927591573871,0.0,-46.222136065508984
0.710342857142857,1.4077708953422896,0.999998642295374,1.3577046259644631e-06,675.9118330462774,0.0,-46.25666818943304
0.7103464285714285,1.407763817453255,0.99999842072974,1.5792702601449332e-06,676.2305124487331,0.0,-46.291153140110744
0.7103499999999999,1.4077567396353912,0.999998168631946,1.831368054053987e-06,676.54879523305,0.0,-46.325590771769406
0.7103535714285714,1.407749661888697,0.99999788259854,2.117401459983888e-06,676.8666790818446,0.0,-46.35998092581674
0.7103571428571428,1.4077425842131726,0.999997558942874,2.441057125964669e-06,677.1841614819855,0.0,-46.39432343013581
0.7103607142857142,1.4077355066088155,0.999997193680804,2.806319196050371e-06,677.5012397146038,0.0,-46.428618098391
