u,x,f2FF,f2XF,f2XX,v1_target,v4_target,c2_target
0.71,1.4084507042253522,-0.0012279094457951654,0.0,0.0014100259794115522,643.5534218779836,0.0,-42.73128215035175
0.7100035714285714,1.4084436194988958,-0.001942025597765786,0.0,0.0022301298429867594,643.908386079519,0.0,-42.77018995689779
0.7100071428571428,1.4084365348437138,-0.0028637647461330685,0.0,0.0032885285676167034,644.2629733396763,0.0,-42.80905173307749
0.7100107142857143,1.408429450259805,-0.003990339507561106,0.0,0.004581946328420018,644.6171836697796,0.0,-42.84786748027437
0.7100142857142857,1.4084223657471682,-0.0053240999838757705,0.0,0.0061131185014834,644.9710170811525,0.0,-42.88663719987187
0.7100178571428571,1.4084152813058022,-0.006871120326093927,0.0,0.007889147313444717,645.3244735851297,0.0,-42.925360893254656
0.7100214285714286,1.408408196935706,-0.00862862483793405,0.0,0.009906783934218254,645.6775531930232,0.0,-42.96403856180486
0.710025,1.408401112636879,-0.010593675883202851,0.0,0.012162588534780135,646.0302559161448,0.0,-43.00267020690465
0.7100285714285713,1.4083940284093197,-0.01276333641492186,0.0,0.014653121449495338,646.3825817658169,0.0,-43.041255829937285
0.7100321428571428,1.408386944253027,-0.015134669989651364,0.0,0.01737494278711758,646.7345307533727,0.0,-43.079795432287256
0.7100357142857142,1.4083798601679998,-0.017704740753475903,0.0,0.020324612882208264,647.0861028901338,0.0,-43.118289015337766
0.7100392857142857,1.408372776154237,-0.020472316167086772,0.0,0.023500668343366924,647.4372981874108,0.0,-43.15673658047077
0.7100428571428571,1.4083656922117378,-0.02344491879533131,0.0,0.026911845727931094,647.7881166565245,0.0,-43.19513812906941
0.7100464285714285,1.4083586083405009,-0.02662169406474661,0.0,0.030557174812371093,648.1385583087958,0.0,-43.233493662516764
0.71005,1.4083515245405254,-0.030000064048726134,0.0,0.03443367986869823,648.488623155534,0.0,-43.27180318219468
0.7100535714285714,1.40834444081181,-0.033577451336158845,0.0,0.03853838558964946,648.8383112080703,0.0,-43.31006668948737
0.7100571428571428,1.4083373571543538,-0.03735127904627102,0.0,0.042868316134435855,649.1876224777134,0.0,-43.34828418577659
0.7100607142857143,1.4083302735681558,-0.04131897081770094,0.0,0.04742049704362707,649.5365569757824,0.0,-43.38645567244526
0.7100642857142857,1.4083231900532145,-0.04547813029961533,0.0,0.0521921571946279,649.8851147136077,0.0,-43.42458115087746
0.7100678571428571,1.408316106609529,-0.04983638303201399,0.0,0.05719221376917833,650.2332957024965,0.0,-43.46266062245481
0.7100714285714286,1.408309023237099,-0.054395811377204346,0.0,0.06242307779651716,650.5810999537458,0.0,-43.50069408855776
0.710075,1.4083019399359222,-0.05915209945494767,0.0,0.06787967657030398,650.9285274787063,0.0,-43.538681550572605
0.7100785714285714,1.4082948567059983,-0.06410093228453505,0.0,0.07355693455518855,651.2755782886734,0.0,-43.57662300987968
0.7100821428571428,1.4082877735473265,-0.06923799576232113,0.0,0.07944977668307585,651.6222523949431,0.0,-43.6145184678593
0.7100857142857142,1.4082806904599043,-0.07455897664863965,0.0,0.08555312817688487,651.9685498088974,0.0,-43.65236792590119
0.7100892857142856,1.408273607443732,-0.08005956261703193,0.0,0.09186191125534218,652.3144705417877,0.0,-43.690171385380836
0.7100928571428571,1.4082665244988082,-0.08574105008321653,0.0,0.0983776124087245,652.6600146049522,0.0,-43.727928847683145
0.7100964285714285,1.4082594416251315,-0.09161177802136872,0.0,0.10511002134532443,653.0051820097067,0.0,-43.76564031419062
0.7101,1.4082523588227012,-0.09766935652111386,0.0,0.11205638213122011,653.3499727673559,0.0,-43.80330578628455
0.7101035714285714,1.4082452760915158,-0.1039110283643105,0.0,0.11921349446585744,653.694386889226,0.0,-43.84092526534852
0.7101071428571428,1.4082381934315749,-0.1103340369045414,0.0,0.1265781615863799,654.0384243866105,0.0,-43.87849875276255
0.7101107142857143,1.4082311108428769,-0.11693562604607162,0.0,0.13414718488920385,654.3820852708344,0.0,-43.91602624991016
0.7101142857142857,1.4082240283254206,-0.12371304025427597,0.0,0.14191736899474977,654.7253695532229,0.0,-43.95350775817483
0.7101178571428571,1.408216945879205,-0.13066321374658457,0.0,0.14988511601360696,655.0682772450791,0.0,-43.99094327893762
0.7101214285714286,1.4082098635042295,-0.13778352940694383,0.0,0.15804727227064325,655.4108083577057,0.0,-44.02833281357957
0.710125,1.408202781200493,-0.1450776168565257,0.0,0.16640813667109322,655.7529629024054,0.0,-44.06567636348168
0.7101285714285714,1.4081956989679938,-0.15254997751771507,0.0,0.17497303594279925,656.0947408905124,0.0,-44.10297393002841
0.7101321428571428,1.4081886168067312,-0.16020511188562414,0.0,0.1837472989421342,656.4361423333285,0.0,-44.1402255146007
0.7101357142857142,1.4081815347167042,-0.16804751952861455,0.0,0.19273625294498817,656.7771672421655,0.0,-44.17743111858055
0.7101392857142856,1.4081744526979114,-0.1760816990694488,0.0,0.2019452314280332,657.117815628336,0.0,-44.214590743349994
0.7101428571428571,1.408167370750352,-0.18431204083332478,0.0,0.21137941742331545,657.4580875031504,0.0,-44.25170439029096
0.7101464285714285,1.408160288874025,-0.19272799552467482,0.0,0.2210262719499834,657.7979828778986,0.0,-44.288772060783
0.71015,1.408153207068929,-0.20132471220960874,0.0,0.23088006975331662,658.1375017639114,0.0,-44.32579375621026
0.7101535714285714,1.4081461253350631,-0.21010856923936366,0.0,0.2409484022809497,658.4766441724973,0.0,-44.36276947795443
0.7101571428571428,1.4081390436724266,-0.21908594365363296,0.0,0.2512388475676662,658.8154101149314,0.0,-44.399699227393604
0.7101607142857143,1.408131962081018,-0.22826321115241427,0.0,0.26175898753688176,659.1537996025374,0.0,-44.43658300591136
0.7101642857142857,1.408124880560836,-0.23764674611690606,0.0,0.27251640491262014,659.4918126466237,0.0,-44.473420814889785
0.7101678571428571,1.40811779911188,-0.24724292162020967,0.0,0.28351867721637025,659.8294492584462,0.0,-44.51021265570565
0.7101714285714286,1.4081107177341488,-0.257049848537479,0.0,0.29476355106089724,660.1667094493001,0.0,-44.546958529740536
0.710175,1.4081036364276411,-0.26705272326313406,0.0,0.3062334703980866,660.5035932304245,0.0,-44.58365843837092
0.7101785714285714,1.408096555192356,-0.2772565727842535,0.0,0.31793438732008195,660.8401006130334,0.0,-44.62031238297204
0.7101821428571429,1.4080894740282923,-0.28766745849223074,0.0,0.32987343903336314,661.1762316082971,0.0,-44.65692036491654
0.7101857142857142,1.4080823929354496,-0.29829144053422973,0.0,0.34205777363607764,661.5119862272521,0.0,-44.69348238556588
