u,x,phi,f,h,A0prime,phiprime,a1,a2,a3,a4,a5,a6,a7,a8,a9,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,c6,d1,d2,d3,d4,e1,e2,e3,e4,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,selected_member,construction,T_H,S_SVT,JA,metric_residual_14,metric_residual_15,region
0.71,1.4084507042253522,0.848353517876929,0.2927048531029692,0.3891074914497098,1.408450704225352,-1.277579716040595,0.0,-17.30635970894099,-0.237662911609577,0.1687406672427415,-2031.031581827367,6.13781144166901,-658.5275489321347,-0.2168304015608256,6.949960577871813,0.2882437128285604,0.0,118.2512659122288,1.623908241287762,-0.5764874256571211,0.0,-42.73128215035176,337.2044016680054,6.260952744772892,-16.982907422254495,327.8087731324141,0.2882437128285604,3.620666820007176,371.0288029575941,3.2776850848130503,165.17195474626138,-29.45550226332235,323.0873587659583,1354.2726271631511,643.5534218779836,906.413270250681,-935.538593067609,0.0,-3873.246322762169,20.67897920001893,319.15960220094394,-21.92100969177861,0.0100053618672969,-2.2374177338788725,-10.339489600009465,-26.572322114609793,642.8061946651693,"action-realized Cinf v5/c3/e3 handover; current a5,v7,v12",inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,0.0,1.0,-1.0817401916138436e-15,0.0,-2.0816681711721685e-17,inner_same_action_SVT_H
0.7100035714285714,1.4084436194988958,0.8483625691003944,0.2927019864245451,0.3891222340831164,1.4084436194988956,-1.2775573115330467,0.0,-17.31129564521558,-0.2376650545638158,0.1687430375439309,-2032.5027476253244,6.139347497662794,-658.8789495265703,-0.2168252322326348,6.952017315432071,0.288250584844032,0.0,118.28615074870466,1.6239387881618508,-0.5765011696880642,0.0,-42.7701899568978,337.41151421706394,6.268610280172834,-16.984799289562332,327.97358592366083,0.288250584844032,3.626445498193131,371.2157290562002,3.2786584086202657,165.217221468985,-29.480122789467924,323.0873587659583,1354.8949532056315,643.908386079519,906.9086579155301,-936.0423726332714,0.0,-3875.701796141943,20.68504149857749,319.33242817735874,-21.92699241392228,0.0100054215119731,-2.237975903262641,-10.342520749288749,-26.579105081617065,643.0651669166042,"action-realized Cinf v5/c3/e3 handover; current a5,v7,v12",inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,0.0,1.0,-5.408802699598864e-16,0.0,-6.938893903907228e-18,inner_same_action_SVT_H
0.7100071428571428,1.4084365348437138,0.848371620073979,0.2926991198673742,0.3891369783404891,1.4084365348437136,-1.2775348802789726,3.331156518976689e-305,-17.316233753392286,-0.2376671979063868,0.1687454081362237,-2033.9006631608395,6.1408841625769295,-659.2299717511148,-0.2168200627653383,6.954074955372469,0.2882574573721205,-2.2761643553012697e-304,118.321051059725,1.6239693376164528,-0.5765149147442411,-2.924631275352697e-304,-42.80905173307749,337.6186246825126,6.276271048950011,-16.986691866434658,328.1382252116208,0.2882574573721205,3.632227022293788,371.3988806698958,3.2796321644073965,165.26250800675328,-29.504705215122915,323.0873587659583,1355.5052341393582,644.2629733396763,907.4035096986415,-936.5456199023278,0.0,-3878.157244818972,20.69110640254729,319.5050637262447,-21.93297767099101,0.0100054664588244,-2.238534295619818,-10.345553201273647,-26.58589077140194,643.3179990804084,"action-realized Cinf v5/c3/e3 handover; current a5,v7,v12",inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,2.683974952283324e-304,1.0,9.014840749537677e-16,0.0,6.938893903907228e-18,inner_same_action_SVT_H
0.7100107142857143,1.408429450259805,0.8483806707975455,0.2926962534314959,0.3891517242208918,1.4084294502598047,-1.2775124424087667,7.215984615436932e-204,-17.321173928105594,-0.2376693416368699,0.1687477790193769,-2035.323078052299,6.1424213931135805,-659.5806154991983,-0.2168148931592374,6.956133449806347,0.2882643304124753,-4.9306983095574746e-203,118.35596612565058,1.6239998896494687,-0.5765286608249509,-6.33518753578878e-203,-42.847867480274374,337.8257330643838,6.283934873322695,-16.988585112933382,328.3026909117131,0.2882643304124753,3.638011261364328,371.5782237580856,3.280606332346028,165.30781330933505,-29.52924968348034,323.0873587659583,1356.103352281183,644.6171836697796,907.8978256240513,-937.0483347074183,0.0,-3880.61266879364,20.69717377607366,319.67750885893867,-21.93896532653148,0.0100054870707625,-2.2390928970253023,-10.34858688803683,-26.592679009081625,643.5645632193642,"action-realized Cinf v5/c3/e3 handover; current a5,v7,v12",inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,5.81391784185982e-203,1.0,0.0,0.0,-1.3877787807814457e-17,inner_same_action_SVT_H
0.7100142857142857,1.4084223657471682,0.8483897212712176,0.2926933871168664,0.3891664717255172,1.408422365747168,-1.2774900480589402,3.359750686722855e-153,-17.326116256972657,-0.2376714857557737,0.1687501501936717,-2036.7057861633598,6.143959224817812,-659.9308808934949,-0.2168097234140912,6.958192838432436,0.2882712039654671,-2.295747585157248e-152,118.39089654595077,1.624030444263087,-0.5765424079309344,-2.949570105458556e-152,-42.88663719987186,338.0328393627101,6.291601900376207,-16.99047906202719,328.4669831110107,0.2882712039654671,3.643798324822806,371.7540000547165,3.281580928962793,165.35313824727496,-29.55375607460746,323.0873587659583,1356.6904154283222,644.9710170811525,908.3916057157937,-937.5505172311862,0.0,-3883.0680680663327,20.703243731807436,319.84976358677665,-21.944955493772103,0.0100054425424544,-2.2396517189744958,-10.351621865903716,-26.599469938933524,643.8057277196251,"action-realized Cinf v5/c3/e3 handover; current a5,v7,v12",inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,2.7068875392477417e-152,1.0,-1.6227323927214133e-15,0.0,0.0,inner_same_action_SVT_H
0.7100178571428571,1.4084152813058022,0.8483987714953124,0.2926905209233801,0.3891812208571377,1.4084152813058022,-1.2774676689064208,8.457521909382325e-123,-17.33106096772827,-0.2376736302642965,0.1687525216597782,-2038.07970831316,6.145497750512043,-660.2807682244529,-0.2168045535292565,6.960253224554304,0.2882780780320005,-5.779156681864873e-122,118.4258438777581,1.6240610014626775,-0.5765561560640011,-7.424763016405413e-122,-42.925360893254656,338.2399435775303,6.299272513122194,-16.992373799603005,328.63110202188267,0.2882780780320005,3.649588496650637,371.9266325569038,3.2825559971762104,165.398485086053,-29.57822407730728,323.0873587659583,1357.2681094116642,645.3244735851297,908.884849997919,-938.0521679104206,0.0,-3885.5234426375114,20.70931656283868,320.02182792110017,-21.950948467077733,0.0100052899487403,-2.2402107914068763,-10.35465828141934,-26.60626393692406,644.0427888875142,"action-realized Cinf v5/c3/e3 handover; current a5,v7,v12",inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,6.813906349139147e-122,1.0,5.409209751657466e-16,0.0,0.0,inner_same_action_SVT_H
0.7100214285714286,1.408408196935706,0.8484078214697011,0.2926876548510738,0.389195971614884,1.4084081969357058,-1.2774452612733718,1.5654591920132393e-102,-17.33600795579122,-0.2376757751620481,0.1687548934174702,-2039.4756069636614,6.147036927275521,-660.6302773878808,-0.2167993835050173,6.962314560662724,0.2882849526117479,-1.0697131659909362e-101,118.4608074066316,1.6240915612462763,-0.5765699052234959,-1.3742603227944958e-101,-42.96403856180486,338.44704570887046,6.306946535190581,-16.994269285989823,328.7950475612543,0.2882849526117479,3.655381646957969,372.0960551921317,3.283531517298305,165.44385278382177,-29.60265383352585,323.0873587659583,1357.8357766180654,645.6775531930232,909.377558494444,-938.5532865791826,0.0,-3887.9787925074825,20.71539213433755,320.1937018732385,-21.95694411075031,0.0100050553768139,-2.2407701004782554,-10.357696067168774,-26.61306082946277,644.2751063618776,"action-realized Cinf v5/c3/e3 handover; current a5,v7,v12",inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,1.261201982049982e-101,1.0,-7.212415381578998e-16,0.0,-2.0816681711721685e-17,inner_same_action_SVT_H
0.710025,1.408401112636879,0.8484168711942461,0.292684788899987,0.3892107239978204,1.4084011126368787,-1.277422835913823,4.6929694805594415e-88,-17.34095711047571,-0.2376779204486088,0.1687572654665047,-2040.8857145219738,6.148576709693697,-660.9794082719839,-0.2167942133416746,6.964376796477992,0.288291827704359,-3.206842070360584e-87,118.49578637640258,1.6241221236117855,-0.5765836554087181,-4.119673305091021e-87,-43.002670206904654,338.6541457567566,6.314623779935227,-16.996165479210312,328.9588196404877,0.288291827704359,3.661177638251925,372.2621930382872,3.284507468491068,165.48924023797682,-29.62704549363391,323.0873587659583,1358.3927185963703,646.0302559161448,909.8697312293858,-939.0538730604668,0.0,-3890.4341176765543,20.72147030361336,320.3653854545212,-21.962942281192724,0.0100047660361777,-2.241329631540239,-10.36073515180668,-26.619860432891617,644.5020063005722,"action-realized Cinf v5/c3/e3 handover; current a5,v7,v12",inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,3.780771980903847e-87,1.0,-9.015688882184864e-16,0.0,0.0,inner_same_action_SVT_H
0.7100285714285713,1.4083940284093197,0.8484259206688098,0.292681923070159,0.3892254780050103,1.4083940284093197,-1.2774003896045352,3.3816875479209795e-77,-17.345908321095806,-0.237680066123559,0.168759637806639,-2042.3114332448376,6.150117052351973,-661.3281607646269,-0.2167890430395295,6.9664398817203415,0.288298703309483,-2.3108277445636174e-76,118.5307800309014,1.6241526885571052,-0.5765974066189661,-2.968494953844732e-76,-43.04125582993728,338.861243721221,6.322304060709748,-16.998062337287077,329.12241817078586,0.288298703309483,3.666976333039448,372.42497117325263,3.2854838299164597,165.53464634591214,-29.651399208031492,323.0873587659583,1358.9382368954084,646.3825817658169,910.3613682267753,-939.5539271772857,0.0,-3892.889418145114,20.72755092797524,320.536878676282,-21.96894283480765,0.0100044491363342,-2.2418893699444147,-10.36377546398762,-26.62666256358021,644.7228148614482,"action-realized Cinf v5/c3/e3 handover; current a5,v7,v12",inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,2.7243072992043798e-76,1.0,7.212686841373334e-16,0.0,-2.0816681711721685e-17,inner_same_action_SVT_H
0.7100321428571428,1.408386944253027,0.8484349698932555,0.2926790573616291,0.3892402336355188,1.4083869442530268,-1.2773779245697925,9.420469737863472e-69,-17.350861476966017,-0.2376822121864792,0.1687620104376304,-2043.752357984155,6.1516579098358966,-661.6765347533359,-0.2167838725988828,6.968503766110194,0.2883055794267701,-6.437406079109898e-68,118.56578761396162,1.6241832560801397,-0.5766111588535403,-8.26919404722179e-68,-43.079795432287256,339.0683396023028,6.329987190868478,-16.99995981824289,329.28584306320516,0.2883055794267701,3.672777593828021,372.5843146749257,3.286460580736529,165.5800700050261,-29.675715127176133,323.0873587659583,1359.4716330640586,646.7345307533727,910.8524695106578,-940.0534487526699,0.0,-3895.344693913622,20.733633864732877,320.70818154985966,-21.974945627998327,0.0100041318867859,-2.242449301042424,-10.366816932366437,-26.6334670379266,644.9368582023766,"action-realized Cinf v5/c3/e3 handover; current a5,v7,v12",inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,7.589008368830579e-68,1.0,5.409616941334025e-16,0.0,6.938893903907228e-18,inner_same_action_SVT_H
