u,x,phi,f,h,A0prime,phiprime,a1,a2,a3,a4,a5,a6,a7,a8,a9,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,c6,d1,d2,d3,d4,e1,e2,e3,e4,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,selected_member,construction,T_H,S_SVT
0.71,1.4084507042253522,0.848353517876929,0.2927048531029692,0.3891074914497098,1.408450704225352,-1.277579716040595,0.0,-17.30635970894099,-0.23766291160957706,0.16874066724274153,696.6338853247729,6.13781144166901,-658.5312218884266,-0.21683040156082567,6.949960577871813,0.2882437128285604,0.0,118.2512659122288,1.6239082412877621,-0.5764874256571211,0.0,-42.73166511950568,0.0,6.260952744772892,-16.982907422254495,327.81048729215433,0.2882437128285604,3.6206668200071754,371.0288029575941,3.2776850848130503,165.17195474626138,-29.45580202477685,0.0,1354.2726271631511,643.5571249525171,906.4184858486157,-935.5438086655437,0.0,0.0,20.678979200018926,319.16143867909,-21.921009691778615,0.010005361867296936,-2.2374177338788725,-10.339489600009463,26.57232211460979,642.8061946651693,v5=c3=e3=0; a5 holonomic; v12=+v6/(2h),inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,0.0,1.0
0.7100035714285714,1.4084436194988958,0.8483625691003944,0.2927019864245451,0.3891222340831164,1.4084436194988956,-1.2775573115330467,0.0,-17.31129564521558,-0.23766505456381584,0.16874303754393094,696.8353427061044,6.139347497662794,-658.8847588067692,-0.21682523223263483,6.952017315432071,0.288250584844032,0.0,118.28615074870466,1.6239387881618508,-0.5765011696880642,0.0,-42.770795663304646,0.0,6.268610280172834,-16.984799289562332,327.97629710759816,0.288250584844032,3.626445498193131,371.2157290562002,3.2786584086202657,165.217221468985,-29.480596902371804,0.0,1354.8949532056315,643.9142430547384,906.9169071349074,-936.0506218526488,0.0,0.0,20.685041498577494,319.3353328174582,-21.926992413922278,0.010005421511973122,-2.237975903262641,-10.342520749288747,26.579105081617072,643.0651669166042,v5=c3=e3=0; a5 holonomic; v12=+v6/(2h),inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,0.0,1.0
0.7100071428571428,1.4084365348437138,0.848371620073979,0.2926991198673742,0.3891369783404891,1.4084365348437136,-1.2775348802789726,3.331156518976689e-305,-17.316233753392286,-0.23766719790638688,0.1687454081362237,697.171692618176,6.1408841625769295,-659.2385386308192,-0.21682006276533836,6.9540749553724694,0.2882574573721205,-2.27616435530127e-304,118.321051059725,1.6239693376164528,-0.5765149147442411,-2.9246312753526975e-304,-42.809944892426515,0.0,6.276271048950011,-16.986691866434658,328.14222339091754,0.2882574573721205,3.632227022293788,371.3988806698958,3.2796321644073965,165.26250800675328,-29.505404342295737,0.0,1355.5052341393582,644.2716106415804,907.4156747902058,-936.5577849938921,0.0,0.0,20.691106402547295,319.50934716609686,-21.932977670991015,0.010005466458824441,-2.238534295619818,-10.345553201273647,26.585890771401942,643.3179990804084,v5=c3=e3=0; a5 holonomic; v12=+v6/(2h),inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,2.6839749522833237e-304,1.0
0.7100107142857143,1.408429450259805,0.8483806707975455,0.2926962534314959,0.3891517242208918,1.4084294502598047,-1.2775124424087667,7.215984615436932e-204,-17.321173928105594,-0.23766934163686992,0.16874777901937693,697.4616760605024,6.1424213931135805,-659.5925529923568,-0.21681489315923747,6.956133449806347,0.28826433041247534,-4.930698309557475e-203,118.35596612565058,1.6239998896494687,-0.5765286608249509,-6.335187535788781e-203,-42.84911191646698,0.0,6.283934873322695,-16.988585112933382,328.30826221261236,0.28826433041247534,3.638011261364328,371.57822375808564,3.280606332346028,165.30781330933505,-29.530223792343232,0.0,1356.103352281183,644.6292194136256,907.9147771201398,-937.0652862035068,0.0,0.0,20.69717377607366,319.6834776055179,-21.93896532653148,0.010005487070762575,-2.2390928970253023,-10.34858688803683,26.592679009081625,643.5645632193642,v5=c3=e3=0; a5 holonomic; v12=+v6/(2h),inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,5.81391784185982e-203,1.0
0.7100142857142857,1.4084223657471682,0.8483897212712176,0.2926933871168664,0.3891664717255172,1.408422365747168,-1.2774900480589402,3.3597506867228543e-153,-17.326116256972657,-0.2376714857557737,0.1687501501936717,697.7947547734922,6.143959224817812,-659.9468091209751,-0.21680972341409124,6.958192838432436,0.2882712039654671,-2.2957475851572478e-152,118.39089654595075,1.624030444263087,-0.5765424079309344,-2.949570105458556e-152,-42.88829747783054,0.0,6.2916019003762065,-16.99047906202719,328.4744169776085,0.2882712039654671,3.643798324822806,371.7540000547165,3.281580928962793,165.35313824727496,-29.555055715227905,0.0,1356.6904154283222,644.9870765663355,908.4142242539081,-937.5731357693005,0.0,0.0,20.703243731807433,319.8577277005169,-21.944955493772106,0.010005442542454494,-2.2396517189744953,-10.351621865903716,26.59946993893352,643.8057277196251,v5=c3=e3=0; a5 holonomic; v12=+v6/(2h),inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,2.7068875392477417e-152,1.0
0.7100178571428571,1.4084152813058022,0.8483987714953124,0.2926905209233801,0.3891812208571377,1.4084152813058022,-1.2774676689064208,8.457521909382325e-123,-17.33106096772827,-0.23767363026429655,0.16875252165977822,698.1353945493117,6.145497750512043,-660.3013255570063,-0.21680455352925654,6.960253224554304,0.2882780780320005,-5.779156681864873e-122,118.4258438777581,1.6240610014626775,-0.5765561560640011,-7.424763016405413e-122,-42.92750350471007,0.0,6.299272513122194,-16.992373799603005,328.640696408944,0.2882780780320005,3.649588496650637,371.9266325569038,3.2825559971762104,165.398485086053,-29.57990131071801,0.0,1357.2681094116642,645.3452005303735,908.9140421443353,-938.0813600568367,0.0,0.0,20.70931656283868,320.032106587377,-21.950948467077733,0.010005289948740316,-2.2402107914068763,-10.35465828141934,26.60626393692406,644.0427888875142,v5=c3=e3=0; a5 holonomic; v12=+v6/(2h),inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,6.813906349139147e-122,1.0
0.7100214285714286,1.408408196935706,0.8484078214697011,0.2926876548510738,0.389195971614884,1.4084081969357058,-1.2774452612733718,1.5654591920132393e-102,-17.33600795579122,-0.2376757751620481,0.1687548934174702,698.4548838189579,6.147036927275521,-660.6560939706953,-0.21679938350501732,6.9623145606627235,0.2882849526117479,-1.0697131659909362e-101,118.46080740663159,1.6240915612462763,-0.5765699052234959,-1.3742603227944958e-101,-42.96672911380154,0.0,6.306946535190581,-16.994269285989823,328.807096594437,0.2882849526117479,3.655381646957969,372.09605519213164,3.283531517298305,165.44385278382177,-29.604760031010976,0.0,1357.8357766180654,645.7035830429639,909.4142191484657,-938.5899472332042,0.0,0.0,20.71539213433755,320.20661016464584,-21.95694411075031,0.010005055376813924,-2.2407701004782554,-10.357696067168774,26.61306082946277,644.2751063618776,v5=c3=e3=0; a5 holonomic; v12=+v6/(2h),inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,1.261201982049982e-101,1.0
0.710025,1.408401112636879,0.8484168711942461,0.292684788899987,0.3892107239978204,1.4084011126368787,-1.2774228359138233,4.6929694805594415e-88,-17.34095711047571,-0.2376779204486088,0.1687572654665047,698.7602951266898,6.148576709693697,-661.0111055387919,-0.21679421334167462,6.964376796477992,0.288291827704359,-3.206842070360584e-87,118.49578637640258,1.6241221236117855,-0.5765836554087181,-4.119673305091021e-87,-43.00597337015262,0.0,6.314623779935227,-16.996165479210312,328.9736133898508,0.288291827704359,3.6611776382519254,372.26219303828714,3.2845074684910682,165.48924023797682,-29.629631296200678,0.0,1358.3927185963705,646.0622153510863,909.9147429331166,-939.0988847641977,0.0,0.0,20.721470303613362,320.38123408792524,-21.962942281192724,0.010004766036177764,-2.241329631540239,-10.360735151806681,26.61986043289162,644.5020063005722,v5=c3=e3=0; a5 holonomic; v12=+v6/(2h),inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,3.780771980903847e-87,1.0
0.7100285714285713,1.4083940284093197,0.8484259206688098,0.292681923070159,0.3892254780050103,1.4083940284093197,-1.2774003896045352,3.3816875479209795e-77,-17.345908321095806,-0.237680066123559,0.168759637806639,699.049461751249,6.150117052351973,-661.3663514380345,-0.21678904303952956,6.9664398817203415,0.28829870330948304,-2.3108277445636177e-76,118.5307800309014,1.6241526885571052,-0.5765974066189661,-2.968494953844732e-76,-43.0452353388097,0.0,6.322304060709748,-16.998062337287077,329.1402426509436,0.28829870330948304,3.6669763330394476,372.42497117325263,3.2854838299164593,165.53464634591214,-29.654514526380225,0.0,1358.9382368954084,646.4210887017091,910.4156011653382,-939.6081601158486,0.0,0.0,20.72755092797524,320.5559740129858,-21.96894283480765,0.010004449136334288,-2.2418893699444147,-10.36377546398762,26.62666256358021,644.7228148614482,v5=c3=e3=0; a5 holonomic; v12=+v6/(2h),inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,2.7243072992043798e-76,1.0
0.7100321428571428,1.408386944253027,0.8484349698932555,0.2926790573616291,0.3892402336355188,1.4083869442530268,-1.2773779245697925,9.420469737863472e-69,-17.350861476966017,-0.23768221218647925,0.16876201043763042,699.323975231502,6.1516579098358966,-661.7218228451945,-0.21678387259888288,6.968503766110194,0.28830557942677015,-6.437406079109898e-68,118.56578761396162,1.6241832560801395,-0.5766111588535403,-8.26919404722179e-68,-43.08451408482287,0.0,6.329987190868478,-16.99995981824289,329.30698023348873,0.28830557942677015,3.672777593828021,372.5843146749257,3.2864605807365295,165.5800700050261,-29.67940914164504,0.0,1359.4716330640586,646.780194341834,910.9167815124744,-940.1177607544865,0.0,0.0,20.733633864732873,320.73082559578893,-21.974945627998327,0.010004131886785925,-2.242449301042424,-10.366816932366437,26.633467037926597,644.9368582023766,v5=c3=e3=0; a5 holonomic; v12=+v6/(2h),inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,7.589008368830579e-68,1.0
0.7100357142857142,1.4083798601679998,0.8484440188674451,0.2926761917744369,0.3892549908884095,1.4083798601679998,-1.277355435038106,5.371419956211892e-62,-17.355816467400405,-0.23768435863694987,0.16876438335923602,699.5796333114073,6.15319923673087,-662.0775109370107,-0.2167787020200357,6.970568399367782,0.2883124560558696,-3.670554758387692e-61,118.6008083694135,1.6242138261787877,-0.5766249121117392,-4.714846079980425e-61,-43.12380867323855,0.0,6.337672983765037,-17.001857880100353,329.4738219932443,0.2883124560558696,3.678581283124588,372.7401486211882,3.2874377001132395,165.6255101127127,-29.704314562088225,0.0,1359.9922086511483,647.13952351843,911.4182716420725,-940.6276741466482,0.0,0.0,20.73971897119539,320.9057844924555,-21.98095051716745,0.010003841497035133,-2.243009410185855,-10.369859485597695,26.640273672356066,645.143462481207,v5=c3=e3=0; a5 holonomic; v12=+v6/(2h),inner action-partition quadratic candidate; principal slots weighted at action level; LO completion exact,4.3270452427365604e-61,1.0
