u,x,phi,T_H,S_SVT,f,h,phiprime,A0prime,X,a1,a2,a3,a4,a5,a6,a7,a8,a9,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,c6,d1,d2,d3,d4,e1,e2,e3,e4,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,alpha1,alpha2,alpha4,alpha5,alpha6,alpha7,f3phi_holonomic,f3phiX_holonomic,f4phi_holonomic,f4phiX_holonomic
0.5515230871346237,1.813160724051259,0.5099330950260855,1.0,0.0,0.438616122867156,0.4948325295065454,-0.4469231611174665,0.0,-0.0494190019016472,0.0,-0.11432436160365864,-0.42235508179488407,0.23293857857851097,-2.82671926761108,5.985301143596189e-11,-0.45741436555273657,-0.23537112526818002,0.18332788492495436,0.26553809405800305,0.0,0.521295755643183,1.9258529715416004,-0.5310761881160061,0.0,0.0,0.0,-0.0,-0.19741770177210077,0.2414807337963823,0.26553809405800305,-0.0,-0.06954984630977734,0.0708547247170238,1.178590917678345,0.0,0.0,-0.15724435634547085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.26553809405800305,0.0,0.0,-0.0,-0.0354273623585119,0.16322849863402078,-0.0,-0.0,-0.0,-0.0
0.5515496675495626,1.8130733437712376,0.5099721507651324,1.0,0.0,0.4385934333689607,0.4948121584127508,-0.4470021883251938,0.0,-0.0494344452973623,0.0,-0.11412731543589773,-0.42231511065312394,0.23292775888188727,-1.9786830901038697,-5.166866934303016e-12,-0.4574591818312712,-0.2353698822085017,0.18335699523132054,0.26553949644515085,0.0,0.5204241867428494,1.925770330892561,-0.5310789928903017,0.0,0.0,0.0,-0.0,-0.19742569243183128,0.24148338088278862,0.26553949644515085,-0.0,-0.06943666465920495,0.07085826307894763,1.1764608104388334,0.0,0.0,-0.1569671761209217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.26553949644515085,0.0,0.0,-0.0,-0.035429131539473815,0.16325181530225538,-0.0,-0.0,-0.0,-0.0
0.5515762479645013,1.8129859719129144,0.5100112095522098,1.0,0.0,0.4385707438665178,0.4947917795452736,-0.44707909735707574,0.0,-0.0494494210021494,0.0,-0.11395428757513999,-0.4222751400327654,0.2329169373479571,-2.0208528265306636,1.869504551166301e-12,-0.4574952278620781,-0.23536864088770207,0.1833822449486259,0.26554089688532334,0.0,0.5196620575759281,1.9256876840890595,-0.5310817937706467,0.0,0.0,0.0,-0.0,-0.197432706677739,0.24148425892955944,0.26554089688532334,-0.0,-0.06933807470539288,0.07086180057654634,1.1745842465400471,0.0,0.0,-0.15672379576394235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.26554089688532334,0.0,0.0,-0.0,-0.03543090028827317,0.1632751361830414,-0.0,-0.0,-0.0,-0.0
0.5516028283794402,1.81289860847507,0.510050271288823,1.0,0.0,0.4385480543913361,0.494771393044718,-0.4471568865820252,0.0,-0.0494645922031932,0.0,-0.11377466100865849,-0.42223517000894734,0.23290611401820913,-2.0721209907887737,-1.4829248939918216e-12,-0.45753367459966265,-0.23536740128097786,0.183408554654459,0.265542295406442,0.0,0.5188697560935124,1.9256050313344588,-0.531084590812884,0.0,0.0,0.0,-0.0,-0.19743998557726733,0.24148561810126123,0.265542295406442,-0.0,-0.06923544925998659,0.07086533722223617,1.1726377108186639,0.0,0.0,-0.1564710561819772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.265542295406442,0.0,0.0,-0.0,-0.03543266861111809,0.16329846124842926,-0.0,-0.0,-0.0,-0.0
0.5516294087943789,1.8128112534564889,0.5100893361349524,1.0,0.0,0.4385253648919331,0.4947509986802824,-0.4472354375647751,0.0,-0.0494799327476115,0.0,-0.11359485127027046,-0.42219520045837394,0.23289528882467714,-2.039366385274808,1.3284928712664623e-12,-0.45757213249249934,-0.23536616342959477,0.18343487181477286,0.26554369196188926,0.0,0.5180765372523612,1.9255223722915848,-0.5310873839237785,0.0,0.0,0.0,-0.0,-0.19744726359440018,0.24148697699577976,0.26554369196188926,-0.0,-0.06913269159028712,0.07086887299513135,1.1706876604745828,0.0,0.0,-0.15621782330859557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.26554369196188926,0.0,0.0,-0.0,-0.035434436497565676,0.163321790547204,-0.0,-0.0,-0.0,-0.0
0.5516559892093178,1.812723906855953,0.5101284040063387,1.0,0.0,0.4385026753952496,0.4947305965720823,-0.4473127137734673,0.0,-0.049494992030116,0.0,-0.11341770493864856,-0.42215523144524364,0.23288446180281436,-2.026865876744606,-6.177280909014371e-13,-0.45760972978593445,-0.23536492731239744,0.18346081231089256,0.26554508657547093,0.0,0.5172953840540113,1.9254397071339597,-0.5310901731509419,0.0,0.0,0.0,-0.0,-0.19745444399266204,0.24148816023904116,0.26554508657547093,-0.0,-0.06903153422883901,0.07087240790581138,1.1687687610932072,0.0,0.0,-0.15596872351812996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.2655450865754709,0.0,0.0,-0.0,-0.03543620395290569,0.16334512405564947,-0.0,-0.0,-0.0,-0.0
0.5516825696242565,1.8126365686722463,0.5101674748710394,1.0,0.0,0.4384799859114422,0.4947101867648952,-0.4473903893212634,0.0,-0.049510140471108,0.0,-0.11323970528095341,-0.42211526299352126,0.23287363296588465,-2.0490085458533867,-8.999467837611519e-13,-0.45764761998549647,-0.23536369292164477,0.18348688494238613,0.26554647925585945,0.0,0.5165102577969153,1.9253570359253476,-0.5310929585117189,0.0,0.0,0.0,-0.0,-0.19746165426696816,0.24148939895188026,0.26554647925585945,-0.0,-0.0689298369817738,0.07087594195810637,1.1668403842226214,0.0,0.0,-0.1557183352340371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.2655464792558594,0.0,0.0,-0.0,-0.035437970979053185,0.16336846176559716,-0.0,-0.0,-0.0,-0.0
0.5517091500391954,1.8125492389041515,0.5102065487841609,1.0,0.0,0.4384572964227557,0.4946897691778953,-0.4474685904954372,0.0,-0.0495254060511337,0.0,-0.11306048067353938,-0.42207529506014907,0.23286280229017745,-2.0488092230028982,9.958700530887654e-14,-0.4576859369096887,-0.2353624602719828,0.18351314765955218,0.2655478699864692,0.0,0.5157194627434263,1.9252743585463734,-0.5310957399729384,0.0,0.0,0.0,-0.0,-0.19746891030637337,0.24149072193796045,0.2655478699864692,-0.0,-0.06882737346559853,0.07087947514459368,1.1648983798687453,0.0,0.0,-0.15546610442169928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.2655478699864692,0.0,0.0,-0.0,-0.03543973757229684,0.16339180369481604,-0.0,-0.0,-0.0,-0.0
0.5517357304541342,1.8124619175504533,0.5102456257473799,1.0,0.0,0.4384346069284422,0.4946693438089783,-0.44754629289195275,0.0,-0.0495405620249516,0.0,-0.11288251960308263,-0.42203532764384516,0.23285196977502673,-2.026579887453228,1.7278400932241311e-12,-0.45772384304863933,-0.235361229363897,0.18353923185620655,0.265549258766691,0.0,0.5149343497034047,1.9251916749935134,-0.531098517533382,0.0,0.0,0.0,-0.0,-0.19747611866471787,0.24149195981796207,0.265549258766691,-0.0,-0.06872565851522361,0.07088300746486281,1.162971057851244,0.0,0.0,-0.15521580920664446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.26554925876669105,0.0,0.0,-0.0,-0.035441503732431406,0.16341514984491506,-0.0,-0.0,-0.0,-0.0
0.551762310869073,1.8123746046099345,0.5102847057053754,1.0,0.0,0.4384119174462579,0.4946489107353394,-0.4476236743801979,0.0,-0.0495556477384958,0.0,-0.11270524829152706,-0.4219953607860591,0.23284113544334417,-2.049372647457359,2.5923707624997405e-13,-0.45776153057936164,-0.23536000018397413,0.18356522311751897,0.2655506456115973,0.0,0.5141523020087284,1.9251089853769259,-0.5311012912231946,0.0,0.0,0.0,-0.0,-0.1974832997760792,0.24149314962706464,0.2655506456115973,-0.0,-0.06862434298762388,0.07088653892568131,1.1610520350355087,0.0,0.0,-0.1549665979303324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.2655506456115973,0.0,0.0,-0.0,-0.035443269462840654,0.16343850020095438,-0.0,-0.0,-0.0,-0.0
