parameter,coefficient,column_norm_scaled
f2YY|0|3,0.0,1.1198028442264448e-16
f2YY|1|3,0.0,1.5831177710921225e-12
HPRIM:a1|core|0,1.080715259574458e-05,24.445648339650575
HPRIM:a1|core|1,-0.00013152231682019697,1.2084390036393176
HPRIM:a1|core|2,-73489775980.62184,8.491859110630457e-11
HPRIM:a1|core|3,-110882029867.43573,5.6419112850189826e-11
HPRIM:c2|core|0,0.0001406506128699559,1.3214120378260577
HPRIM:c2|core|1,0.0,5.551528722172244e-17
HPRIM:c2|core|2,0.0,5.551115123125783e-17
HPRIM:c2|core|3,0.0,1.3877787807814457e-16
HPRIM:c4|core|0,8.405855502009786e-05,2.9198974807728475
HPRIM:c4|core|1,-36152.183485885354,0.8062082535555863
HPRIM:c4|core|2,0.0,8.968115981967543e-16
HPRIM:c4|core|3,0.0,1.3509307879285433e-15
HPRIM:F_tensor|core|0,0.34587168658610157,0.42405581256813857
HPRIM:F_tensor|core|1,0.0,1.5352150700186134e-15
HPRIM:F_tensor|core|2,0.0,1.908230426908482e-15
HPRIM:F_tensor|core|3,0.0,1.8318859054758234e-15
HPRIM:G_tensor|core|0,-0.07441673869191223,4.700804914606816
HPRIM:G_tensor|core|1,0.0,0.1947219450898856
HPRIM:G_tensor|core|2,16363279890956.678,2.9109402960106586e-11
HPRIM:G_tensor|core|3,400894107820611.75,7.38917815829625e-11
HPRIM:H_tensor|core|0,-0.00012691726881885852,4.165042790238008
HPRIM:H_tensor|core|1,0.5118037437540841,0.6002857807500835
HPRIM:H_tensor|core|2,14793415.708522188,8.732729807473371e-11
HPRIM:H_tensor|core|3,-690309740.1741349,3.2727946623544923e-10
