row,side,slot,target_delta,fit_delta,scaled_residual
24,0,e1,6.024359421097358e-06,0.0006268471463958258,8.393650919833776e-05
25,0,e2,-4.098112889733274e-07,7.04303723606688e-05,7.084018364964213e-05
26,0,e3,0.0,-8.393650932703167e-05,-8.393650932703167e-05
27,0,e4,0.0005637118461704477,0.0006476483556525636,8.393650948211595e-05
28,0,v1,-3.9644569849173195e-09,-4.274004907378457e-27,3.3968014516834616e-09
29,0,v2,0.0,0.0,0.0
30,0,v3,0.0,0.0,0.0
31,0,v4,0.0,0.0,0.0
32,0,v5,0.0,0.0,0.0
33,0,v6,0.0,0.0,0.0
34,0,v8,0.0,0.0,0.0
35,0,v9,5.163608429725741e-09,-0.2734049203621592,-0.1884558456505279
36,0,v10,6.076097958107596e-10,-0.11852143438658622,-0.11852143499419601
37,0,v11,0.0,0.0,0.0
38,0,v12,0.0,0.0,0.0
39,0,v13,0.0,8.393996847016531e-05,8.393996847016531e-05
40,1,a1,2.6483075494005334e-91,-4.7318106761510586e-18,-4.7318106761510586e-18
41,1,a2,4.7024885326152344e-05,3.849916823233505,0.22245465389603586
42,1,a3,4.00679489587219e-13,-4.0790914686148566e-06,-4.079091869294346e-06
43,1,a4,-2.2401525079374096e-13,1.8749344409098664e-08,1.8749568424349458e-08
44,1,a5,-2727.378160280972,-3338207.3450833615,-1642.469371304318
45,1,a6,-1.929683418477879e-05,0.6942557036813244,0.11311477875635895
46,1,a7,0.0037338444533361326,108.85808778720161,0.16529963580727478
47,1,a8,-2.28872476526476e-13,1.8749344437491867e-08,1.8749573309968394e-08
48,1,a9,-2.1335042242220936e-05,0.05700689990545238,0.008205573164762853
49,1,b1,-3.05089287166993e-13,3.8319888354798834e-08,3.8320193444086e-08
50,1,b2,-1.773753616312729e-90,2.8632568128297805e-17,2.8632568128297805e-17
51,1,b3,-0.0003212457952912473,-26.51630721777547,-0.2242348764889568
52,1,b4,-1.8205437157803317e-12,-1.6324577869825425e-05,-1.0052646839426468e-05
53,1,b5,6.128431095930864e-13,-7.663977670959767e-08,-7.664038955270726e-08
54,1,c1,-2.283559118543589e-90,3.0118579650220825e-17,3.0118579650220825e-17
55,1,c2,0.00038296915404600895,-2.612198042390032,-0.06113977582866843
56,1,c3,337.2044016680045,337.232717404142,8.39720240823165e-05
57,1,c4,-7.616240094776572e-05,-0.2277711883717354,-0.0363679147760049
58,1,c5,1.9421426440402456e-05,-4.375884785323818,-0.25766549285003215
59,1,c6,-0.0017582360531491759,-50.060064262248815,-0.15270583602314236
60,1,d1,-3.05089287166993e-13,3.8319888354798834e-08,3.8320193444086e-08
61,1,d2,-5.587740810986119e-05,0.7777794511961234,0.21483538025377058
62,1,d3,0.21866910667887396,-40.20548595386208,-0.10888735439939223
63,1,d4,-8.844726678169934e-06,-0.0002839616397591453,-8.393657363599938e-05
64,1,e1,-0.0004684936977525922,-49.76381642215605,-0.30128292151083025
65,1,e2,0.0002380584039229916,-2.460600487009933,-0.08354409877275476
66,1,e3,323.08735876572854,323.0625,-7.694131340670482e-05
67,1,e4,0.49948972349466203,0.3857748811133206,-8.393650929476285e-05
68,1,v1,-0.003703074533632389,-34.42205160132813,-0.05348172716781879
69,1,v2,-0.0052161619245225666,-54.19942866246654,-0.059789738646781596
70,1,v3,0.005301502513930245,48.738389622281005,0.05209094841809084
71,1,v4,0.0,7.42456277888429e-05,7.42456277888429e-05
72,1,v5,-3873.246322762168,-3869.6713314202498,0.0009229961236673042
73,1,v6,-6.0585285321934634e-05,-1.8460023987695962,-0.08926684455197054
74,1,v8,6.0681039663279535e-05,-1.3630050703752583,-0.062180964462221204
75,1,v9,1.6625097298890446e-05,0.0010019392696975252,0.0009853141723986348
76,1,v10,6.190948260265117e-06,1.0599435981836924,0.4737337708766364
77,1,v11,3.0292642600571185e-05,1.163576113399892,0.11253449393898826
78,1,v12,7.791481106522724e-05,-6.380550146270563,-0.24012379282326332
79,1,v13,0.1495758283081159,-220.69040838076035,-0.343476167947868
