x,u,a1_archive,a1_selected,a2_archive,a2_selected,a5_archive,a5_selected,P,R
0.01,100.0,0.0003314054112187,0.0003314054112187,0.0132703951157557,0.013270488239114244,-10.36161032077158,14.89926787042549,99.74387839195299,-0.019883457098496097
0.0100231573785787,99.76896123941752,0.0003329406750544,0.00033294222461797203,0.0134048295328671,0.013404250557132956,-7.902932889218994,-10.250974036871586,99.43045455200273,-0.01992962427996116
0.0100463683835757,99.53845626792358,0.0003344854172358,0.00033448637504832567,0.0134168499487064,0.013418319582976342,-5.110325129123165,-4.722716323074277,99.35328876615307,-0.01997575352138801
0.0100696331391757,99.3084838522588,0.0003360364622176,0.000336037866673513,0.0134321492111254,0.013430381493797395,-4.24126478941843,-4.09775655186024,99.03000442814155,-0.020022002482568392
0.010092951769851,99.0790427620128,0.0003375940914245,0.00033759502084638516,0.0134272680995867,0.013427606338719028,-5.53233410406031,-5.740552173720782,98.77965110087759,-0.020068384812629403
0.0101163244003622,98.85013176961748,0.0003391585410111,0.0003391600187630309,0.0135350304604497,0.013537348587960608,-6.03533440336578,-6.035452417499035,98.59712894859787,-0.020114858347312775
0.0101397511557587,98.62174965034195,0.0003407335950821,0.00034073462575859705,0.0136163078425875,0.013612001578336573,-4.864696400548968,-4.832193344577316,98.38846045132058,-0.020161429581026517
0.0101632321613795,98.39389518228478,0.0003423138709523,0.0003423149769942497,0.0135139688738001,0.013518321692078429,-4.451033614336735,-4.462063160085816,98.09840572672846,-0.020208107981768638
0.010186767542854,98.16656714636608,0.0003438995679588,0.00034390095465418904,0.0136015251211936,0.013598496342099002,-6.137521678472416,-6.128097067504812,97.86732411526543,-0.020254926149987373
0.0102103574261023,97.93976432632483,0.0003454957133952,0.00034549683013504674,0.0136993404175435,0.013701400442780638,-5.274423605425204,-5.299271434259937,97.70307637408075,-0.0203018179353685
0.0102340019373364,97.71348550870702,0.0003470984288192,0.0003470995470549865,0.013635375071646,0.013633147594586423,-4.44356781914767,-4.425227465464657,97.41382391308612,-0.02034882174550354
