u,x,phi,f,h,phiprime,A0prime,T_H,S_SVT,a1,a2,a3,a4,a5,a6,a7,a8,a9,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,c6,d1,d2,d3,d4,e1,e2,e3,e4,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,construction
0.5515230871346237,1.813160724051259,0.5099330950260855,0.438616122867156,0.4948325295065454,-0.4469231611174665,0.0,1.0,0.0,-7.379076310388288e-11,-0.16926845816067398,-0.3314755920226541,0.18281644181301693,-2.363055129244458,-7.718829240348814e-09,-0.3767647361238065,-0.18472556967437478,0.14388063760518188,0.20840141559090233,3.364708192736998e-10,0.4091268783607503,1.5114610464196199,-0.41680283118180467,3.3998453942511993e-10,-0.0101554326503534,0.0,-4.535980239383089e-11,-0.15493870535082324,0.12011713183601096,0.20840141559090233,-4.489101151291278e-11,-0.05458458415769085,0.05560868765257456,0.10495959112796953,-0.0227229949958219,0.0,-0.014003433463832593,1.7459404841483186,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0732442926612027,-0.23293857857851097,0.0,-0.0,0.0,FINAL OUTER same-action selected member: variable-G4(phi) healthy MH emitter on resolved A0prime background + genuine-SVT DeltaC; common V recanonicalized; v12 minus; lower member v5=c3=e3=0; a5 JET9D8 holonomic
0.5515496675495626,1.8130733437712376,0.5099721507651324,0.4385934333689607,0.4948121584127508,-0.4470021883251938,0.0,1.0,0.0,6.9443900377535266e-06,-0.16895537129864127,-0.33144266950897033,0.1828079502279427,-1.6822698434552876,-4.153002688449982e-07,-0.3767747519096573,-0.1847245940907663,0.1439033940098163,0.20840251622526917,-3.166663934939333e-05,0.40838688952392677,1.5113891102430106,-0.41680503245053835,-3.1998647174488385e-05,-0.0101628168419533,0.0,4.269362166484081e-06,-0.15494403232070053,0.12011557468213441,0.20840251622526917,4.225064617287452e-06,-0.05448838749639462,0.055611464654769426,0.10467009380058001,-0.022713760651908176,0.0,-0.013960997992580104,1.7457814265834088,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.073294145790368,-0.23292775888188724,0.0,-0.0,0.0,FINAL OUTER same-action selected member: variable-G4(phi) healthy MH emitter on resolved A0prime background + genuine-SVT DeltaC; common V recanonicalized; v12 minus; lower member v5=c3=e3=0; a5 JET9D8 holonomic
0.5515762479645013,1.8129859719129144,0.5100112095522098,0.4385707438665178,0.4947917795452736,-0.44707909735707574,0.0,1.0,0.0,1.3874556121336945e-05,-0.16864974489050513,-0.3314097500934461,0.18279945721575544,-1.7301929821219346,-1.544822461791557e-06,-0.3767730786202508,-0.18472361988688743,0.14392296080341135,0.2084036153485329,-6.32716902136079e-05,0.4077353257062809,1.5113171807662258,-0.4168072306970658,-6.393769341899357e-05,-0.010170182631915752,0.0,8.531153079477866e-06,-0.15494859442514955,0.12011360401110488,0.2084036153485329,8.442288827535988e-06,-0.054404165891774436,0.055614240983138157,0.10469106659992203,-0.022704637745806465,0.0,-0.013960836433426493,1.7456223787694667,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.073344012017994,-0.23291693734795713,0.0,-0.0,0.0,FINAL OUTER same-action selected member: variable-G4(phi) healthy MH emitter on resolved A0prime background + genuine-SVT DeltaC; common V recanonicalized; v12 minus; lower member v5=c3=e3=0; a5 JET9D8 holonomic
0.5516028283794402,1.81289860847507,0.510050271288823,0.4385480543913361,0.494771393044718,-0.4471568865820252,0.0,1.0,0.0,2.079037612117407e-05,-0.16833979828675666,-0.33137683386363637,0.18279096282296142,-1.772117793931784,-3.395434391204056e-06,-0.3767740553243211,-0.1847226470573659,0.14394319992755755,0.20840471299850855,-9.481458605501821e-05,0.4070542715992896,1.5112452582810183,-0.4168094259970171,-9.58165603224849e-05,-0.010177529839157366,0.0,1.2785294426137774e-05,-0.15495336570146653,0.12011174945548232,0.20840471299850855,1.265159586741411e-05,-0.05431618506656832,0.0556170166516696,0.10461013385241345,-0.0226954736090447,0.0,-0.01394791403441964,1.7454633408894171,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0733938911558776,-0.2329061140182091,0.0,-0.0,0.0,FINAL OUTER same-action selected member: variable-G4(phi) healthy MH emitter on resolved A0prime background + genuine-SVT DeltaC; common V recanonicalized; v12 minus; lower member v5=c3=e3=0; a5 JET9D8 holonomic
0.5516294087943789,1.8128112534564889,0.5100893361349524,0.4385253648919331,0.4947509986802824,-0.4472354375647751,0.0,1.0,0.0,2.769176481650858e-05,-0.16802735070590655,-0.3313439207612588,0.18278246701014822,-1.7252620839703576,-5.966282688659196e-06,-0.37677357770366354,-0.18472167564866884,0.14396328545799786,0.2084058091544964,-0.00012629492856511382,0.40637817810075305,1.5111733427000862,-0.4168116183089928,-0.00012763483944650713,-0.010184858313957313,0.0,1.7031730559403906e-05,-0.15495813777019546,0.12010989639639405,0.2084058091544964,1.6852931407037133e-05,-0.05422904167324427,0.05561979164821321,0.10456433722626478,-0.022686274283439854,0.0,-0.013940517090272664,1.7453043126362102,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.073443783520238,-0.23289528882467717,0.0,-0.0,0.0,FINAL OUTER same-action selected member: variable-G4(phi) healthy MH emitter on resolved A0prime background + genuine-SVT DeltaC; common V recanonicalized; v12 minus; lower member v5=c3=e3=0; a5 JET9D8 holonomic
0.5516559892093178,1.812723906855953,0.5101284040063387,0.4385026753952496,0.4947305965720823,-0.4473127137734673,0.0,1.0,0.0,3.457843876357583e-05,-0.16771575884561632,-0.33131101095432763,0.1827739698190544,-1.7345453120345198,-9.256546231426722e-06,-0.37677173543606013,-0.18472070565826043,0.14398291606288885,0.2084069038510528,-0.00015771141524921435,0.40571289652733306,1.5111014346979594,-0.4168138077021056,-0.00015939120840915668,-0.010192167901269363,0.0,2.1270283861500425e-05,-0.15496283477847161,0.12010800823621538,0.2084069038510528,2.104612044811528e-05,-0.05414351622175939,0.055622565985310145,0.10454601302136025,-0.022677143660176757,0.0,-0.013937620821348418,1.7451452941657264,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0734936889506932,-0.23288446180281436,0.0,-0.0,0.0,FINAL OUTER same-action selected member: variable-G4(phi) healthy MH emitter on resolved A0prime background + genuine-SVT DeltaC; common V recanonicalized; v12 minus; lower member v5=c3=e3=0; a5 JET9D8 holonomic
0.5516825696242565,1.8126365686722463,0.5101674748710394,0.4384799859114422,0.4947101867648952,-0.4473903893212634,0.0,1.0,0.0,4.1450409401836574e-05,-0.16740221310817344,-0.33127810446444794,0.18276547127398812,-1.7550373772909476,-1.3265360851766747e-05,-0.3767701554371733,-0.18471973709411924,0.14400249119741973,0.2084079971108424,-0.00018906408836734512,0.405037917751517,1.5110295343393605,-0.4168159942216848,-0.00019108570373667626,-0.010199458445744235,0.0,2.550095803381986e-05,-0.15496755678637056,0.12010613592224505,0.2084079971108424,2.5231167423189556e-05,-0.054056871696402276,0.055625339670201376,0.10449106111831738,-0.022667996397306656,0.0,-0.013930670547512847,1.7449862855343443,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0735436073890956,-0.23287363296588465,0.0,-0.0,0.0,FINAL OUTER same-action selected member: variable-G4(phi) healthy MH emitter on resolved A0prime background + genuine-SVT DeltaC; common V recanonicalized; v12 minus; lower member v5=c3=e3=0; a5 JET9D8 holonomic
0.5517091500391954,1.8125492389041515,0.5102065487841609,0.4384572964227557,0.4946897691778953,-0.4474685904954372,0.0,1.0,0.0,4.83075723567299e-05,-0.16708625231310387,-0.3312452013008703,0.18275697137022362,-1.734324428127385,-1.7991867860654998e-05,-0.37676795549983766,-0.18471876998178066,0.14402205647637079,0.20840908893669244,-0.0002203524619198138,0.4043621660716185,1.5109576417288644,-0.4168181778733849,-0.00022271782807031622,-0.01020672979874104,0.0,2.9723685525649745e-05,-0.15497231628720312,0.1201042860475304,0.20840908893669244,2.940800626360004e-05,-0.05397029863425029,0.05562811270129336,0.10444455566449144,-0.022658826123047506,0.0,-0.013925679389265255,1.7448272866324535,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0735935389477422,-0.23286280229017745,0.0,-0.0,0.0,FINAL OUTER same-action selected member: variable-G4(phi) healthy MH emitter on resolved A0prime background + genuine-SVT DeltaC; common V recanonicalized; v12 minus; lower member v5=c3=e3=0; a5 JET9D8 holonomic
0.5517357304541342,1.8124619175504533,0.5102456257473799,0.4384346069284422,0.4946693438089783,-0.44754629289195275,0.0,1.0,0.0,5.5149719605377656e-05,-0.16677047082170804,-0.33121230155882914,0.18274847012110565,-1.7232455825010895,-2.343525764835156e-05,-0.37676437428664544,-0.1847178043356532,0.1440413227429988,0.20841017934395448,-0.0002515755769907951,0.40369644004531485,1.5108857573046781,-0.41682035868790895,-0.0002542866059311972,-0.010213981806271857,0.0,3.393833496306596e-05,-0.15497703999747436,0.1201024208439088,0.20841017934395448,3.357650777229829e-05,-0.0538852379725534,0.05563088508249276,0.10442880413998137,-0.022649685081315925,0.0,-0.013925623290015565,1.744668297455456,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0736434836327178,-0.23285196977502673,0.0,-0.0,0.0,FINAL OUTER same-action selected member: variable-G4(phi) healthy MH emitter on resolved A0prime background + genuine-SVT DeltaC; common V recanonicalized; v12 minus; lower member v5=c3=e3=0; a5 JET9D8 holonomic
0.551762310869073,1.8123746046099345,0.5102847057053754,0.4384119174462579,0.4946489107353394,-0.4476236743801979,0.0,1.0,0.0,6.197676063408422e-05,-0.16645277163250943,-0.33117940531754975,0.1827399675584678,-1.7739060460169949,-2.9594018147020357e-05,-0.37676087222651694,-0.1847168401592239,0.14406035745082463,0.208411268360273,-0.000282733010521693,0.40302221887655265,1.5108138813682996,-0.416822536720546,-0.00028579160328220005,-0.010221214313178998,0.0,3.814484721744504e-05,-0.15498174397983547,0.12010054875208595,0.208411268360273,3.7736614252550265e-05,-0.05379921760720885,0.055633656823336694,0.10438173856416949,-0.02264056417264558,0.0,-0.01392221649981984,1.7445093181017692,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0736934413413861,-0.23284113544334417,0.0,-0.0,0.0,FINAL OUTER same-action selected member: variable-G4(phi) healthy MH emitter on resolved A0prime background + genuine-SVT DeltaC; common V recanonicalized; v12 minus; lower member v5=c3=e3=0; a5 JET9D8 holonomic
0.5517888912840118,1.8122873000813804,0.5103237886991945,0.4383892279628915,0.4946284698972605,-0.4477024005333689,0.0,1.0,0.0,6.878866962730472e-05,-0.16613129094802337,-0.331146512530568,0.18273146368236318,-1.733467178902818,-3.647323290640853e-05,-0.3767573141920766,-0.18471587747498483,0.144079582555877,0.20841235599182073,-0.00031382463454657466,0.4023393886696493,1.5107420137549488,-0.41682471198364146,-0.00031723268437394974,-0.010228427163560235,0.0,4.234320296226226e-05,-0.15498653684572272,0.12009872544127558,0.20841235599182073,4.1888307383545866e-05,-0.053712221932674886,0.055636427923689655,0.10432157612233187,-0.022631378827572098,0.0,-0.013917892385052255,1.7443503484901846,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0737434121577272,-0.23283029927756735,0.0,-0.0,0.0,FINAL OUTER same-action selected member: variable-G4(phi) healthy MH emitter on resolved A0prime background + genuine-SVT DeltaC; common V recanonicalized; v12 minus; lower member v5=c3=e3=0; a5 JET9D8 holonomic
