x,u,a5_unsmoothed_identity,a5_selected,rel_scaled_difference
0.01,100.0,14.89927715891044,14.89926787042549,6.234184954752216e-07
0.0100231573785787,99.76896123941752,-10.25102328283012,-10.250974036871586,4.804004163823937e-06
0.0100463683835757,99.53845626792358,-4.7225710293420144,-4.722716323074277,3.0765811961243515e-05
0.0100696331391757,99.3084838522588,-4.097933337892444,-4.09775655186024,4.314028990410828e-05
0.010092951769851,99.0790427620128,-5.7405182136944575,-5.740552173720782,5.915846803407461e-06
0.0101163244003622,98.85013176961748,-6.035222799183942,-6.035452417499035,3.804636924481772e-05
0.0101397511557587,98.62174965034195,-4.83261765085909,-4.832193344577316,8.780050739137088e-05
0.0101632321613795,98.39389518228478,-4.461637257037933,-4.462063160085816,9.545891414898125e-05
0.010186767542854,98.16656714636608,-6.1283923459689955,-6.128097067504812,4.818204310594897e-05
0.0102103574261023,97.93976432632483,-5.299070177078433,-5.299271434259937,3.797971621035807e-05
0.0102340019373364,97.71348550870702,-4.425445617546714,-4.425227465464657,4.929494132579083e-05
0.0102577012030602,97.48772948286582,-5.673293372494046,-5.673509960668484,3.817679788731501e-05
0.0102814553500709,97.26249504094808,-5.5496356283609,-5.549583250308915,9.438106479797373e-06
0.0103052645054592,97.03778097789254,-4.942624583129177,-4.9424224320613295,4.089953919175474e-05
0.0103291287966099,96.81358609142409,-4.911791161784631,-4.912112603309243,6.54428321612939e-05
0.010353048351203,96.5899091820432,-5.785566583228691,-5.785392959762388,3.00097602898525e-05
0.0103770232972143,96.36674905302073,-5.245706766116505,-5.245546672972874,3.051888921142769e-05
0.0104010537629158,96.14410451039366,-4.994026026664143,-4.994477802853569,9.046332298117038e-05
0.0104251398768763,95.92197436295996,-5.41171992646377,-5.411227758014422,9.094492250817329e-05
0.0104492817679629,95.70035742226436,-4.684406538149835,-4.684635043084441,4.877991112536378e-05
0.0104734795653405,95.47925250260316,-5.577474614003775,-5.57765149327176,3.171314622217586e-05
0.0104977333984737,95.2586584210067,-5.617308592210845,-5.616857713882851,8.026589969071287e-05
0.0105220433971264,95.03857399724303,-4.889684538898346,-4.890143160139936,9.379362573216721e-05
0.0105464096913633,94.81899805380436,-5.359302164304852,-5.358976151433482,6.083121670977942e-05
0.0105708324115503,94.5999294159032,-5.270622971828984,-5.270866006981622,4.6111276396993386e-05
0.010595311688355,94.38136691146812,-4.947979215443137,-4.947721918128382,5.2000484147625965e-05
0.0106198476527477,94.16330937113467,-5.050021739422335,-5.050313288762899,5.7732294157869885e-05
