u,x,phi,f,h,phiprime,A0prime,a1,a2,a3,a4,a5,a6,a7,a8,a9,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,c6,d1,d2,d3,d4,e1,e2,e3,e4,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,mu,P1,selected_crS2,photon_factor,G3X_selected
0.71,1.4084507042253522,0.8483535178768147,0.2927048531030057,0.3891074914487804,-1.2775796889114128,0.0,-0.08515833977185762,-2.4102699387360627,-0.2920611942261447,0.16874066724251321,8.890793050691295,0.0,-0.5611623278036474,-0.21683040156106215,-0.33137012633261503,0.2882437128282457,0.5818717309882769,8.670740931108352,1.9956019938170653,-0.5764874256564914,0.7477004989312456,0.2174170344875078,0.0,-0.11032509016764645,-0.29128356490649776,0.2940446975435818,0.2882437128282457,-0.08585663815798683,-1.2793896440628698,0.08506217035695089,0.12181947479232004,0.029454798112793033,0.0,-0.021221921124695342,1.1435973530182335,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.4815634196865022,-0.16874066724251324,0.0,0.0,0.0,3.461657453403285,0.5048713784137067,1.0,-0.01550199876158287,-0.40057010245945995
0.7099591913192917,1.4085316624209565,0.8482500769847284,0.292737617606872,0.3889391512092136,-1.2778351324921335,0.0,-0.08525071076871059,-2.408920156375916,-0.2921066295727622,0.16871360386689638,8.904432150355971,0.0,-0.561277075717011,-0.21688945859829875,-0.33089849048713466,0.2881652266731705,0.5824376891882537,8.664847821672687,1.9956890539776326,-0.576330453346341,0.7487516843926001,0.21771938479903136,0.0,-0.11047986084932414,-0.2913327576172303,0.29422116148494615,0.2881652266731705,-0.08593988660889632,-1.2785162311545255,0.0850387513192497,0.12207170562558901,0.029526552635592507,0.0,-0.021225344204508723,1.1434173984665852,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.4818010775066668,-0.16871360386689638,0.0,0.0,0.0,3.462751347582078,0.5048720093541837,1.0,-0.01532509549354466,-0.40103600697206476
0.7099183873294364,1.4086126206165608,0.8481466154460245,0.2927703941537707,0.3887710426887766,-1.2780897451814108,0.0,-0.0853430307590149,-2.4075686879883236,-0.2921520741511502,0.16868658171559284,8.90642829490129,0.0,-0.5613905205734175,-0.216948490490625,-0.3304261082266756,0.2880868166386288,0.5830031482909471,8.658952562192516,1.9957760756212546,-0.5761736332772576,0.7498026913975424,0.21801990006829824,0.0,-0.11063460815758507,-0.2913818704058436,0.29439696403576604,0.2880868166386288,-0.08602306394177715,-1.2776425515264984,0.08501535787974959,0.12233629931594169,0.02959695999785202,0.0,-0.02123057592445221,1.1432376819452896,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.4820384493978445,-0.16868658171559286,0.0,0.0,0.0,3.463844855706678,0.5048748512413105,1.0,-0.015148484234919324,-0.4015020469401527
0.7098775880296249,1.408693578812165,0.8480431333279725,0.2928031827269134,0.3886031660079583,-1.2783435269032275,0.0,-0.0854352996839225,-2.4062164951469462,-0.29219752787129905,0.1686596008421143,8.9087902934745,0.0,-0.5615028995788235,-0.21700749710137496,-0.3299529813846125,0.2880084828166243,0.583568108025689,8.653057167324821,1.995863058249751,-0.5760169656332486,0.7508535172533026,0.21831895193335288,0.0,-0.11078933170404026,-0.29143090322642956,0.29457222327675325,0.2880084828166243,-0.08610617012019182,-1.2767689019677793,0.08499199005705402,0.1226107023798257,0.029666312065657924,0.0,-0.021237238905808198,1.1430582039174926,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.4822755345782546,-0.1686596008421143,0.0,0.0,0.0,3.464937974622994,0.5048794365689063,1.0,-0.014972165202642662,-0.4019682222805829
0.7098367934190487,1.4087745370077691,0.8479396306978527,0.2928359833094964,0.3884355212864436,-1.2785964774970993,0.0,-0.08552751749045291,-2.4048633442812837,-0.29224299064323805,0.16863266129982984,8.911672539126485,0.0,-0.5616141338685563,-0.2170664782939293,-0.32947911174987743,0.2879302252988546,0.5841325681622906,8.647161257059297,1.9959500013655658,-0.5758604505977092,0.7519041593154587,0.21861641738825105,0.0,-0.11094403110738812,-0.2914798560158152,0.29474689925272324,0.2879302252988546,-0.08618920511363544,-1.2758952262870036,0.08496864786968507,0.12289575779428526,0.029734513603159676,0.0,-0.02124545799631239,1.1428789648453048,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.4825123322669893,-0.16863266129982984,0.0,0.0,0.0,3.4660307011774942,0.5048859177141882,1.0,-0.014796138698482397,-0.4024345329891568
0.7097960034968995,1.4088554952033738,0.8478361076229552,0.2928687958847011,0.3882681086431061,-1.2788485968736854,0.0,-0.0856196841185856,-2.4035092523474013,-0.2922884623754257,0.1686057631419644,8.914705924336172,0.0,-0.5617242722455734,-0.21712543393171893,-0.32900450115274443,0.2878520441767078,0.5846965284228712,8.641264625500355,1.9960369044607684,-0.5757040883534156,0.7529546148745389,0.21891237313512327,0.0,-0.11109870597668238,-0.29152872871773344,0.2949210158379919,0.2878520441767078,-0.08627216888452603,-1.2750214938967712,0.0849453313360825,0.12319093642576227,0.02980162561450312,0.0,-0.021255155320101693,1.1426999651897887,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.4827488416840322,-0.1686057631419644,0.0,0.0,0.0,3.4671230321981543,0.5048941968194726,1.0,-0.014620404982936819,-0.4029009789821181
0.7097552182623691,1.408936453398978,0.8477325641705784,0.2929016204356944,0.3881009281960095,-1.2790998849264408,0.0,-0.0857117995156304,-2.402154307369332,-0.2923339429801657,0.1685789064215985,8.91666469746836,0.0,-0.5618332953793651,-0.21718436387822565,-0.3285291514063759,0.28777393954126224,0.5852599885800096,8.635367673103358,1.9961237670540417,-0.5755478790825245,0.7540048812823572,0.21920678929852686,0.0,-0.1112533559299734,-0.2915775212780838,0.295094562848895,0.28777393954126224,-0.0863550614026874,-1.274147763723799,0.08492204047460408,0.12349644132482807,0.029867625718041843,0.0,-0.021266361175651838,1.1425212054109526,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.4829850620502645,-0.1685789064215985,0.0,0.0,0.0,3.468214964558716,0.5049043095648839,1.0,-0.01444496432509157,-0.40336756021928794
0.7097144377146496,1.4090174115945824,0.847629000408031,0.2929344569456282,0.3879339800624122,-1.27935034150076,0.0,-0.0858038636245029,-2.4007984307110886,-0.29237943236478575,0.16855209119166906,8.920157675396077,0.0,-0.5619411961312897,-0.2172432679969821,-0.32805306431708076,0.28769591148328816,0.5858229483766673,8.629470166482326,1.9962105886304427,-0.5753918229665763,0.755054955848954,0.21949965509219255,0.0,-0.11140798057910094,-0.29162623363212953,0.2952675361887814,0.28769591148328816,-0.0864378826335331,-1.2732740011403116,0.08489877530352563,0.12381234521116521,0.02993250647699352,0.0,-0.021279086545132664,1.142342685967763,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.4832209925874633,-0.16855209119166903,0.0,0.0,0.0,3.469306495074053,0.5049162676791717,1.0,-0.014269817021793307,-0.40383427666843363
0.7096736618529329,1.4090983697901869,0.8475254164026309,0.2929673053976391,0.387767264358763,-1.2795999665344056,0.0,-0.08589587638864611,-2.399441591122538,-0.29242493044080126,0.16852531750496777,8.922432560559809,0.0,-0.5620479889806238,-0.2173021461515738,-0.3275762417313108,0.2876179600932457,0.5863854075598042,8.62357191836425,1.996297368703981,-0.5752359201864914,0.7561048358858875,0.21979099349559653,0.0,-0.11156257953608179,-0.291674865726821,0.2954399425778618,0.2876179600932457,-0.08652063254302671,-1.2724001783468424,0.08487553584104043,0.12413848745336128,0.029996286837771117,0.0,-0.021293308042481307,1.1421644073181314,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.483456632518319,-0.16852531750496777,0.0,0.0,0.0,3.4703976206089178,0.5049300406200574,1.0,-0.014094963333568411,-0.4043011282398554
0.7096328906764117,1.409179327985791,0.8474218122217024,0.2930001657748503,0.3876007812006986,-1.2798487599075918,0.0,-0.08598783775060738,-2.3980838954218533,-0.2924704371165805,0.1684985854141409,8.925311716070816,0.0,-0.5621536597089609,-0.21736099820564192,-0.3270986854657415,0.2875400854612827,0.5869473658706589,8.617673366397902,1.9963841067675243,-0.5750801709225654,0.7571545186937321,0.22008078257949573,0.0,-0.11171715241126585,-0.29172341750811565,0.2956117743703087,0.2875400854612827,-0.0866033110962483,-1.2715263597237891,0.08485232210525921,0.1244750170985611,0.030058950640537905,0.0,-0.021309047896965083,1.1419863699189052,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.4836919810664433,-0.16849858541414092,0.0,0.0,0.0,3.4714883379909436,0.5049456540612491,1.0,-0.013920403510485846,-0.40476811487424974
