u,x,phi,f,h,phiprime,A0prime,T_H,S_SVT,a1,a2,a3,a4,a5,a6,a7,a8,a9,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,c6,d1,d2,d3,d4,e1,e2,e3,e4,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,construction
0.5515230871346237,1.813160724051259,0.5099330950260855,0.438616122867156,0.4948325295065454,-0.4469231611174665,0.0,1.0,0.0,2.3146021209486587e-16,-0.19670970777454524,-0.422355081794884,0.23293857857851097,-2.9659164652773904,0.0,-0.4758240570676287,-0.23537112526818002,0.18332788492320976,0.26553809405800305,-1.0554113267968874e-15,0.5212997920854069,1.9258529715416002,-0.5310761881160061,-1.0664328473406548e-15,-0.0319403543925654,0.0,1.4228053811934144e-16,-0.1974177017701932,0.15092626386946673,0.26553809405800305,1.4081007715429236e-16,-0.06954984630678229,0.0708547247170238,0.3292834491259346,-0.07146721667479228,0.0,-0.04392726901265043,1.7459404841483186,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0732442926612027,-0.23293857857851097,0.0,0.0,0.0,MH cubic G4=1/2 + genuine-SVT delta; c2_H=T_H*c2_anchor; v5=c3=e3=0
0.5760568101231429,1.735939897640011,0.547453839015579,0.4176039467225523,0.4723715782543203,-0.530174275247087,0.0007335652184144,0.9956172946162016,0.0043827053837985,-0.29908120677397243,4.810043968851492,-0.46478656079402647,0.2220721928779947,-71.8097783495486,-2.8196445178707563e-10,1.123489314039435,-0.23506091719010366,0.2120851336174239,0.2658885226311511,1.4323677212403167,2.7514723589463195,2.2259682382878503,-0.5317770452623022,1.5161451145449143,-0.031653894430332175,0.0,-0.21010480879288312,-0.25662898844417614,0.20992246809482884,0.2658885226311511,-0.19849508024839493,-0.3812918708750671,0.07369275864234111,60.02184097043448,-0.902906546333034,0.0,-8.502780143115238,1.5954802776794315,0.0011703888383717796,-0.0011769201122649744,3.1484208737509367e-06,0.0,4.243165204432066e-06,2.146391359624926e-07,-0.0007824110684464417,1.1291396361287234,-0.2224235037793134,-2.121582602216033e-06,-4.491342620689583e-06,-0.0249305198734438,MH cubic G4=1/2 + genuine-SVT delta; c2_H=T_H*c2_anchor; v5=c3=e3=0
0.5760833905380818,1.735859801592206,0.5474963080897762,0.417581025826847,0.4723428949988634,-0.5302787364215107,0.0007588116334422,0.9954854161721004,0.0045145838278995,-0.2995111988677184,4.787935535542651,-0.46487611996823075,0.22205935616161732,-31.033981737998257,-3.106869206348506e-10,1.113288320010852,-0.23506160303538773,0.21212146108167107,0.2658877468413709,1.4345057861508912,2.7090777737295095,2.226519363746163,-0.5317754936827418,1.5185004382825988,-0.031645871582778644,0.0,-0.21043907432823586,-0.2567268999641182,0.21002452327126536,0.2658877468413709,-0.19879880316908,-0.3754307572084816,0.07369529936435164,59.64097686368798,-0.9039884418953792,0.0,-8.450544353468459,1.5951170980697342,0.0012103934107178767,-0.0012173504160043376,3.357407151840921e-06,0.0,4.520633573246163e-06,2.2961515027362698e-07,-0.0008094052434767399,1.1292890401359748,-0.22242123933801422,-2.2603167866230816e-06,-4.78533034063849e-06,-0.0254957231234001,MH cubic G4=1/2 + genuine-SVT delta; c2_H=T_H*c2_anchor; v5=c3=e3=0
0.5761099709530205,1.7357797129353034,0.5475387815437253,0.4175581044380821,0.4723142016905673,-0.5303826675439309,0.0007847214127942,0.9953507432292792,0.0046492567707209,-0.2999395785679995,4.7810782858391345,-0.4649652163398289,0.2220465169492078,107.97504047368771,-3.4206915078272004e-10,1.1153061503125115,-0.23506229132474796,0.2121576045691009,0.26588696829154,1.4366363645205036,2.7405259927637746,2.2270683356298098,-0.53177393658308,1.5208481550822643,-0.03163771868866325,0.0,-0.21077230853636245,-0.2568244741357212,0.21012623618369372,0.26588696829154,-0.1991015092796598,-0.3798033775390478,0.07369783879008256,59.70081499035954,-0.9050660987240849,0.0,-8.459384025471309,1.5947494875155197,0.001251434070896005,-0.0012588407627637619,3.578381484595087e-06,0.0,4.813771911339851e-06,2.455067780330776e-07,-0.0008371130046921139,1.1294699286830026,-0.222419196443758,-2.4068859556699253e-06,-5.095942377033957e-06,-0.0265900246147283,MH cubic G4=1/2 + genuine-SVT delta; c2_H=T_H*c2_anchor; v5=c3=e3=0
0.5761365513679594,1.7356996316682798,0.5475812594754987,0.4175351825254322,0.4722854981795005,-0.5304878995649338,0.0008113061292756,0.9952132459415044,0.0047867540584956,-0.30036840302040435,4.7698663426813575,-0.4650546698649037,0.22203367519730674,-70.12579151379978,-3.7633196559028187e-10,1.113954048198742,-0.23506298208728707,0.21219420402730102,0.26588618694878796,1.4387693089892315,2.7520021050152663,2.2276190813528727,-0.5317723738975759,1.523198695000372,-0.031629420778933603,0.0,-0.21110595681653144,-0.2569224056670618,0.21022832090837365,0.26588618694878796,-0.19940456395650608,-0.3814072285314757,0.07370037690521122,59.63915910167718,-0.9061425465600708,0.0,-8.451377491918763,1.5943773993947734,0.0012935281565074708,-0.001301409573302553,3.812053175285557e-06,0.0,5.123317810195399e-06,2.6236183044126964e-07,-0.0008655470421444061,1.1296453002040168,-0.22241737847982612,-2.5616589050977e-06,-5.4239626560036695e-06,-0.0275738255464737,MH cubic G4=1/2 + genuine-SVT delta; c2_H=T_H*c2_anchor; v5=c3=e3=0
0.5761631317828981,1.7356195577901126,0.5476237418824733,0.4175122600896344,0.4722567844717388,-0.5305921083752984,0.0008385773593572,0.9950728946551451,0.0049271053448548,-0.3007950286424312,4.749429366251338,-0.4651434305779979,0.22202083090751812,12.281311826008134,-4.1371273074020104e-10,1.1053461227840302,-0.23506367532217473,0.2122304397846742,0.2658854028141032,1.4408919564558629,2.7200469944697283,2.2281665715787016,-0.5317708056282064,1.5255386516761518,-0.03162099881306153,0.0,-0.2114381610958402,-0.2570198066776132,0.21032986407984114,0.2658854028141032,-0.19970621213537576,-0.37699255385060715,0.07370291371039743,59.31609673025736,-0.907213856293521,0.0,-8.407144985615083,1.5940007876161115,0.0013366929712924159,-0.0013450753524506351,4.058910648343041e-06,0.0,5.450038918418828e-06,2.802301155344309e-07,-0.0008947200635855601,1.1298043097517436,-0.22241578659659353,-2.725019459209414e-06,-5.77020711784499e-06,-0.0282558052573428,MH cubic G4=1/2 + genuine-SVT delta; c2_H=T_H*c2_anchor; v5=c3=e3=0
0.576189712197837,1.7355394912997788,0.5476662286944016,0.4174893371527869,0.4722280606743672,-0.5306964541381192,0.0008665466953327,0.9949296599148908,0.0050703400851092,-0.3012207543717744,4.7448308892235715,-0.46523201693722216,0.22200798411086908,119.22233678327214,-4.544657983274192e-10,1.1094338684094822,-0.2350643710094543,0.21226672392383503,0.26588461591010853,1.4430105277708583,2.76478755814334,2.2287132893502526,-0.5317692318202171,1.5278746096855844,-0.03161244302468348,0.0,-0.21176983386216824,-0.2571171155683637,0.21043131658385392,0.26588461591010853,-0.20000731589483073,-0.38320777560375685,0.07370544921609974,59.45050029119658,-0.9082819317268944,0.0,-8.426315444566344,1.5936196065655648,0.0013809458036867874,-0.0013898565681834676,4.3196590084201655e-06,0.0,5.794727464585353e-06,2.991635056545863e-07,-0.0009246448079758693,1.1299989277095492,-0.22241442378345627,-2.8973637322926767e-06,-6.13551792783149e-06,-0.0295457804944636,MH cubic G4=1/2 + genuine-SVT delta; c2_H=T_H*c2_anchor; v5=c3=e3=0
0.5762162926127758,1.7354594321962566,0.547708719999012,0.4174664136873141,0.4721993266534367,-0.5308020057201108,0.0008952259210863,0.994783512469352,0.0052164875306479,-0.3016467815876707,4.732075818315579,-0.4653209088785844,0.22199513476852076,-92.79879291708328,-4.988649493498086e-10,1.10711879661048,-0.23506506917517334,0.21230343896356238,0.26588382620739043,1.4451307779389733,2.7712745504563583,2.2292615339691193,-0.5317676524147809,1.530212662712673,-0.031603742574267006,0.0,-0.21210181967229216,-0.2572147416479205,0.21053309889587193,0.26588382620739043,-0.20030867284784765,-0.3841205019429005,0.07370798340961557,59.35417144572423,-0.9093485385023211,0.0,-8.413499988572138,1.5932338106666089,0.0014263042056598505,-0.0014357720136534277,4.594959748140269e-06,0.0,6.158204980516373e-06,3.192161240652758e-07,-0.0009553342332100634,1.1301793917336587,-0.22241329298451684,-3.0791024902581865e-06,-6.520768490036508e-06,-0.0305719426804051,MH cubic G4=1/2 + genuine-SVT delta; c2_H=T_H*c2_anchor; v5=c3=e3=0
0.5762428730277146,1.7353793804785238,0.5477512158105412,0.4174434896886672,0.472170582388967,-0.5309064929969382,0.0009246268388291,0.9946344232765296,0.0053655767234704,-0.3020705180806087,4.709639302290716,-0.465409076228011,0.2219822828745465,-3.33174310400776,-5.472015063290313e-10,1.0971836494202387,-0.23506576982350083,0.21233976643812194,0.2658830337012834,1.4472402878094728,2.7321919825828203,2.2298063700795376,-0.5317660674025668,1.5325396602294659,-0.03159492139964086,0.0,-0.21243229569288116,-0.257311810592417,0.2106343117091996,0.2658830337012834,-0.20060856153504358,-0.3787172405951592,0.07371051628920043,58.98364743206663,-0.9104098199680474,0.0,-8.362678918859224,1.5928433548525511,0.0014727857159472528,-0.0014828405442033703,4.885433165470336e-06,0.0,6.541326051317235e-06,3.404443002022403e-07,-0.0009868013322673844,1.1303408748159927,-0.2224123952228775,-3.2706630256586176e-06,-6.926867423867366e-06,-0.0312456847165189,MH cubic G4=1/2 + genuine-SVT delta; c2_H=T_H*c2_anchor; v5=c3=e3=0
0.5762694534426535,1.7352993361455578,0.5477937160258659,0.4174205651892494,0.4721418280388921,-0.5310107758586875,0.0009547612215308,0.994482363509154,0.005517636490846,-0.3024929254421573,4.703194525361771,-0.4654969033920991,0.22196942847466616,97.26445835070825,-5.99788663180334e-10,1.1000718046623368,-0.23506647292472221,0.212376026810736,0.26588223842544756,1.4493436628116947,2.770530248586828,2.2303496387680513,-0.5317644768508951,1.5348604770220728,-0.03158597179048413,0.0,-0.21276193750114675,-0.2574086503209008,0.21073529163191979,0.26588223842544756,-0.2009076202002083,-0.3840457988513497,0.07371304787029642,59.07482588163247,-0.911467187774934,0.0,-8.375856960525512,1.59244819465761,0.001520407783555817,-0.0015310809299580762,5.191827069558881e-06,0.0,6.9449715166685335e-06,3.6290659816317196e-07,-0.0010190590824627232,1.1305409980321235,-0.22241173337539494,-3.4724857583342667e-06,-7.354751373666103e-06,-0.0325875206164198,MH cubic G4=1/2 + genuine-SVT delta; c2_H=T_H*c2_anchor; v5=c3=e3=0
0.5762960338575922,1.7352192991963376,0.5478362207271178,0.4173976401632724,0.4721130634772547,-0.5311162296193882,0.0009856410649296,0.9943273045599068,0.0056726954400931,-0.30291555761830136,4.688714307913488,-0.46558501093410626,0.22195657153239423,-84.86700366395652,-6.569614852125483e-10,1.0966535481769677,-0.2350671785034048,0.2124126975675083,0.2658814403521448,1.4514483479102116,2.771247593730846,2.230894313403327,-0.5317628807042896,1.5371829972463142,-0.031576878812200136,0.0,-0.21309183791907665,-0.25750578552054304,0.21083657915841106,0.2658814403521448,-0.20120688078469956,-0.3841585432175929,0.07371557814108812,58.93904762724635,-0.9125229187544674,0.0,-8.357565797780255,1.5920482856240878,0.0015691881676618699,-0.0015805123065141165,5.514875968360171e-06,0.0,7.370053412693474e-06,3.8666407416229337e-07,-0.0010521207145625776,1.1307258048896591,-0.22241131059922484,-3.685026706346737e-06,-7.805390258014483e-06,-0.033641100840723,MH cubic G4=1/2 + genuine-SVT delta; c2_H=T_H*c2_anchor; v5=c3=e3=0
