u,best_A_grid,best_min_eig_grid,eig_L6_at_best,eig_L42_at_best,eig_L1000_at_best
0.61,60.0,-0.9715267588720337,-0.9715267588720337,0.003399894322245927,1.0613017056427481e-05
0.610026256564141,60.0,-0.9723272437204279,-0.9723272437204279,0.003398880602968267,1.0624994753251729e-05
0.610052513128282,60.0,-0.9736368311355452,-0.9736368311355452,0.003396099486448647,1.0636934606391528e-05
0.6100787696924231,60.0,-0.9753268756169218,-0.9753268756169218,0.0033919638944496368,1.0648760593116086e-05
0.6101050262565642,60.0,-0.9773920096030909,-0.9773920096030909,0.003386497129798838,1.0660503349941168e-05
0.6101312828207052,60.0,-0.9794742761267521,-0.9794742761267521,0.0033809304695382875,1.067224197994615e-05
0.6101575393848462,60.0,-0.9812270882264926,-0.9812270882264926,0.0033764620963176984,1.0684061805914942e-05
0.6101837959489872,60.0,-0.9826886683532926,-0.9826886683532926,0.0033729621959667556,1.0695950982331621e-05
0.6102100525131283,60.0,-0.9839148302051458,-0.9839148302051458,0.003370240275101094,1.0707894745643845e-05
0.6102363090772693,60.0,-0.9848619010505273,-0.9848619010505273,0.0033684493740469062,1.0719901412077637e-05
0.6102625656414103,60.0,-0.9855565172132991,-0.9855565172132991,0.0033674995363663284,1.0731962611676985e-05
0.6102888222055514,60.0,-0.9859895067838816,-0.9859895067838816,0.0033674247099932967,1.0744078634432813e-05
0.6103150787696924,60.0,-0.9861011324224198,-0.9861011324224198,0.0033684345905415467,1.0756261247532679e-05
0.6103413353338334,60.0,-0.9861103211713187,-0.9861103211713187,0.0033697711666084273,1.0768455138778328e-05
0.6103675918979745,60.0,-0.9863999062523775,-0.9863999062523775,0.003370104346326172,1.0780567994754175e-05
0.6103938484621155,60.0,-0.9869571161432239,-0.9869571161432239,0.003369476456408779,1.0792604744725287e-05
0.6104201050262565,60.0,-0.9874960269530176,-0.9874960269530176,0.0033688815194077605,1.0804635728224012e-05
0.6104463615903976,60.0,-0.9879777715353111,-0.9879777715353111,0.0033684550881225486,1.0816669525785547e-05
0.6104726181545386,60.0,-0.9884558559057633,-0.9884558559057633,0.003368011692938511,1.0828693626974068e-05
0.6104988747186797,60.0,-0.988917462771876,-0.988917462771876,0.0033675963944292094,1.084071147308008e-05
0.6105251312828207,60.0,-0.9893515328218516,-0.9893515328218516,0.0033672476678855484,1.0852724128554405e-05
0.6105513878469617,60.0,-0.9897290945261986,-0.9897290945261986,0.00336706759209025,1.0864738820509517e-05
0.6105776444111027,60.0,-0.9902698548068485,-0.9902698548068485,0.0033662877210323284,1.0876701765859505e-05
0.6106039009752438,60.0,-0.9910833606377232,-0.9910833606377232,0.0033645239220174974,1.0888588360468117e-05
0.6106301575393849,60.0,-0.9918933476922049,-0.9918933476922049,0.0033627425918098244,1.0900467062295736e-05
0.6106564141035259,60.0,-0.9924638471916066,-0.9924638471916066,0.0033617711619137597,1.0912394016025632e-05
0.6106826706676669,60.0,-0.9928011037648065,-0.9928011037648065,0.0033615898960241194,1.0924366556468265e-05
0.6107089272318079,60.0,-0.9929428908361656,-0.9929428908361656,0.003362068189891015,1.0936373886386713e-05
0.6107351837959489,60.0,-0.9928521860711872,-0.9928521860711872,0.003363337741239371,1.0948423201899154e-05
0.6107614403600901,60.0,-0.9925655416424427,-0.9925655416424427,0.003365272138673507,1.0960504508686513e-05
0.6107876969242311,60.0,-0.9920739977782972,-0.9920739977782972,0.003367904428081733,1.0972617942476708e-05
0.6108139534883721,60.0,-0.9912118265671871,-0.9912118265671871,0.0033718205331834594,1.0984802018278487e-05
0.6108402100525131,60.0,-0.9901913663138073,-0.9901913663138073,0.0033762743159540215,1.0997001752526767e-05
0.6108664666166541,60.0,-0.9894653068198169,-0.9894653068198169,0.0033796700512632597,1.1009106714546988e-05
0.6108927231807952,60.0,-0.9891699815530364,-0.9891699815530364,0.0033815240999954927,1.1021086218231878e-05
0.6109189797449363,60.0,-0.989279798104913,-0.989279798104913,0.0033819233978832825,1.1032948421203806e-05
0.6109452363090773,60.0,-0.9897877167894007,-0.9897877167894007,0.003380890336555821,1.1044697883180994e-05
