u,x,phi,svt_weight,horndeski_weight,K_even_corrected,alpha4,alpha7,Codd,even_angular_cond55,even_angular_cond56,even_cOmega_minus2,Ephi_residual,pure_svt_full_pass,carrier_status
0.5515230871346237,1.813160724051259,0.5099330950260902,0.0,1.0,,,,,,,,,False,Horndeski-dominant onset / common hybrid required
0.5515474058762633,1.813080778453239,0.5099688274737115,0.0,1.0,,,,,,,,,False,Horndeski-dominant onset / common hybrid required
0.5515717246179028,1.8130008399048056,0.510004562454087,0.0,1.0,,,,,,,,,False,Horndeski-dominant onset / common hybrid required
0.5515960433595424,1.8129209084050266,0.5100402999682038,0.0,1.0,,,,,,,,,False,Horndeski-dominant onset / common hybrid required
0.5516203621011819,1.8128409839529696,0.5100760400170496,4.298588431902676e-264,1.0,,,,,,,,,False,Horndeski-dominant onset / common hybrid required
0.5516446808428215,1.8127610665477025,0.5101117826016134,2.519570122755465e-211,1.0,,,,,,,,,False,Horndeski-dominant onset / common hybrid required
0.551668999584461,1.8126811561882934,0.5101475277228835,3.802372487124372e-176,1.0,,,,,,,,,False,Horndeski-dominant onset / common hybrid required
0.5516933183261006,1.8126012528738107,0.510183275381849,5.102348887032141e-151,1.0,,,,,,,,,False,Horndeski-dominant onset / common hybrid required
0.5517176370677401,1.8125213566033227,0.5102190255794993,3.5776904087943186e-132,1.0,,,,,,,,,False,Horndeski-dominant onset / common hybrid required
0.5517419558093797,1.812441467375898,0.5102547783168239,1.6274718721385784e-117,1.0,,,,,,,,,False,Horndeski-dominant onset / common hybrid required
0.5517662745510192,1.8123615851906054,0.5102905335948129,8.667202933203859e-106,1.0,,,,,,,,,False,Horndeski-dominant onset / common hybrid required
0.5517905932926588,1.8122817100465136,0.5103262914144572,3.4057406007162453e-96,1.0,,,,,,,,,False,Horndeski-dominant onset / common hybrid required
0.5518149120342983,1.812201841942692,0.5103620517767471,3.369143853460624e-88,1.0,,,,,,,,,False,Horndeski-dominant onset / common hybrid required
0.5518392307759379,1.8121219808782096,0.5103978146826743,1.9624953967408527e-81,1.0,,,,,,,,,False,Horndeski-dominant onset / common hybrid required
0.5518635495175774,1.8120421268521358,0.5104335801332299,1.234964164858921e-75,1.0,,,,,,,,,False,Horndeski-dominant onset / common hybrid required
0.551887868259217,1.8119622798635404,0.5104693481294061,1.3102235199773779e-70,1.0,,,,,,,,,False,Horndeski-dominant onset / common hybrid required
0.5519121870008565,1.8118824399114928,0.5105051186721953,3.2722636287513333e-66,1.0,,,,,,,,,False,Horndeski-dominant onset / common hybrid required
0.5519365057424961,1.811802606995063,0.5105408917625899,2.4832463027638623e-62,1.0,,,,,,,,,False,Horndeski-dominant onset / common hybrid required
0.5519608244841356,1.8117227811133212,0.5105766674015834,6.9836401436157945e-59,1.0,,,,,,,,,False,Horndeski-dominant onset / common hybrid required
0.5519851432257752,1.8116429622653376,0.5106124455901687,8.513426503927616e-56,1.0,,,,,,,,,False,Horndeski-dominant onset / common hybrid required
0.5520094619674147,1.8115631504501823,0.5106482263293399,5.099685163182172e-53,1.0,,,,,,,,,False,Horndeski-dominant onset / common hybrid required
0.5520337807090543,1.8114833456669264,0.510684009620091,1.6614304457126888e-50,1.0,,,,,,,,,False,Horndeski-dominant onset / common hybrid required
0.5520580994506938,1.81140354791464,0.5107197954634166,3.1988142207903576e-48,1.0,,,,,,,,,False,Horndeski-dominant onset / common hybrid required
0.5520824181923334,1.8113237571923944,0.5107555838603116,3.8981578235962204e-46,1.0,,,,,,,,,False,Horndeski-dominant onset / common hybrid required
0.5521067369339729,1.8112439734992605,0.5107913748117713,3.18363259741887e-44,1.0,,,,,,,,,False,Horndeski-dominant onset / common hybrid required
0.5521310556756125,1.8111641968343093,0.5108271683187907,1.828253597881788e-42,1.0,,,,,,,,,False,Horndeski-dominant onset / common hybrid required
0.552155374417252,1.8110844271966124,0.5108629643823664,7.688612969902574e-41,1.0,,,,,,,,,False,Horndeski-dominant onset / common hybrid required
0.5521796931588916,1.8110046645852413,0.5108987630034946,2.4512702743762705e-39,1.0,,,,,,,,,False,Horndeski-dominant onset / common hybrid required
0.5522040119005311,1.8109249089992678,0.5109345641831717,6.103120537427515e-38,1.0,,,,,,,,,False,Horndeski-dominant onset / common hybrid required
0.5522283306421708,1.8108451604377633,0.5109703679223955,1.2174154043331804e-36,1.0,,,,,,,,,False,Horndeski-dominant onset / common hybrid required
0.5522526493838104,1.8107654188998006,0.5110061742221625,1.9892031660981945e-35,1.0,,,,,,,,,False,Horndeski-dominant onset / common hybrid required
0.5522769681254499,1.8106856843844512,0.511041983083471,2.71430193206984e-34,1.0,,,,,,,,,False,Horndeski-dominant onset / common hybrid required
0.5523012868670895,1.8106059568907877,0.5110777945073192,3.145667756715695e-33,1.0,,,,,,,,,False,Horndeski-dominant onset / common hybrid required
