slot,outer_raw_u061,central_nearest_u061,scaled_rel
a1,0.0,0.0,0.0
a2,-5.209803589170002,-5.209728137726429,1.4482798637155658e-05
a3,-0.3335037440415308,-0.3335037440195683,2.196254289543731e-11
a4,0.2034372838653338,0.2034372838519366,1.3397200016029842e-11
a5,132.4546148583042,-300.7539436427168,1.4404085720506952
a6,0.6697311723940094,0.6697317778859277,6.054919183817731e-07
a7,-25.367159084313997,-25.367194874867224,1.4108991318684805e-06
a8,-0.2382221381302343,-0.2382221381393142,9.079903495745612e-12
a9,1.4274577115150224,1.427456122797853,1.1129709305966782e-06
b1,0.2623601672395019,0.2623601672295019,1.000000082740371e-11
b2,0.0,0.0,0.0
b3,26.87462926128838,26.87462434720538,1.8285215586966112e-07
b4,1.7203945392754223,1.7203945392098483,3.8115670090404076e-11
b5,-0.5247203344790038,-0.5247203344590038,2.000000165480742e-11
c1,0.0,0.0,0.0
c2,-33.04525089579997,54.77125224555108,1.6033320316952246
c3,0.0,,
c4,4.563944636609532,-10.890426242509909,1.4190786049121327
c5,-2.1607403433269954,-6.764873393938302,0.6805941194312465
c6,8.472906259065498,27.564521217472286,0.692615511359044
d1,0.2623601672395019,0.2623601672295019,1.000000082740371e-11
d2,3.850164035662217,-9.347582000022848,1.4118887682026011
d3,66.45056165499922,20.12567705206364,2.3017801827534314
d4,0.6660535636798642,0.6660537312922906,1.676124263827461e-07
e1,53.221670406146195,53.22152310793216,2.7676437169931006e-06
e2,-38.31598854552666,56.53787820876752,1.6777047487357755
e3,0.0,,
e4,376.03488571703224,206.9016114738674,0.8174575008785135
v1,20.098510431529753,20.09857175106137,3.050939757172559e-06
v2,29.038503000823972,29.03859153213069,3.0487465833670543e-06
v3,-34.311511015236086,-34.311567971654235,1.6599771306286592e-06
v4,-0.000103126024011857,0.0,0.000103126024011857
v5,0.0,-602.7614840014925,1.0
v6,3.216512943304698,3.21651562810936,8.34693492000623e-07
v7,10.488770541000262,10.488802495697264,3.0465534092517162e-06
v8,-3.805972858859126,-3.805973809835581,2.4986416156068297e-07
v9,1.7287839855452574,1.8516851882676897,0.06637262289569336
v10,-0.43489103880835334,-0.4348896688444846,1.3699638687358906e-06
v11,-1.608256471652349,-1.60825781405468,8.34693492000623e-07
v12,-3.766490468801369,-3.766493613060675,8.347974613180273e-07
v13,94.870096161588,50.85630111472125,0.8654541144779831
