u,x,phi_Xi,f,h,chi,w_Horndeski_formal,w_SVT_formal,w_core_formal,sector,A0prime,f3,f4,N4,tilde_f3,f3X_integrated,f2,f2X,Ephi_residual,alpha4,alpha6,alpha7,Codd,K_even_corrected,odd_tensor_cr2,odd_vector_cr2,odd_tensor_cOmega2,odd_vector_angular_margin_lb,v1,v4,c2,even_scalar_cr2,even_vector_cOmega2,even_angular_cond55,even_angular_cond56,even_angular_discriminant,even_cOmega_minus2,even_cOmega_plus2,HXX,HXF,HXY,HFF,HFY,HYY,H_norm,control_sigma_min,v13,e4,M22_0,K_ZK_exact,D_h1_pivot_l2,K_ext_certified_reference,core_F_certified_lower_bound,core_GH_certified_lower_bound,core_EF_scalar_kinetic_limit,explicit_unreduced_rep_available,full_center_to_infinity_unreduced_coefficients_available
0.000119989599594,8334.055646347912,6.000019940066466e-05,0.9998800104004064,0.9998800104004044,0.5000900057117097,1.0,0.0,0.0,exterior_Horndeski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097423,,,,False,False
0.0002466218602807,4054.7905966711737,0.0001233337432124,0.9997533781397084,0.999753378139673,0.5001850235407952,1.0,0.0,0.0,exterior_Horndeski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097423,,,,False,False
0.0003732300659659,2679.312550589507,0.0001866672870242,0.9996267699339682,0.9996267699337816,0.500280053575861,1.0,0.0,0.0,exterior_Horndeski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097423,,,,False,False
0.0004998142226876,2000.7433854579049,0.0002500008308361,0.9995001857770928,0.9995001857764932,0.5003750959053284,1.0,0.0,0.0,exterior_Horndeski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097423,,,,False,False
0.0006197138771516,1613.6479057017643,0.0003100010302367,0.9993802861223235,0.9993802861209063,0.5004651474277588,1.0,0.0,0.0,exterior_Horndeski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097423,,,,False,False
0.0007462512189178,1340.0313120427122,0.0003733345740485,0.9992537487799728,0.999253748776994,0.5005602139521947,1.0,0.0,0.0,exterior_Horndeski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097423,,,,False,False
0.0008727645293769,1145.7844198982912,0.0004366681178603,0.9991272354685424,0.9991272354629712,0.5006552930308515,1.0,0.0,0.0,exterior_Horndeski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097423,,,,False,False
0.0009992538144723,1000.7467427362722,0.0005000016616722,0.9990007461819478,0.9990007461723772,0.5007503847516159,1.0,0.0,0.0,exterior_Horndeski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097423,,,,False,False
0.0011190636122376,893.6042500751045,0.0005600018610728,0.9988809363821276,0.9988809363670778,0.500840483386053,1.0,0.0,0.0,exterior_Horndeski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097423,,,,False,False
0.0012455061280654,802.8864551258481,0.0006233354048846,0.9987544938632856,0.9987544938401984,0.5009355999773607,1.0,0.0,0.0,exterior_Horndeski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097423,,,,False,False
0.0013719246359092,728.903012472884,0.0006866689486964,0.9986280753513564,0.9986280753173796,0.501030729469019,1.0,0.0,0.0,exterior_Horndeski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097423,,,,False,False
0.0014983191416191,667.4145528965106,0.0007500024925083,0.9985016808402636,0.9985016807919408,0.5011258719483795,1.0,0.0,0.0,exterior_Horndeski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097423,,,,False,False
0.0016180391697313,618.032009797401,0.0008100026919089,0.99838196080563,0.9983819607399288,0.5012160189882141,1.0,0.0,0.0,exterior_Horndeski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097423,,,,False,False
0.0017443869511438,573.2673013543764,0.0008733362357207,0.9982556130155752,0.9982556129268472,0.5013111870095871,1.0,0.0,0.0,exterior_Horndeski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097423,,,,False,False
0.0018707107475284,534.5561847662226,0.0009366697795325,0.998129289208457,0.9981292890911324,0.5014063682753335,1.0,0.0,0.0,exterior_Horndeski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097423,,,,False,False
0.0019970105646432,500.74847760188817,0.0010000033233444,0.9980029893782056,0.9980029892258856,0.5015015628722718,1.0,0.0,0.0,exterior_Horndeski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097423,,,,False,False
0.0021166409087778,472.44669412413134,0.001060003522745,0.9978833590191076,0.9978833588269296,0.5015917596030187,1.0,0.0,0.0,exterior_Horndeski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097423,,,,False,False
0.0022428940458558,445.85253674718166,0.0011233370665568,0.9977571058632386,0.9977571056210114,0.5016869804093427,1.0,0.0,0.0,exterior_Horndeski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097423,,,,False,False
0.0023691232204996,422.0970827296573,0.0011866706103687,0.9976308766663587,0.9976308763649114,0.5017822148019613,1.0,0.0,0.0,exterior_Horndeski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097423,,,,False,False
0.0024953284383757,400.7488491779093,0.0012500041541805,0.9975046714224064,0.9975046710515167,0.5018774628671618,1.0,0.0,0.0,exterior_Horndeski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097423,,,,False,False
0.0026148691828534,382.4283090555023,0.0013100043535811,0.9973851306493052,0.9973851302021964,0.5019677105664813,1.0,0.0,0.0,exterior_Horndeski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097423,,,,False,False
0.0027410277642521,364.82665846795214,0.0013733378973929,0.9972589720331378,0.9972589714934532,0.5020629855043552,1.0,0.0,0.0,exterior_Horndeski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097423,,,,False,False
0.0028671624054514,348.7768945695779,0.0014366714412048,0.9971328373520424,0.997132836706138,0.5021582743683493,1.0,0.0,0.0,exterior_Horndeski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097423,,,,False,False
0.0029932731120277,334.08244506047384,0.0015000049850166,0.9970067265999646,0.997006725832926,0.5022535772442203,1.0,0.0,0.0,exterior_Horndeski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097423,,,,False,False
0.0031127243398301,321.26198494485925,0.0015600051844172,0.9968872753234332,0.996887274426678,0.5023438771819367,1.0,0.0,0.0,exterior_Horndeski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097423,,,,False,False
0.0032387884527949,308.7574303091792,0.001623338728229,0.9967612111526012,0.9967612101018152,0.5024392075896938,1.0,0.0,0.0,exterior_Horndeski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097423,,,,False,False
0.0033648286474406,297.1919538192892,0.0016866722720409,0.9966351708929536,0.996635169669159,0.5025345522613057,1.0,0.0,0.0,exterior_Horndeski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097423,,,,False,False
0.0034908449292545,286.4635984313274,0.0017500058158527,0.996509154538444,0.9965091531211768,0.5026299112820003,1.0,0.0,0.0,exterior_Horndeski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097423,,,,False,False
0.0036102067220392,276.9924486305172,0.0018100060152533,0.9963897926691672,0.9963897910483384,0.5027202647201225,1.0,0.0,0.0,exterior_Horndeski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097423,,,,False,False
0.0037361764524221,267.6533115430644,0.0018733395590651,0.9962638228494222,0.9962638209908004,0.5028156519278515,1.0,0.0,0.0,exterior_Horndeski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097423,,,,False,False
0.0038621222860158,258.9249966581474,0.001936673102877,0.996137876917004,0.9961378747954296,0.5029110537350845,1.0,0.0,0.0,exterior_Horndeski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097423,,,,False,False
0.0039880442282193,250.74947587692475,0.0020000066466888,0.9960119548658734,0.996011952454488,0.503006470226522,1.0,0.0,0.0,exterior_Horndeski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097423,,,,False,False
0.0041073166663354,243.4679576075174,0.0020600068460894,0.9958926823146462,0.9958926796023396,0.5030968784192626,1.0,0.0,0.0,exterior_Horndeski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097423,,,,False,False
