u,x,phi,f,h,phi_r,a1,a2,a3,a4,a5,a6,a7,a8,a9,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,c6,d1,d2,d3,d4,e1,e2,e3,e4,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,F_tensor,G_tensor,H_tensor,K_scalar,mu,crS2,photon_factor
100.0,0.01,0.9999999220943218,0.2500000194765925,0.99999945828554,-1.3631641258066548e-05,0.0003314054112187,0.0132704882391142,-0.002499996537737689,0.2499998796537527,14.89926787042549,-1.83014343578712,-0.2499989782809171,-0.1250000075411879,24.99996364330984,0.49999972035434215,-0.002651243083200875,0.42535887497509567,0.01999997074377639,-0.9999994407086843,-0.001325622259709184,-0.2891928568524446,0.0,1.0136195263011911,-24.999975874901615,0.125171566857767,0.49999972035434215,2.0272379544176737,-1571.6239636540413,2.499998796537528e-05,24357.27713365411,-19727.66667843662,0.0,-69589956.11842346,9.999996901858447e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000002319041468,-0.2499999420230476,0.0,-0.0,0.0,1.0000002494809537,0.9999997505190462,0.9999997505190462,7.331670016895128e-06,0.019999976939978,1.0,-0.5000000048738155
99.76896123941752,0.0100231573785787,0.9999999217782848,0.2500000195556025,0.9999994560880062,-1.366307877277217e-05,0.0003329422246179,0.0134042505571329,-0.002505785858631397,0.249999879129369,-10.250974036871586,-1.8301710899384995,-0.2499989716434861,-0.1250000075536878,24.94220387225055,0.4999997191475549,-0.0026635375885948704,0.4240376841017905,0.020046285300982424,-0.9999994382951098,-0.0013317695186628492,-0.2905207180665504,0.0,1.0165693585786482,-24.942216072474373,0.12516960394306403,0.4999997191475549,2.033137611308763,-1569.7858062386513,2.51159088158303e-05,24218.71827139932,-19771.697289449054,0.0,-52712846.62340546,0.0001004636525843249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000002328448945,-0.2499999417878565,0.0,-0.0,0.0,1.0000002506377417,0.999999749362258,0.999999749362258,7.381965196329927e-06,0.0200462915368114,1.0,-0.5000000048740251
99.53845626792358,0.0100463683835757,0.9999999214607848,0.2500000196349784,0.9999994538802958,-1.3694645304451286e-05,0.0003344863750483,0.0134183195829763,-0.0025115885859543293,0.249999878602554,-4.722716323074277,-1.8301780667098029,-0.2499989666507157,-0.1250000075662442,24.884577548457187,0.4999997179351733,-0.0026758907902221683,0.4256993999693873,0.02009270710955515,-0.9999994358703466,-0.0013379461257898265,-0.2917839933907087,0.0,1.0160626730644695,-24.884589780764472,0.12516929104904168,0.4999997179351733,2.032124236345246,-1566.731179177761,2.523236717204169e-05,24263.486997755826,-19815.666370875486,0.0,-47339492.32801819,0.00010092948617482143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000002337899987,-0.24999994155157618,0.0,-0.0,0.0,1.0000002517998985,0.9999997482001014,0.9999997482001014,7.432606804240352e-06,0.0200927133851614,1.0,-0.5000000048742318
99.3084838522588,0.0100696331391757,0.999999921141814,0.2500000197147219,0.999999451662362,-1.3726286117240918e-05,0.0003360378666735,0.0134303814937973,-0.002517404750760824,0.249999878073299,-4.09775655186024,-1.8301880308737104,-0.2499989623139292,-0.1250000075788584,24.827084363383385,0.49999971671717647,-0.002688302721391438,0.42639971020093564,0.02013923641792881,-0.9999994334343529,-0.0013441520977449052,-0.2930502788964432,0.0,1.015426729187292,-24.827096632434035,0.125169252298293,0.49999971671717647,2.0308523447811955,-1562.6686156988144,2.5349365526332293e-05,24237.2170678065,-19859.730169548606,0.0,-50433254.33236694,0.00010139747975901792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000002347394794,-0.24999994131420183,0.0,-0.0,0.0,1.000000252967439,0.999999747032561,0.999999747032561,7.483596142209509e-06,0.0201392427336379,1.0000000000000002,-0.5000000048744127
99.0790427620128,0.010092951769851,0.9999999208213664,0.2500000197948347,0.9999994494341574,-1.3757976098487643e-05,0.0003375950208463,0.013427606338719,-0.002523234384183812,0.2499998775415902,-5.740552173720782,-1.8302006814591656,-0.2499989579235527,-0.1250000075915296,24.76972400947323,0.4999997154935335,-0.0027007599529260125,0.42732724483533197,0.02018587347516638,-0.999999430987067,-0.0013503807199365051,-0.2943258100616747,0.0,1.0149431804681976,-24.769736313635352,0.12516924720572098,0.4999997154935335,2.0298852433503005,-1558.8700114488602,2.5466906382581063e-05,24223.110176407645,-19903.964937836445,0.0,-42246672.60119629,0.00010186764335271436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000000235693357,-0.24999994107572818,0.0,-0.0,0.0,1.0000002541403976,0.9999997458596024,0.9999997458596024,7.534936690139823e-06,0.0201858798311983,1.0,-0.5000000048746475
98.85013176961748,0.0101163244003622,0.999999920499435,0.2500000198753184,0.9999994471956348,-1.3789748469537718e-05,0.000339160018763,0.0135373485879606,-0.0025290775173920214,0.2499998770074185,-6.035452417499035,-1.830212332562592,-0.2499989523962957,-0.1250000076042591,24.712496179831064,0.4999997142642229,-0.0027132799343947897,0.4284846046293994,0.02023261853061723,-0.9999994285284458,-0.0013566407171543054,-0.2955556830081144,0.0,1.0119304466945849,-24.71250855401889,0.12516923757798787,0.4999997142642229,2.0238597745900333,-1555.560190320015,2.5584992256277738e-05,24258.176057762077,-19948.272389212743,0.0,-48377914.7917099,0.00010233998701781078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000002366516518,-0.2499999408361502,0.0,-0.0,0.0,1.00000025531879,0.9999997446812096,0.9999997446812096,7.586629776961501e-06,0.0202326249273006,1.0,-0.5000000048748758
98.62174965034195,0.0101397511557587,0.9999999201760128,0.2500000199561748,0.9999994449467468,-1.3821602921045375e-05,0.0003407346257585,0.0136120015783365,-0.0025349341816346778,0.2499998764707705,-4.832193344577316,-1.8302224899894344,-0.2499989471381521,-0.1250000076170461,24.655400568278427,0.49999971302921425,-0.002725876788475705,0.4293784850879085,0.02027947183427468,-0.9999994260584285,-0.001362939150741662,-0.2968962560809898,0.0,1.0141126110260008,-24.65541294099048,0.12516923281381473,0.49999971302921425,2.028224096278994,-1552.1014806628227,2.5703625674574902e-05,24263.669790105432,-19992.656979102358,0.0,-55445585.631111145,0.00010281452086290718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000002376143835,-0.24999994059546293,0.0,-0.0,0.0,1.0000002565026511,0.9999997434973484,0.9999997434973484,7.638678918937117e-06,0.0202794782718289,1.0,-0.500000004875064
98.39389518228478,0.0101632321613795,0.9999999198510928,0.2500000200374057,0.9999994426874452,-1.3853528696958294e-05,0.0003423149769942,0.0135183216920784,-0.0025408044082741174,0.2499998759316368,-4.462063160085816,-1.83023309751744,-0.2499989435150066,-0.125000007629892,24.598436869331785,0.49999971178848535,-0.0027385195964622876,0.43040105545174395,0.020326433637036952,-0.9999994235769707,-0.0013692605613372453,-0.2981812605012257,0.0,1.013263713738334,-24.59844928241113,0.12516922061637045,0.49999971178848535,2.0265262980674903,-1548.1082810163498,2.5822809176343624e-05,24229.638751575803,-20037.14771548792,0.0,-39942484.15119171,0.00010329125504350354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000002385815736,-0.2499999403536611,0.0,-0.0,0.0,1.0000002576919969,0.9999997423080026,0.9999997423080026,7.691085476592826e-06,0.0203264401157671,1.0,-0.5000000048752834
98.16656714636608,0.010186767542854,0.9999999195246684,0.2500000201190127,0.9999994404176824,-1.3885505087921522e-05,0.0003439009546541,0.013598496342099,-0.0025466882287212065,0.2499998753900037,-6.128097067504812,-1.8302467536434757,-0.2499989382915002,-0.1250000076427958,24.541604778222094,0.49999971054200537,-0.0027512074158264925,0.4313029276989822,0.020373504190190496,-0.9999994210840107,-0.0013756044776771878,-0.2994602491121159,0.0,1.0118131382699431,-24.541617240227392,0.12516921431235686,0.49999971054200537,2.0236251441544044,-1544.4961584210396,2.5942545312227587e-05,24236.990433831015,-20081.808045258753,0.0,-59871995.0598526,0.00010377019976219984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000000239553242,-0.24999994011073975,0.0,-0.0,0.0,1.0000002588868624,0.9999997411131374,0.9999997411131374,7.74385300036183e-06,0.020373510710386,1.0,-0.5000000048755198
97.93976432632483,0.0102103574261023,0.9999999191967328,0.2500000202009975,0.9999994381374098,-1.3917576268435103e-05,0.000345496830135,0.0137014004427806,-0.0025525856744178497,0.2499998748458619,-5.299271434259937,-1.8302574936636,-0.2499989326428617,-0.125000007655759,24.48490399089023,0.4999997092897523,-0.002763974417739839,0.4323701781365054,0.020420683745270073,-0.9999994185795046,-0.0013819879853572685,-0.3008813286809733,0.0,1.017061700717767,-24.484916408740744,0.12516920919100818,0.4999997092897523,2.034122258537691,-1541.348692059517,2.6062836644696643e-05,24262.51790337328,-20126.508061887722,0.0,-50132439.58581543,0.00010425136526889613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000002405294095,-0.2499999398666935,0.0,-0.0,0.0,1.000000260087263,0.9999997399127368,0.9999997399127368,7.796982884674528e-06,0.0204206903071803,1.0,-0.5000000048757788
