u,x,phi,f,h,phiprime,A0prime,X,Fbg,Ybg,a1,a2,a3,a4,a5,a6,a7,a8,a9,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,c6,d1,d2,d3,d4,e1,e2,e3,e4,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13
0.61,1.639344262295082,0.6060115820460082,0.3877061178917036,0.4269907184968781,-0.6977153826293326,1.4448087103799905,-0.10393098307693786,1.1494934145764826,-0.4778719224695997,0.0,-5.209728137726429,-0.33350374401956834,0.20343728385193668,-300.75394364271676,0.6697317778859277,-25.367194874867224,-0.23822213813931425,1.427456122797853,0.2623601672295019,0.0,26.87462434720538,1.7203945392098485,-0.5247203344590038,0.0,54.77125224555108,,-10.890426242509909,-6.764873393938302,27.564521217472286,0.2623601672295019,-9.347582000022848,20.12567705206364,0.6660537312922906,53.221523107932164,56.53787820876752,,206.9016114738674,20.098571751061375,29.03859153213069,-34.311567971654235,0.0,-602.7614840014925,3.21651562810936,10.488802495697264,-3.805973809835581,1.8516851882676897,-0.43488966884448466,-1.60825781405468,-3.766493613060675,50.85630111472125
0.610026256564141,1.6392737021391723,0.6060608186038416,0.38768234665979645,0.42694878626180954,-0.697875587772359,1.4455963565018524,-0.10396850541577986,1.150704607148921,-0.47854815272130174,0.0,-5.219232408618575,-0.3334627908509744,0.20342105800625102,-301.1541725071588,0.6721451780863923,-25.452878992228985,-0.2382265327269382,1.4298630906075487,0.2623553274464151,0.0,26.925303427337212,1.7202887555960786,-0.5247106548928302,0.0,54.700928107585895,,-10.881503188487331,-6.769077823519181,27.600468488146536,0.2623553274464151,-9.339224581055301,20.221950665879703,0.6670797793391294,53.32817221518434,56.44470668364938,,207.2380520539498,20.15136070639163,29.13073361571433,-34.41132939573859,0.0,-603.0324886943642,3.2213020761166007,10.527820594275667,-3.8108337906856944,1.85090411371568,-0.43519105913326,-1.6106510380583003,-3.7724689468273414,50.95472317810663
0.610052513128282,1.6392031480570586,0.6061100622284209,0.3876585742027041,0.4269068440946761,-0.6980358463922831,1.4463825070074,-0.10400604285243205,1.151913979793471,-0.47922405897886117,0.0,-5.228739324689489,-0.3334218366886799,0.20340482940377683,-301.5168774105722,0.6745626858452862,-25.5387721967777,-0.23823093049155622,1.4322718230973193,0.2623504843432378,0.0,26.97600245496139,1.7201829593189177,-0.5247009686864756,0.0,54.63056141060819,,-10.872570961201477,-6.773282973353288,27.63650829332207,0.2623504843432378,-9.33086102589344,20.3383874900827,0.6681061637457082,53.434871277446575,56.35152527793679,,207.66593299662185,20.204259547322746,29.22308757628487,-34.511306986366066,0.0,-603.2963328999854,3.2260915410937936,10.566940667770927,-3.8156958275313606,1.8501214092650689,-0.43549279392519197,-1.6130457705468968,-3.7784490758577953,51.07909619550465
0.6100787696924231,1.6391326000479565,0.6061593129221199,0.3876348005199541,0.42686489199913713,-0.6981961584888928,1.4471671571604123,-0.10404359538743888,1.1531215211794066,-0.47989963592855284,0.0,-5.238251193085916,-0.3333808815338261,0.20338859804513212,-301.84055548670733,0.6769849805065706,-25.624892523006366,-0.23823533143309342,1.4346828126307234,0.2623456379204302,0.0,27.026733337974743,1.720077150383018,-0.5246912758408604,0.0,54.560135202435816,,-10.863627030689925,-6.777489393681158,27.67264713425543,0.2623456379204302,-9.322489244440842,20.476102292350525,0.6691330658978648,53.54164846664117,56.25831464511168,,208.19242134923385,20.25728403232408,29.31567614484945,-34.611525738410485,0.0,-603.5534456746174,3.230885404515834,10.606170926694274,-3.820561089744284,1.849336835087266,-0.43579499925025306,-1.615442702257917,-3.784435620114625,51.23220610346985
0.6101050262565642,1.6390620581110824,0.6062085706873115,0.3876110256110742,0.42682292997886295,-0.6983565240745954,1.4479503022250106,-0.10408116302510612,1.154327219969594,-0.48057487826389134,0.0,-5.247770365049219,-0.3333399253875585,0.20337236393093752,-302.12901369578424,0.6794127548754285,-25.711258487429657,-0.23823973555147201,1.437096561524453,0.26234078817845563,0.0,27.077508214716214,1.7199713287930523,-0.5246815763569113,0.0,54.48963237873962,,-10.854668848054839,-6.781697655286893,27.708891740865038,0.26234078817845563,-9.314107132902123,20.632943927109014,0.6701606708819288,53.648532485861644,56.16505526885906,,208.8020334231724,20.310450283863105,29.408522626845635,-34.712011261133846,0.0,-603.80426462232,3.2356850724738,10.645519806383051,-3.8254307677524655,1.8485496524441,-0.43609780312332314,-1.6178425362369,-3.7904302290343646,51.4083576623109
0.6101312828207052,1.638991522245652,0.6062578355263702,0.387587249475593,0.42678095803753063,-0.6985169431669441,1.4487319374658525,-0.10411874577127449,1.1555310648208736,-0.48124978067557855,0.0,-5.257298163269564,-0.3332989682510251,0.20335612706181547,-302.41203125483344,0.6818464028431257,-25.79788084252786,-0.23824414284661286,1.4395133534794484,0.2623359351177794,0.0,27.128333919047687,1.719865494553703,-0.5246718702355588,0.0,54.41904301140968,,-10.845694929175671,-6.785908062368874,27.745245993002523,0.2623359351177794,-9.305713461103275,20.79084139057443,0.6711890821738936,53.75553950415461,56.07173587320318,,209.42420509796588,20.36376764290343,29.50164055140792,-34.81277839294129,0.0,-604.0490186937783,3.2404913444923467,10.684992218615589,-3.8303055384787363,1.847759823973553,-0.436401278834963,-1.6202456722461733,-3.7964338420733634,51.58970573935056
0.6101575393848462,1.6389209924508816,0.6063071074416696,0.38756347211303854,0.4267389761788276,-0.6986774157698884,1.4495120581482142,-0.10415634362773114,1.156733044384292,-0.4819243378257676,0.0,-5.266833362471073,-0.3332580101253779,0.20333988743839074,-302.71948419834746,0.6842855785196558,-25.884750785240826,-0.23824855331843406,1.441932929353885,0.26233107873887,0.0,27.179204137870475,1.719759647669677,-0.52466215747774,0.0,54.34837587451396,,-10.836706573333917,-6.79012030795281,27.781706756791934,0.26233107873887,-9.2973093045501,20.931437667162076,0.6722182016031119,53.86265467910943,55.9783665525825,,209.9566325344002,20.417228492891237,29.595018894413137,-34.91381496102953,0.0,-604.2874221876455,3.245303520496458,10.724584187144018,-3.835184806225418,1.8469674567795589,-0.43670536453095565,-1.622651760248229,-3.8024456420128985,51.744070338393385
0.6101837959489872,1.6388504687259875,0.6063563864355839,0.38753969352293965,0.42669698440645054,-0.6988379419081574,1.4502906595381646,-0.10419395660245978,1.157933147305456,-0.48259854439557737,0.0,-5.276373835187962,-0.33321705101177207,0.2033236450612904,-303.0477894765203,0.6867296744463842,-25.971852471634552,-0.23825296696685147,1.4443548374325847,0.2623262190421986,0.0,27.230107900550514,1.7196537881456933,-0.5246524380843972,0.0,54.27764655647262,,-10.827706093244068,-6.794333879643123,27.81826840184209,0.2623262190421986,-9.288896585604324,21.05671576658956,0.6732478598378479,53.9698522005752,55.88496515597083,,210.42239316488084,20.4708191587206,29.6886378189874,-35.01509911217923,0.0,-604.5190094857226,3.250120370855141,10.764288530822233,-3.8400675243470994,1.8461729026786085,-0.437009950622635,-1.6250601854275706,-3.808464190784199,51.88091337013471
0.6102100525131283,1.638779951070186,0.6064056725104877,0.38751591370482513,0.42665498272410385,-0.6989985215814454,1.4510677369026708,-0.10423158469598083,1.1591313622247865,-0.48327239502200187,0.0,-5.285918063900219,-0.33317609091136585,0.20330739993114336,-303.39200768508476,0.6891782604851882,-26.05917464419556,-0.23825738379177908,1.446778755519424,0.26232135602823875,0.0,27.281037381739928,1.7195479159864877,-0.5246427120564775,0.0,54.20686621792432,,-10.818695137190383,-6.798548413594091,27.85492694117758,0.26232135602823875,-9.280476681773488,21.1695429293449,0.6742779359774954,54.07711369504555,55.79154446167966,,210.82710240448907,20.52452998033698,29.782483269558597,-35.11661536443965,0.0,-604.7434395870418,3.254941025729332,10.804100149325013,-3.8449529507797897,1.8453766700164569,-0.4373149600144263,-1.627470512864666,-3.8144884713957947,52.00025545861539
0.6102363090772693,1.638709439482694,0.6064549656687547,0.3874921326582246,0.4266129711355043,-0.6991591548024501,1.4518432855097347,-0.10426922791269357,1.1603276777778364,-0.48394588435049474,0.0,-5.295464349758648,-0.33313512982532234,0.20329115204858164,-303.7556244525386,0.6916308531652335,-26.146704547499393,-0.2382618037931278,1.4492043224188569,0.26231648969746735,0.0,27.331983818259083,1.7194420311968184,-0.5246329793949347,0.0,54.1360473122736,,-10.809675548165888,-6.802763500147571,27.891677829303823,0.26231648969746735,-9.272051129388801,21.26762211588405,0.6753082945588592,54.18441858202078,55.69811871258577,,211.1633943268277,20.578350042223757,29.876539335671527,-35.218346208324654,0.0,-604.9603353102369,3.2597645097714336,10.844013257190545,-3.8498402537715566,1.844578667076224,-0.43762030626870246,-1.6298822548857168,-3.8205173427978596,52.10071592675926
0.6102625656414103,1.638638933962728,0.6065042659127599,0.3874683503826678,0.4265709496443745,-0.6993198415956856,1.4526173006285916,-0.10430688626052283,1.1615220825956785,-0.48461900703357214,0.0,-5.305010984069979,-0.3330941677548067,0.20327490141423868,-304.1361284455683,0.6940869657519078,-26.23442924559309,-0.2382662269708073,1.4516311744734294,0.2623116200503632,0.0,27.382938393965308,1.719336133781453,-0.5246232401007264,0.0,54.06520239754815,,-10.800649186669968,-6.806978728866255,27.928516450321936,0.2623116200503632,-9.263621479174558,21.35232048774883,0.6763387992308904,54.29174616451657,55.60470225405259,,211.4353050330678,20.632268315087323,29.97078990570697,-35.32027392585307,0.0,-605.169320204652,3.2645898429920877,10.884021982633675,-3.8547285972180907,1.843779449408024,-0.43792590265644354,-1.6322949214960438,-3.8265496580507006,52.1829688120277
0.6102888222055514,1.638568434509505,0.6065535732448782,0.38744456687768414,0.42652891825444733,-0.6994805819615427,1.453389777529775,-0.10434455974019988,1.1627145653051132,-0.48529175768111965,0.0,-5.314556370151408,-0.33305320470098776,0.20325864802875024,-304.5340811622792,0.6965461434933626,-26.32233656688603,-0.23827065332472436,1.4540589714571341,0.26230674708740825,0.0,27.433892868753055,1.7192302237451806,-0.5246134941748165,0.0,53.99434317334189,,-10.79161778492401,-6.811193713345071,27.9654384418499,0.26230674708740825,-9.255189174476959,21.423140455401867,0.6773693223464268,54.39907711229316,55.51130844510659,,211.64403803752205,20.686274470549023,30.06521985067111,-35.42238189123434,0.0,-605.3700414520471,3.269416112099621,10.924120797537666,-3.8596172017197046,1.842979325122152,-0.43823166863748886,-1.6347080560498104,-3.832584347949462,52.248154320390825
0.6103150787696924,1.6384979411222422,0.6066028876674842,0.387420782142804,0.4264868769694666,-0.6996413759049922,1.454160711485302,-0.10438224835382257,1.1639051145290509,-0.4859641309002227,0.0,-5.324098653932977,-0.33301224066503876,0.20324239189275486,-304.95431266514606,0.6990078564507551,-26.410412233992048,-0.23827508285478333,1.4564873178601947,0.26230187080908757,0.0,27.48483767177211,1.7191243010928094,-0.5246037416181751,0.0,53.92348332933521,,-10.782583374732742,-6.815408010578327,28.002438692308605,0.26230187080908757,-9.24675590742457,21.47695541937067,0.6783997157803784,54.506388967791466,55.41795289452015,,211.76874479298408,20.740356406674778,30.159811428788935,-35.52465062022627,0.0,-605.5620957418314,3.274242253708811,10.964303211387564,-3.864505160015494,1.842178564265768,-0.438537510285641,-1.6371211268544055,-3.8386201669028415,52.28915164638605
0.6103413353338334,1.6384274538001562,0.6066522091829523,0.38739699617755863,0.42644482579318377,-0.6998022234477527,1.4549300977687694,-0.10441995210848673,1.1650937188867505,-0.48663612131221273,0.0,-5.333636178961712,-0.3329712756481358,0.20322613300689313,-305.3777601929488,0.7014716315732756,-26.498643399617006,-0.23827951556088672,1.4589158599643377,0.2622969912158882,0.0,27.535764250051677,1.7190183658291585,-0.5245939824317764,0.0,53.85263499327539,,-10.773547754357363,-6.81962121887011,28.03951256823453,0.2622969912158882,-9.238323174879907,21.525233939519413,0.6794298469002062,54.6136616790227,55.32464942127251,,211.8713199733163,20.79450329733483,30.25454871544436,-35.627062638077774,0.0,-605.7451218602613,3.279067321639688,11.004563380127864,-3.8693916640626775,1.8413772475054464,-0.4388433443667691,-1.639533660819844,-3.844656006249637,52.32502296046587
0.6103675918979745,1.6383569725424645,0.6067015377936582,0.3873732089814779,0.4264027647293591,-0.6999631246096245,1.45569793165557,-0.10445767101071843,1.1662803669942643,-0.48730772352698726,0.0,-5.343169510518094,-0.332930309651458,0.20320987137180738,-305.7715503800131,0.7039376408353117,-26.58703451328295,-0.23828395144293463,1.4613447182597836,0.2622921083083004,0.0,27.586675519284945,1.718912417959069,-0.5245842166166008,0.0,53.781793886140186,,-10.764510285269186,-6.823833463925653,28.07666164755758,0.2622921083083004,-9.229890446970911,21.58806948214903,0.6804597587294766,54.720902214074265,55.2313931367503,,212.034315403306,20.84871922328779,30.34943745100776,-35.72962427351998,0.0,-605.9192023039736,3.283891674817999,11.044903331085525,-3.8742770153957204,1.8405754341722904,-0.43914920510927175,-1.6419458374089995,-3.8506922872583957,52.37724200342987
0.6103938484621155,1.6382864973483848,0.6067508735019774,0.38734942055409327,0.42636069378176267,-0.7001240793986234,1.4564642084230144,-0.1044954050635287,1.1674650474647188,-0.4879789321293502,0.0,-5.352700503781627,-0.33288934267618836,0.20319360698814257,-306.13692735368284,0.7064064313463523,-26.675600181096005,-0.2382883905008249,1.4637742889684444,0.2622872220868169,0.0,27.637581056012568,1.7188064574873962,-0.5245744441736337,0.0,53.71094633231064,,-10.755468934627679,-6.828045184864212,28.113891197669957,0.2622872220868169,-9.221456036312745,21.664843668417863,0.6814895964656068,54.82813322704324,55.13816844477984,,212.26822600203656,20.90301697509067,30.444496072278262,-35.83235579108134,0.0,-606.0846766314885,3.2887164287342237,11.085329718187081,-3.879162159010742,1.8397728941848528,-0.43945519466007865,-1.6443582143671118,-3.856730318599196,52.45131098909852
0.6104201050262565,1.6382160282171343,0.6068002163102855,0.3873256308949361,0.42631861295417417,-0.7002850878089854,1.45722892335041,-0.1045331542658156,1.168647748908543,-0.4886497416762194,0.0,-5.362229824323323,-0.3328483747235137,0.203177339856546,-306.49854679108955,0.7088782049789288,-26.764345770062782,-0.23829283273445293,1.466204714454471,0.26228233255193334,0.0,27.688484296449015,1.7187004844190152,-0.5245646651038667,0.0,53.64008729134345,,-10.746422946242344,-6.832256530267122,28.15120313775744,0.26228233255193334,-9.213019317446435,21.740541012752878,0.6825194112992594,54.93536290503134,55.04496961063808,,212.48851752969628,20.95740137437286,30.53973144099977,-35.9352647346284,0.0,-606.241645332661,3.293541999769451,11.125844991794692,-3.884047445681285,1.8389693934048144,-0.43976135222156093,-1.6467709998847255,-3.8627705895208946,52.52032951344148
0.6104463615903976,1.6381455651479309,0.6068495662209569,0.38730184000353823,0.42627652225038315,-0.7004461498715259,1.4579920717192882,-0.10457091862739804,1.169828459933919,-0.4893201467670568,0.0,-5.371756913801416,-0.33280740579462426,0.20316106997766736,-306.859632282966,0.7113528079836446,-26.853267048380808,-0.23829727814371174,1.4686358756451037,0.2622774397041483,0.0,27.739382357451966,1.7185944987588175,-0.5245548794082966,0.0,53.56922089995853,,-10.737372932854715,-6.8364673659866435,28.188595962704042,0.2622774397041483,-9.204580803685417,21.813121642775318,0.683549157588929,55.04258455014256,54.95180134035339,,212.69721026219767,21.0118690005029,30.635138414737515,-36.03834546741758,0.0,-606.3899655487071,3.2983680862281184,11.166447231177575,-3.8889326151368215,1.8381647907031475,-0.4400676524155193,-1.6491840431140592,-3.8688127471992786,52.58729224950251
0.6104726181545386,1.6380751081399922,0.6068989232363685,0.3872780478794313,0.4262344216741871,-0.7006072655950176,1.4587536488134945,-0.10460869815151645,1.1710071691470234,-0.489990141962251,0.0,-5.381281652534628,-0.33276643589071325,0.20314479735215812,-307.21561122036377,0.7138302139913133,-26.94236321134241,-0.23830172672849223,1.4710677471142384,0.2622725435439628,0.0,27.790274620522492,1.718488500511711,-0.5245450870879256,0.0,53.49834799937324,,-10.728319015286738,-6.840677658674462,28.2260693866736,0.2622725435439628,-9.196140599030484,21.88535297489672,0.6845788243801424,55.149796800172574,54.85866459078744,,212.90182788623213,21.0664193827815,30.730716142067838,-36.141597065562195,0.0,-606.529582623711,3.30319464388805,11.207136075723303,-3.8938176262763355,1.83735947558183,-0.4403740930420235,-1.651597321944025,-3.874856740703366,52.65315388787187
0.6104988747186797,1.6380046571925362,0.6069482873588959,0.3872542545221478,0.42619231122939244,-0.7007684349842074,1.459513649919393,-0.10464649284020973,1.1721838651524459,-0.49065972180833917,0.0,-5.390803800919667,-0.33272546501297734,0.2031285219806721,-307.567593930215,0.7163103616776727,-27.031632497975515,-0.2383061784886833,1.4735002777373163,0.2622676440718804,0.0,27.841159847664663,1.7183824896826183,-0.5245352881437608,0.0,53.42747030495912,,-10.719261444027273,-6.844887345721393,28.263622774969086,0.2622676440718804,-9.187698915065114,21.95651126722161,0.68560839119991,55.256996834963076,54.765561314222936,,213.09933116480303,21.121051236673065,30.826462580571214,-36.24501729910881,0.0,-606.6604170614789,3.308021558268794,11.247910728768272,-3.8987023782832986,1.8365532208070108,-0.44068066561302993,-1.654010779134397,-3.880902436656459,52.71712865603938
