u,x,phi,f,h,A0prime,phiprime,T_H,S_SVT,a1,a2,a3,a4,a5,a6,a7,a8,a9,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,c6,d1,d2,d3,d4,e1,e2,e3,e4,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,construction
0.5515230871346237,1.813160724051259,0.5099330950260855,0.438616122867156,0.4948325295065454,0.0,-0.4469231611174665,1.0,0.0,-7.379076310301373e-11,-0.1692703813509019,-0.3314755920226336,0.1828164418130057,-1.750367054628441,4.5359915634956286e-11,-0.3767735261941452,-0.1847255696743872,0.1438825757649567,0.2084014155908882,3.3647081926973446e-10,0.4090725450769104,1.511461046419517,-0.4168028311817764,3.39984539421157e-10,-0.0101554326503534,0.0,-4.5359802393302456e-11,-0.1549391936956211,0.1883867630769095,0.2084014155908882,-4.4891011512384036e-11,0.0565350768284947,0.0556086876525711,0.1046940298321663,-0.0227229525537606,0.0,0.2372441719645834,1.745940484148201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0732442926612684,-0.2329385785784967,0.0,-0.0,0.0,FINAL_OUTER: certified strong-H 41/41 carrier + action-level genuine-SVT DeltaC; v12 minus; v5=c3=e3=0; a5 holonomic JET9D8
0.5515496675495626,1.8130733437712376,0.5099721507651324,0.4385934333689607,0.4948121584127508,0.0,-0.4470021883251938,1.0,0.0,6.944415491018683e-06,-0.1689620694123938,-0.3314426695016074,0.18280795018311746,-1.750536281722816,-3.89962988010594e-07,-0.37677439595688217,-0.18472459413333253,0.14390295224852,0.20840251617761021,-3.1666857961768184e-05,0.4084001338409692,1.5113891099752204,-0.41680503235522054,-3.1998950590533176e-05,-0.0101628168419533,0.0,4.269414581932097e-06,-0.15494391943790423,0.1883856422513791,0.20840251617761021,4.225105593281474e-06,0.05662492774789414,0.055611464633617554,0.10466151971722684,-0.02271378543701902,0.0,0.23722503181778587,1.7457814268911611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.073294146198797,-0.23292775882477249,0.0,-0.0,0.0,FINAL_OUTER: certified strong-H 41/41 carrier + action-level genuine-SVT DeltaC; v12 minus; v5=c3=e3=0; a5 holonomic JET9D8
0.5515762479645013,1.8129859719129144,0.5100112095522098,0.4385707438665178,0.4947917795452736,0.0,-0.44707909735707574,1.0,0.0,1.3874605620625397e-05,-0.16865247520515805,-0.3314097500873873,0.182799457141249,-1.7507188845265773,-1.5092028514075837e-06,-0.3767746838590161,-0.18472361996019054,0.14392317567529153,0.20840361526649548,-6.327210296166988e-05,0.40772769197691033,1.5113171802862069,-0.41680723053299107,-6.393826108229012e-05,-0.010170182631915752,0.0,8.531250581946623e-06,-0.15494864654316548,0.18838452573248213,0.20840361526649548,8.442365430796061e-06,0.05671460262282276,0.05561424094673282,0.10462901338217487,-0.022704620898166383,0.0,0.23720503947662594,1.7456223793739034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0733440127209752,-0.23291693725302373,0.0,-0.0,0.0,FINAL_OUTER: certified strong-H 41/41 carrier + action-level genuine-SVT DeltaC; v12 minus; v5=c3=e3=0; a5 holonomic JET9D8
0.5516028283794402,1.81289860847507,0.510050271288823,0.4385480543913361,0.494771393044718,0.0,-0.4471568865820252,1.0,0.0,2.079038747176137e-05,-0.16834160076115204,-0.3313768338298906,0.1827909627007093,-1.7508968432473466,-3.3568660626023115e-06,-0.37677439037064653,-0.18472264716964326,0.14394324615701481,0.2084047128727342,-9.48148913957031e-05,0.4070552208511907,1.511245257582801,-0.4168094257454685,-9.581707318352656e-05,-0.010177529839157366,0.0,1.2785392358310455e-05,-0.15495337503803314,0.1883834135721213,0.2084047128727342,1.2651665796403244e-05,0.05680410156346311,0.05561701659580353,0.10459651561400377,-0.022695458882475948,0.0,0.23718419615423714,1.7454633415902763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0733938922345685,-0.23290611386244034,0.0,-0.0,0.0,FINAL_OUTER: certified strong-H 41/41 carrier + action-level genuine-SVT DeltaC; v12 minus; v5=c3=e3=0; a5 holonomic JET9D8
0.5516294087943789,1.8128112534564889,0.5100893361349524,0.4385253648919331,0.4947509986802824,0.0,-0.4472354375647751,1.0,0.0,2.7691652140206724e-05,-0.16802944870040615,-0.3313439207789706,0.18278246687479222,-1.7510708213439994,-5.932039671567185e-06,-0.37677351615079535,-0.18472167577636026,0.14396316385185914,0.20840580901150232,-0.000126294717039708,0.40638272133665215,1.511173342095082,-0.41681161802300476,-0.00012763486941639544,-0.010184858313957313,0.0,1.7031769727751356e-05,-0.154958104950673,0.18838230582146331,0.20840580901150232,1.6852937974531803e-05,0.05689342474001559,0.055619791584713515,0.10456402483316962,-0.02268629940394046,0.0,0.23716250354010363,1.7453043135341273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0734437847463436,-0.23289528865221243,0.0,-0.0,0.0,FINAL_OUTER: certified strong-H 41/41 carrier + action-level genuine-SVT DeltaC; v12 minus; v5=c3=e3=0; a5 holonomic JET9D8
0.5516559892093178,1.812723906855953,0.5101284040063387,0.4385026753952496,0.4947305965720823,0.0,-0.4473127137734673,1.0,0.0,3.457829094747012e-05,-0.1677160215583153,-0.3313110109844143,0.18277396967677564,-1.7512411474839222,-9.233838001939365e-06,-0.37677206181944467,-0.18472070579499744,0.1439829289047947,0.208406903697961,-0.00015771107459550381,0.4057101945261638,1.5111014340528743,-0.4168138073959221,-0.00015939113314966663,-0.010192167901269363,0.0,2.1270312607970297e-05,-0.15496283630942098,0.18838120253262075,0.208406903697961,2.104611336145074e-05,0.056982572292220694,0.05562256591734298,0.10453154081769175,-0.02267714246439353,0.0,0.2371399632256401,1.745145295199307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0734936902630718,-0.23288446162152987,0.0,-0.0,0.0,FINAL_OUTER: certified strong-H 41/41 carrier + action-level genuine-SVT DeltaC; v12 minus; v5=c3=e3=0; a5 holonomic JET9D8
0.5516825696242565,1.8126365686722463,0.5101674748710394,0.4384799859114422,0.4947101867648952,0.0,-0.4473903893212634,1.0,0.0,4.145019544058088e-05,-0.16740132189769139,-0.331278104495944,0.18276547111992247,-1.7514076627614088,-1.326136676170995e-05,-0.37677002799430936,-0.18471973724019775,0.14400254145987165,0.20840799694725717,-0.00018906345969004946,0.4050376415199507,1.5110295336857547,-0.4168159938945144,-0.00019108534859786188,-0.010199458445744235,0.0,2.5500951017582786e-05,-0.15496756914167464,0.18838010375605854,0.20840799694725717,2.5231123465202874e-05,0.05707154435544099,0.05562533959756913,0.10449906324828474,-0.02266798806430465,0.0,0.23711657679508946,1.7449862865796675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0735436087915258,-0.23287363276958264,0.0,-0.0,0.0,FINAL_OUTER: certified strong-H 41/41 carrier + action-level genuine-SVT DeltaC; v12 minus; v5=c3=e3=0; a5 holonomic JET9D8
0.5517091500391954,1.8125492389041515,0.5102065487841609,0.4384572964227557,0.4946897691778953,0.0,-0.4474685904954372,1.0,0.0,4.830725739133121e-05,-0.1670853522302442,-0.3312452013632158,0.18275697121747975,-1.7515705631707927,-1.801373511150854e-05,-0.37676741529398927,-0.18471877012659083,0.14402200166570747,0.208409088774523,-0.00022035136887220186,0.40436506332889005,1.5109576412230448,-0.41681817754904604,-0.0002227170008182316,-0.01020672979874104,0.0,2.9723615075722034e-05,-0.15497230347421026,0.188379009540401,0.208409088774523,2.940789990520382e-05,0.05716034108466904,0.055628112629266126,0.10446659185895785,-0.02265883621877452,0.0,0.23709234583766076,1.7448272876690576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.073593540338482,-0.23286280209556065,0.0,-0.0,0.0,FINAL_OUTER: certified strong-H 41/41 carrier + action-level genuine-SVT DeltaC; v12 minus; v5=c3=e3=0; a5 holonomic JET9D8
0.5517357304541342,1.8124619175504533,0.5102456257473799,0.4384346069284422,0.4946693438089783,0.0,-0.44754629289195275,1.0,0.0,5.514936879356456e-05,-0.16676811506721567,-0.3312123016358219,0.18274846998267952,-1.7517297475489526,-2.3490051420263396e-05,-0.376764224340516,-0.18471780446879316,0.1440413096673013,0.20841017919487637,-0.00025157429960068607,0.403692460924085,1.5108857568938203,-0.4168203583897528,-0.0002542855756984556,-0.010213981806271857,0.0,3.393823500043908e-05,-0.15497703933512094,0.188377919937258,0.20841017919487637,3.357637441065094e-05,0.05724896263190406,0.05563088501630482,0.10443412621460309,-0.02264968692989841,0.0,0.23706727195123317,1.7446682984613289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0736434849107175,-0.23285196959865398,0.0,-0.0,0.0,FINAL_OUTER: certified strong-H 41/41 carrier + action-level genuine-SVT DeltaC; v12 minus; v5=c3=e3=0; a5 holonomic JET9D8
0.551762310869073,1.8123746046099345,0.5102847057053754,0.4384119174462579,0.4946489107353394,0.0,-0.4476236743801979,1.0,0.0,6.197642186750457e-05,-0.16644961300329222,-0.3311794053632879,0.18273996742873796,-1.751956907072251,-2.9689425611284023e-05,-0.37676045576340056,-0.18471684028140803,0.14406046561221095,0.2084112682234208,-0.0002827317502640995,0.40301983549410475,1.510813880926903,-0.4168225364468416,-0.0002857905599770495,-0.010221214313178998,0.0,3.8144741111435444e-05,-0.15498177675404579,0.18837683500118527,0.2084112682234208,3.773647882321865e-05,0.05733740911995276,0.05563365676255286,0.10440166596615733,-0.02264054019633138,0.0,0.23704135670971618,1.7445093189503353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0736934425150142,-0.23284113527805245,0.0,-0.0,0.0,FINAL_OUTER: certified strong-H 41/41 carrier + action-level genuine-SVT DeltaC; v12 minus; v5=c3=e3=0; a5 holonomic JET9D8
0.5517888912840118,1.8122873000813804,0.5103237886991945,0.4383892279628915,0.4946284698972605,0.0,-0.4477024005333689,1.0,0.0,6.87883090574519e-05,-0.1661298485401276,-0.3311465125950751,0.18273146356885608,-1.7513251646378736,-3.6610966321241324e-05,-0.37675611017469396,-0.18471587757902547,0.14407946964691862,0.20841235587524518,-0.00031382322017039376,0.4023471880203326,1.5107420135508673,-0.4168247117504904,-0.0003172314412329627,-0.010228427163560235,0.0,4.2343063828714745e-05,-0.15498651575639294,0.18837575477922494,0.20841235587524518,4.188814509571603e-05,0.05742568070771281,0.055636427871874665,0.10436921080844244,-0.022631396015403288,0.0,0.23701460171567001,1.7443503491299324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0737434131581554,-0.232830299132946,0.0,-0.0,0.0,FINAL_OUTER: certified strong-H 41/41 carrier + action-level genuine-SVT DeltaC; v12 minus; v5=c3=e3=0; a5 holonomic JET9D8
